"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.212692670530612
"13",1,2,0.132281208325405
"20",1,3,0
"21",1,4,0.042725986176978
"22",1,5,0
"23",1,6,0
"24",1,7,0
"25",1,8,0
"26",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0.273682741889167
"6",1,13,0
"7",1,14,0.0705035142112103
"8",1,15,0.00654767309562118
"9",1,16,0.122097693547107
"10",1,17,0
"11",1,18,0
"12",1,19,0.169047185114954
"14",1,20,0.874169158075793
"15",1,21,1.3444743610132
"16",1,22,0.987095211393369
"17",1,23,1.08234182459679
"18",1,24,2.68234077202979
"19",1,25,0.0963855421686747
"287",2,0,0
"288",2,1,0.642059516661856
"299",2,2,0
"306",2,3,0
"307",2,4,0
"308",2,5,0
"309",2,6,0
"310",2,7,0.375839717070355
"311",2,8,0
"312",2,9,0
"289",2,10,0.140939893901383
"290",2,11,0
"291",2,12,0
"292",2,13,0
"293",2,14,0
"294",2,15,0.125279905690118
"295",2,16,0
"296",2,17,0
"297",2,18,0.0469799646337944
"298",2,19,0.0469799646337944
"300",2,20,0.234899823168972
"301",2,21,2.31767825526719
"302",2,22,1.09619917478854
"303",2,23,0.736019445929445
"304",2,24,0.548099587394268
"305",2,25,0.0313199764225296
"339",3,0,0
"340",3,1,3.4282457512563
"351",3,2,0.0323419410495878
"358",3,3,0
"359",3,4,0
"360",3,5,0
"361",3,6,0
"362",3,7,0.339590381020672
"363",3,8,0.727693673615725
"364",3,9,0.145538734723145
"341",3,10,0.614496879942168
"342",3,11,0
"343",3,12,0.210222616822321
"344",3,13,0
"345",3,14,0.0970258231487633
"346",3,15,0.0646838820991756
"347",3,16,0
"348",3,17,0.177880675772733
"349",3,18,0.129367764198351
"350",3,19,0.113196793673557
"352",3,20,0.307248439971084
"353",3,21,0.145538734723145
"354",3,22,0.0485129115743817
"355",3,23,0
"356",3,24,0
"357",3,25,0
"365",4,0,0
"366",4,1,0
"377",4,2,0
"384",4,3,0
