"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,5.08865393794749,0.534706964466789,9.922,3.05124767540027,6.61036548982992,0.762938639296638,46.9782113548036,6,7.1067494569067
"2",2,7.4397009569378,3.35778018543027,15.621,3.16434945523305,6.48881966697504,0.647040381912916,85.8367364896486,16,13.2284053025107
"3",3,8.62686182669789,2.98710586252228,14.85,3.50713567009875,8.03747072599532,0.793288355844548,100.306054140767,14,12.479803356092
"4",4,6.160037470726,2.54197868910612,13.526,4.27166276346604,8,0.87223327042035,54.2857142857143,5,6.78571428571429
"5",5,5.89992037470726,1.61878025669531,12.046,4.23419203747073,8,0.925868201690376,52.0749414519906,5,6.50936768149883
"6",6,4.01112646370023,1.4495682853927,7.423,2.96018735362998,8,0.825329777532691,34.9695550351288,2,4.3711943793911
"7",7,7.09738641686183,2.04060222587064,13.351,3.59718969555035,8,0.777177394243245,59.9625292740047,8,7.49531615925059
"8",8,8.35118266978923,0.769812680330449,14.334,5.88290398126464,8,1.21409296293032,70.6416861826698,8,8.83021077283372
"9",9,12.3209203747073,3.96877426510426,23.828,1.83606557377049,8,0.565845183880473,101.236533957845,9,12.6545667447307
"10",10,14.4211361502347,2.47868539355906,21.688,2.72300469483568,8,0.733746995394701,119.830985915493,14,14.9788732394366
"11",11,10.5500392156863,2.70989634577534,22.368,2.07843137254902,8,0.595669794571678,88.6274509803922,9,11.078431372549
"12",12,11.5156495098039,3.9463301550402,21.85,1.58823529411765,8,0.410428894551808,96.6274509803922,13,12.078431372549
"13",13,7.02853201970443,2.97919428874374,21.054,2.42553742655094,7.75408027700536,0.632815460560937,58.1556020775402,6,7.5
"14",14,10.8587279411765,2.11481690752126,15.822,2.56862745098039,8,0.62555165965149,90.8235294117647,11,11.3529411764706
"15",15,11.8979187192118,1.59446605662297,16.495,1.87167454962198,7.75408027700536,0.592939642384821,95.990166187756,12,12.3793103448276
"16",16,12.6432039312039,1.75995129667955,22.41,2.11490487839406,7.75465122077821,0.637060961447041,102.172769462956,14,13.1756756756757
"17",17,11.40579,1.79323318870488,16.959,1.6233706715964,6.69431204782019,0.49116972381126,79.4447482275061,11,11.8675
"18",18,10.7126078431373,1.52462192619197,15.147,1.74509803921569,8,0.624372554458876,89.5882352941177,9,11.1985294117647
"19",19,10.2815798525799,1.76683407488211,15.388,3.53808353808354,8,0.764850723618167,86.3980343980344,9,10.7997542997543
"20",20,11.6661646191646,1.7814280414663,20.829,4.73710073710074,8,0.954017827924448,97.6805896805897,12,12.2100737100737
