"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0.0704784343528833
"23",1,3,0.269720744574276
"24",1,4,0.434606554837901
"25",1,5,0.73824781525631
"26",1,6,0.86204220038799
"27",1,7,0.857274148869959
"28",1,8,2.07968117556939
"29",1,9,2.68794892615129
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0.0386473429951691
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0
"320",2,0,0
"321",2,1,0
"332",2,2,1.83574879227053
"342",2,3,0.115942028985507
"343",2,4,0
"344",2,5,0
"345",2,6,2.45410628019324
"346",2,7,1.1207729468599
"347",2,8,2.24154589371981
"348",2,9,0.193236714975845
"322",2,10,0.0386473429951691
"323",2,11,0
"324",2,12,0
"325",2,13,0
"326",2,14,0
"327",2,15,0
"328",2,16,0
"329",2,17,0
"330",2,18,0
"331",2,19,0
"333",2,20,0
"334",2,21,0
"335",2,22,0
"336",2,23,0
"337",2,24,0
"338",2,25,0
"339",2,26,0
"340",2,27,0
"341",2,28,0
"378",3,0,0
"379",3,1,0
"390",3,2,0
"400",3,3,0.290556900726392
"401",3,4,0.25181598062954
"402",3,5,0
"403",3,6,3.35108958837772
"404",3,7,2.98305084745763
"405",3,8,1.10411622276029
"406",3,9,0.0193704600484262
"380",3,10,0
"381",3,11,0
"382",3,12,0
"383",3,13,0
"384",3,14,0
"385",3,15,0
"386",3,16,0
"387",3,17,0
"388",3,18,0
"389",3,19,0
"391",3,20,0
"392",3,21,0
"393",3,22,0
"394",3,23,0
"395",3,24,0
"396",3,25,0
"397",3,26,0
"398",3,27,0
"399",3,28,0
"407",4,0,0
"408",4,1,0
"419",4,2,2.64734299516908
"429",4,3,1.256038647343
"430",4,4,0
"431",4,5,0
"432",4,6,1.0048309178744
"433",4,7,2.85990338164251
"434",4,8,0.231884057971014
"435",4,9,0
"409",4,10,0
"410",4,11,0
"411",4,12,0
"412",4,13,0
"413",4,14,0
"414",4,15,0
"415",4,16,0
"416",4,17,0
"417",4,18,0
"418",4,19,0
"420",4,20,0
"421",4,21,0
"422",4,22,0
"423",4,23,0
"424",4,24,0
"425",4,25,0
"426",4,26,0
"427",4,27,0
"428",4,28,0
"436",5,0,0
"437",5,1,0
"448",5,2,5.52657004830918
"458",5,3,0.541062801932367
"459",5,4,0
"460",5,5,0
"461",5,6,0.251207729468599
"462",5,7,0.0772946859903382
"463",5,8,0.0386473429951691
"464",5,9,0
"438",5,10,0
"439",5,11,0.328502415458937
"440",5,12,1.23671497584541
"441",5,13,0
"442",5,14,0
"443",5,15,0
"444",5,16,0
"445",5,17,0
"446",5,18,0
"447",5,19,0
"449",5,20,0
"450",5,21,0
"451",5,22,0
"452",5,23,0
"453",5,24,0
"454",5,25,0
"455",5,26,0
"456",5,27,0
"457",5,28,0
"465",6,0,0
"466",6,1,0
"477",6,2,0.271186440677966
"487",6,3,0
"488",6,4,0
"489",6,5,0
"490",6,6,0
"491",6,7,0
"492",6,8,0
"493",6,9,0
"467",6,10,0.135593220338983
"468",6,11,0.135593220338983
"469",6,12,0.0193704600484262
"470",6,13,7.38014527845036
"471",6,14,0
"472",6,15,0
"473",6,16,0
"474",6,17,0
"475",6,18,0
"476",6,19,0
"478",6,20,0
"479",6,21,0.0193704600484262
"480",6,22,0
"481",6,23,0.0387409200968523
"482",6,24,0
"483",6,25,0
"484",6,26,0
"485",6,27,0
"486",6,28,0
"494",7,0,0
"495",7,1,0
"506",7,2,0
"516",7,3,0
"517",7,4,0
"518",7,5,0
"519",7,6,0
"520",7,7,0
"521",7,8,0
"522",7,9,0.444444444444444
"496",7,10,0.521739130434783
"497",7,11,0
"498",7,12,0.309178743961353
"499",7,13,6.35748792270531
"500",7,14,0
"501",7,15,0
"502",7,16,0.0579710144927536
"503",7,17,0.0193236714975845
"504",7,18,0
"505",7,19,0
"507",7,20,0.173913043478261
"508",7,21,0.0386473429951691
"509",7,22,0.0386473429951691
"510",7,23,0
"511",7,24,0.0386473429951691
"512",7,25,0
"513",7,26,0
"514",7,27,0
"515",7,28,0
"523",8,0,0
"524",8,1,0
"535",8,2,0
"545",8,3,2.49878934624697
"546",8,4,0.600484261501211
"547",8,5,0
"548",8,6,0.891041162227603
"549",8,7,0
"550",8,8,0.25181598062954
"551",8,9,1.10411622276029
"525",8,10,0
"526",8,11,0
"527",8,12,0.0968523002421307
"528",8,13,1.80145278450363
"529",8,14,0
"530",8,15,0
"531",8,16,0
"532",8,17,0
"533",8,18,0
"534",8,19,0.0968523002421307
"536",8,20,0.116222760290557
"537",8,21,0.464891041162228
"538",8,22,0.0387409200968523
"539",8,23,0.0387409200968523
"540",8,24,0
"541",8,25,0
"542",8,26,0
"543",8,27,0
"544",8,28,0
"552",9,0,0
"553",9,1,0
"564",9,2,0
"574",9,3,0.85024154589372
"575",9,4,4.23188405797101
"576",9,5,0.85024154589372
"577",9,6,1.79710144927536
"578",9,7,0.270531400966184
"579",9,8,0
"580",9,9,0
"554",9,10,0
"555",9,11,0
"556",9,12,0
"557",9,13,0
"558",9,14,0
"559",9,15,0
"560",9,16,0
"561",9,17,0
"562",9,18,0
"563",9,19,0
"565",9,20,0
"566",9,21,0
"567",9,22,0
"568",9,23,0
"569",9,24,0
"570",9,25,0
"571",9,26,0
"572",9,27,0
"573",9,28,0
"30",10,0,0
"31",10,1,0
"42",10,2,0
"52",10,3,4.78450363196126
"53",10,4,2.76997578692494
"54",10,5,0.329297820823245
"55",10,6,0.0581113801452785
"56",10,7,0.0581113801452785
"57",10,8,0
"58",10,9,0
"32",10,10,0
"33",10,11,0
"34",10,12,0
"35",10,13,0
"36",10,14,0
"37",10,15,0
"38",10,16,0
"39",10,17,0
"40",10,18,0
"41",10,19,0
"43",10,20,0
"44",10,21,0
"45",10,22,0
"46",10,23,0
"47",10,24,0
"48",10,25,0
"49",10,26,0
"50",10,27,0
"51",10,28,0
"59",11,0,0
"60",11,1,0
"71",11,2,0
"81",11,3,2.33009708737864
"82",11,4,3.51456310679612
"83",11,5,0.640776699029126
"84",11,6,0
"85",11,7,0.485436893203884
"86",11,8,0.252427184466019
"87",11,9,0.776699029126214
"61",11,10,0
"62",11,11,0
"63",11,12,0
"64",11,13,0
"65",11,14,0
"66",11,15,0
"67",11,16,0
"68",11,17,0
"69",11,18,0
"70",11,19,0
"72",11,20,0
"73",11,21,0
"74",11,22,0
"75",11,23,0
"76",11,24,0
"77",11,25,0
"78",11,26,0
"79",11,27,0
"80",11,28,0
"88",12,0,0
"89",12,1,0
"100",12,2,0
"110",12,3,0
"111",12,4,3.7956204379562
"112",12,5,3.28953771289538
"113",12,6,0
"114",12,7,0.428223844282238
"115",12,8,0.48661800486618
"116",12,9,0
"90",12,10,0
"91",12,11,0
"92",12,12,0
"93",12,13,0
"94",12,14,0
"95",12,15,0
"96",12,16,0
"97",12,17,0
"98",12,18,0
"99",12,19,0
"101",12,20,0
"102",12,21,0
"103",12,22,0
"104",12,23,0
"105",12,24,0
"106",12,25,0
"107",12,26,0
"108",12,27,0
"109",12,28,0
"117",13,0,0
"118",13,1,0.0583941605839416
"129",13,2,0.545012165450122
"139",13,3,5.97566909975669
"140",13,4,0
"141",13,5,0
"142",13,6,0.253041362530414
"143",13,7,0.778588807785888
"144",13,8,0.097323600973236
"145",13,9,0.0194647201946472
"119",13,10,0.272506082725061
"120",13,11,0
"121",13,12,0
"122",13,13,0
"123",13,14,0
"124",13,15,0
"125",13,16,0
"126",13,17,0
"127",13,18,0
"128",13,19,0
"130",13,20,0
"131",13,21,0
"132",13,22,0
"133",13,23,0
"134",13,24,0
"135",13,25,0
"136",13,26,0
"137",13,27,0
"138",13,28,0
"146",14,0,0
"147",14,1,0
"158",14,2,0
"168",14,3,3.10839928286187
"169",14,4,0
"170",14,5,0
"171",14,6,1.88616461338706
"172",14,7,0
"173",14,8,0
"174",14,9,0
"148",14,10,0.407411556491604
"149",14,11,0.0301786338141929
"150",14,12,0
"151",14,13,0
"152",14,14,0
"153",14,15,0
"154",14,16,0
"155",14,17,0
"156",14,18,0
"157",14,19,0.392322239584508
"159",14,20,0.165982485978061
"160",14,21,0.0301786338141929
"161",14,22,0
"162",14,23,0
"163",14,24,0
"164",14,25,0
"165",14,26,0
"166",14,27,0
"167",14,28,0
"175",15,0,0
"176",15,1,0
"187",15,2,0
"197",15,3,0
"198",15,4,0
"199",15,5,0
"200",15,6,0
"201",15,7,0
"202",15,8,0.301869049914497
"203",15,9,0.402492066552663
"177",15,10,0.517489799853424
"178",15,11,0.402492066552663
"179",15,12,0.388117349890068
"180",15,13,0
"181",15,14,0.0143747166625951
"182",15,15,0
"183",15,16,0
"184",15,17,0.0718735833129756
"185",15,18,0.474365649865639
"186",15,19,0.402492066552663
"188",15,20,0.172496599951141
"189",15,21,0.0431241499877853
"190",15,22,0.258744899926712
"191",15,23,0.445616216540448
"192",15,24,0.301869049914497
"193",15,25,0.330618483239688
"194",15,26,1.04935431636944
"195",15,27,0
"196",15,28,0.0862482999755707
"204",16,0,0
"205",16,1,0
"216",16,2,0
"226",16,3,0
"227",16,4,0
"228",16,5,0
"229",16,6,0
"230",16,7,0
"231",16,8,0
"232",16,9,0.232766642347205
"206",16,10,0.145479151467003
"207",16,11,0.611012436161414
"208",16,12,0.494629114987811
"209",16,13,0
"210",16,14,0.174574981760404
"211",16,15,0.189122896907104
"212",16,16,0.305506218080707
"213",16,17,0.0581916605868013
"214",16,18,0.334602048374108
"215",16,19,0.203670812053805
"217",16,20,0.043643745440101
"218",16,21,0
"219",16,22,0.116383321173603
"220",16,23,0.480081199841111
"221",16,24,0.174574981760404
"222",16,25,0.683752011894916
"223",16,26,1.38205193893653
"224",16,27,0
"225",16,28,0.116383321173603
"233",17,0,0
"234",17,1,0
"245",17,2,0
"255",17,3,0
"256",17,4,0
"257",17,5,1.83793901428053
"258",17,6,0
"259",17,7,0
"260",17,8,0
"261",17,9,0.082790045688312
"235",17,10,0.711994392919484
"236",17,11,0.546414301542859
"237",17,12,0.0331160182753248
"238",17,13,0.927248511709095
"239",17,14,0.662320365506496
"240",17,15,0.198696109651949
"241",17,16,0.115906063963637
"242",17,17,0
"243",17,18,0.0165580091376624
"244",17,19,0.264928146202598
"246",17,20,0
"247",17,21,0
"248",17,22,0.0496740274129872
"249",17,23,0.264928146202598
"250",17,24,0.115906063963637
"251",17,25,0.165580091376624
"252",17,26,0.662320365506496
"253",17,27,0
"254",17,28,0.0496740274129872
"262",18,0,0
"263",18,1,0
"274",18,2,0
"284",18,3,0
"285",18,4,0
"286",18,5,0
"287",18,6,1.44038929440389
"288",18,7,0
"289",18,8,0.155717761557178
"290",18,9,1.63503649635036
"264",18,10,0.369829683698297
"265",18,11,0.447688564476886
"266",18,12,0.408759124087591
"267",18,13,0.428223844282238
"268",18,14,1.24574209245742
"269",18,15,0.583941605839416
"270",18,16,1.09002433090024
"271",18,17,0.0194647201946472
"272",18,18,0
"273",18,19,0.116788321167883
"275",18,20,0
"276",18,21,0
"277",18,22,0
"278",18,23,0
"279",18,24,0
"280",18,25,0
"281",18,26,0.0583941605839416
"282",18,27,0
"283",18,28,0
"291",19,0,0
"292",19,1,0
"303",19,2,0
"313",19,3,0
"314",19,4,0.369829683698297
"315",19,5,1.96593673965937
"316",19,6,2.29683698296837
"317",19,7,0.291970802919708
"318",19,8,0.155717761557178
"319",19,9,0.856447688564477
"293",19,10,0.389294403892944
"294",19,11,0.369829683698297
"295",19,12,0
"296",19,13,0.0778588807785888
"297",19,14,0.13625304136253
"298",19,15,0.311435523114355
"299",19,16,0.369829683698297
"300",19,17,0.214111922141119
"301",19,18,0
"302",19,19,0.0778588807785888
"304",19,20,0
"305",19,21,0
"306",19,22,0
"307",19,23,0.0583941605839416
"308",19,24,0.0583941605839416
"309",19,25,0
"310",19,26,0
"311",19,27,0
"312",19,28,0
"349",20,0,0
"350",20,1,0
"361",20,2,0
"371",20,3,0
"372",20,4,0
"373",20,5,5.91222865295173
"374",20,6,0
"375",20,7,0.193555104709729
"376",20,8,0
"377",20,9,0.439897965249385
"351",20,10,0
"352",20,11,0.123171430269828
"353",20,12,0.211151023319705
"354",20,13,0.0351918372199508
"355",20,14,0.0527877558299262
"356",20,15,0.0351918372199508
"357",20,16,0.0175959186099754
"358",20,17,0.0703836744399015
"359",20,18,0.0175959186099754
"360",20,19,0
"362",20,20,0.0351918372199508
"363",20,21,0
"364",20,22,0
"365",20,23,0
"366",20,24,0.0175959186099754
"367",20,25,0
"368",20,26,0
"369",20,27,0
"370",20,28,0
