"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"23",1,0,0,0,0,0,0,0,0,0
"24",2,0,0,0,0,0,0,0,0,0
"25",3,0,0,0,0,0,0,0,0,0
"26",4,0,0,0,0,0,0,0,0,0
"27",5,0,0,0,0,0,0,0,0,0
"28",6,0,0,0,0,0,0,0,0,0
"29",7,0,0,0,0,0,0,0,0,0
"1",8,5.6880251572327,0.502468992048965,8.36,1.63886164714631,2.32708556177888,0.478860211402161,15.9490503082867,6,6.85365874389892
"2",9,6.1928,0.994336536983575,7.464,2.1172817885623,2.52269454964085,0.60579648165891,18.2792758115523,7,7.2459330497046
"3",10,6.09152348993289,1.17744286361574,9.77,0.864813885572656,2.08386092660933,0.311885516074053,17.9583507423143,10,8.61782593694224
"4",11,8.69021568627451,0.239496871127416,9.375,4.09874773784263,4.27808755764131,1.17962730478735,40.4624919777937,9,9.45807944148353
"5",12,7.5762619047619,2.61693229275379,10.78,2.31594008558036,4.77586371404374,0.73020519693038,48.6378307805922,10,10.1840910236968
"6",13,6.2449691629956,1.4143690935089,10.729,2.88219632303622,8.0704845814978,0.912406456256896,67.4577474434999,8,8.35857460135069
"7",14,8.49496017699115,1.0964372052579,10.37,3.01756013574843,7.57742878532385,0.993363535968089,67.8951030543398,8,8.96017699115044
"8",15,9.0658112244898,1.28623243107347,10.656,1.72788787753957,3.76295582219728,0.544522241227701,36.0744591321872,10,9.58673469387755
"9",16,5.33898237885463,0.722530349454479,7.549,5.88546255506608,8,1.68416845505658,46.4669603524229,5,5.80837004405286
"10",17,5.1918401826484,1.23915192107972,7.869,3.48970089392584,5.87880381361354,0.989232489407532,33.08504885972,5,5.62785388127854
"11",18,4.97405194805195,0.603134965608508,5.678,0.305038249493931,0.809929145208023,0.123521006283014,4.51772166060839,5,5.57792207792208
"12",19,4.99165217391304,0.047920530442094,5.186,0.708789954772585,0.708789954772585,0.204610035593427,3.89834475124922,5,5.5
"13",20,5.20884513274336,0.99250071050553,7.761,2.90265486725664,8,1.12940309328909,45.4867256637168,6,5.6858407079646
"14",21,6.72940322580645,0.420341448234858,7.072,0.406142864748703,0.535762927966375,0.119785121170791,3.88860189653014,7,7.25806451612903
"30",22,0,0,0,0,0,0,0,0,0
"31",23,0,0,0,0,0,0,0,0,0
"32",24,0,0,0,0,0,0,0,0,0
"33",25,0,0,0,0,0,0,0,0,0
"34",26,0,0,0,0,0,0,0,0,0
"35",27,0,0,0,0,0,0,0,0,0
"36",28,0,0,0,0,0,0,0,0,0
"37",29,0,0,0,0,0,0,0,0,0
"15",30,4.90685714285714,0.0372130289523645,4.978,0.0542057965300528,0.0542057965300528,0.015647865609132,0.29813188091529,5,5.5
"16",31,4.77075,0.0757318172206033,4.978,0.366456028027645,0.366456028027645,0.105786743213961,2.01550815415205,5,5.5
"17",32,3.92991428571429,0.66628241545373,4.79,0.155819240922355,0.287035443804337,0.0516857052566496,1.24245342103877,3,4.32857142857143
"18",33,4.97809523809524,0.0472111266142895,5.077,0.167234428856537,0.167234428856537,0.0482764212590474,0.919789358710952,5,5.5
"19",34,5.14217903930131,0.334059570663235,6.244,3.59235722095678,4.15479698787425,1.03062592701906,23.1961045807739,5,5.58296943231441
"20",35,6.39915503875969,1.30898283170195,8.762,3.1937984496124,8,1.20604537831105,54.9147286821705,6,6.86434108527132
"21",36,5.06385317460317,1.4256439931096,8.408,2.99922316659965,6.57221076507053,0.932145419091056,36.8774048484513,6,5.61111111111111
"22",37,8.0602375,0.869020490993062,8.514,0.692909450907345,0.729378369376153,0.199230796292815,6.09942661390808,8,8.3625
"38",38,0,0,0,0,0,0,0,0,0
"39",39,0,0,0,0,0,0,0,0,0
"40",40,0,0,0,0,0,0,0,0,0
