"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,4.564,5.32650063906605,16.01,4.18271185500682,8.43321299638989,1.125266472385,74.9992166541191,2,8.89331464605778
"2",2,9.88798571428571,5.8262629482577,14.399,0.891161126982947,1.3710171184353,0.226752310121529,14.1214763198836,14,10.3
"26",3,0,0,0,0,0,0,0,0,0
"27",4,0,0,0,0,0,0,0,0,0
"28",5,0,0,0,0,0,0,0,0,0
"29",6,0,0,0,0,0,0,0,0,0
"30",7,0,0,0,0,0,0,0,0,0
"3",8,2.28880916030534,0.368869467084475,2.815,3.24286978325179,5.27721666591285,0.855993055515937,15.2273885474432,2,2.88549618320611
"4",9,2.32990322580645,0.0757352207094822,2.483,0.232765055312059,0.232765055312059,0.053399965983838,0.581912638280148,2,2.5
"31",10,0,0,0,0,0,0,0,0,0
"32",11,0,0,0,0,0,0,0,0,0
"33",12,0,0,0,0,0,0,0,0,0
"34",13,0,0,0,0,0,0,0,0,0
"35",14,0,0,0,0,0,0,0,0,0
"5",15,12.0305241935484,0.0978519259387031,12.181,1.52674026318581,1.52674026318581,0.350258237908506,19.0842532898226,12,12.5
"6",16,15.1735633802817,1.16093373073579,15.861,1.28746141034627,1.90437000280385,0.304587120025909,30.1212325795595,16,15.8169014084507
"7",17,12.7815726872247,0.387442222644718,15.49,6.69603524229075,8,1.54274103053996,107.118942731278,13,13.3898678414097
"8",18,12.6493127753304,0.535673782948842,13.377,5.53303964757709,8,1.33541331855395,105.251101321586,13,13.1563876651982
"9",19,14.4885625,1.72017996128755,17.647,3.18653299403041,6.92993583167779,0.889236610789014,103.670602553358,13,14.9598214285714
"10",20,13.6161145374449,1.84770785414165,17.656,3.80616740088106,8,1.02616837103864,112.933920704846,12,14.1167400881057
"11",21,13.3696964285714,2.49267129510853,17.157,3.28571428571429,8,0.938785320522431,110.464285714286,11,13.8080357142857
"12",22,12.3657090909091,2.08552537469614,16.957,5.15489901535548,6.91510843523296,1.1858179643734,87.7275801942509,11,12.6863636363636
"13",23,14.0213157894737,2.72645401109495,17.055,0.660188174163895,1.39373058990156,0.202001830205092,20.0990621912119,17,14.4210526315789
"36",24,0,0,0,0,0,0,0,0,0
"37",25,0,0,0,0,0,0,0,0,0
"38",26,0,0,0,0,0,0,0,0,0
"14",27,4.21919047619048,0.133010417119378,4.488,1.24066881881023,1.24066881881023,0.284628947557671,5.58300968464602,4,4.5
"15",28,6.60119431279621,1.54213260042735,8.308,2.45537800907246,5.28657918279886,0.629919395182289,37.3693500054242,7,7.06872037914692
"16",29,8.23634042553191,0.309230420167237,8.659,0.897763749331597,1.06822522072367,0.205759355932954,9.13673486661524,8,8.5531914893617
"39",30,0,0,0,0,0,0,0,0,0
"40",31,0,0,0,0,0,0,0,0,0
"17",32,4.56869230769231,0.206803511352424,4.954,0.173508560723708,0.33834169341123,0.0533594607532877,1.69604618107424,5,5.01282051282051
"18",33,3.53088372093023,0.911413527032114,5.09,1.76535160368933,3.95365202909589,0.494345690091854,16.7432566162409,3,4.23488372093023
"19",34,3.36126829268293,1.1954619708061,7.762,2.76422764227642,8,0.874661315664073,31.0569105691057,3,3.88211382113821
"20",35,5.00071836734694,1.9239793925988,8.866,3.10496975731775,7.60717590542848,0.827079006672198,42.3983620361738,4,5.5734693877551
"21",36,5.1411948051948,2.73293589501994,8.808,0.459979275754376,0.737883421522645,0.115899580512766,4.21168524362601,3,5.70779220779221
"22",37,4.14674261603376,0.489202166536469,5.512,4.5751007200935,5.82956382076429,1.06680941205341,27.364513715613,4,4.69409282700422
"23",38,5.43959405940594,0.483655446171445,5.867,2.10070413137044,3.31517370731897,0.518154398750752,20.0879832562298,6,6.05940594059406
"24",39,5.108,0.0419237402911524,5.176,0.0484704344231766,0.0484704344231766,0.011119880284218,0.266587389327471,5,5.5
"25",40,4.4102,0.0849017920053181,4.587,0.107442633982127,0.123972269979377,0.0247299270055487,0.574404850904448,4,4.63333333333333
