"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,4.80579166666667,0.420444128595591,5.594,6.22724551455105,7.51119025527858,1.43129204184159,42.0061944214617,5,5.59248174973884
"2",2,13.1904761904762,0.0517190671296567,13.295,0.227173937318553,0.227173937318553,0.0521172755462009,3.06684815380047,13,13.5
"3",3,13.0548541666667,0.211697674344482,13.345,8,15.625,2.46408782334753,202.9375,12,12.988
"4",4,11.6597150259067,1.91465201272323,14.989,2.40414507772021,8,0.749848411345311,96.8082901554404,13,12.1010362694301
"5",5,9.7665,2.93229014413956,12.318,3.8939109272371,7.1138757324524,0.95734340727136,73.5724516540472,12,10.3421052631579
"6",6,11.9293177083333,0.530946589340108,12.334,7.5,8,1.71806704932168,99,12,12.375
"7",7,11.8714736842105,0.0917587132152834,12.196,0.429577308992454,0.429577308992454,0.098551793596645,5.36971636240568,12,12.5
"27",8,0,0,0,0,0,0,0,0,0
"28",9,0,0,0,0,0,0,0,0,0
"29",10,0,0,0,0,0,0,0,0,0
"30",11,0,0,0,0,0,0,0,0,0
"31",12,0,0,0,0,0,0,0,0,0
"32",13,0,0,0,0,0,0,0,0,0
"33",14,0,0,0,0,0,0,0,0,0
"34",15,0,0,0,0,0,0,0,0,0
"35",16,0,0,0,0,0,0,0,0,0
"36",17,0,0,0,0,0,0,0,0,0
"8",18,8.22139682539683,0.0755379715841621,8.427,0.803144854103813,0.803144854103813,0.184254066108592,6.82673125988241,8,8.5
"9",19,7.20140650406504,0.178913379416967,8.282,2.02470159448755,2.07531913434974,0.463998151872272,15.6155110474852,7,7.52439024390244
"10",20,5.77129411764706,0.961533395461767,7.274,0.132718337838951,0.188017645271847,0.0323278439222858,1.14469566386095,5,6.08823529411765
"37",21,0,0,0,0,0,0,0,0,0
"38",22,0,0,0,0,0,0,0,0,0
"39",23,0,0,0,0,0,0,0,0,0
"11",24,11.000012987013,0.966052326672552,11.999,1.11753901762443,2.64770782637173,0.325703381880769,30.5174116351287,12,11.525974025974
"12",25,10.4023219512195,0.618947528388421,12.33,6.20487804878049,8,1.41976925435949,85.6390243902439,10,10.7048780487805
"13",26,12.197854368932,0.778711649037481,14.807,3.41747572815534,8,1.00148197456197,101.553398058252,12,12.6941747572816
"14",27,13.6737268292683,0.786022179196253,15.616,3.2,8,1.01659838616515,114.282926829268,13,14.2853658536585
"15",28,13.3691601941748,2.25379181815413,17.537,2.71844660194175,8,0.802825224437184,110.097087378641,15,13.7621359223301
"16",29,11.7442341463415,2.70352711591272,16.58,3.31707317073171,8,0.875281777817046,98.6341463414634,9,12.3292682926829
"17",30,10.8963414634146,3.1570153425391,16.339,2.57560975609756,8,0.786597113639428,91.7658536585366,8,11.4707317073171
"18",31,8.82442358078603,1.71868375523077,16.198,4.40174672489083,8,1.16013591325061,74.4279475982533,8,9.30349344978166
"19",32,8.14106862745098,4.59073926725289,16.422,1.52840135230338,4.2134307549985,0.47856485965649,35.7728532728304,12,8.49019607843137
"20",33,6.53855172413793,6.04715740096816,15.682,0.632409311528932,1.3841411346671,0.162437183487109,9.82024270543982,2,7.0948275862069
"21",34,1.52119230769231,0.0907321417054703,1.691,0.13635568230222,0.236349849323848,0.0377503787161673,0.490880456287993,2,2.07692307692308
"40",35,0,0,0,0,0,0,0,0,0
"22",36,12.3561134020619,0.541644289452163,12.692,2.24993502956435,3.60733384905358,0.547217127961645,46.87674553332,13,12.9948453608247
"23",37,11.3488296943231,0.639912879069167,12.646,6.00873362445415,8,1.39088610891162,94.7598253275109,11,11.8449781659389
"24",38,11.3848377192982,0.722737060770731,12.601,4.91228070175439,8,1.16166908031194,95.1228070175439,11,11.890350877193
"25",39,10.2048640350877,2.09703803152474,13.643,3.68421052631579,8,0.960204713533277,85.7543859649123,8,10.719298245614
"26",40,8.94805263157895,2.68337879863306,16.851,3.19298245614035,8,0.894717730942937,75.5087719298246,7,9.43859649122807
