"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,10.5698828451883,0.694538371324645,15.115,2.88588075673043,8.06694560669456,0.885132106747853,97.7139292627497,11,12.1128781606832
"2",2,12.4752394957983,1.47626840742264,15.784,2.45378151260504,8,0.756146341052409,103.966386554622,14,12.9957983193277
"3",3,13.807690376569,0.652447000609612,15.097,5.9581589958159,8,1.36402829505583,114.962343096234,14,14.3702928870293
"4",4,12.4719444444444,1.18840974715448,14.779,2.3185833538727,4.43198234014604,0.581726150178082,58.1492497776569,13,13.1203703703704
"5",5,11.2197866108787,1.1376844722837,14.654,5.08786610878661,8,1.19205357113934,94.9456066945607,11,11.8682008368201
"6",6,11.4336470588235,0.936221971301825,16.165,4.57142857142857,8,1.16743863523716,96.8739495798319,11,12.109243697479
"7",7,8.44860483870968,4.73725687806318,12.29,0.889675985152434,1.43272496310262,0.221057864946535,12.594114595015,12,8.79032258064516
"8",8,2.8858828125,0.138465472036744,3.104,1.49210045237848,1.49210045237848,0.342311320291007,5.2223515833247,3,3.5
"9",9,6.30203260869565,0.183971454847272,6.741,2.30431409102709,2.84559592448982,0.536276755621571,19.0376553426466,6,6.69021739130435
"10",10,6.27665333333333,0.178952882204275,6.665,1.81272852111065,1.92843459692622,0.415240433285175,12.650530955836,6,6.56
"11",11,7.10500598802395,3.05160887942344,13.623,0.937194245156227,3.06885174394294,0.30984007804357,22.9245062908312,7,7.47005988023952
"12",12,9.60856842105263,4.03096618625916,14.024,1.12332745028527,4.54111096923832,0.363955664971686,45.9847237095502,14,10.1263157894737
"13",13,6.581,2.18593513965593,11.64,4.84615384615385,8,1.10624561898719,56.5769230769231,5,7.07211538461538
"14",14,7.19245454545455,2.88100168529356,14.532,3.21531100478469,8,0.777786317276079,62.2966507177034,5,7.78708133971292
"15",15,12.9002702702703,1.56429252047067,14.586,1.58481476608879,4.12944692572432,0.470330415705756,54.8100374384653,14,13.272972972973
"16",16,12.3355988700565,0.202651045235596,12.976,3.0579149386779,3.60833962763993,0.705869908804756,45.6546700344611,12,12.6525423728814
"17",17,12.1836688741722,0.307911279902817,12.98,1.97982966759506,2.47069652732937,0.460908930356903,31.3418489940358,12,12.6854304635762
"18",18,12.1884175824176,0.290290978650449,12.832,3.3581258400876,3.9178134801022,0.773965384419938,49.5323561412921,12,12.6428571428571
"34",19,0,0,0,0,0,0,0,0,0
"35",20,0,0,0,0,0,0,0,0,0
"36",21,0,0,0,0,0,0,0,0,0
"19",22,11.561125,1.38104739535899,13.076,0.312616231727348,0.757857531460238,0.0913880068531462,9.05639750094984,13,11.95
"20",23,8.84489558232932,1.34332717846689,11.992,4.14457831325301,8,1.00005758088829,74.6506024096386,8,9.33132530120482
"21",24,7.24141767068273,0.740592794827903,11.192,3.37349397590361,8,1.01626906374004,61.6385542168675,8,7.70481927710843
"22",25,7.16765060240964,0.765208965246479,9.72,3.72690763052209,8,1.01705875876645,61.7670682730924,7,7.72088353413655
"23",26,10.1091351351351,1.70181549045609,14.177,1.89393050182894,4.16289674659429,0.471539100766407,44.5354944737002,9,10.6981981981982
"24",27,8.874625,0.0545063473497211,9.063,0.667773332855737,0.667773332855737,0.15319770921629,6.3438466621295,9,9.5
"37",28,0,0,0,0,0,0,0,0,0
"38",29,0,0,0,0,0,0,0,0,0
"39",30,0,0,0,0,0,0,0,0,0
"25",31,13.0000714285714,0.277613187331831,13.452,0.486759886535584,0.567886534291515,0.112186177839271,7.58534156517952,13,13.3571428571429
"26",32,12.7148860759494,0.320502689933254,13.277,2.21904504317857,3.62699086367807,0.587560900613632,47.5564308391545,13,13.1118143459916
"27",33,14.3702552301255,1.60962004419823,16.174,1.69453301530477,3.71553569410863,0.460833756027359,55.1966923930238,16,14.8556485355649
"28",34,13.9587304347826,1.7108091975505,17.765,1.1156153724679,3.37620441667918,0.321041304353593,48.4705521038028,12,14.3565217391304
"29",35,13.3987841726619,1.5207644537033,15.768,3.51079136690647,8,0.944111538478426,111.510791366906,12,13.9388489208633
"30",36,13.3183315217391,1.11669687287383,15.667,1.26580022184599,2.09826343080776,0.300752971002746,28.9651582296289,13,13.804347826087
"31",37,15.3571188118812,0.788761707101471,15.848,1.28333671321006,2.51683510746051,0.380379234462597,39.9578722258705,16,15.8762376237624
"32",38,15.4470202020202,0.213374346706936,15.865,0.469270860476658,0.860329910873874,0.136256729549644,13.7261726689423,15,15.9545454545455
"33",39,15.7061666666667,0.0499669587797475,15.779,0.0865991631792163,0.0865991631792163,0.0198672105733364,1.42888619245707,16,16.5
"40",40,0,0,0,0,0,0,0,0,0
