"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,9.28711811023622,1.99332209889606,14.983,3.04286005291595,8.47244094488189,0.8973153961411,92.9138927827273,12,10.9666025868089
"2",2,11.523312,1.45090881042216,15.175,2.90054168251535,6.77696654793307,0.775106445017876,81.1338435118547,11,11.972
"3",3,12.8094084507042,1.13572731356814,14.865,0.469864969754028,0.641546401010308,0.119509062042638,8.45305152317103,13,13.1760563380282
"28",4,0,0,0,0,0,0,0,0,0
"29",5,0,0,0,0,0,0,0,0,0
"4",6,8.45636734693877,0.124400343963477,8.9,0.299942400444141,0.419919360621797,0.07888352076262,3.68929152546293,8,8.78571428571428
"5",7,8.18592307692308,0.383062689517477,9.262,4.03733908534182,4.77140073722215,1.0137738681643,41.2909679182686,8,8.65384615384615
"6",8,7.5865,2.69686790628547,11.381,2.36220472440945,8,0.801005836362861,65.2283464566929,4,8.15354330708661
"7",9,8.09934328358209,1.36737582730504,11.154,0.393623168898881,0.599380734459659,0.100270508264255,5.05000633735041,7,8.42537313432836
"8",10,10.5492777777778,0.0539071217723388,10.673,0.234050117249674,0.30092157932101,0.0597727014156288,3.39372670012028,11,11.2777777777778
"9",11,9.39889387755102,1.02099777869577,11.38,3.44697820767393,7.28025569724235,1.09888979496894,70.6481955926273,10,9.70408163265306
"10",12,9.03937948717949,1.04092031028343,12.075,1.63712397094364,2.98354368536458,0.453575952025202,28.3436650109635,9,9.5
"11",13,9.47800520833333,0.549069517503262,11.047,1.71015334279728,2.88025826155332,0.474131112806901,28.7425772350841,9,9.97916666666667
"12",14,10.4684430894309,1.12040350366896,12.135,3.1219512195122,8,0.984950765380276,87.4146341463415,10,10.9268292682927
"13",15,10.7608218623482,2.39763564954631,14.412,3.07692307692308,8,0.8386073933601,90.412955465587,11,11.3016194331984
"14",16,12.200979757085,0.786361857628709,14.341,3.65991902834008,8,1.08412354430724,102.17004048583,13,12.7712550607287
"15",17,12.899578313253,0.901585601515557,14.118,0.824340282381758,2.172071220244,0.27014576849433,29.0612661455537,13,13.3795180722892
"16",18,10.9281,1.06776757059302,12.587,0.487899480879806,0.765332519027147,0.132697491713128,8.61955749554324,10,11.2625
"17",19,11.9599028340081,0.638674401021672,12.675,6.54251012145749,8,1.62357230826455,98.7044534412955,12,12.3380566801619
"18",20,11.1645860655738,0.998876367063242,13.271,5.07059500020003,7.27779517675769,1.26763120461717,85.2456500621864,11,11.7131147540984
"19",21,11.4542188841202,1.5282242989554,13.132,2.41443678530534,5.20892380533467,0.67047658332668,62.4511959236154,13,11.9892703862661
"20",22,10.449679245283,0.305654916712981,10.927,1.13946305955991,2.0130514052225,0.347203990402843,22.2765028143962,11,11.0660377358491
"21",23,1.38775,0.0496034273009436,1.437,0.0648918506458977,0.0648918506458977,0.0162229626614744,0.0973377759688466,1,1.5
"30",24,0,0,0,0,0,0,0,0,0
"31",25,0,0,0,0,0,0,0,0,0
"32",26,0,0,0,0,0,0,0,0,0
"33",27,0,0,0,0,0,0,0,0,0
"22",28,2.986,0.0933380951166244,3.052,0.0160266437760722,0.0160266437760722,0.00400666094401806,0.0560932532162528,3,3.5
"23",29,10.4505555555556,0.0793758639498038,10.573,0.0487689325934314,0.0731533988901471,0.0132628484806357,0.79249515464326,10,10.8333333333333
"24",30,11.2267675675676,0.638885991247254,12.019,1.33009838325836,2.704046163767,0.388734563337123,31.6665730475741,12,11.7108108108108
"25",31,10.5456779661017,0.373416757224781,11.989,3.93220338983051,8,1.32758504262034,88.271186440678,10,11.0338983050847
"26",32,11.3352546583851,0.72077287753757,13.145,1.36240193814065,2.21562335394591,0.352737283353958,26.5393145222651,12,11.9782608695652
"27",33,12.2489680851064,0.131071223528103,12.723,0.939164833097827,0.991926902372985,0.234281808008171,12.4518483489375,12,12.5531914893617
"34",34,0,0,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,0,0,0
"36",36,0,0,0,0,0,0,0,0,0
"37",37,0,0,0,0,0,0,0,0,0
"38",38,0,0,0,0,0,0,0,0,0
"39",39,0,0,0,0,0,0,0,0,0
"40",40,0,0,0,0,0,0,0,0,0
