"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0.0757318045144478
"21",1,3,0.484076421918404
"22",1,4,0.822928043496085
"23",1,5,1.21846575912695
"24",1,6,1.9553389149534
"25",1,7,1.93981739019901
"26",1,8,0
"27",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,1.5036416657917
"12",1,19,0.24295010845987
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"298",2,0,0
"299",2,1,0
"310",2,2,0
"318",2,3,0.13882863340564
"319",2,4,1.52711496746204
"320",2,5,1.30151843817787
"321",2,6,0.225596529284165
"322",2,7,3.73101952277657
"323",2,8,0.537960954446855
"324",2,9,0.45119305856833
"300",2,10,0
"301",2,11,0
"302",2,12,0
"303",2,13,0
"304",2,14,0
"305",2,15,0
"306",2,16,0
"307",2,17,0
"308",2,18,0.0867678958785249
"309",2,19,0
"311",2,20,0
"312",2,21,0
"313",2,22,0
"314",2,23,0
"315",2,24,0
"316",2,25,0
"317",2,26,0
"595",3,0,0
"596",3,1,0
"607",3,2,0
"615",3,3,0
"616",3,4,0
"617",3,5,0.48590021691974
"618",3,6,1.42299349240781
"619",3,7,2.96746203904555
"620",3,8,0
"621",3,9,0
"597",3,10,0
"598",3,11,0
"599",3,12,0
"600",3,13,0
"601",3,14,0
"602",3,15,0
"603",3,16,0
"604",3,17,2.49891540130152
"605",3,18,0.156182212581345
"606",3,19,0.03470715835141
"608",3,20,0.38177874186551
"609",3,21,0.03470715835141
"610",3,22,0
"611",3,23,0.017353579175705
"612",3,24,0
"613",3,25,0
"614",3,26,0
"649",4,0,0
"650",4,1,0
"661",4,2,0
"669",4,3,0
"670",4,4,0
"671",4,5,0
"672",4,6,0
"673",4,7,0
"674",4,8,0
"675",4,9,0
"651",4,10,0
"652",4,11,0
"653",4,12,0
"654",4,13,0
"655",4,14,0.052060737527115
"656",4,15,0.38177874186551
"657",4,16,1.96095444685466
"658",4,17,3.27982646420824
"659",4,18,1.28416485900217
"660",4,19,0
"662",4,20,0.832971800433839
"663",4,21,0
"664",4,22,0
"665",4,23,0.156182212581345
"666",4,24,0
"667",4,25,0.052060737527115
"668",4,26,0
"676",5,0,0
"677",5,1,0
"688",5,2,0
"696",5,3,0
"697",5,4,0
"698",5,5,0
"699",5,6,0
"700",5,7,0
"701",5,8,0
"702",5,9,1.18260869565217
"678",5,10,0
"679",5,11,1.9304347826087
"680",5,12,0
"681",5,13,0.31304347826087
"682",5,14,1.47826086956522
"683",5,15,0.71304347826087
"684",5,16,0.852173913043478
"685",5,17,0.31304347826087
"686",5,18,0
"687",5,19,0
"689",5,20,0.0869565217391304
"690",5,21,0.0347826086956522
"691",5,22,0
"692",5,23,0.156521739130435
"693",5,24,0.939130434782609
"694",5,25,0
"695",5,26,0
"703",6,0,0
"704",6,1,0
"715",6,2,0
"723",6,3,0
"724",6,4,0
"725",6,5,0.157989228007181
"726",6,6,0.0718132854578097
"727",6,7,3.17414721723519
"728",6,8,3.60502692998205
"729",6,9,0.574506283662478
"705",6,10,0
"706",6,11,0.201077199281867
"707",6,12,0
"708",6,13,0
"709",6,14,0
"710",6,15,0
"711",6,16,0
"712",6,17,0
"713",6,18,0
"714",6,19,0
"716",6,20,0.0143626570915619
"717",6,21,0.143626570915619
"718",6,22,0
"719",6,23,0
"720",6,24,0
"721",6,25,0.0574506283662478
"722",6,26,0
"730",7,0,0
"731",7,1,0
"742",7,2,0
"750",7,3,0
"751",7,4,1.55395683453237
"752",7,5,0.517985611510791
"753",7,6,1.69784172661871
"754",7,7,1.88489208633094
"755",7,8,1.84172661870504
"756",7,9,0.41726618705036
"732",7,10,0.0863309352517986
"733",7,11,0
"734",7,12,0
"735",7,13,0
"736",7,14,0
"737",7,15,0
"738",7,16,0
"739",7,17,0
"740",7,18,0
"741",7,19,0
"743",7,20,0
"744",7,21,0
"745",7,22,0
"746",7,23,0
"747",7,24,0
"748",7,25,0
"749",7,26,0
"757",8,0,0
"758",8,1,0
"769",8,2,0
"777",8,3,0
"778",8,4,0.692293338632619
"779",8,5,1.69079334627582
"780",8,6,0.532533337409707
"781",8,7,0
"782",8,8,1.41121334413572
"783",8,9,0.106506667481941
"759",8,10,0
"760",8,11,0
"761",8,12,0
"762",8,13,0
"763",8,14,0
"764",8,15,0
"765",8,16,0
"766",8,17,0
"767",8,18,0
"768",8,19,0
"770",8,20,0
"771",8,21,0
"772",8,22,0.838740006420288
"773",8,23,1.89049334780446
"774",8,24,0.186386668093397
"775",8,25,0
"776",8,26,0
"784",9,0,0
"785",9,1,0
"796",9,2,0
"804",9,3,0
"805",9,4,0.681988923548856
"806",9,5,0.05166582754158
"807",9,6,0
"808",9,7,0
"809",9,8,0
"810",9,9,0
"786",9,10,0
"787",9,11,0
"788",9,12,0
"789",9,13,0
"790",9,14,0
"791",9,15,0
"792",9,16,0
"793",9,17,0
"794",9,18,0
"795",9,19,0
"797",9,20,0
"798",9,21,0
"799",9,22,0.392660289316008
"800",9,23,0.459825865120062
"801",9,24,0.046499244787422
"802",9,25,0
"803",9,26,0
"28",10,0,0
"29",10,1,0
"40",10,2,0
"48",10,3,0
"49",10,4,0
"50",10,5,0
"51",10,6,0
"52",10,7,0
"53",10,8,0
"54",10,9,0
"30",10,10,0
"31",10,11,0
"32",10,12,0
"33",10,13,0
"34",10,14,0
"35",10,15,0
"36",10,16,0
"37",10,17,0
"38",10,18,0
"39",10,19,0
"41",10,20,0
"42",10,21,0
"43",10,22,0.153945350262257
"44",10,23,0.388914569083597
"45",10,24,0.0121535802838624
"46",10,25,0
"47",10,26,0
"55",11,0,0
"56",11,1,0
"67",11,2,0
"75",11,3,0
"76",11,4,0
"77",11,5,0
"78",11,6,0
"79",11,7,0
"80",11,8,0
"81",11,9,0
"57",11,10,0
"58",11,11,0
"59",11,12,0
"60",11,13,0
"61",11,14,0
"62",11,15,0
"63",11,16,0
"64",11,17,0
"65",11,18,0
"66",11,19,0
"68",11,20,0
"69",11,21,0.0173002822839767
"70",11,22,0.488732974522343
"71",11,23,0.402231563102459
"72",11,24,0.605509879939186
"73",11,25,0.207603387407721
"74",11,26,0
"82",12,0,0
"83",12,1,0
"94",12,2,0
"102",12,3,0
"103",12,4,0
"104",12,5,0.584401238162716
"105",12,6,0
"106",12,7,0
"107",12,8,0
"108",12,9,0
"84",12,10,0
"85",12,11,0
"86",12,12,0
"87",12,13,0
"88",12,14,0
"89",12,15,0
"90",12,16,0
"91",12,17,0
"92",12,18,0
"93",12,19,0
"95",12,20,0.00354182568583465
"96",12,21,0.00354182568583465
"97",12,22,0
"98",12,23,0
"99",12,24,0.226676843893417
"100",12,25,0.00354182568583465
"101",12,26,0
"109",13,0,0
"110",13,1,0
"121",13,2,0
"129",13,3,0
"130",13,4,0
"131",13,5,7.31360946745562
"132",13,6,0
"133",13,7,0.0828402366863905
"134",13,8,0.319526627218935
"135",13,9,0
"111",13,10,0
"112",13,11,0
"113",13,12,0
"114",13,13,0
"115",13,14,0
"116",13,15,0
"117",13,16,0
"118",13,17,0
"119",13,18,0
"120",13,19,0.0118343195266272
"122",13,20,0.21301775147929
"123",13,21,0
"124",13,22,0
"125",13,23,0
"126",13,24,0
"127",13,25,0
"128",13,26,0.0591715976331361
"136",14,0,0
"137",14,1,0
"148",14,2,0
"156",14,3,0
"157",14,4,0
"158",14,5,4.9112426035503
"159",14,6,2.48520710059172
"160",14,7,0.579881656804734
"161",14,8,0
"162",14,9,0
"138",14,10,0
"139",14,11,0
"140",14,12,0
"141",14,13,0
"142",14,14,0
"143",14,15,0
"144",14,16,0
"145",14,17,0
"146",14,18,0
"147",14,19,0
"149",14,20,0.0236686390532544
"150",14,21,0
"151",14,22,0
"152",14,23,0
"153",14,24,0
"154",14,25,0
"155",14,26,0
"163",15,0,0
"164",15,1,0
"175",15,2,0
"183",15,3,0
"184",15,4,0
"185",15,5,0.0592592592592593
"186",15,6,7.88148148148148
"187",15,7,0.0592592592592593
"188",15,8,0
"189",15,9,0
"165",15,10,0
"166",15,11,0
"167",15,12,0
"168",15,13,0
"169",15,14,0
"170",15,15,0
"171",15,16,0
"172",15,17,0
"173",15,18,0
"174",15,19,0
"176",15,20,0
"177",15,21,0
"178",15,22,0
"179",15,23,0
"180",15,24,0
"181",15,25,0
"182",15,26,0
"190",16,0,0
"191",16,1,0
"202",16,2,0
"210",16,3,0
"211",16,4,0.51705565529623
"212",16,5,2.0394973070018
"213",16,6,5.44344703770197
"214",16,7,0
"215",16,8,0
"216",16,9,0
"192",16,10,0
"193",16,11,0
"194",16,12,0
"195",16,13,0
"196",16,14,0
"197",16,15,0
"198",16,16,0
"199",16,17,0
"200",16,18,0
"201",16,19,0
"203",16,20,0
"204",16,21,0
"205",16,22,0
"206",16,23,0
"207",16,24,0
"208",16,25,0
"209",16,26,0
"217",17,0,0
"218",17,1,0
"229",17,2,0.474820143884892
"237",17,3,0
"238",17,4,7.33812949640288
"239",17,5,0
"240",17,6,0.0143884892086331
"241",17,7,0
"242",17,8,0
"243",17,9,0
"219",17,10,0
"220",17,11,0
"221",17,12,0
"222",17,13,0
"223",17,14,0.0287769784172662
"224",17,15,0
"225",17,16,0.0143884892086331
"226",17,17,0.0431654676258993
"227",17,18,0.0863309352517986
"228",17,19,0
"230",17,20,0
"231",17,21,0
"232",17,22,0
"233",17,23,0
"234",17,24,0
"235",17,25,0
"236",17,26,0
"244",18,0,0
"245",18,1,0
"256",18,2,7.81328545780969
"264",18,3,0.129263913824057
"265",18,4,0.0574506283662478
"266",18,5,0
"267",18,6,0
"268",18,7,0
"269",18,8,0
"270",18,9,0
"246",18,10,0
"247",18,11,0
"248",18,12,0
"249",18,13,0
"250",18,14,0
"251",18,15,0
"252",18,16,0
"253",18,17,0
"254",18,18,0
"255",18,19,0
"257",18,20,0
"258",18,21,0
"259",18,22,0
"260",18,23,0
"261",18,24,0
"262",18,25,0
"263",18,26,0
"271",19,0,0
"272",19,1,0
"283",19,2,5.25179856115108
"291",19,3,0
"292",19,4,0
"293",19,5,0
"294",19,6,0
"295",19,7,0
"296",19,8,0
"297",19,9,0
"273",19,10,0
"274",19,11,0.0575539568345324
"275",19,12,0
"276",19,13,0
"277",19,14,0.733812949640288
"278",19,15,0.129496402877698
"279",19,16,1.26618705035971
"280",19,17,0.503597122302158
"281",19,18,0.0575539568345324
"282",19,19,0
"284",19,20,0
"285",19,21,0
"286",19,22,0
"287",19,23,0
"288",19,24,0
"289",19,25,0
"290",19,26,0
"325",20,0,0
"326",20,1,0
"337",20,2,0
"345",20,3,0
"346",20,4,0
"347",20,5,0
"348",20,6,0
"349",20,7,0
"350",20,8,0
"351",20,9,0
"327",20,10,0
"328",20,11,0.0143884892086331
"329",20,12,0.431654676258993
"330",20,13,6.01438848920863
"331",20,14,0.589928057553957
"332",20,15,0.129496402877698
"333",20,16,0.37410071942446
"334",20,17,0.388489208633094
"335",20,18,0.0575539568345324
"336",20,19,0
"338",20,20,0
"339",20,21,0
"340",20,22,0
"341",20,23,0
"342",20,24,0
"343",20,25,0
"344",20,26,0
"352",21,0,0
"353",21,1,0
"364",21,2,0
"372",21,3,0
"373",21,4,0
"374",21,5,0
"375",21,6,0
"376",21,7,0
"377",21,8,0
"378",21,9,0
"354",21,10,0
"355",21,11,0
"356",21,12,0.149327246843263
"357",21,13,0.433982311138234
"358",21,14,0.0793300998854837
"359",21,15,0.797967475318689
"360",21,16,0.368651640644307
"361",21,17,0.0139994293915559
"362",21,18,0
"363",21,19,0
"365",21,20,0
"366",21,21,0
"367",21,22,0
"368",21,23,0
"369",21,24,0
"370",21,25,0
"371",21,26,0
"379",22,0,0
"380",22,1,0
"391",22,2,0
"399",22,3,0
"400",22,4,0
"401",22,5,0
"402",22,6,0
"403",22,7,0
"404",22,8,0
"405",22,9,0
"381",22,10,0
"382",22,11,0.0613213006170045
"383",22,12,1.21699196609132
"384",22,13,0
"385",22,14,0
"386",22,15,0.466985289314111
"387",22,16,0.141510693731549
"388",22,17,0
"389",22,18,0
"390",22,19,0
"392",22,20,0
"393",22,21,0
"394",22,22,0
"395",22,23,0
"396",22,24,0
"397",22,25,0
"398",22,26,0
"406",23,0,0
"407",23,1,0
"418",23,2,0
"426",23,3,0
"427",23,4,0
"428",23,5,0
"429",23,6,0
"430",23,7,0
"431",23,8,1.67233153050981
"432",23,9,0
"408",23,10,0
"409",23,11,0.616122142819404
"410",23,12,0.674800442135537
"411",23,13,0
"412",23,14,0
"413",23,15,0
"414",23,16,0
"415",23,17,0
"416",23,18,0
"417",23,19,0
"419",23,20,0.0117356598632267
"420",23,21,0
"421",23,22,0
"422",23,23,0
"423",23,24,0
"424",23,25,0
"425",23,26,0
"433",24,0,0
"434",24,1,0
"445",24,2,0
"453",24,3,0
"454",24,4,0
"455",24,5,0
"456",24,6,0
"457",24,7,0
"458",24,8,7.91290824261275
"459",24,9,0.0870917573872473
"435",24,10,0
"436",24,11,0
"437",24,12,0
"438",24,13,0
"439",24,14,0
"440",24,15,0
"441",24,16,0
"442",24,17,0
"443",24,18,0
"444",24,19,0
"446",24,20,0
"447",24,21,0
"448",24,22,0
"449",24,23,0
"450",24,24,0
"451",24,25,0
"452",24,26,0
"460",25,0,0
"461",25,1,0
"472",25,2,0
"480",25,3,0
"481",25,4,0
"482",25,5,0
"483",25,6,0
"484",25,7,0
"485",25,8,3.96261682242991
"486",25,9,2.26791277258567
"462",25,10,1.73208722741433
"463",25,11,0
"464",25,12,0
"465",25,13,0
"466",25,14,0
"467",25,15,0
"468",25,16,0
"469",25,17,0
"470",25,18,0
"471",25,19,0.0373831775700935
"473",25,20,0
"474",25,21,0
"475",25,22,0
"476",25,23,0
"477",25,24,0
"478",25,25,0
"479",25,26,0
"487",26,0,0
"488",26,1,0
"499",26,2,0
"507",26,3,0
"508",26,4,0
"509",26,5,0
"510",26,6,0
"511",26,7,0
"512",26,8,0
"513",26,9,0
"489",26,10,2.94300518134715
"490",26,11,3.0259067357513
"491",26,12,1.86528497409326
"492",26,13,0
"493",26,14,0
"494",26,15,0
"495",26,16,0
"496",26,17,0.16580310880829
"497",26,18,0
"498",26,19,0
"500",26,20,0
"501",26,21,0
"502",26,22,0
"503",26,23,0
"504",26,24,0
"505",26,25,0
"506",26,26,0
"514",27,0,0
"515",27,1,0
"526",27,2,0
"534",27,3,0
"535",27,4,0
"536",27,5,0
"537",27,6,0
"538",27,7,0
"539",27,8,0
"540",27,9,0.0829015544041451
"516",27,10,2.81865284974093
"517",27,11,3.25388601036269
"518",27,12,1.69948186528497
"519",27,13,0
"520",27,14,0
"521",27,15,0
"522",27,16,0
"523",27,17,0.0207253886010363
"524",27,18,0
"525",27,19,0
"527",27,20,0
"528",27,21,0.124352331606218
"529",27,22,0
"530",27,23,0
"531",27,24,0
"532",27,25,0
"533",27,26,0
"541",28,0,0
"542",28,1,0
"553",28,2,0
"561",28,3,0
"562",28,4,0
"563",28,5,0
"564",28,6,0
"565",28,7,0
"566",28,8,0.0829015544041451
"567",28,9,0.559585492227979
"543",28,10,2.71502590673575
"544",28,11,2.63212435233161
"545",28,12,1.8860103626943
"546",28,13,0
"547",28,14,0
"548",28,15,0
"549",28,16,0
"550",28,17,0
"551",28,18,0
"552",28,19,0.124352331606218
"554",28,20,0
"555",28,21,0
"556",28,22,0
"557",28,23,0
"558",28,24,0
"559",28,25,0
"560",28,26,0
"568",29,0,0
"569",29,1,0
"580",29,2,0
"588",29,3,0.0621761658031088
"589",29,4,0
"590",29,5,0
"591",29,6,0
"592",29,7,0
"593",29,8,1.34715025906736
"594",29,9,0.248704663212435
"570",29,10,1.2020725388601
"571",29,11,3.85492227979275
"572",29,12,1.28497409326425
"573",29,13,0
"574",29,14,0
"575",29,15,0
"576",29,16,0
"577",29,17,0
"578",29,18,0
"579",29,19,0
"581",29,20,0
"582",29,21,0
"583",29,22,0
"584",29,23,0
"585",29,24,0
"586",29,25,0
"587",29,26,0
"622",30,0,0
"623",30,1,0
"634",30,2,4.94545454545455
"642",30,3,2.5974025974026
"643",30,4,0
"644",30,5,0
"645",30,6,0
"646",30,7,0
"647",30,8,0
"648",30,9,0.332467532467532
"624",30,10,0
"625",30,11,0.103896103896104
"626",30,12,0
"627",30,13,0
"628",30,14,0
"629",30,15,0
"630",30,16,0
"631",30,17,0
"632",30,18,0
"633",30,19,0
"635",30,20,0
"636",30,21,0
"637",30,22,0
"638",30,23,0
"639",30,24,0
"640",30,25,0.0207792207792208
"641",30,26,0
