"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"11",1,2,0
"12",1,3,0.0245885358379011
"13",1,4,0.0614236134116047
"14",1,5,0
"15",1,6,0.0680355431257161
"16",1,7,0.114565749039578
"17",1,8,0.179975994867556
"18",1,9,0.0893715401373988
"3",1,10,0.173715855085117
"4",1,11,0.527102277822869
"5",1,12,0.777239114766373
"6",1,13,0.141702807160488
"7",1,14,3.20992027842389
"8",1,15,0
"9",1,16,0
"10",1,17,0
"199",2,0,0
"200",2,1,0
"209",2,2,0
"210",2,3,0
"211",2,4,0
"212",2,5,0.175837630060383
"213",2,6,0.548185299867929
"214",2,7,0.699277807110754
"215",2,8,0.302166790582667
"216",2,9,0.205550351977414
"201",2,10,0.645152327650246
"202",2,11,0.317196305959344
"203",2,12,0.223759252271128
"204",2,13,2.3955895904695
"205",2,14,0.487509178236888
"206",2,15,1.66680488966686
"207",2,16,0
"208",2,17,0
"397",3,0,0
"398",3,1,0
"407",3,2,0
"408",3,3,0.122036732854959
"409",3,4,0.0123195997608211
"410",3,5,5.11884277631363
"411",3,6,2.74680089107059
"412",3,7,0
"413",3,8,0
"414",3,9,0
"399",3,10,0
"400",3,11,2.59863945578231
"401",3,12,0
"402",3,13,0
"403",3,14,0
"404",3,15,0
"405",3,16,0
"406",3,17,0
"433",4,0,0
"434",4,1,0
"443",4,2,0.543293718166384
"444",4,3,4.88964346349745
"445",4,4,1.04584040747029
"446",4,5,0.149405772495756
"447",4,6,0
"448",4,7,0
"449",4,8,0
"450",4,9,0
"435",4,10,0.33955857385399
"436",4,11,1.03225806451613
"437",4,12,0
"438",4,13,0
"439",4,14,0
"440",4,15,0
"441",4,16,0
"442",4,17,0
"451",5,0,0
"452",5,1,0
"461",5,2,0.680272108843537
"462",5,3,7.22448979591837
"463",5,4,0
"464",5,5,0.0952380952380952
"465",5,6,0
"466",5,7,0
"467",5,8,0
"468",5,9,0
"453",5,10,0
"454",5,11,0
"455",5,12,0
"456",5,13,0
"457",5,14,0
"458",5,15,0
"459",5,16,0
"460",5,17,0
"469",6,0,0
"470",6,1,0
"479",6,2,0.509677664055483
"480",6,3,0.126157837637496
"481",6,4,0
"482",6,5,0.257361988780491
"483",6,6,0.242223048263992
"484",6,7,0.630789188187479
"485",6,8,0.0252315675274992
"486",6,9,0
"471",6,10,0
"472",6,11,0
"473",6,12,0
"474",6,13,0
"475",6,14,0
"476",6,15,0
"477",6,16,0
"478",6,17,0
"487",7,0,0
"488",7,1,0
"497",7,2,0.120532620527936
"498",7,3,0.183668755090187
"499",7,4,0
"500",7,5,0.0631361345622519
"501",7,6,0.212366998073029
"502",7,7,1.62432055282885
"503",7,8,0.200887700879893
"504",7,9,0
"489",7,10,0
"490",7,11,0
"491",7,12,0
"492",7,13,0
"493",7,14,0
"494",7,15,0
"495",7,16,0
"496",7,17,0
"505",8,0,0
"506",8,1,0
"515",8,2,0.217317487266553
"516",8,3,2.77079796264856
"517",8,4,2.79796264855688
"518",8,5,0.570458404074703
"519",8,6,1.4125636672326
"520",8,7,0.176570458404075
"521",8,8,0.0543293718166384
"522",8,9,0
"507",8,10,0
"508",8,11,0
"509",8,12,0
"510",8,13,0
"511",8,14,0
"512",8,15,0
"513",8,16,0
"514",8,17,0
"523",9,0,0
"524",9,1,0
"533",9,2,2.50340136054422
"534",9,3,2.69387755102041
"535",9,4,1.64625850340136
"536",9,5,0.231292517006803
"537",9,6,0.530612244897959
"538",9,7,0.0408163265306122
"539",9,8,0.312925170068027
"540",9,9,0
"525",9,10,0.0408163265306122
"526",9,11,0
"527",9,12,0
"528",9,13,0
"529",9,14,0
"530",9,15,0
"531",9,16,0
"532",9,17,0
"19",10,0,0
"20",10,1,0
"29",10,2,0.468773959095411
"30",10,3,1.21627838035566
"31",10,4,0.316739161550953
"32",10,5,0.0126695664620381
"33",10,6,0
"34",10,7,0
"35",10,8,0
"36",10,9,0
"21",10,10,0
"22",10,11,0
"23",10,12,0
"24",10,13,0.779178337415345
"25",10,14,0.0190043496930572
"26",10,15,0.0443434826171335
"27",10,16,0.0380086993861144
"28",10,17,0.0126695664620381
"37",11,0,0
"38",11,1,0
"47",11,2,0
"48",11,3,1.02800658978583
"49",11,4,1.29159802306425
"50",11,5,0
"51",11,6,0
"52",11,7,1.58154859967051
"53",11,8,0.474464579901153
"54",11,9,0
"39",11,10,1.52883031301483
"40",11,11,0
"41",11,12,0
"42",11,13,1.63426688632619
"43",11,14,0.237232289950577
"44",11,15,0.158154859967051
"45",11,16,0.0658978583196046
"46",11,17,0
"55",12,0,0
"56",12,1,0
"65",12,2,0
"66",12,3,0
"67",12,4,0
"68",12,5,0
"69",12,6,0
"70",12,7,6.42904290429043
"71",12,8,0.501650165016502
"72",12,9,0
"57",12,10,0.264026402640264
"58",12,11,0.237623762376238
"59",12,12,0.158415841584158
"60",12,13,0.0264026402640264
"61",12,14,0
"62",12,15,0.303630363036304
"63",12,16,0.066006600660066
"64",12,17,0.0132013201320132
"73",13,0,0
"74",13,1,0
"83",13,2,0
"84",13,3,0
"85",13,4,0
"86",13,5,0
"87",13,6,0
"88",13,7,1.99361663893343
"89",13,8,2.1230722648382
"90",13,9,0.0388366877714305
"75",13,10,0.673169254704796
"76",13,11,1.04859056982862
"77",13,12,0.0776733755428611
"78",13,13,1.07448169500958
"79",13,14,0
"80",13,15,0.595495879161935
"81",13,16,0.207129001447629
"82",13,17,0
"91",14,0,0
"92",14,1,0
"101",14,2,0.0396039603960396
"102",14,3,0
"103",14,4,0
"104",14,5,0
"105",14,6,0
"106",14,7,0.224422442244224
"107",14,8,7.41914191419142
"108",14,9,0
"93",14,10,0
"94",14,11,0.0792079207920792
"95",14,12,0.0264026402640264
"96",14,13,0.211221122112211
"97",14,14,0
"98",14,15,0
"99",14,16,0
"100",14,17,0
"109",15,0,0
"110",15,1,0
"119",15,2,0.382838283828383
"120",15,3,0.580858085808581
"121",15,4,0.752475247524752
"122",15,5,0
"123",15,6,0.0924092409240924
"124",15,7,1.84818481848185
"125",15,8,2.2970297029703
"126",15,9,1.003300330033
"111",15,10,0.36963696369637
"112",15,11,0.277227722772277
"113",15,12,0
"114",15,13,0.29042904290429
"115",15,14,0.0792079207920792
"116",15,15,0.0264026402640264
"117",15,16,0
"118",15,17,0
"127",16,0,0
"128",16,1,0
"137",16,2,0
"138",16,3,0
"139",16,4,0
"140",16,5,0
"141",16,6,0.567656765676568
"142",16,7,5.13531353135314
"143",16,8,0.792079207920792
"144",16,9,0.6996699669967
"129",16,10,0.712871287128713
"130",16,11,0.0924092409240924
"131",16,12,0
"132",16,13,0
"133",16,14,0
"134",16,15,0
"135",16,16,0
"136",16,17,0
"145",17,0,0
"146",17,1,0
"155",17,2,0
"156",17,3,0.237623762376238
"157",17,4,0
"158",17,5,0.0264026402640264
"159",17,6,0.488448844884488
"160",17,7,0.752475247524752
"161",17,8,4.83168316831683
"162",17,9,0
"147",17,10,0.224422442244224
"148",17,11,1.14851485148515
"149",17,12,0.105610561056106
"150",17,13,0
"151",17,14,0.0924092409240924
"152",17,15,0.0924092409240924
"153",17,16,0
"154",17,17,0
"163",18,0,0
"164",18,1,0
"173",18,2,0
"174",18,3,0
"175",18,4,0.778877887788779
"176",18,5,0.528052805280528
"177",18,6,2.13861386138614
"178",18,7,0.171617161716172
"179",18,8,1.7953795379538
"180",18,9,2.23102310231023
"165",18,10,0.0396039603960396
"166",18,11,0.316831683168317
"167",18,12,0
"168",18,13,0
"169",18,14,0
"170",18,15,0
"171",18,16,0
"172",18,17,0
"181",19,0,0
"182",19,1,0
"191",19,2,0
"192",19,3,0
"193",19,4,0
"194",19,5,0.410809735681064
"195",19,6,2.02323794822924
"196",19,7,0.0205404867840532
"197",19,8,3.06053253082392
"198",19,9,0.379999005504984
"183",19,10,0.133513164096346
"184",19,11,0
"185",19,12,0
"186",19,13,0
"187",19,14,0
"188",19,15,0
"189",19,16,0
"190",19,17,0
"217",20,0,0
"218",20,1,0
"227",20,2,0
"228",20,3,1.22127722995909
"229",20,4,1.49544150607236
"230",20,5,1.36251337219926
"231",20,6,0
"232",20,7,0.024924025101206
"233",20,8,0.515096518758257
"234",20,9,0
"219",20,10,0
"220",20,11,0
"221",20,12,0
"222",20,13,0
"223",20,14,0
"224",20,15,0
"225",20,16,0
"226",20,17,0
"235",21,0,0
"236",21,1,0
"245",21,2,0
"246",21,3,0.319218241042345
"247",21,4,0.488599348534202
"248",21,5,0.130293159609121
"249",21,6,0.0456026058631922
"250",21,7,2.29315960912052
"251",21,8,3.98697068403909
"252",21,9,0.579804560260586
"237",21,10,0.156351791530945
"238",21,11,0
"239",21,12,0
"240",21,13,0
"241",21,14,0
"242",21,15,0
"243",21,16,0
"244",21,17,0
"253",22,0,0
"254",22,1,0
"263",22,2,0
"264",22,3,0
"265",22,4,0.045639771801141
"266",22,5,0.182559087204564
"267",22,6,0.534637326813366
"268",22,7,5.01385493072535
"269",22,8,1.46047269763651
"270",22,9,0.371638141809291
"255",22,10,0.091279543602282
"256",22,11,0
"257",22,12,0.143439282803586
"258",22,13,0.143439282803586
"259",22,14,0.013039934800326
"260",22,15,0
"261",22,16,0
"262",22,17,0
"271",23,0,0
"272",23,1,0
"281",23,2,0.091279543602282
"282",23,3,3.54686226568867
"283",23,4,1.03015484922575
"284",23,5,0.371638141809291
"285",23,6,1.05623471882641
"286",23,7,1.23227383863081
"287",23,8,0.417277913610432
"288",23,9,0.215158924205379
"273",23,10,0.039119804400978
"274",23,11,0
"275",23,12,0
"276",23,13,0
"277",23,14,0
"278",23,15,0
"279",23,16,0
"280",23,17,0
"289",24,0,0
"290",24,1,0
"299",24,2,0.0230767957461173
"300",24,3,0.589740335734109
"301",24,4,0
"302",24,5,0.148717128141645
"303",24,6,0.279485637369643
"304",24,7,0.184614365968939
"305",24,8,0.0769226524870577
"306",24,9,0.0717944756545872
"291",24,10,0.0333331494110584
"292",24,11,0.461535914922347
"293",24,12,0.0435895030759994
"294",24,13,0
"295",24,14,0.14615303972541
"296",24,15,0.00256408841623526
"297",24,16,0
"298",24,17,0
"307",25,0,0
"308",25,1,0
"317",25,2,0
"318",25,3,0
"319",25,4,0
"320",25,5,0
"321",25,6,0.0270238188405335
"322",25,7,0.00337797735506669
"323",25,8,0.148631003622934
"324",25,9,0.381711441122536
"309",25,10,0.513452557970136
"310",25,11,2.17203943930788
"311",25,12,0.229702460144535
"312",25,13,0.0101339320652001
"313",25,14,0
"314",25,15,0
"315",25,16,0
"316",25,17,0
"325",26,0,0
"326",26,1,0
"335",26,2,0
"336",26,3,0
"337",26,4,0
"338",26,5,0.0644465725625772
"339",26,6,0.408161626229656
"340",26,7,0.193339717687732
"341",26,8,0.10434206986322
"342",26,9,0.239372983803858
"327",26,10,0.487952620830942
"328",26,11,0.991249663700592
"329",26,12,0.414299395045139
"330",26,13,0.0583088037470937
"331",26,14,0.00306888440774177
"332",26,15,0
"333",26,16,0
"334",26,17,0
"343",27,0,0
"344",27,1,0
"353",27,2,0
"354",27,3,0.436837815810921
"355",27,4,0.19559902200489
"356",27,5,2.14506927465363
"357",27,6,2.17766911165444
"358",27,7,2.1320293398533
"359",27,8,0
"360",27,9,0.241238793806031
"345",27,10,0.430317848410758
"346",27,11,0.234718826405868
"347",27,12,0.006519967400163
"348",27,13,0
"349",27,14,0
"350",27,15,0
"351",27,16,0
"352",27,17,0
"361",28,0,0
"362",28,1,0
"371",28,2,0
"372",28,3,0
"373",28,4,0.00639514670427987
"374",28,5,3.60686274121385
"375",28,6,3.0185092444201
"376",28,7,0.518006883046669
"377",28,8,0
"378",28,9,0.0895320538599181
"363",28,10,0.0831369071556383
"364",28,11,0
"365",28,12,0.108717493972758
"366",28,13,0.0831369071556383
"367",28,14,0.230225281354075
"368",28,15,0.0767417604513584
"369",28,16,0.0127902934085597
"370",28,17,0
"379",29,0,0
"380",29,1,0
"389",29,2,0
"390",29,3,0
"391",29,4,2.1320293398533
"392",29,5,1.50611246943765
"393",29,6,3.37734311328443
"394",29,7,0.573757131214344
"395",29,8,0.071719641401793
"396",29,9,0.052159739201304
"381",29,10,0
"382",29,11,0.039119804400978
"383",29,12,0.013039934800326
"384",29,13,0.110839445802771
"385",29,14,0.084759576202119
"386",29,15,0.039119804400978
"387",29,16,0
"388",29,17,0
"415",30,0,0
"416",30,1,0
"425",30,2,0
"426",30,3,0.186383082640598
"427",30,4,1.73285893049637
"428",30,5,1.18378444379839
"429",30,6,1.02258826421733
"430",30,7,0.982289219322069
"431",30,8,0.841242562188644
"432",30,9,0.0100747612238161
"417",30,10,0.00503738061190805
"418",30,11,0
"419",30,12,0
"420",30,13,0
"421",30,14,0.0151121418357241
"422",30,15,0
"423",30,16,0
"424",30,17,0
