"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,2.66463629934805
"18",1,3,2.35349066626076
"19",1,4,0
"20",1,5,1.37786943406127
"21",1,6,1.60400360032991
"22",1,7,0.64804469273743
"23",1,8,0
"24",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"265",2,0,0
"266",2,1,0
"277",2,2,0
"282",2,3,0
"283",2,4,0
"284",2,5,4.34733893557423
"285",2,6,2.6218487394958
"286",2,7,0.605042016806723
"287",2,8,0.246498599439776
"288",2,9,0.134453781512605
"267",2,10,0
"268",2,11,0
"269",2,12,0.0224089635854342
"270",2,13,0
"271",2,14,0.0224089635854342
"272",2,15,0
"273",2,16,0
"274",2,17,0
"275",2,18,0
"276",2,19,0
"278",2,20,0
"279",2,21,0
"280",2,22,0
"281",2,23,0
"529",3,0,0
"530",3,1,0.492997198879552
"541",3,2,0.448179271708683
"546",3,3,0
"547",3,4,0
"548",3,5,3.92156862745098
"549",3,6,2.80112044817927
"550",3,7,0.0448179271708683
"551",3,8,0
"552",3,9,0
"531",3,10,0
"532",3,11,0
"533",3,12,0.246498599439776
"534",3,13,0.0224089635854342
"535",3,14,0.0224089635854342
"536",3,15,0
"537",3,16,0
"538",3,17,0
"539",3,18,0
"540",3,19,0
"542",3,20,0
"543",3,21,0
"544",3,22,0
"545",3,23,0
"793",4,0,0
"794",4,1,0.495311909572735
"805",4,2,1.03565217456117
"810",4,3,0.13508506624711
"811",4,4,0
"812",4,5,2.16136105995375
"813",4,6,1.09568998178211
"814",4,7,0
"815",4,8,0
"816",4,9,0
"795",4,10,0
"796",4,11,0
"797",4,12,0
"798",4,13,0
"799",4,14,0
"800",4,15,0
"801",4,16,0
"802",4,17,0.075047259026172
"803",4,18,0.0150094518052344
"804",4,19,0
"806",4,20,0
"807",4,21,0
"808",4,22,0
"809",4,23,0
"841",5,0,0
"842",5,1,0
"853",5,2,0.694677871148459
"858",5,3,1.50140056022409
"859",5,4,0
"860",5,5,2.84593837535014
"861",5,6,2.44257703081233
"862",5,7,0
"863",5,8,0
"864",5,9,0
"843",5,10,0
"844",5,11,0
"845",5,12,0
"846",5,13,0
"847",5,14,0
"848",5,15,0
"849",5,16,0
"850",5,17,0.0672268907563025
"851",5,18,0
"852",5,19,0.313725490196078
"854",5,20,0.0896358543417367
"855",5,21,0.0448179271708683
"856",5,22,0
"857",5,23,0
"865",6,0,0
"866",6,1,0
"877",6,2,1.94762954187047
"882",6,3,0
"883",6,4,0
"884",6,5,0.902059998340009
"885",6,6,0.779051816748189
"886",6,7,0
"887",6,8,0
"888",6,9,0
"867",6,10,0
"868",6,11,0
"869",6,12,0
"870",6,13,0
"871",6,14,0
"872",6,15,0
"873",6,16,0
"874",6,17,0.0615040907959097
"875",6,18,0.758550453149553
"876",6,19,0.246016363183639
"878",6,20,1.18907908872092
"879",6,21,1.37359136110865
"880",6,22,0
"881",6,23,0
"889",7,0,0
"890",7,1,0
"901",7,2,0
"906",7,3,0
"907",7,4,0
"908",7,5,0
"909",7,6,0
"910",7,7,0
"911",7,8,0
"912",7,9,0
"891",7,10,0
"892",7,11,0
"893",7,12,0
"894",7,13,0
"895",7,14,0
"896",7,15,0
"897",7,16,0
"898",7,17,0.189321698598727
"899",7,18,3.36410095202354
"900",7,19,0.495149057873594
"902",7,20,0.378643397197454
"903",7,21,0.393206604781972
"904",7,22,0
"905",7,23,0
"913",8,0,0
"914",8,1,0
"925",8,2,0
"930",8,3,4.8226515837936
"931",8,4,0.589669189284807
"932",8,5,0
"933",8,6,0
"934",8,7,0
"935",8,8,0
"936",8,9,0
"915",8,10,0
"916",8,11,0
"917",8,12,0
"918",8,13,0
"919",8,14,0
"920",8,15,0
"921",8,16,0
"922",8,17,0
"923",8,18,0.926623011733269
"924",8,19,1.05298069515144
"926",8,20,0
"927",8,21,0.0421192278060577
"928",8,22,0.0421192278060577
"929",8,23,0
"937",9,0,0
"938",9,1,0
"949",9,2,0
"954",9,3,0.794677552016294
"955",9,4,0.803222471930448
"956",9,5,0
"957",9,6,0
"958",9,7,0
"959",9,8,0
"960",9,9,0
"939",9,10,0
"940",9,11,0
"941",9,12,0
"942",9,13,0
"943",9,14,0
"944",9,15,0
"945",9,16,0.187988238111381
"946",9,17,0
"947",9,18,0
"948",9,19,0
"950",9,20,0
"951",9,21,0.128173798712306
"952",9,22,0
"953",9,23,0
"25",10,0,0
"26",10,1,0
"37",10,2,0.125688690711446
"42",10,3,0.0251377381422893
"43",10,4,0
"44",10,5,0
"45",10,6,0
"46",10,7,0
"47",10,8,0
"48",10,9,0
"27",10,10,0
"28",10,11,0
"29",10,12,0
"30",10,13,0
"31",10,14,0
"32",10,15,0
"33",10,16,0.0125688690711446
"34",10,17,0.0816976489624402
"35",10,18,0.0125688690711446
"36",10,19,0.276515119565182
"38",10,20,0
"39",10,21,0
"40",10,22,0
"41",10,23,0
"49",11,0,0
"50",11,1,0.797850210397575
"61",11,2,3.81042255655393
"66",11,3,0
"67",11,4,0
"68",11,5,0
"69",11,6,0
"70",11,7,0
"71",11,8,0
"72",11,9,0
"51",11,10,0
"52",11,11,0
"53",11,12,0
"54",11,13,0
"55",11,14,0
"56",11,15,0
"57",11,16,0
"58",11,17,0
"59",11,18,0
"60",11,19,0.41268114330909
"62",11,20,0
"63",11,21,0
"64",11,22,0
"65",11,23,0
"73",12,0,0
"74",12,1,0
"85",12,2,1.60609176362664
"90",12,3,0
"91",12,4,0
"92",12,5,0.986418563487226
"93",12,6,0.70819794301647
"94",12,7,0.70819794301647
"95",12,8,0
"96",12,9,0
"75",12,10,0
"76",12,11,0
"77",12,12,0
"78",12,13,0
"79",12,14,0
"80",12,15,0
"81",12,16,0
"82",12,17,0
"83",12,18,0
"84",12,19,0.189695877593697
"86",12,20,0.164403093914538
"87",12,21,0.113817526556218
"88",12,22,0
"89",12,23,0
"97",13,0,0
"98",13,1,0
"109",13,2,0
"114",13,3,0.62124880274188
"115",13,4,0.435964072099565
"116",13,5,0.0326973054074673
"117",13,6,0
"118",13,7,0
"119",13,8,0
"120",13,9,0
"99",13,10,0
"100",13,11,0
"101",13,12,0
"102",13,13,0
"103",13,14,0
"104",13,15,0
"105",13,16,0
"106",13,17,0
"107",13,18,0.599450599136901
"108",13,19,0.708441617161792
"110",13,20,1.20980030007629
"111",13,21,0
"112",13,22,0
"113",13,23,0
"121",14,0,0
"122",14,1,0
"133",14,2,1.02428167060342
"138",14,3,2.59155603405684
"139",14,4,0.28383708944432
"140",14,5,0
"141",14,6,0
"142",14,7,0
"143",14,8,0
"144",14,9,0
"123",14,10,0
"124",14,11,0
"125",14,12,0
"126",14,13,0
"127",14,14,0
"128",14,15,0
"129",14,16,0
"130",14,17,0
"131",14,18,0
"132",14,19,0.28383708944432
"134",14,20,0.160429659251138
"135",14,21,0
"136",14,22,0
"137",14,23,0
"145",15,0,0
"146",15,1,0
"157",15,2,0.446601032066629
"162",15,3,4.25241852272138
"163",15,4,2.38834464974763
"164",15,5,0
"165",15,6,0
"166",15,7,0
"167",15,8,0
"168",15,9,0
"147",15,10,0
"148",15,11,0
"149",15,12,0
"150",15,13,0
"151",15,14,0
"152",15,15,0
"153",15,16,0
"154",15,17,0.0582523085304299
"155",15,18,0.21359179794491
"156",15,19,0.0970871808840498
"158",15,20,0.01941743617681
"159",15,21,0.0388348723536199
"160",15,22,0
"161",15,23,0
"169",16,0,0
"170",16,1,0
"181",16,2,2.24164524421594
"186",16,3,3.41388174807198
"187",16,4,2.2827763496144
"188",16,5,0
"189",16,6,0
"190",16,7,0
"191",16,8,0
"192",16,9,0
"171",16,10,0
"172",16,11,0
"173",16,12,0
"174",16,13,0
"175",16,14,0
"176",16,15,0
"177",16,16,0
"178",16,17,0
"179",16,18,0.0411311053984576
"180",16,19,0
"182",16,20,0.0205655526992288
"183",16,21,0
"184",16,22,0
"185",16,23,0
"193",17,0,0
"194",17,1,1.67823664945697
"205",17,2,0.453949257639999
"210",17,3,2.72369554584
"211",17,4,0
"212",17,5,0
"213",17,6,0
"214",17,7,0
"215",17,8,0
"216",17,9,0
"195",17,10,0
"196",17,11,0
"197",17,12,0
"198",17,13,0
"199",17,14,0
"200",17,15,0
"201",17,16,0
"202",17,17,0
"203",17,18,0.165072457323636
"204",17,19,0
"206",17,20,0
"207",17,21,0
"208",17,22,0
"209",17,23,0
"217",18,0,0
"218",18,1,1.2133676092545
"229",18,2,0.287917737789203
"234",18,3,5.55269922879177
"235",18,4,0
"236",18,5,0
"237",18,6,0
"238",18,7,0
"239",18,8,0
"240",18,9,0
"219",18,10,0
"220",18,11,0
"221",18,12,0
"222",18,13,0
"223",18,14,0
"224",18,15,0
"225",18,16,0
"226",18,17,0.596401028277635
"227",18,18,0.0822622107969152
"228",18,19,0.267352185089974
"230",18,20,0
"231",18,21,0
"232",18,22,0
"233",18,23,0
"241",19,0,0
"242",19,1,0
"253",19,2,2.8586118251928
"258",19,3,1.00771208226221
"259",19,4,0
"260",19,5,0
"261",19,6,0
"262",19,7,0
"263",19,8,0
"264",19,9,0
"243",19,10,0
"244",19,11,0
"245",19,12,0
"246",19,13,0
"247",19,14,0.267352185089974
"248",19,15,0
"249",19,16,1.41902313624679
"250",19,17,2.30334190231362
"251",19,18,0.143958868894602
"252",19,19,0
"254",19,20,0
"255",19,21,0
"256",19,22,0
"257",19,23,0
"289",20,0,0
"290",20,1,0
"301",20,2,0.17961336651541
"306",20,3,0
"307",20,4,0
"308",20,5,0.259441529411148
"309",20,6,0.558797140270166
"310",20,7,0
"311",20,8,3.69205253392788
"312",20,9,0.518883058822297
"291",20,10,0
"292",20,11,0
"293",20,12,0
"294",20,13,0.478968977374428
"295",20,14,0.5787541809941
"296",20,15,1.11759428054033
"297",20,16,0
"298",20,17,0
"299",20,18,0
"300",20,19,0
"302",20,20,0.0199570407239345
"303",20,21,0.339269692306886
"304",20,22,0
"305",20,23,0
"313",21,0,0
"314",21,1,0
"325",21,2,0
"330",21,3,0
"331",21,4,0
"332",21,5,0
"333",21,6,0.813238770685579
"334",21,7,1.68321513002364
"335",21,8,2.26950354609929
"336",21,9,1.81560283687943
"315",21,10,0
"316",21,11,0
"317",21,12,0
"318",21,13,1.07801418439716
"319",21,14,0.0945626477541371
"320",21,15,0
"321",21,16,0
"322",21,17,0.0378250591016548
"323",21,18,0.132387706855792
"324",21,19,0
"326",21,20,0.0189125295508274
"327",21,21,0.0189125295508274
"328",21,22,0.0378250591016548
"329",21,23,0
"337",22,0,0
"338",22,1,0
"349",22,2,0
"354",22,3,0
"355",22,4,1.49408983451537
"356",22,5,0
"357",22,6,0
"358",22,7,2.04255319148936
"359",22,8,0.869976359338062
"360",22,9,3.23404255319149
"339",22,10,0.0189125295508274
"340",22,11,0
"341",22,12,0
"342",22,13,0.151300236406619
"343",22,14,0.0945626477541371
"344",22,15,0.0567375886524823
"345",22,16,0
"346",22,17,0
"347",22,18,0.0378250591016548
"348",22,19,0
"350",22,20,0
"351",22,21,0
"352",22,22,0
"353",22,23,0
"361",23,0,0
"362",23,1,0
"373",23,2,0
"378",23,3,0
"379",23,4,0.0758293838862559
"380",23,5,0
"381",23,6,0
"382",23,7,0
"383",23,8,0.132701421800948
"384",23,9,0
"363",23,10,3.48815165876777
"364",23,11,2.8436018957346
"365",23,12,1.08056872037915
"366",23,13,0.018957345971564
"367",23,14,0.208530805687204
"368",23,15,0
"369",23,16,0
"370",23,17,0.018957345971564
"371",23,18,0.132701421800948
"372",23,19,0
"374",23,20,0
"375",23,21,0
"376",23,22,0
"377",23,23,0
"385",24,0,0
"386",24,1,0
"397",24,2,0.0378250591016548
"402",24,3,0.416075650118203
"403",24,4,0
"404",24,5,0
"405",24,6,0.359338061465721
"406",24,7,0.0189125295508274
"407",24,8,0
"408",24,9,0
"387",24,10,1.07801418439716
"388",24,11,2.60992907801418
"389",24,12,3.15839243498818
"390",24,13,0.0756501182033097
"391",24,14,0.0378250591016548
"392",24,15,0.0756501182033097
"393",24,16,0
"394",24,17,0.132387706855792
"395",24,18,0
"396",24,19,0
"398",24,20,0
"399",24,21,0
"400",24,22,0
"401",24,23,0
"409",25,0,0
"410",25,1,0.0945626477541371
"421",25,2,1.07801418439716
"426",25,3,4.23640661938534
"427",25,4,0
"428",25,5,0
"429",25,6,0.321513002364066
"430",25,7,0
"431",25,8,0
"432",25,9,0
"411",25,10,0
"412",25,11,0.851063829787234
"413",25,12,1.09692671394799
"414",25,13,0.0189125295508274
"415",25,14,0.0378250591016548
"416",25,15,0.113475177304965
"417",25,16,0.0756501182033097
"418",25,17,0
"419",25,18,0
"420",25,19,0.0189125295508274
"422",25,20,0
"423",25,21,0
"424",25,22,0.0567375886524823
"425",25,23,0
"433",26,0,0
"434",26,1,0.370237661004372
"445",26,2,1.80070135124854
"450",26,3,2.30557088898177
"451",26,4,1.98582018175072
"452",26,5,0
"453",26,6,0
"454",26,7,0
"455",26,8,0
"456",26,9,0
"435",26,10,0
"436",26,11,0
"437",26,12,0
"438",26,13,0
"439",26,14,0.168289845911078
"440",26,15,0
"441",26,16,0.0168289845911078
"442",26,17,0.100973907546647
"443",26,18,0
"444",26,19,0.151460861319971
"446",26,20,0.0168289845911078
"447",26,21,0.0673159383644313
"448",26,22,0.0336579691822157
"449",26,23,0
"457",27,0,0
"458",27,1,0
"469",27,2,0
"474",27,3,2.19090142336565
"475",27,4,1.23629437461348
"476",27,5,0
"477",27,6,0
"478",27,7,0
"479",27,8,0
"480",27,9,0
"459",27,10,0
"460",27,11,0
"461",27,12,0
"462",27,13,0
"463",27,14,0
"464",27,15,0
"465",27,16,0.469478876435497
"466",27,17,0.391232397029581
"467",27,18,0.0312985917623665
"468",27,19,0.406881692910764
"470",27,20,0.53207605996023
"471",27,21,0.563374651722596
"472",27,22,0.657270427009696
"473",27,23,0
"481",28,0,0
"482",28,1,0
"493",28,2,0
"498",28,3,0
"499",28,4,0
"500",28,5,0
"501",28,6,0
"502",28,7,0
"503",28,8,0
"504",28,9,0
"483",28,10,0
"484",28,11,0
"485",28,12,0
"486",28,13,0
"487",28,14,0.0308790692463021
"488",28,15,0.308790692463021
"489",28,16,0.432306969448229
"490",28,17,2.68647902442828
"491",28,18,0.0463186038694532
"492",28,19,0.0617581384926042
"494",28,20,0.385988365578776
"495",28,21,0.509504642563985
"496",28,22,1.88362322402443
"497",28,23,0.015439534623151
"505",29,0,0
"506",29,1,0.0494247227664111
"517",29,2,0.0658996303552148
"522",29,3,0
"523",29,4,0
"524",29,5,0
"525",29,6,0
"526",29,7,0
"527",29,8,0
"528",29,9,0
"507",29,10,0
"508",29,11,0
"509",29,12,0.148274168299233
"510",29,13,2.20763761689969
"511",29,14,0
"512",29,15,0.31302324418727
"513",29,16,0
"514",29,17,3.47620550123758
"515",29,18,0.0164749075888037
"516",29,19,0.0329498151776074
"518",29,20,0.115324353121626
"519",29,21,0
"520",29,22,0.345973059364877
"521",29,23,0.0988494455328221
"553",30,0,0
"554",30,1,0.280880941639826
"565",30,2,4.24832424230237
"570",30,3,0
"571",30,4,0
"572",30,5,0
"573",30,6,0
"574",30,7,0
"575",30,8,0.930418119181925
"576",30,9,0.368656235902272
"555",30,10,0
"556",30,11,0.105330353114935
"557",30,12,0
"558",30,13,1.07085859000184
"559",30,14,0.105330353114935
"560",30,15,0
"561",30,16,0.157995529672402
"562",30,17,0.0702202354099566
"563",30,18,0.0175550588524891
"564",30,19,0
"566",30,20,0
"567",30,21,0
"568",30,22,0
"569",30,23,0
"577",31,0,0
"578",31,1,0
"589",31,2,6.45360824742268
"594",31,3,0.0824742268041237
"595",31,4,0
"596",31,5,0
"597",31,6,0
"598",31,7,0
"599",31,8,0.948453608247423
"600",31,9,0.391752577319588
"579",31,10,0
"580",31,11,0
"581",31,12,0
"582",31,13,0
"583",31,14,0.123711340206186
"584",31,15,0
"585",31,16,0
"586",31,17,0
"587",31,18,0
"588",31,19,0
"590",31,20,0
"591",31,21,0
"592",31,22,0
"593",31,23,0
"601",32,0,0
"602",32,1,0.227390180878553
"613",32,2,3.55555555555556
"618",32,3,1.67441860465116
"619",32,4,0
"620",32,5,0
"621",32,6,0
"622",32,7,0
"623",32,8,0.806201550387597
"624",32,9,0.454780361757106
"603",32,10,0.082687338501292
"604",32,11,0.82687338501292
"605",32,12,0.124031007751938
"606",32,13,0.041343669250646
"607",32,14,0.186046511627907
"608",32,15,0
"609",32,16,0
"610",32,17,0.020671834625323
"611",32,18,0
"612",32,19,0
"614",32,20,0
"615",32,21,0
"616",32,22,0
"617",32,23,0
"625",33,0,0
"626",33,1,0
"637",33,2,1.00045336437044
"642",33,3,0
"643",33,4,0.309231039896318
"644",33,5,0.145520489362973
"645",33,6,0.0909503058518583
"646",33,7,0.0363801223407433
"647",33,8,1.65529556650382
"648",33,9,1.03683348671118
"627",33,10,0.236470795214832
"628",33,11,0.454751529259292
"629",33,12,0.272850917555575
"630",33,13,0.054570183511115
"631",33,14,1.00045336437044
"632",33,15,0.236470795214832
"633",33,16,0.200090672874088
"634",33,17,0
"635",33,18,0.0363801223407433
"636",33,19,0
"638",33,20,0.0181900611703717
"639",33,21,0.163710550533345
"640",33,22,0
"641",33,23,0
"649",34,0,0
"650",34,1,0
"661",34,2,0
"666",34,3,0
"667",34,4,0
"668",34,5,0
"669",34,6,0
"670",34,7,0
"671",34,8,0.397127395725747
"672",34,9,3.06582349500276
"651",34,10,0.0158850958290299
"652",34,11,0.365357204067687
"653",34,12,0.174736054119328
"654",34,13,0.158850958290299
"655",34,14,0.937220653912762
"656",34,15,0.0158850958290299
"657",34,16,0
"658",34,17,0.333587012409627
"659",34,18,0
"660",34,19,0.254161533264478
"662",34,20,0.174736054119328
"663",34,21,0.0317701916580597
"664",34,22,0.0158850958290299
"665",34,23,0
"673",35,0,0
"674",35,1,0.56087565583529
"685",35,2,0.460205666326392
"690",35,3,0
"691",35,4,0
"692",35,5,0
"693",35,6,0
"694",35,7,0
"695",35,8,1.40937985312457
"696",35,9,0.632782791198788
"675",35,10,0
"676",35,11,0.0143814270726997
"677",35,12,0.0143814270726997
"678",35,13,0.158195697799697
"679",35,14,0.186958551945097
"680",35,15,0.949174186798183
"681",35,16,0.201339979017796
"682",35,17,0.0862885624361984
"683",35,18,0.244484260235896
"684",35,19,0.316391395599394
"686",35,20,0.0431442812180992
"687",35,21,0
"688",35,22,0
"689",35,23,0
"697",36,0,0
"698",36,1,0
"709",36,2,0.0562571065910596
"714",36,3,0.911365126775166
"715",36,4,0
"716",36,5,0
"717",36,6,0
"718",36,7,0
"719",36,8,0
"720",36,9,1.59770182718609
"699",36,10,0
"700",36,11,0
"701",36,12,0
"702",36,13,0.180022741091391
"703",36,14,0.112514213182119
"704",36,15,0
"705",36,16,0.0675085279092715
"706",36,17,0.0337542639546358
"707",36,18,0
"708",36,19,0.157519898454967
"710",36,20,0.64133101513808
"711",36,21,0
"712",36,22,0
"713",36,23,0
"721",37,0,0
"722",37,1,0
"733",37,2,0
"738",37,3,1.45987853128623
"739",37,4,0
"740",37,5,0
"741",37,6,0.790051911049018
"742",37,7,0.137400332356351
"743",37,8,0.377850913979965
"744",37,9,1.71750415445439
"723",37,10,0.0515251246336316
"724",37,11,0
"725",37,12,0
"726",37,13,0
"727",37,14,1.35682828201897
"728",37,15,0.120225290811807
"729",37,16,0
"730",37,17,0.0858752077227193
"731",37,18,0
"732",37,19,0.0343500830890877
"734",37,20,0.360675872435421
"735",37,21,0.0171750415445439
"736",37,22,0
"737",37,23,0
"745",38,0,0
"746",38,1,0
"757",38,2,3.10077519379845
"762",38,3,0
"763",38,4,0
"764",38,5,0
"765",38,6,0.041343669250646
"766",38,7,0
"767",38,8,1.17829457364341
"768",38,9,2.45994832041344
"747",38,10,1.05426356589147
"748",38,11,0.144702842377261
"749",38,12,0.020671834625323
"750",38,13,0
"751",38,14,0
"752",38,15,0
"753",38,16,0
"754",38,17,0
"755",38,18,0
"756",38,19,0
"758",38,20,0
"759",38,21,0
"760",38,22,0
"761",38,23,0
"769",39,0,0
"770",39,1,0.0975625271831325
"781",39,2,0.0195125054366265
"786",39,3,0
"787",39,4,0
"788",39,5,0
"789",39,6,0
"790",39,7,0.0975625271831325
"791",39,8,2.79028827743759
"792",39,9,1.46343790774699
"771",39,10,2.26345063064867
"772",39,11,0.741475206591807
"773",39,12,0
"774",39,13,0.039025010873253
"775",39,14,0
"776",39,15,0
"777",39,16,0
"778",39,17,0
"779",39,18,0
"780",39,19,0
"782",39,20,0
"783",39,21,0
"784",39,22,0
"785",39,23,0
"817",40,0,0
"818",40,1,0
"829",40,2,0.41343669250646
"834",40,3,5.00258397932817
"835",40,4,0
"836",40,5,0
"837",40,6,0
"838",40,7,0.268733850129199
"839",40,8,0.062015503875969
"840",40,9,0.165374677002584
"819",40,10,1.05426356589147
"820",40,11,0.888888888888889
"821",40,12,0
"822",40,13,0.062015503875969
"823",40,14,0
