"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,3.91845588235294,2.62937407243571,23.475,2.64037650463633,6.14312961767061,0.554502701610038,67.8296850292646,4,11.0415519858402
"2",2,3.34282571428571,1.45251798401698,13.378,4.84982416757837,8.16,1.0842324214434,34.938480499196,4,4.28167653176421
"3",3,8.97699125364431,9.2555751336953,24.222,2.1749122550547,6.54381494284001,0.586546627089641,61.7846784034617,2,9.44169096209913
"4",4,6.72918960244648,8.41642831767237,22.529,1.91981287211236,4.98237150143445,0.486202212183146,35.5393930492228,2,7.13302752293578
"5",5,12.2038142857143,7.19407886402429,25.278,2.35428571428571,8,0.661384692164636,101.942857142857,2,12.7428571428571
"6",6,16.7899691358025,3.53606392819864,25.204,1.91476243017962,4.84674240139215,0.445654728707092,83.6362245869862,14,17.2561728395062
"7",7,18.5350657142857,3.90326773596072,23.978,2.58285714285714,8,0.695013327776081,152.342857142857,14,19.0428571428571
"8",8,18.2935186440678,3.63859222311979,24.438,1.27454691944971,3.51393776857631,0.312386043202656,66.3300422519227,14,18.8762711864407
"9",9,15.3172808988764,6.90106103913825,22.065,0.724587301556724,2.76378299308065,0.182214822604452,43.7702486376087,20,15.8370786516854
"10",10,8.18154896142433,7.44676607131973,22.045,3.12208794550099,5.91091931254962,0.664599677099485,51.9617165086892,2,8.79080118694362
"11",11,9.98507901907357,5.16196625886622,23.528,1.86782569299542,6.23174572117564,0.419678451789602,65.1786265687539,13,10.4591280653951
"12",12,8.83165846994535,5.53505053034285,23.923,0.953013559965248,6.2286243383443,0.277047987562011,57.9806642643143,3,9.30874316939891
"13",13,8.09133510638298,5.08802593436173,15.384,2.51063829787234,8,0.596443532287079,68.8085106382979,12,8.60106382978723
"14",14,11.0203909574468,3.47364974996204,19.007,1.72340425531915,8,0.49785995780781,92.8936170212766,12,11.6117021276596
"15",15,7.94562933333333,2.46825171163143,22.127,4.08406365455969,7.73496904272668,0.978627765072473,66.8610724053294,9,8.644
"16",16,5.9714338028169,1.25313902943876,8.986,4.15537790598056,5.23106083908901,0.804547986486821,33.1325078780046,6,6.33380281690141
"17",17,5.75858776595745,1.84778044662867,12.384,3.57446808510638,8,0.752679186408901,50.6595744680851,7,6.33244680851064
"18",18,5.30541978609626,3.84313653149543,25.572,3.64956450531368,7.49965453289734,0.723725638705105,43.3135128103162,3,5.77540106951872
"19",19,11.976285326087,2.87930952451898,21.46,4.78868453964207,6.47880849480986,0.923459396852324,79.8231459659454,11,12.320652173913
"20",20,15.6275278688525,4.90453377324878,22.31,1.67992531959243,3.1824672203459,0.356060680582212,51.0603388287301,11,16.044262295082
