"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"24",1,3,0.135298975707366
"29",1,4,0.469994486960053
"30",1,5,0.220337921315976
"31",1,6,0
"32",1,7,0
"33",1,8,0
"34",1,9,0
"3",1,10,0.411135398236554
"4",1,11,0.74013076908846
"5",1,12,0.0823825829573518
"6",1,13,0.101160792338245
"7",1,14,2.66760804927714
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,1.40236429986119
"12",1,19,1.76958672425766
"14",1,20,0
"15",1,21,0.015180265654649
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0
"23",1,29,0
"25",1,30,0
"26",1,31,0
"27",1,32,0
"28",1,33,0
"375",2,0,0
"376",2,1,0
"387",2,2,1.57874762808349
"398",2,3,0
"403",2,4,0.485768500948767
"404",2,5,0.425047438330171
"405",2,6,0
"406",2,7,0
"407",2,8,0
"408",2,9,0
"377",2,10,0.561669829222011
"378",2,11,0.318785578747628
"379",2,12,0.0303605313092979
"380",2,13,1.5180265654649
"381",2,14,1.426944971537
"382",2,15,0.698292220113852
"383",2,16,0.364326375711575
"384",2,17,0.0759013282732448
"385",2,18,0
"386",2,19,0
"388",2,20,0
"389",2,21,0.166982922201139
"390",2,22,0.015180265654649
"391",2,23,0.0455407969639469
"392",2,24,0
"393",2,25,0
"394",2,26,0
"395",2,27,0
"396",2,28,0.242884250474383
"397",2,29,0.0455407969639469
"399",2,30,0
"400",2,31,0
"401",2,32,0
"402",2,33,0
"749",3,0,0
"750",3,1,0
"761",3,2,0
"772",3,3,0.546489563567362
"777",3,4,1.29032258064516
"778",3,5,0
"779",3,6,0.850094876660342
"780",3,7,0.106261859582543
"781",3,8,0
"782",3,9,0
"751",3,10,0
"752",3,11,0
"753",3,12,0
"754",3,13,0.500948766603416
"755",3,14,0.910815939278937
"756",3,15,1.27514231499051
"757",3,16,0.57685009487666
"758",3,17,0
"759",3,18,0.015180265654649
"760",3,19,0
"762",3,20,0.258064516129032
"763",3,21,1.66982922201139
"764",3,22,0
"765",3,23,0
"766",3,24,0
"767",3,25,0
"768",3,26,0
"769",3,27,0
"770",3,28,0
"771",3,29,0
"773",3,30,0
"774",3,31,0
"775",3,32,0
"776",3,33,0
"817",4,0,0
"818",4,1,0
"829",4,2,3.63498098859316
"840",4,3,3.65019011406844
"845",4,4,0.0760456273764259
"846",4,5,0.0456273764258555
"847",4,6,0.593155893536122
"848",4,7,0
"849",4,8,0
"850",4,9,0
"819",4,10,0
"820",4,11,0
"821",4,12,0
"822",4,13,0
"823",4,14,0
"824",4,15,0
"825",4,16,0
"826",4,17,0
"827",4,18,0
"828",4,19,0
"830",4,20,0
"831",4,21,0
"832",4,22,0
"833",4,23,0
"834",4,24,0
"835",4,25,0
"836",4,26,0
"837",4,27,0
"838",4,28,0
"839",4,29,0
"841",4,30,0
"842",4,31,0
"843",4,32,0
"844",4,33,0
"851",5,0,0
"852",5,1,0
"863",5,2,1.07779886148008
"874",5,3,4.06831119544592
"879",5,4,0.212523719165085
"880",5,5,2.61100569259962
"881",5,6,0.0303605313092979
"882",5,7,0
"883",5,8,0
"884",5,9,0
"853",5,10,0
"854",5,11,0
"855",5,12,0
"856",5,13,0
"857",5,14,0
"858",5,15,0
"859",5,16,0
"860",5,17,0
"861",5,18,0
"862",5,19,0
"864",5,20,0
"865",5,21,0
"866",5,22,0
"867",5,23,0
"868",5,24,0
"869",5,25,0
"870",5,26,0
"871",5,27,0
"872",5,28,0
"873",5,29,0
"875",5,30,0
"876",5,31,0
"877",5,32,0
"878",5,33,0
"885",6,0,0
"886",6,1,0
"897",6,2,3.53700189753321
"908",6,3,0
"913",6,4,0.106261859582543
"914",6,5,3.6584440227704
"915",6,6,0
"916",6,7,0.698292220113852
"917",6,8,0
"918",6,9,0
"887",6,10,0
"888",6,11,0
"889",6,12,0
"890",6,13,0
"891",6,14,0
"892",6,15,0
"893",6,16,0
"894",6,17,0
"895",6,18,0
"896",6,19,0
"898",6,20,0
"899",6,21,0
"900",6,22,0
"901",6,23,0
"902",6,24,0
"903",6,25,0
"904",6,26,0
"905",6,27,0
"906",6,28,0
"907",6,29,0
"909",6,30,0
"910",6,31,0
"911",6,32,0
"912",6,33,0
"919",7,0,0
"920",7,1,0.559546426756977
"931",7,2,4.68191908102777
"942",7,3,0
"947",7,4,0.0228386296635501
"948",7,5,0.376837389448576
"949",7,6,0
"950",7,7,0
"951",7,8,0
"952",7,9,0
"921",7,10,0
"922",7,11,0
"923",7,12,0
"924",7,13,0.0685158889906503
"925",7,14,0.011419314831775
"926",7,15,0
"927",7,16,0
"928",7,17,0
"929",7,18,0
"930",7,19,0
"932",7,20,0
"933",7,21,0
"934",7,22,0
"935",7,23,0
"936",7,24,0.0570965741588752
"937",7,25,0
"938",7,26,0
"939",7,27,0
"940",7,28,0
"941",7,29,0
"943",7,30,0
"944",7,31,0
"945",7,32,0
"946",7,33,0
"953",8,0,0
"954",8,1,0.015180265654649
"965",8,2,6.37571157495256
"976",8,3,0
"981",8,4,0
"982",8,5,0
"983",8,6,0
"984",8,7,0
"985",8,8,0
"986",8,9,0.318785578747628
"955",8,10,0.743833017077799
"956",8,11,0
"957",8,12,0.121442125237192
"958",8,13,0.106261859582543
"959",8,14,0
"960",8,15,0
"961",8,16,0.121442125237192
"962",8,17,0
"963",8,18,0
"964",8,19,0
"966",8,20,0.182163187855787
"967",8,21,0
"968",8,22,0
"969",8,23,0
"970",8,24,0
"971",8,25,0
"972",8,26,0
"973",8,27,0
"974",8,28,0
"975",8,29,0
"977",8,30,0
"978",8,31,0.015180265654649
"979",8,32,0
"980",8,33,0
"987",9,0,0
"988",9,1,1.16888045540797
"999",9,2,2.61100569259962
"1010",9,3,0
"1015",9,4,0
"1016",9,5,0
"1017",9,6,0
"1018",9,7,0
"1019",9,8,0
"1020",9,9,0
"989",9,10,0.166982922201139
"990",9,11,0.0455407969639469
"991",9,12,0.212523719165085
"992",9,13,0
"993",9,14,0.182163187855787
"994",9,15,0
"995",9,16,0
"996",9,17,0
"997",9,18,0
"998",9,19,0.318785578747628
"1000",9,20,1.77609108159393
"1001",9,21,0.0607210626185958
"1002",9,22,0
"1003",9,23,1.04743833017078
"1004",9,24,0
"1005",9,25,0
"1006",9,26,0
"1007",9,27,0
"1008",9,28,0.409867172675522
"1009",9,29,0
"1011",9,30,0
"1012",9,31,0
"1013",9,32,0
"1014",9,33,0
"35",10,0,0
"36",10,1,0
"47",10,2,0
"58",10,3,0
"63",10,4,0
"64",10,5,0
"65",10,6,0
"66",10,7,0
"67",10,8,0
"68",10,9,0
"37",10,10,0.149556788709053
"38",10,11,0
"39",10,12,0
"40",10,13,0
"41",10,14,0.36890674548233
"42",10,15,0
"43",10,16,0
"44",10,17,0
"45",10,18,0
"46",10,19,0.299113577418105
"48",10,20,2.5524358606345
"49",10,21,0
"50",10,22,0.149556788709053
"51",10,23,0.508493081610779
"52",10,24,0.139586336128449
"53",10,25,0
"54",10,26,0
"55",10,27,0.039881810322414
"56",10,28,0.478581723868968
"57",10,29,0.129615883547846
"59",10,30,0.00997045258060351
"60",10,31,0
"61",10,32,0.0498522629030175
"62",10,33,0
"69",11,0,0
"70",11,1,0
"81",11,2,0
"92",11,3,0
"97",11,4,0
"98",11,5,0
"99",11,6,0
"100",11,7,0
"101",11,8,0
"102",11,9,0
"71",11,10,0
"72",11,11,0
"73",11,12,0
"74",11,13,0.10412147505423
"75",11,14,6.38611713665944
"76",11,15,0.03470715835141
"77",11,16,0
"78",11,17,0
"79",11,18,0
"80",11,19,0.13882863340564
"82",11,20,1.12798264642082
"83",11,21,0
"84",11,22,0
"85",11,23,0
"86",11,24,0
"87",11,25,0
"88",11,26,0
"89",11,27,0
"90",11,28,0
"91",11,29,0
"93",11,30,0
"94",11,31,0.17353579175705
"95",11,32,0.03470715835141
"96",11,33,0
"103",12,0,0
"104",12,1,0
"115",12,2,0
"126",12,3,0
"131",12,4,0
"132",12,5,0
"133",12,6,0
"134",12,7,0
"135",12,8,0
"136",12,9,0
"105",12,10,0
"106",12,11,0
"107",12,12,0
"108",12,13,0
"109",12,14,6.38611713665944
"110",12,15,0.10412147505423
"111",12,16,0
"112",12,17,0
"113",12,18,0
"114",12,19,0.79826464208243
"116",12,20,0.503253796095445
"117",12,21,0
"118",12,22,0
"119",12,23,0
"120",12,24,0.0867678958785249
"121",12,25,0.121475054229935
"122",12,26,0
"123",12,27,0
"124",12,28,0
"125",12,29,0
"127",12,30,0
"128",12,31,0
"129",12,32,0
"130",12,33,0
"137",13,0,0
"138",13,1,0
"149",13,2,0
"160",13,3,0
"165",13,4,0
"166",13,5,0
"167",13,6,0
"168",13,7,0
"169",13,8,0
"170",13,9,0
"139",13,10,0
"140",13,11,0
"141",13,12,0.747826086956522
"142",13,13,0.0173913043478261
"143",13,14,0.817391304347826
"144",13,15,0.104347826086957
"145",13,16,1.00869565217391
"146",13,17,0.365217391304348
"147",13,18,0.191304347826087
"148",13,19,0.695652173913043
"150",13,20,0.452173913043478
"151",13,21,0.31304347826087
"152",13,22,0.0173913043478261
"153",13,23,0.104347826086957
"154",13,24,0.71304347826087
"155",13,25,0.469565217391304
"156",13,26,0.608695652173913
"157",13,27,0.0521739130434783
"158",13,28,0.0347826086956522
"159",13,29,0.382608695652174
"161",13,30,0.0521739130434783
"162",13,31,0.191304347826087
"163",13,32,0.660869565217391
"164",13,33,0
"171",14,0,0
"172",14,1,0
"183",14,2,0
"194",14,3,0
"199",14,4,0
"200",14,5,0
"201",14,6,0
"202",14,7,0
"203",14,8,0
"204",14,9,0
"173",14,10,0
"174",14,11,1.57322653077957
"175",14,12,1.92847123127819
"176",14,13,0
"177",14,14,0
"178",14,15,0.0676656572378311
"179",14,16,3.21411871879698
"180",14,17,0
"181",14,18,0.0507492429283733
"182",14,19,0
"184",14,20,0.0507492429283733
"185",14,21,0.507492429283733
"186",14,22,0
"187",14,23,0.0676656572378311
"188",14,24,0.135331314475662
"189",14,25,0.0169164143094578
"190",14,26,0.0338328286189156
"191",14,27,0.0338328286189156
"192",14,28,0
"193",14,29,0.101498485856747
"195",14,30,0
"196",14,31,0
"197",14,32,0
"198",14,33,0
"205",15,0,0
"206",15,1,0
"217",15,2,0
"228",15,3,0
"233",15,4,0
"234",15,5,0
"235",15,6,0
"236",15,7,0
"237",15,8,0
"238",15,9,0
"207",15,10,0
"208",15,11,1.02036708640643
"209",15,12,5.08563912907332
"210",15,13,0
"211",15,14,0
"212",15,15,0
"213",15,16,0
"214",15,17,0
"215",15,18,0
"216",15,19,0
"218",15,20,0
"219",15,21,0
"220",15,22,0.194355635505987
"221",15,23,0.372514968053141
"222",15,24,0
"223",15,25,0.0971778177529934
"224",15,26,0.372514968053141
"225",15,27,0.0161963029588322
"226",15,28,0.226748241423651
"227",15,29,0
"229",15,30,0
"230",15,31,0.0161963029588322
"231",15,32,0
"232",15,33,0
"239",16,0,0
"240",16,1,0
"251",16,2,0
"262",16,3,0
"267",16,4,0
"268",16,5,0
"269",16,6,0
"270",16,7,0
"271",16,8,0
"272",16,9,0
"241",16,10,0
"242",16,11,0.0867678958785249
"243",16,12,6.19522776572668
"244",16,13,0
"245",16,14,0
"246",16,15,0
"247",16,16,0
"248",16,17,0
"249",16,18,0
"250",16,19,0
"252",16,20,0
"253",16,21,0
"254",16,22,0
"255",16,23,0
"256",16,24,0
"257",16,25,0.017353579175705
"258",16,26,0.017353579175705
"259",16,27,0.503253796095445
"260",16,28,0
"261",16,29,1.12798264642082
"263",16,30,0
"264",16,31,0.052060737527115
"265",16,32,0
"266",16,33,0
"273",17,0,0
"274",17,1,0
"285",17,2,0
"296",17,3,0
"301",17,4,0
"302",17,5,0
"303",17,6,0
"304",17,7,0
"305",17,8,0
"306",17,9,0.0695652173913043
"275",17,10,0
"276",17,11,0
"277",17,12,3.02608695652174
"278",17,13,0.48695652173913
"279",17,14,0
"280",17,15,0.365217391304348
"281",17,16,0
"282",17,17,0
"283",17,18,0
"284",17,19,0
"286",17,20,0
"287",17,21,0
"288",17,22,0
"289",17,23,0.0695652173913043
"290",17,24,0
"291",17,25,0.434782608695652
"292",17,26,0.556521739130435
"293",17,27,1.23478260869565
"294",17,28,0.278260869565217
"295",17,29,0.417391304347826
"297",17,30,0.0173913043478261
"298",17,31,0.643478260869565
"299",17,32,0.365217391304348
"300",17,33,0.0347826086956522
"307",18,0,0
"308",18,1,0
"319",18,2,0
"330",18,3,0
"335",18,4,0
"336",18,5,0
"337",18,6,0
"338",18,7,0
"339",18,8,0
"340",18,9,0
"309",18,10,0
"310",18,11,1.31887201735358
"311",18,12,1.11062906724512
"312",18,13,1.35357917570499
"313",18,14,0
"314",18,15,3.29718004338395
"315",18,16,0.03470715835141
"316",18,17,0.03470715835141
"317",18,18,0
"318",18,19,0
"320",18,20,0
"321",18,21,0
"322",18,22,0.052060737527115
"323",18,23,0.121475054229935
"324",18,24,0.10412147505423
"325",18,25,0
"326",18,26,0.0867678958785249
"327",18,27,0.329718004338395
"328",18,28,0
"329",18,29,0
"331",18,30,0.017353579175705
"332",18,31,0.13882863340564
"333",18,32,0
"334",18,33,0
"341",19,0,0
"342",19,1,0
"353",19,2,0
"364",19,3,0
"369",19,4,0
"370",19,5,0
"371",19,6,0
"372",19,7,0
"373",19,8,0
"374",19,9,0
"343",19,10,0.271236511763667
"344",19,11,1.55960994264108
"345",19,12,0.0678091279409166
"346",19,13,0.0169522819852292
"347",19,14,1.05104148308421
"348",19,15,2.98360162940033
"349",19,16,0.966280073158062
"350",19,17,0.695043561394395
"351",19,18,0
"352",19,19,0
"354",19,20,0
"355",19,21,0
"356",19,22,0
"357",19,23,0.152570537867062
"358",19,24,0
"359",19,25,0
"360",19,26,0
"361",19,27,0.0169522819852292
"362",19,28,0
"363",19,29,0
"365",19,30,0
"366",19,31,0
"367",19,32,0
"368",19,33,0
"409",20,0,0
"410",20,1,0
"421",20,2,0
"432",20,3,0
"437",20,4,0
"438",20,5,0
"439",20,6,0
"440",20,7,0
"441",20,8,0
"442",20,9,0
"411",20,10,0.593433458425713
"412",20,11,0.339104833386122
"413",20,12,0
"414",20,13,0.0188391574103401
"415",20,14,0.169552416693061
"416",20,15,1.7614612178668
"417",20,16,0.0847762083465304
"418",20,17,0.367363569501632
"419",20,18,0.0282587361155101
"420",20,19,0
"422",20,20,0.0470978935258502
"423",20,21,0.0565174722310203
"424",20,22,0
"425",20,23,0
"426",20,24,0.0847762083465304
"427",20,25,0
"428",20,26,0
"429",20,27,0.10361536575687
"430",20,28,0.0188391574103401
"431",20,29,0
"433",20,30,0
"434",20,31,0.0470978935258502
"435",20,32,0.00941957870517005
"436",20,33,0
"443",21,0,0
"444",21,1,0
"455",21,2,0
"466",21,3,0
"471",21,4,0
"472",21,5,0
"473",21,6,0
"474",21,7,0
"475",21,8,0
"476",21,9,0
"445",21,10,1.84489795918367
"446",21,11,0.587755102040816
"447",21,12,0
"448",21,13,0
"449",21,14,0.555102040816327
"450",21,15,0.0489795918367347
"451",21,16,0
"452",21,17,3.47755102040816
"453",21,18,0
"454",21,19,0.0326530612244898
"456",21,20,0.0489795918367347
"457",21,21,0.146938775510204
"458",21,22,0
"459",21,23,0
"460",21,24,0.653061224489796
"461",21,25,0.457142857142857
"462",21,26,0
"463",21,27,0.114285714285714
"464",21,28,0.0163265306122449
"465",21,29,0
"467",21,30,0
"468",21,31,0.0163265306122449
"469",21,32,0
"470",21,33,0
"477",22,0,0
"478",22,1,0
"489",22,2,0
"500",22,3,0
"505",22,4,0
"506",22,5,0
"507",22,6,0
"508",22,7,0
"509",22,8,0
"510",22,9,4.35173824130879
"479",22,10,1.4560327198364
"480",22,11,0
"481",22,12,0.392638036809816
"482",22,13,0.016359918200409
"483",22,14,0.049079754601227
"484",22,15,0
"485",22,16,0.016359918200409
"486",22,17,0.752556237218814
"487",22,18,0
"488",22,19,0
"490",22,20,0
"491",22,21,0.343558282208589
"492",22,22,0
"493",22,23,0
"494",22,24,0.114519427402863
"495",22,25,0
"496",22,26,0.049079754601227
"497",22,27,0.16359918200409
"498",22,28,0.16359918200409
"499",22,29,0.130879345603272
"501",22,30,0
"502",22,31,0
"503",22,32,0
"504",22,33,0
"511",23,0,0
"512",23,1,0
"523",23,2,0
"534",23,3,0
"539",23,4,1.0961145194274
"540",23,5,0
"541",23,6,0
"542",23,7,0
"543",23,8,0
"544",23,9,2.42126789366053
"513",23,10,0
"514",23,11,0
"515",23,12,0
"516",23,13,0
"517",23,14,0
"518",23,15,0
"519",23,16,0
"520",23,17,0
"521",23,18,0
"522",23,19,0
"524",23,20,0
"525",23,21,0.507157464212679
"526",23,22,0.343558282208589
"527",23,23,1.04703476482618
"528",23,24,1.16155419222904
"529",23,25,0.032719836400818
"530",23,26,0.49079754601227
"531",23,27,0.359918200408998
"532",23,28,0.081799591002045
"533",23,29,0.032719836400818
"535",23,30,0.212678936605317
"536",23,31,0.212678936605317
"537",23,32,0
"538",23,33,0
"545",24,0,0
"546",24,1,0
"557",24,2,0
"568",24,3,0
"573",24,4,0.870063613754214
"574",24,5,0
"575",24,6,0
"576",24,7,0
"577",24,8,0
"578",24,9,0
"547",24,10,0
"548",24,11,0.961649257307289
"549",24,12,0.610570957020501
"550",24,13,0
"551",24,14,0
"552",24,15,0
"553",24,16,0
"554",24,17,0
"555",24,18,0
"556",24,19,0
"558",24,20,0
"559",24,21,0.1221141914041
"560",24,22,1.90803424068907
"561",24,23,1.49589884470023
"562",24,24,0.961649257307289
"563",24,25,0
"564",24,26,0.259492656733713
"565",24,27,0.0763213696275626
"566",24,28,0
"567",24,29,0.0457928217765376
"569",24,30,0.0152642739255125
"570",24,31,0.106849917478588
"571",24,32,0
"572",24,33,0
"579",25,0,0
"580",25,1,0
"591",25,2,0
"602",25,3,0
"607",25,4,0
"608",25,5,0
"609",25,6,0
"610",25,7,0
"611",25,8,0
"612",25,9,0
"581",25,10,0
"582",25,11,0.49079754601227
"583",25,12,2.51942740286299
"584",25,13,0
"585",25,14,0
"586",25,15,0
"587",25,16,0
"588",25,17,0
"589",25,18,0
"590",25,19,0
"592",25,20,0
"593",25,21,0
"594",25,22,1.03067484662577
"595",25,23,1.94683026584867
"596",25,24,1.66871165644172
"597",25,25,0.278118609406953
"598",25,26,0.065439672801636
"599",25,27,0
"600",25,28,0
"601",25,29,0
"603",25,30,0
"604",25,31,0
"605",25,32,0
"606",25,33,0
"613",26,0,0
"614",26,1,0
"625",26,2,0
"636",26,3,0
"641",26,4,0
"642",26,5,0
"643",26,6,0
"644",26,7,0
"645",26,8,0
"646",26,9,1.01625761360915
"615",26,10,0.177333543314348
"616",26,11,0
"617",26,12,0.0204615626901171
"618",26,13,0
"619",26,14,0
"620",26,15,0
"621",26,16,0
"622",26,17,0
"623",26,18,0
"624",26,19,0
"626",26,20,0
"627",26,21,0
"628",26,22,0
"629",26,23,0
"630",26,24,0
"631",26,25,0
"632",26,26,0.552462192633163
"633",26,27,0.38194917021552
"634",26,28,0.150051459727526
"635",26,29,0.04774364627694
"637",26,30,0
"638",26,31,0
"639",26,32,0
"640",26,33,0
"647",27,0,0
"648",27,1,0
"659",27,2,0
"670",27,3,1.10019774312816
"675",27,4,0
"676",27,5,0
"677",27,6,0
"678",27,7,0
"679",27,8,0
"680",27,9,0
"649",27,10,0
"650",27,11,0
"651",27,12,0
"652",27,13,0
"653",27,14,0
"654",27,15,0
"655",27,16,0
"656",27,17,0
"657",27,18,0
"658",27,19,0
"660",27,20,0
"661",27,21,0
"662",27,22,0.0663912431198029
"663",27,23,0.0569067798169739
"664",27,24,0.0474223165141449
"665",27,25,0.692365821106516
"666",27,26,0.0569067798169739
"667",27,27,0.872570623860267
"668",27,28,0.825148307346122
"669",27,29,0.398347458718817
"671",27,30,0.018968926605658
"672",27,31,0
"673",27,32,0
"674",27,33,0
"681",28,0,0
"682",28,1,0
"693",28,2,3.33742331288344
"704",28,3,2.14314928425358
"709",28,4,0
"710",28,5,0
"711",28,6,0
"712",28,7,1.39059304703476
"713",28,8,0
"714",28,9,0
"683",28,10,0
"684",28,11,0
"685",28,12,0
"686",28,13,0
"687",28,14,0
"688",28,15,0
"689",28,16,0
"690",28,17,0
"691",28,18,0
"692",28,19,0
"694",28,20,0
"695",28,21,0
"696",28,22,0
"697",28,23,0
"698",28,24,0
"699",28,25,0
"700",28,26,0
"701",28,27,0.229038854805726
"702",28,28,0.065439672801636
"703",28,29,0.392638036809816
"705",28,30,0.441717791411043
"706",28,31,0
"707",28,32,0
"708",28,33,0
"715",29,0,0
"716",29,1,0
"727",29,2,6.16768916155419
"738",29,3,1.83231083844581
"743",29,4,0
"744",29,5,0
"745",29,6,0
"746",29,7,0
"747",29,8,0
"748",29,9,0
"717",29,10,0
"718",29,11,0
"719",29,12,0
"720",29,13,0
"721",29,14,0
"722",29,15,0
"723",29,16,0
"724",29,17,0
"725",29,18,0
"726",29,19,0
"728",29,20,0
"729",29,21,0
"730",29,22,0
"731",29,23,0
"732",29,24,0
"733",29,25,0
