"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"11",1,2,0
"12",1,3,0
"13",1,4,0
"14",1,5,0
"15",1,6,0.181274331565105
"16",1,7,0.469329509682444
"17",1,8,0.421889703713128
"18",1,9,0.0994919833465174
"3",1,10,0.98230221528171
"4",1,11,0
"5",1,12,2.72647366477802
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"199",2,0,0
"200",2,1,0
"209",2,2,0
"210",2,3,0
"211",2,4,0
"212",2,5,0
"213",2,6,0
"214",2,7,1.09197299199303
"215",2,8,1.99361257821524
"216",2,9,0.564716277932843
"201",2,10,1.84154515712105
"202",2,11,2.50815299473784
"203",2,12,0.207407407407407
"204",2,13,0
"205",2,14,0
"206",2,15,0
"207",2,16,0
"208",2,17,0
"397",3,0,0
"398",3,1,0
"407",3,2,0
"408",3,3,0
"409",3,4,0.296296296296296
"410",3,5,3.64444444444444
"411",3,6,0.82962962962963
"412",3,7,0.237037037037037
"413",3,8,0.503703703703704
"414",3,9,1.12592592592593
"399",3,10,1.03703703703704
"400",3,11,0.0592592592592593
"401",3,12,0.266666666666667
"402",3,13,0
"403",3,14,0
"404",3,15,0
"405",3,16,0
"406",3,17,0
"595",4,0,0
"596",4,1,0
"605",4,2,0
"606",4,3,0
"607",4,4,1.3037037037037
"608",4,5,1.86666666666667
"609",4,6,3.52592592592593
"610",4,7,0.592592592592593
"611",4,8,0
"612",4,9,0
"597",4,10,0.237037037037037
"598",4,11,0.474074074074074
"599",4,12,0
"600",4,13,0
"601",4,14,0
"602",4,15,0
"603",4,16,0
"604",4,17,0
"631",5,0,0
"632",5,1,0
"641",5,2,0
"642",5,3,0
"643",5,4,1.74169741697417
"644",5,5,1.50553505535055
"645",5,6,1.94833948339483
"646",5,7,0
"647",5,8,0.738007380073801
"648",5,9,0.29520295202952
"633",5,10,0
"634",5,11,1.4760147601476
"635",5,12,0.118081180811808
"636",5,13,0.0590405904059041
"637",5,14,0.118081180811808
"638",5,15,0
"639",5,16,0
"640",5,17,0
"649",6,0,0
"650",6,1,0
"659",6,2,0.136800860801044
"660",6,3,0.465122926723549
"661",6,4,0.191521205121462
"662",6,5,1.91521205121462
"663",6,6,1.2585679193696
"664",6,7,1.75105101825336
"665",6,8,1.2312077472094
"666",6,9,0.21888137728167
"651",6,10,0.0547203443204176
"652",6,11,0.0820805164806264
"653",6,12,0
"654",6,13,0
"655",6,14,0.0273601721602088
"656",6,15,0
"657",6,16,0
"658",6,17,0
"667",7,0,0
"668",7,1,0
"677",7,2,4.88888888888889
"678",7,3,0.0592592592592593
"679",7,4,1.15555555555556
"680",7,5,0.207407407407407
"681",7,6,0.148148148148148
"682",7,7,0.888888888888889
"683",7,8,0.325925925925926
"684",7,9,0
"669",7,10,0
"670",7,11,0
"671",7,12,0
"672",7,13,0
"673",7,14,0.148148148148148
"674",7,15,0.0296296296296296
"675",7,16,0.148148148148148
"676",7,17,0
"685",8,0,0
"686",8,1,0
"695",8,2,3.51128524230024
"696",8,3,0
"697",8,4,0.364808856342882
"698",8,5,0.0912022140857205
"699",8,6,0.0684016605642904
"700",8,7,0
"701",8,8,1.41363431832867
"702",8,9,0.0912022140857205
"687",8,10,0
"688",8,11,0.182404428171441
"689",8,12,0.0228005535214301
"690",8,13,0
"691",8,14,0.0684016605642904
"692",8,15,0.0456011070428602
"693",8,16,0.0912022140857205
"694",8,17,0
"703",9,0,0
"704",9,1,0
"713",9,2,0
"714",9,3,0
"715",9,4,0
"716",9,5,0
"717",9,6,1.3037037037037
"718",9,7,0.325925925925926
"719",9,8,4.20740740740741
"720",9,9,0.414814814814815
"705",9,10,0
"706",9,11,0.503703703703704
"707",9,12,0.237037037037037
"708",9,13,0
"709",9,14,0
"710",9,15,0.296296296296296
"711",9,16,0.711111111111111
"712",9,17,0
"19",10,0,0
"20",10,1,0
"29",10,2,0
"30",10,3,0
"31",10,4,0.355555555555556
"32",10,5,1.3037037037037
"33",10,6,0.592592592592593
"34",10,7,1.36296296296296
"35",10,8,2.75555555555556
"36",10,9,0.266666666666667
"21",10,10,0.355555555555556
"22",10,11,0.977777777777778
"23",10,12,0.0296296296296296
"24",10,13,0
"25",10,14,0
"26",10,15,0
"27",10,16,0
"28",10,17,0
"37",11,0,0
"38",11,1,0
"47",11,2,1.05620675950774
"48",11,3,0.166769488343327
"49",11,4,1.40827567934365
"50",11,5,0.833847441716635
"51",11,6,0.500308465029981
"52",11,7,1.46386550879143
"53",11,8,0.0185299431492586
"54",11,9,0.0926497157462928
"39",11,10,0
"40",11,11,0.0185299431492586
"41",11,12,0
"42",11,13,0
"43",11,14,0
"44",11,15,0
"45",11,16,0
"46",11,17,0
"55",12,0,0
"56",12,1,1.71246006389776
"65",12,2,1.58466453674121
"66",12,3,1.68690095846645
"67",12,4,2.17252396166134
"68",12,5,0.178913738019169
"69",12,6,0.255591054313099
"70",12,7,0.357827476038339
"71",12,8,0.0511182108626198
"72",12,9,0
"57",12,10,0
"58",12,11,0
"59",12,12,0
"60",12,13,0
"61",12,14,0
"62",12,15,0
"63",12,16,0
"64",12,17,0
"73",13,0,0
"74",13,1,0.360259764103648
"83",13,2,4.14298728719195
"84",13,3,0.698003292950817
"85",13,4,1.44103905641459
"86",13,5,0.180129882051824
"87",13,6,0.0675487057694339
"88",13,7,0.0675487057694339
"89",13,8,0
"90",13,9,0
"75",13,10,0
"76",13,11,0
"77",13,12,0
"78",13,13,0
"79",13,14,0
"80",13,15,0
"81",13,16,0
"82",13,17,0
"91",14,0,0
"92",14,1,0
"101",14,2,3.82165605095541
"102",14,3,2.06369426751592
"103",14,4,0.636942675159236
"104",14,5,0.0254777070063694
"105",14,6,1.27388535031847
"106",14,7,0.0764331210191083
"107",14,8,0
"108",14,9,0.101910828025478
"93",14,10,0
"94",14,11,0
"95",14,12,0
"96",14,13,0
"97",14,14,0
"98",14,15,0
"99",14,16,0
"100",14,17,0
"109",15,0,0
"110",15,1,0
"119",15,2,6.90095846645367
"120",15,3,1.09904153354633
"121",15,4,0
"122",15,5,0
"123",15,6,0
"124",15,7,0
"125",15,8,0
"126",15,9,0
"111",15,10,0
"112",15,11,0
"113",15,12,0
"114",15,13,0
"115",15,14,0
"116",15,15,0
"117",15,16,0
"118",15,17,0
"127",16,0,0
"128",16,1,0
"137",16,2,1.48029428943429
"138",16,3,1.4536223202553
"139",16,4,0.0266719691789963
"140",16,5,0
"141",16,6,0.440087491453438
"142",16,7,0
"143",16,8,0.120023861305483
"144",16,9,0
"129",16,10,0
"130",16,11,0
"131",16,12,0
"132",16,13,0
"133",16,14,0
"134",16,15,0
"135",16,16,0
"136",16,17,0
"145",17,0,0
"146",17,1,0.0684723086817053
"155",17,2,0.577123744602945
"156",17,3,0.753195395498759
"157",17,4,0
"158",17,5,0.25432571796062
"159",17,6,0.0586905502986046
"160",17,7,0
"161",17,8,0.195635167662015
"162",17,9,0.0391270335324031
"147",17,10,0
"148",17,11,0
"149",17,12,0
"150",17,13,0
"151",17,14,0
"152",17,15,0
"153",17,16,0
"154",17,17,0
"163",18,0,0
"164",18,1,0.392737456825806
"173",18,2,3.11280799113787
"174",18,3,0
"175",18,4,0.232733307748626
"176",18,5,0.276370802951493
"177",18,6,0
"178",18,7,0
"179",18,8,0
"180",18,9,0
"165",18,10,0
"166",18,11,0
"167",18,12,0
"168",18,13,0
"169",18,14,0
"170",18,15,0
"171",18,16,0
"172",18,17,0
"181",19,0,0
"182",19,1,0
"191",19,2,1.53295622371613
"192",19,3,0.03510586771869
"193",19,4,0.0468078236249199
"194",19,5,0.3510586771869
"195",19,6,0
"196",19,7,0.479780192155429
"197",19,8,0.37446258899936
"198",19,9,0
"183",19,10,0
"184",19,11,0
"185",19,12,0
"186",19,13,0
"187",19,14,0
"188",19,15,0
"189",19,16,0
"190",19,17,0
"217",20,0,0
"218",20,1,0
"227",20,2,0
"228",20,3,0
"229",20,4,0
"230",20,5,0
"231",20,6,0
"232",20,7,0.752026329949314
"233",20,8,0.45902905854049
"234",20,9,0
"219",20,10,0
"220",20,11,0.0585994542817647
"221",20,12,0.263697544267941
"222",20,13,0.087899181422647
"223",20,14,0.302763847122451
"224",20,15,0
"225",20,16,0
"226",20,17,0
"235",21,0,0
"236",21,1,0
"245",21,2,0
"246",21,3,0
"247",21,4,0
"248",21,5,0
"249",21,6,0.110344827586207
"250",21,7,7.33793103448276
"251",21,8,0.331034482758621
"252",21,9,0
"237",21,10,0
"238",21,11,0
"239",21,12,0.16551724137931
"240",21,13,0
"241",21,14,0.0551724137931034
"242",21,15,0
"243",21,16,0
"244",21,17,0
"253",22,0,0
"254",22,1,0
"263",22,2,0
"264",22,3,4.17993079584775
"265",22,4,0.332179930795848
"266",22,5,0
"267",22,6,0
"268",22,7,3.34948096885813
"269",22,8,0
"270",22,9,0
"255",22,10,0
"256",22,11,0
"257",22,12,0.13840830449827
"258",22,13,0
"259",22,14,0
"260",22,15,0
"261",22,16,0
"262",22,17,0
"271",23,0,0
"272",23,1,0
"281",23,2,6.08996539792388
"282",23,3,1.43944636678201
"283",23,4,0.249134948096886
"284",23,5,0.027681660899654
"285",23,6,0
"286",23,7,0
"287",23,8,0.193771626297578
"288",23,9,0
"273",23,10,0
"274",23,11,0
"275",23,12,0
"276",23,13,0
"277",23,14,0
"278",23,15,0
"279",23,16,0
"280",23,17,0
"289",24,0,0
"290",24,1,0
"299",24,2,4.17993079584775
"300",24,3,3.21107266435986
"301",24,4,0.166089965397924
"302",24,5,0.027681660899654
"303",24,6,0.13840830449827
"304",24,7,0.221453287197232
"305",24,8,0.055363321799308
"306",24,9,0
"291",24,10,0
"292",24,11,0
"293",24,12,0
"294",24,13,0
"295",24,14,0
"296",24,15,0
"297",24,16,0
"298",24,17,0
"307",25,0,0
"308",25,1,2.11566633123785
"317",25,2,2.4541729442359
"318",25,3,0.232723296436163
"319",25,4,0
"320",25,5,0.338506612998055
"321",25,6,0.761639879245625
"322",25,7,0
"323",25,8,0
"324",25,9,0
"309",25,10,0
"310",25,11,0
"311",25,12,0
"312",25,13,0
"313",25,14,0
"314",25,15,0
"315",25,16,0
"316",25,17,0
"325",26,0,0
"326",26,1,0
"335",26,2,0.719723183391003
"336",26,3,5.97923875432526
"337",26,4,0.27681660899654
"338",26,5,0.332179930795848
"339",26,6,0.55363321799308
"340",26,7,0.13840830449827
"341",26,8,0
"342",26,9,0
"327",26,10,0
"328",26,11,0
"329",26,12,0
"330",26,13,0
"331",26,14,0
"332",26,15,0
"333",26,16,0
"334",26,17,0
"343",27,0,0
"344",27,1,0
"353",27,2,0.858131487889273
"354",27,3,4.5121107266436
"355",27,4,0.941176470588235
"356",27,5,0.027681660899654
"357",27,6,0.858131487889273
"358",27,7,0.747404844290657
"359",27,8,0.055363321799308
"360",27,9,0
"345",27,10,0
"346",27,11,0
"347",27,12,0
"348",27,13,0
"349",27,14,0
"350",27,15,0
"351",27,16,0
"352",27,17,0
"361",28,0,0
"362",28,1,0.128401937491826
"371",28,2,4.18590316223352
"372",28,3,0.564968524964033
"373",28,4,0
"374",28,5,2.38827603734796
"375",28,6,0
"376",28,7,0.102721549993461
"377",28,8,0
"378",28,9,0
"363",28,10,0
"364",28,11,0
"365",28,12,0
"366",28,13,0
"367",28,14,0
"368",28,15,0
"369",28,16,0
"370",28,17,0
"379",29,0,0
"380",29,1,0
"389",29,2,3.69874701584102
"390",29,3,0
"391",29,4,0
"392",29,5,0.601274145432283
"393",29,6,0.0911021432473157
"394",29,7,0.0911021432473157
"395",29,8,0
"396",29,9,0
"381",29,10,0
"382",29,11,0
"383",29,12,0
"384",29,13,0.0182204286494631
"385",29,14,0.29152685839141
"386",29,15,0.109322571896779
"387",29,16,0
"388",29,17,0
"415",30,0,0
"416",30,1,0
"425",30,2,2.67840301147108
"426",30,3,0
"427",30,4,0
"428",30,5,0.728817145978525
"429",30,6,0
"430",30,7,0.63771500273121
"431",30,8,0.0364408572989263
"432",30,9,0
"417",30,10,0.0182204286494631
"418",30,11,0.783478431926915
"419",30,12,0
"420",30,13,0
"421",30,14,0.0182204286494631
"422",30,15,0
"423",30,16,0
"424",30,17,0
"433",31,0,0
"434",31,1,0
"443",31,2,6.31074156610966
"444",31,3,0.197897819146296
"445",31,4,0
"446",31,5,0
"447",31,6,0
"448",31,7,0.417784284864403
"449",31,8,0.703636690297942
"450",31,9,0
"435",31,10,0
"436",31,11,0
"437",31,12,0
"438",31,13,0
"439",31,14,0
"440",31,15,0.0879545862872427
"441",31,16,0
"442",31,17,0
"451",32,0,0
"452",32,1,0
"461",32,2,1.01083248303961
"462",32,3,1.92058171777527
"463",32,4,0.231047424694769
"464",32,5,0
"465",32,6,0.259928352781615
"466",32,7,0.0433213921302692
"467",32,8,0.317690208955307
"468",32,9,0.144404640434231
"453",32,10,0.51985670556323
"454",32,11,0.158845104477654
"455",32,12,0.0288809280868461
"456",32,13,0.0144404640434231
"457",32,14,0.0288809280868461
"458",32,15,0
"459",32,16,0
"460",32,17,0
"469",33,0,0
"470",33,1,0
"479",33,2,1.77279530066088
"480",33,3,0.104968142802289
"481",33,4,0
"482",33,5,0.0933050158242569
"483",33,6,0.419872571209156
"484",33,7,0
"485",33,8,0
"486",33,9,0.0349893809340963
"471",33,10,0
"472",33,11,0.0933050158242569
"473",33,12,0.151620650714418
"474",33,13,0.256588793516707
"475",33,14,0.38488319027506
"476",33,15,0.0116631269780321
"477",33,16,0.0933050158242569
"478",33,17,0.0116631269780321
"487",34,0,0
"488",34,1,0.0137061443074257
"497",34,2,2.30263224364752
"498",34,3,1.35690828643515
"499",34,4,0
"500",34,5,0
"501",34,6,0
"502",34,7,0
"503",34,8,0
"504",34,9,0.150767587381683
"489",34,10,0.137061443074257
"490",34,11,0.0274122886148515
"491",34,12,0.0137061443074257
"492",34,13,0.150767587381683
"493",34,14,0.0137061443074257
"494",34,15,0.0548245772297029
"495",34,16,0.123355298766832
"496",34,17,0.0137061443074257
"505",35,0,0
"506",35,1,0.578681081955955
"515",35,2,0.268169281882028
"516",35,3,0.134084640941014
"517",35,4,0
"518",35,5,0
"519",35,6,0
"520",35,7,0
"521",35,8,0
"522",35,9,0
"507",35,10,0
"508",35,11,0
"509",35,12,0
"510",35,13,0
"511",35,14,0
"512",35,15,0
"513",35,16,0
"514",35,17,0
"523",36,0,0
"524",36,1,0.652623787523882
"533",36,2,0.896140126152196
"534",36,3,0
"535",36,4,0.0876658819061931
"536",36,5,0.72080836233981
"537",36,6,0
"538",36,7,0
"539",36,8,0
"540",36,9,0.126628496086723
"525",36,10,0
"526",36,11,0
"527",36,12,0
"528",36,13,0
"529",36,14,0
"530",36,15,0
"531",36,16,0
"532",36,17,0
"541",37,0,0
"542",37,1,0.250690373274524
"551",37,2,0.00716258209355783
"552",37,3,0
"553",37,4,0
"554",37,5,0.530031074923279
"555",37,6,0
"556",37,7,0
"557",37,8,0
"558",37,9,0.0143251641871157
"543",37,10,0
"544",37,11,0.0214877462806735
"545",37,12,0.114601313496925
"546",37,13,0.0644632388420204
"547",37,14,0
"548",37,15,0.00716258209355783
"549",37,16,0.0358129104677891
"550",37,17,0
"559",38,0,0
"560",38,1,0.487403700522408
"569",38,2,0.168375823816832
"570",38,3,0
"571",38,4,0
"572",38,5,1.01911682836504
"573",38,6,0.0265856563921314
"574",38,7,0.0886188546404379
"575",38,8,0
"576",38,9,0.0354475418561751
"561",38,10,0
"562",38,11,0
"563",38,12,0
"564",38,13,0.0974807401044817
"565",38,14,0.0177237709280876
"566",38,15,0
"567",38,16,0.0265856563921314
"568",38,17,0.0531713127842627
"577",39,0,0
"578",39,1,1.86928575568004
"587",39,2,1.32926987070581
"588",39,3,2.01467464778849
"589",39,4,1.12157145340803
"590",39,5,0.353087309406231
"591",39,6,0
"592",39,7,0.415396834595565
"593",39,8,0
"594",39,9,0
"579",39,10,0
"580",39,11,0
"581",39,12,0.0623095251893348
"582",39,13,0.0830793669191131
"583",39,14,0
"584",39,15,0
"585",39,16,0
"586",39,17,0
"613",40,0,0
"614",40,1,0
"623",40,2,0
"624",40,3,3.98860398860399
"625",40,4,2.73504273504274
"626",40,5,1.27635327635328
"627",40,6,0
"628",40,7,0
"629",40,8,0
"630",40,9,0
"615",40,10,0
"616",40,11,0
"617",40,12,0
"618",40,13,0
"619",40,14,0
"620",40,15,0
"621",40,16,0
"622",40,17,0
