"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"15",1,3,0.00372495469298919
"16",1,4,4.35485390334753
"17",1,5,1.99935878419347
"18",1,6,0
"19",1,7,0
"20",1,8,0
"21",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0.861076959530247
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"232",2,0,0
"233",2,1,0
"244",2,2,0.644363544562847
"246",2,3,0.178789326164454
"247",2,4,2.20850237610104
"248",2,5,1.76131427355995
"249",2,6,0
"250",2,7,0
"251",2,8,1.07461013871897
"252",2,9,1.83705816594084
"234",2,10,0
"235",2,11,0
"236",2,12,0
"237",2,13,0
"238",2,14,0
"239",2,15,0
"240",2,16,0
"241",2,17,0
"242",2,18,0
"243",2,19,0
"245",2,20,0
"463",3,0,0
"464",3,1,0
"475",3,2,0
"477",3,3,1.62454037944965
"478",3,4,0.289334816958931
"479",3,5,2.34815749840088
"480",3,6,1.77631257515634
"481",3,7,1.40769441059111
"482",3,8,0
"483",3,9,0
"465",3,10,0
"466",3,11,0
"467",3,12,0
"468",3,13,0
"469",3,14,0
"470",3,15,0
"471",3,16,0
"472",3,17,0
"473",3,18,0
"474",3,19,0
"476",3,20,0
"694",4,0,0
"695",4,1,0.193048868396334
"706",4,2,0.13174516348112
"708",4,3,0.284205868014391
"709",4,4,0.435320165111139
"710",4,5,1.82107211809524
"711",4,6,0.463290207842871
"712",4,7,0
"713",4,8,0
"714",4,9,0
"696",4,10,0
"697",4,11,0.463290207842871
"698",4,12,0
"699",4,13,0
"700",4,14,0
"701",4,15,0
"702",4,16,0
"703",4,17,0
"704",4,18,0
"705",4,19,0
"707",4,20,0
"736",5,0,0
"737",5,1,0
"748",5,2,0
"750",5,3,0.29680595803064
"751",5,4,4.84196960911908
"752",5,5,0.953741477616761
"753",5,6,0.39583847782857
"754",5,7,0
"755",5,8,0
"756",5,9,0
"738",5,10,0
"739",5,11,0
"740",5,12,1.51164447740495
"741",5,13,0.0238805970149254
"742",5,14,0
"743",5,15,0
"744",5,16,0
"745",5,17,0
"746",5,18,0
"747",5,19,0
"749",5,20,0
"757",6,0,0
"758",6,1,0
"769",6,2,1.25015661774809
"771",6,3,0.678656449634678
"772",6,4,0.125015661774809
"773",6,5,1.46446918079062
"774",6,6,0.464343886592148
"775",6,7,0.357187605070883
"776",6,8,0.0357187605070883
"777",6,9,0.51792202735278
"759",6,10,0.285750084056706
"760",6,11,0.321468844563795
"761",6,12,0.125015661774809
"762",6,13,0.0714375210141766
"763",6,14,0.0178593802535442
"764",6,15,0.0357187605070883
"765",6,16,0
"766",6,17,0
"767",6,18,0
"768",6,19,0
"770",6,20,0
"778",7,0,0
"779",7,1,0
"790",7,2,0.549253731343284
"792",7,3,0
"793",7,4,0
"794",7,5,0.525373134328358
"795",7,6,3.34328358208955
"796",7,7,0.429850746268657
"797",7,8,1.5044776119403
"798",7,9,0.97910447761194
"780",7,10,0
"781",7,11,0.191044776119403
"782",7,12,0.334328358208955
"783",7,13,0.143283582089552
"784",7,14,0
"785",7,15,0
"786",7,16,0
"787",7,17,0
"788",7,18,0
"789",7,19,0
"791",7,20,0
"799",8,0,0
"800",8,1,0.756066319297109
"811",8,2,0.0196380862155093
"813",8,3,0.471314069172224
"814",8,4,0.0981904310775466
"815",8,5,0
"816",8,6,0.029457129323264
"817",8,7,0
"818",8,8,0.206199905262848
"819",8,9,0.667694931327317
"801",8,10,0
"802",8,11,0.029457129323264
"803",8,12,0
"804",8,13,0
"805",8,14,0
"806",8,15,0
"807",8,16,0
"808",8,17,0
"809",8,18,0
"810",8,19,0
"812",8,20,0
"820",9,0,0
"821",9,1,0.43964917427711
"832",9,2,0.164868440353916
"834",9,3,0.494605321061749
"835",9,4,0.201505871543675
"836",9,5,0.219824587138555
"837",9,6,0
"838",9,7,0.42133045868223
"839",9,8,0
"840",9,9,0
"822",9,10,0
"823",9,11,0
"824",9,12,0
"825",9,13,0
"826",9,14,0
"827",9,15,0
"828",9,16,0
"829",9,17,0
"830",9,18,0
"831",9,19,0
"833",9,20,0
"22",10,0,0
"23",10,1,0.434343136791308
"34",10,2,3.0817679705669
"36",10,3,2.17171568395654
"37",10,4,0
"38",10,5,0.0827320260554873
"39",10,6,0.0827320260554873
"40",10,7,0.868686273582616
"41",10,8,0.0620490195416155
"42",10,9,0.0206830065138718
"24",10,10,0.0206830065138718
"25",10,11,0
"26",10,12,0
"27",10,13,0
"28",10,14,0
"29",10,15,0
"30",10,16,0
"31",10,17,0
"32",10,18,0
"33",10,19,0
"35",10,20,0
"43",11,0,0
"44",11,1,0
"55",11,2,0.58683556321176
"57",11,3,1.89091459257123
"58",11,4,0.09780592720196
"59",11,5,0.163009878669933
"60",11,6,1.15737013855653
"61",11,7,0.0652039514679733
"62",11,8,0.88025334481764
"63",11,9,0
"45",11,10,0
"46",11,11,0
"47",11,12,0
"48",11,13,0
"49",11,14,0
"50",11,15,0
"51",11,16,0
"52",11,17,0
"53",11,18,0
"54",11,19,0
"56",11,20,0
"64",12,0,0
"65",12,1,0
"76",12,2,0.00660200961631925
"78",12,3,0
"79",12,4,0
"80",12,5,0
"81",12,6,0.250876365420132
"82",12,7,0
"83",12,8,0
"84",12,9,0
"66",12,10,0
"67",12,11,0
"68",12,12,0
"69",12,13,0
"70",12,14,0
"71",12,15,0.026408038465277
"72",12,16,0
"73",12,17,0
"74",12,18,0
"75",12,19,0
"77",12,20,0
"85",13,0,0
"86",13,1,0
"97",13,2,0.794490737629488
"99",13,3,0.392459280033844
"100",13,4,0.18187137367422
"101",13,5,0
"102",13,6,0.0191443551236021
"103",13,7,0
"104",13,8,0.497753233213655
"105",13,9,0
"87",13,10,0
"88",13,11,0
"89",13,12,0
"90",13,13,0
"91",13,14,0
"92",13,15,0.0478608878090053
"93",13,16,0
"94",13,17,0
"95",13,18,0
"96",13,19,0
"98",13,20,0
"106",14,0,0
"107",14,1,0
"118",14,2,1.097005106196
"120",14,3,0.700864373402998
"121",14,4,2.2701911225445
"122",14,5,0.259015094518499
"123",14,6,0.0152361820305
"124",14,7,0.0609447281219999
"125",14,8,0
"126",14,9,0
"108",14,10,0
"109",14,11,0
"110",14,12,0
"111",14,13,0
"112",14,14,0
"113",14,15,0
"114",14,16,0
"115",14,17,0
"116",14,18,0
"117",14,19,0
"119",14,20,0
"127",15,0,0
"128",15,1,0
"139",15,2,0
"141",15,3,4.275
"142",15,4,3.15
"143",15,5,0.2
"144",15,6,0
"145",15,7,0
"146",15,8,0
"147",15,9,0.375
"129",15,10,0
"130",15,11,0
"131",15,12,0
"132",15,13,0
"133",15,14,0
"134",15,15,0
"135",15,16,0
"136",15,17,0
"137",15,18,0
"138",15,19,0
"140",15,20,0
"148",16,0,0
"149",16,1,0
"160",16,2,0
"162",16,3,2.15673981191223
"163",16,4,0
"164",16,5,0
"165",16,6,0.777429467084639
"166",16,7,0
"167",16,8,0.852664576802508
"168",16,9,0.576802507836991
"150",16,10,2.33228840125392
"151",16,11,0
"152",16,12,0.652037617554859
"153",16,13,0.401253918495298
"154",16,14,0.200626959247649
"155",16,15,0.0250783699059561
"156",16,16,0.0250783699059561
"157",16,17,0
"158",16,18,0
"159",16,19,0
"161",16,20,0
"169",17,0,0
"170",17,1,0
"181",17,2,0
"183",17,3,4.91789375614835
"184",17,4,0.253282081861718
"185",17,5,0
"186",17,6,0.73873940543001
"187",17,7,0.147747881086002
"188",17,8,0
"189",17,9,0
"171",17,10,0.126641040930859
"172",17,11,0
"173",17,12,0.0211068401551432
"174",17,13,0.232175241706575
"175",17,14,0.0844273606205726
"176",17,15,0
"177",17,16,0.0844273606205726
"178",17,17,0
"179",17,18,0
"180",17,19,0
"182",17,20,0
"190",18,0,0
"191",18,1,0
"202",18,2,0
"204",18,3,1.05013808513992
"205",18,4,0
"206",18,5,0.0792557045388622
"207",18,6,2.17953187481871
"208",18,7,1.70399764758554
"209",18,8,0.435906374963742
"210",18,9,0.277394965886018
"192",18,10,0
"193",18,11,0
"194",18,12,0.198139261347155
"195",18,13,0.0990696306735777
"196",18,14,0.0792557045388622
"197",18,15,0.0594417784041466
"198",18,16,0
"199",18,17,0
"200",18,18,0
"201",18,19,0
"203",18,20,0
"211",19,0,0
"212",19,1,0
"223",19,2,0.175548589341693
"225",19,3,1.70532915360502
"226",19,4,2.28213166144201
"227",19,5,1.40438871473354
"228",19,6,0.175548589341693
"229",19,7,0.125391849529781
"230",19,8,1.05329153605016
"231",19,9,0.0501567398119122
"213",19,10,0.250783699059561
"214",19,11,0.0250783699059561
"215",19,12,0.200626959247649
"216",19,13,0.0752351097178683
"217",19,14,0.326018808777429
"218",19,15,0.150470219435737
"219",19,16,0
"220",19,17,0
"221",19,18,0
"222",19,19,0
"224",19,20,0
"253",20,0,0
"254",20,1,0
"265",20,2,1.05329153605016
"267",20,3,1.90595611285266
"268",20,4,2.38244514106583
"269",20,5,1.90595611285266
"270",20,6,0.601880877742947
"271",20,7,0
"272",20,8,0.125391849529781
"273",20,9,0
"255",20,10,0.0250783699059561
"256",20,11,0
"257",20,12,0
"258",20,13,0
"259",20,14,0
"260",20,15,0
"261",20,16,0
"262",20,17,0
"263",20,18,0
"264",20,19,0
"266",20,20,0
"274",21,0,0
"275",21,1,0
"286",21,2,0.419672131147541
"288",21,3,5.00983606557377
"289",21,4,0.39344262295082
"290",21,5,1.49508196721311
"291",21,6,0.629508196721312
"292",21,7,0.0262295081967213
"293",21,8,0
"294",21,9,0
"276",21,10,0.0262295081967213
"277",21,11,0
"278",21,12,0
"279",21,13,0
"280",21,14,0
"281",21,15,0
"282",21,16,0
"283",21,17,0
"284",21,18,0
"285",21,19,0
"287",21,20,0
"295",22,0,0
"296",22,1,0
"307",22,2,3.40983606557377
"309",22,3,4.03934426229508
"310",22,4,0.419672131147541
"311",22,5,0.104918032786885
"312",22,6,0.0262295081967213
"313",22,7,0
"314",22,8,0
"315",22,9,0
"297",22,10,0
"298",22,11,0
"299",22,12,0
"300",22,13,0
"301",22,14,0
"302",22,15,0
"303",22,16,0
"304",22,17,0
"305",22,18,0
"306",22,19,0
"308",22,20,0
"316",23,0,0
"317",23,1,0
"328",23,2,1.62622950819672
"330",23,3,1.28524590163934
"331",23,4,2.04590163934426
"332",23,5,0
"333",23,6,0.524590163934426
"334",23,7,1.04918032786885
"335",23,8,1.41639344262295
"336",23,9,0.0262295081967213
"318",23,10,0
"319",23,11,0
"320",23,12,0.0262295081967213
"321",23,13,0
"322",23,14,0
"323",23,15,0
"324",23,16,0
"325",23,17,0
"326",23,18,0
"327",23,19,0
"329",23,20,0
"337",24,0,0
"338",24,1,0
"349",24,2,1.18032786885246
"351",24,3,2.15081967213115
"352",24,4,1.31147540983607
"353",24,5,1.62622950819672
"354",24,6,0.813114754098361
"355",24,7,0.419672131147541
"356",24,8,0.498360655737705
"357",24,9,0
"339",24,10,0
"340",24,11,0
"341",24,12,0
"342",24,13,0
"343",24,14,0
"344",24,15,0
"345",24,16,0
"346",24,17,0
"347",24,18,0
"348",24,19,0
"350",24,20,0
"358",25,0,0
"359",25,1,0
"370",25,2,0
"372",25,3,0
"373",25,4,1.33770491803279
"374",25,5,0
"375",25,6,4.93114754098361
"376",25,7,1.39016393442623
"377",25,8,0.0786885245901639
"378",25,9,0.0262295081967213
"360",25,10,0.0786885245901639
"361",25,11,0.131147540983607
"362",25,12,0.0262295081967213
"363",25,13,0
"364",25,14,0
"365",25,15,0
"366",25,16,0
"367",25,17,0
"368",25,18,0
"369",25,19,0
"371",25,20,0
"379",26,0,0
"380",26,1,0.314754098360656
"391",26,2,5.24590163934426
"393",26,3,0.760655737704918
"394",26,4,0
"395",26,5,0.0524590163934426
"396",26,6,0.99672131147541
"397",26,7,0.367213114754098
"398",26,8,0.0262295081967213
"399",26,9,0
"381",26,10,0.157377049180328
"382",26,11,0.0524590163934426
"383",26,12,0
"384",26,13,0.0262295081967213
"385",26,14,0
"386",26,15,0
"387",26,16,0
"388",26,17,0
"389",26,18,0
"390",26,19,0
"392",26,20,0
"400",27,0,0
"401",27,1,0.110078229960783
"412",27,2,0.677404492066357
"414",27,3,0.228624016072396
"415",27,4,0.0169351123016589
"416",27,5,0.0169351123016589
"417",27,6,0
"418",27,7,0
"419",27,8,0.0931431176591241
"420",27,9,0
"402",27,10,0
"403",27,11,0
"404",27,12,0
"405",27,13,0
"406",27,14,0.00846755615082947
"407",27,15,0
"408",27,16,0
"409",27,17,0
"410",27,18,0
"411",27,19,0
"413",27,20,0
"421",28,0,0
"422",28,1,0.0530153901061888
"433",28,2,0.0636184681274265
"435",28,3,1.6010647812069
"436",28,4,0.0530153901061888
"437",28,5,0.349901574700846
"438",28,6,0.0742215461486643
"439",28,7,0
"440",28,8,0
"441",28,9,0
"423",28,10,0
"424",28,11,0
"425",28,12,0
"426",28,13,0
"427",28,14,0
"428",28,15,0
"429",28,16,0
"430",28,17,0
"431",28,18,0
"432",28,19,0
"434",28,20,0
"442",29,0,0
"443",29,1,0.0475918311640053
"454",29,2,1.72520387969519
"456",29,3,0.987530496653109
"457",29,4,0.0118979577910013
"458",29,5,0
"459",29,6,0
"460",29,7,0
"461",29,8,0
"462",29,9,0
"444",29,10,0
"445",29,11,0
"446",29,12,0
"447",29,13,0
"448",29,14,0
"449",29,15,0
"450",29,16,0
"451",29,17,0
"452",29,18,0
"453",29,19,0
"455",29,20,0
"484",30,0,0
"485",30,1,0
"496",30,2,5.13157894736842
"498",30,3,2.42105263157895
"499",30,4,0
"500",30,5,0
"501",30,6,0.447368421052632
"502",30,7,0
"503",30,8,0
"504",30,9,0
"486",30,10,0
"487",30,11,0
"488",30,12,0
"489",30,13,0
"490",30,14,0
"491",30,15,0
"492",30,16,0
"493",30,17,0
"494",30,18,0
"495",30,19,0
"497",30,20,0
"505",31,0,0
"506",31,1,0
"517",31,2,0
"519",31,3,0.661326822902289
"520",31,4,3.89710449210277
"521",31,5,0.188950520829225
"522",31,6,0.401519856762104
"523",31,7,0
"524",31,8,0.921133789042473
"525",31,9,0.590470377591329
"507",31,10,0.141712890621919
"508",31,11,0.236188151036532
"509",31,12,0.118094075518266
"510",31,13,0
"511",31,14,0
"512",31,15,0
"513",31,16,0
"514",31,17,0
"515",31,18,0
"516",31,19,0
"518",31,20,0
"526",32,0,0
"527",32,1,0
"538",32,2,0
"540",32,3,3.35737704918033
"541",32,4,3.14754098360656
"542",32,5,0.445901639344262
"543",32,6,0
"544",32,7,0.131147540983607
"545",32,8,0.39344262295082
"546",32,9,0.0524590163934426
"528",32,10,0
"529",32,11,0.157377049180328
"530",32,12,0.0524590163934426
"531",32,13,0.131147540983607
"532",32,14,0.104918032786885
"533",32,15,0.0262295081967213
"534",32,16,0
"535",32,17,0
"536",32,18,0
"537",32,19,0
"539",32,20,0
"547",33,0,0
"548",33,1,0.485864408058984
"559",33,2,2.77347599600337
"561",33,3,2.44956639063071
"562",33,4,0.141710452350537
"563",33,5,0
"564",33,6,0
"565",33,7,0.060733051007373
"566",33,8,0
"567",33,9,0
"549",33,10,0
"550",33,11,0
"551",33,12,0.060733051007373
"552",33,13,0
"553",33,14,0
"554",33,15,0
"555",33,16,0
"556",33,17,0
"557",33,18,0
"558",33,19,0
"560",33,20,0
"568",34,0,0
"569",34,1,0
"580",34,2,2.17704918032787
"582",34,3,0.367213114754098
"583",34,4,0
"584",34,5,0
"585",34,6,0.262295081967213
"586",34,7,3.80327868852459
"587",34,8,0.524590163934426
"588",34,9,0.681967213114754
"570",34,10,0
"571",34,11,0.0524590163934426
"572",34,12,0
"573",34,13,0.131147540983607
"574",34,14,0
"575",34,15,0
"576",34,16,0
"577",34,17,0
"578",34,18,0
"579",34,19,0
"581",34,20,0
"589",35,0,0
"590",35,1,0
"601",35,2,0.99672131147541
"603",35,3,0.813114754098361
"604",35,4,0
"605",35,5,0.39344262295082
"606",35,6,0.786885245901639
"607",35,7,2.67540983606557
"608",35,8,1.75737704918033
"609",35,9,0.0786885245901639
"591",35,10,0.288524590163934
"592",35,11,0.0524590163934426
"593",35,12,0.0786885245901639
"594",35,13,0.0786885245901639
"595",35,14,0
"596",35,15,0
"597",35,16,0
"598",35,17,0
"599",35,18,0
"600",35,19,0
"602",35,20,0
"610",36,0,0
"611",36,1,0
"622",36,2,0
"624",36,3,0
"625",36,4,0
"626",36,5,2.91147540983607
"627",36,6,1.80983606557377
"628",36,7,2.38688524590164
"629",36,8,0.131147540983607
"630",36,9,0.20983606557377
"612",36,10,0.262295081967213
"613",36,11,0.236065573770492
"614",36,12,0
"615",36,13,0
"616",36,14,0
"617",36,15,0
"618",36,16,0.0524590163934426
"619",36,17,0
"620",36,18,0
"621",36,19,0
"623",36,20,0
"631",37,0,0
"632",37,1,0
"643",37,2,0
"645",37,3,0
"646",37,4,0.472131147540984
"647",37,5,2.38688524590164
"648",37,6,0
"649",37,7,0.0786885245901639
"650",37,8,0.314754098360656
"651",37,9,0.734426229508197
"633",37,10,0.944262295081967
"634",37,11,1.83606557377049
"635",37,12,0.60327868852459
"636",37,13,0.39344262295082
"637",37,14,0
"638",37,15,0.104918032786885
"639",37,16,0.131147540983607
"640",37,17,0
"641",37,18,0
"642",37,19,0
"644",37,20,0
"652",38,0,0
"653",38,1,0
"664",38,2,0
"666",38,3,0
"667",38,4,0
"668",38,5,2.78834383855724
"669",38,6,0
"670",38,7,0.0230441639550185
"671",38,8,1.17525236170594
"672",38,9,0.276529967460222
"654",38,10,0.0921766558200741
"655",38,11,1.26742901752602
"656",38,12,0.0230441639550185
"657",38,13,0.115220819775093
"658",38,14,0.0230441639550185
"659",38,15,0.345662459325278
"660",38,16,0.138264983730111
"661",38,17,0.115220819775093
"662",38,18,0.0921766558200741
"663",38,19,0.253485803505204
"665",38,20,0.207397475595167
"673",39,0,0
"674",39,1,0
"685",39,2,0
"687",39,3,1.2327868852459
"688",39,4,0
"689",39,5,1.62622950819672
"690",39,6,3.2
"691",39,7,0.314754098360656
"692",39,8,0.0786885245901639
"693",39,9,0.262295081967213
"675",39,10,0.0786885245901639
"676",39,11,0.655737704918033
"677",39,12,0
"678",39,13,0.0524590163934426
"679",39,14,0.0786885245901639
"680",39,15,0.183606557377049
"681",39,16,0
"682",39,17,0.104918032786885
"683",39,18,0
"684",39,19,0
"686",39,20,0.131147540983607
"715",40,0,0
"716",40,1,0
"727",40,2,0
"729",40,3,1.22093727336168
"730",40,4,1.83140591004253
"731",40,5,1.44070598256679
"732",40,6,1.78256841910806
"733",40,7,1.00116856415658
"734",40,8,0
"735",40,9,0.0244187454672337
"717",40,10,0.0488374909344674
"718",40,11,0
"719",40,12,0
"720",40,13,0
"721",40,14,0
"722",40,15,0
"723",40,16,0
"724",40,17,0
"725",40,18,0.0488374909344674
"726",40,19,0
"728",40,20,0
