"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"22",1,3,0
"23",1,4,0.00708293547747193
"24",1,5,4.34380852647428
"25",1,6,2.36540478973404
"26",1,7,1.10287514140855
"27",1,8,0.180828606905655
"28",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0.301449275362319
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"309",2,0,0
"310",2,1,0
"321",2,2,0.0927536231884058
"330",2,3,0
"331",2,4,0.0695652173913043
"332",2,5,1.22898550724638
"333",2,6,1.08985507246377
"334",2,7,0
"335",2,8,2.04057971014493
"336",2,9,1.18260869565217
"311",2,10,0.32463768115942
"312",2,11,0.231884057971014
"313",2,12,0.16231884057971
"314",2,13,0.649275362318841
"315",2,14,0.0231884057971014
"316",2,15,0.0695652173913043
"317",2,16,0.0231884057971014
"318",2,17,0.0695652173913043
"319",2,18,0.742028985507246
"320",2,19,0
"322",2,20,0
"323",2,21,0
"324",2,22,0
"325",2,23,0
"326",2,24,0
"327",2,25,0
"328",2,26,0
"329",2,27,0
"365",3,0,0
"366",3,1,0
"377",3,2,0.32463768115942
"386",3,3,0
"387",3,4,0
"388",3,5,5.40289855072464
"389",3,6,0.0231884057971014
"390",3,7,0.927536231884058
"391",3,8,0.347826086956522
"392",3,9,0.973913043478261
"367",3,10,0
"368",3,11,0
"369",3,12,0
"370",3,13,0
"371",3,14,0
"372",3,15,0
"373",3,16,0
"374",3,17,0
"375",3,18,0
"376",3,19,0
"378",3,20,0
"379",3,21,0
"380",3,22,0
"381",3,23,0
"382",3,24,0
"383",3,25,0
"384",3,26,0
"385",3,27,0
"393",4,0,0
"394",4,1,0
"405",4,2,0
"414",4,3,0
"415",4,4,0
"416",4,5,0
"417",4,6,0
"418",4,7,0
"419",4,8,0.834782608695652
"420",4,9,3.2231884057971
"395",4,10,1.48405797101449
"396",4,11,2.08695652173913
"397",4,12,0.347826086956522
"398",4,13,0.0231884057971014
"399",4,14,0
"400",4,15,0
"401",4,16,0
"402",4,17,0
"403",4,18,0
"404",4,19,0
"406",4,20,0
"407",4,21,0
"408",4,22,0
"409",4,23,0
"410",4,24,0
"411",4,25,0
"412",4,26,0
"413",4,27,0
"421",5,0,0
"422",5,1,0
"433",5,2,0
"442",5,3,0
"443",5,4,0.602898550724638
"444",5,5,2.22608695652174
"445",5,6,0.185507246376812
"446",5,7,0
"447",5,8,0.602898550724638
"448",5,9,0.115942028985507
"423",5,10,0
"424",5,11,0.347826086956522
"425",5,12,0.649275362318841
"426",5,13,1.71594202898551
"427",5,14,1.5536231884058
"428",5,15,0
"429",5,16,0
"430",5,17,0
"431",5,18,0
"432",5,19,0
"434",5,20,0
"435",5,21,0
"436",5,22,0
"437",5,23,0
"438",5,24,0
"439",5,25,0
"440",5,26,0
"441",5,27,0
"449",6,0,0
"450",6,1,0
"461",6,2,0
"470",6,3,0
"471",6,4,0
"472",6,5,0
"473",6,6,0
"474",6,7,0
"475",6,8,0.0232558139534884
"476",6,9,1.53488372093023
"451",6,10,0.186046511627907
"452",6,11,0.13953488372093
"453",6,12,1.72093023255814
"454",6,13,0.767441860465116
"455",6,14,3.62790697674419
"456",6,15,0
"457",6,16,0
"458",6,17,0
"459",6,18,0
"460",6,19,0
"462",6,20,0
"463",6,21,0
"464",6,22,0
"465",6,23,0
"466",6,24,0
"467",6,25,0
"468",6,26,0
"469",6,27,0
"477",7,0,0
"478",7,1,0
"489",7,2,0
"498",7,3,0
"499",7,4,0
"500",7,5,0
"501",7,6,0
"502",7,7,0
"503",7,8,0
"504",7,9,0
"479",7,10,0
"480",7,11,2.87536231884058
"481",7,12,2.01739130434783
"482",7,13,0
"483",7,14,1.29855072463768
"484",7,15,1.69275362318841
"485",7,16,0.115942028985507
"486",7,17,0
"487",7,18,0
"488",7,19,0
"490",7,20,0
"491",7,21,0
"492",7,22,0
"493",7,23,0
"494",7,24,0
"495",7,25,0
"496",7,26,0
"497",7,27,0
"505",8,0,0
"506",8,1,0
"517",8,2,0
"526",8,3,0
"527",8,4,0
"528",8,5,0
"529",8,6,0
"530",8,7,0
"531",8,8,0
"532",8,9,0
"507",8,10,0
"508",8,11,0
"509",8,12,0.185507246376812
"510",8,13,0
"511",8,14,0
"512",8,15,3.2695652173913
"513",8,16,2.85217391304348
"514",8,17,0
"515",8,18,0.0927536231884058
"516",8,19,0
"518",8,20,0
"519",8,21,0
"520",8,22,0
"521",8,23,0.0231884057971014
"522",8,24,1.08985507246377
"523",8,25,0.371014492753623
"524",8,26,0.0927536231884058
"525",8,27,0.0231884057971014
"533",9,0,0
"534",9,1,0
"545",9,2,0
"554",9,3,0
"555",9,4,0
"556",9,5,0
"557",9,6,0
"558",9,7,0
"559",9,8,0
"560",9,9,0
"535",9,10,0
"536",9,11,0
"537",9,12,0
"538",9,13,0
"539",9,14,0
"540",9,15,0
"541",9,16,0.358728169245958
"542",9,17,0.851979401959149
"543",9,18,0
"544",9,19,0
"546",9,20,0
"547",9,21,0
"548",9,22,0
"549",9,23,0.0448410211557447
"550",9,24,2.69046126934468
"551",9,25,3.09403045974638
"552",9,26,0.582933275024681
"553",9,27,0.0896820423114894
"29",10,0,0
"30",10,1,0
"41",10,2,0
"50",10,3,0
"51",10,4,0
"52",10,5,0
"53",10,6,0
"54",10,7,0
"55",10,8,0
"56",10,9,0
"31",10,10,0
"32",10,11,0
"33",10,12,0
"34",10,13,0
"35",10,14,0
"36",10,15,0
"37",10,16,0
"38",10,17,0
"39",10,18,0
"40",10,19,0
"42",10,20,0.135551587792197
"43",10,21,0
"44",10,22,0
"45",10,23,0.0580935376252272
"46",10,24,0.832674039294923
"47",10,25,3.44688323243015
"48",10,26,2.05263832942469
"49",10,27,0
"57",11,0,0
"58",11,1,0
"69",11,2,0
"78",11,3,0
"79",11,4,0
"80",11,5,0
"81",11,6,0
"82",11,7,0
"83",11,8,0
"84",11,9,0
"59",11,10,0
"60",11,11,0
"61",11,12,0
"62",11,13,0
"63",11,14,0
"64",11,15,0
"65",11,16,0
"66",11,17,0
"67",11,18,0
"68",11,19,0
"70",11,20,0.287633282764581
"71",11,21,0
"72",11,22,0
"73",11,23,0.0991838906084763
"74",11,24,1.49767674818799
"75",11,25,0.981920517023916
"76",11,26,0.396735562433905
"77",11,27,0.0198367781216953
"85",12,0,0
"86",12,1,0
"97",12,2,0
"106",12,3,4.32983925940265
"107",12,4,0
"108",12,5,0.521900267874426
"109",12,6,0.212626035059952
"110",12,7,0
"111",12,8,0
"112",12,9,0
"87",12,10,0
"88",12,11,0
"89",12,12,0
"90",12,13,0
"91",12,14,0
"92",12,15,0
"93",12,16,0
"94",12,17,0
"95",12,18,0
"96",12,19,0
"98",12,20,0.193296395509047
"99",12,21,0
"100",12,22,0
"101",12,23,0.57988918652714
"102",12,24,1.12111909395247
"103",12,25,0.695867023832569
"104",12,26,0.0966481977545234
"105",12,27,0
"113",13,0,0
"114",13,1,0
"125",13,2,0
"134",13,3,5.89578163771712
"135",13,4,2.10421836228288
"136",13,5,0
"137",13,6,0
"138",13,7,0
"139",13,8,0
"140",13,9,0
"115",13,10,0
"116",13,11,0
"117",13,12,0
"118",13,13,0
"119",13,14,0
"120",13,15,0
"121",13,16,0
"122",13,17,0
"123",13,18,0
"124",13,19,0
"126",13,20,0
"127",13,21,0
"128",13,22,0
"129",13,23,0
"130",13,24,0
"131",13,25,0
"132",13,26,0
"133",13,27,0
"141",14,0,0
"142",14,1,0
"153",14,2,0
"162",14,3,0
"163",14,4,3.32338308457711
"164",14,5,4.39800995024876
"165",14,6,0
"166",14,7,0
"167",14,8,0
"168",14,9,0
"143",14,10,0
"144",14,11,0
"145",14,12,0
"146",14,13,0
"147",14,14,0
"148",14,15,0
"149",14,16,0
"150",14,17,0
"151",14,18,0
"152",14,19,0
"154",14,20,0
"155",14,21,0
"156",14,22,0
"157",14,23,0
"158",14,24,0.0995024875621891
"159",14,25,0.17910447761194
"160",14,26,0
"161",14,27,0
"169",15,0,0
"170",15,1,0
"181",15,2,0
"190",15,3,0.183242640094663
"191",15,4,0.787943352407053
"192",15,5,5.6072247868967
"193",15,6,0.0366485280189327
"194",15,7,0.164918376085197
"195",15,8,0
"196",15,9,0
"171",15,10,0
"172",15,11,0
"173",15,12,0
"174",15,13,0
"175",15,14,0
"176",15,15,0
"177",15,16,0
"178",15,17,0
"179",15,18,0
"180",15,19,0
"182",15,20,0
"183",15,21,0
"184",15,22,0
"185",15,23,0
"186",15,24,0.20156690410413
"187",15,25,0.348161016179861
"188",15,26,0
"189",15,27,0
"197",16,0,0
"198",16,1,0
"209",16,2,0
"218",16,3,0.0597014925373134
"219",16,4,0.736318407960199
"220",16,5,0
"221",16,6,2.44776119402985
"222",16,7,4.31840796019901
"223",16,8,0.0995024875621891
"224",16,9,0.0796019900497512
"199",16,10,0
"200",16,11,0
"201",16,12,0
"202",16,13,0
"203",16,14,0
"204",16,15,0
"205",16,16,0
"206",16,17,0
"207",16,18,0
"208",16,19,0
"210",16,20,0
"211",16,21,0
"212",16,22,0
"213",16,23,0
"214",16,24,0.0398009950248756
"215",16,25,0.218905472636816
"216",16,26,0
"217",16,27,0
"225",17,0,0
"226",17,1,0
"237",17,2,0
"246",17,3,0
"247",17,4,0
"248",17,5,0
"249",17,6,0.119402985074627
"250",17,7,6.46766169154229
"251",17,8,1.21393034825871
"252",17,9,0.199004975124378
"227",17,10,0
"228",17,11,0
"229",17,12,0
"230",17,13,0
"231",17,14,0
"232",17,15,0
"233",17,16,0
"234",17,17,0
"235",17,18,0
"236",17,19,0
"238",17,20,0
"239",17,21,0
"240",17,22,0
"241",17,23,0
"242",17,24,0
"243",17,25,0
"244",17,26,0
"245",17,27,0
"253",18,0,0
"254",18,1,0
"265",18,2,0
"274",18,3,0
"275",18,4,0.694789081885856
"276",18,5,0.258064516129032
"277",18,6,0.337468982630273
"278",18,7,4.60545905707196
"279",18,8,2.10421836228288
"280",18,9,0
"255",18,10,0
"256",18,11,0
"257",18,12,0
"258",18,13,0
"259",18,14,0
"260",18,15,0
"261",18,16,0
"262",18,17,0
"263",18,18,0
"264",18,19,0
"266",18,20,0
"267",18,21,0
"268",18,22,0
"269",18,23,0
"270",18,24,0
"271",18,25,0
"272",18,26,0
"273",18,27,0
"281",19,0,0
"282",19,1,0
"293",19,2,0
"302",19,3,0
"303",19,4,0.0398009950248756
"304",19,5,0.935323383084577
"305",19,6,2.66666666666667
"306",19,7,2.74626865671642
"307",19,8,1.13432835820896
"308",19,9,0.477611940298507
"283",19,10,0
"284",19,11,0
"285",19,12,0
"286",19,13,0
"287",19,14,0
"288",19,15,0
"289",19,16,0
"290",19,17,0
"291",19,18,0
"292",19,19,0
"294",19,20,0
"295",19,21,0
"296",19,22,0
"297",19,23,0
"298",19,24,0
"299",19,25,0
"300",19,26,0
"301",19,27,0
"337",20,0,0
"338",20,1,0
"349",20,2,0
"358",20,3,0
"359",20,4,0
"360",20,5,1.43283582089552
"361",20,6,0
"362",20,7,2.70646766169154
"363",20,8,3.32338308457711
"364",20,9,0.537313432835821
"339",20,10,0
"340",20,11,0
"341",20,12,0
"342",20,13,0
"343",20,14,0
"344",20,15,0
"345",20,16,0
"346",20,17,0
"347",20,18,0
"348",20,19,0
"350",20,20,0
"351",20,21,0
"352",20,22,0
"353",20,23,0
"354",20,24,0
"355",20,25,0
"356",20,26,0
"357",20,27,0
