"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"24",1,3,0.632543278801978
"28",1,4,0.244927098617098
"29",1,5,0.698311190190791
"30",1,6,0.39537629585054
"31",1,7,0
"32",1,8,0.374603308483751
"33",1,9,0.886903375764406
"3",1,10,0.198477072280586
"4",1,11,0.552473460771387
"5",1,12,0.969336776115267
"6",1,13,3.0470481431242
"7",1,14,0.0483383685800604
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0
"23",1,29,0
"25",1,30,0
"26",1,31,0
"27",1,32,0
"364",2,0,0
"365",2,1,0
"376",2,2,0
"387",2,3,0
"391",2,4,0
"392",2,5,0
"393",2,6,2.0785498489426
"394",2,7,0.676737160120846
"395",2,8,1.93353474320242
"396",2,9,0.193353474320242
"366",2,10,0.0725075528700906
"367",2,11,1.98187311178248
"368",2,12,0.652567975830816
"369",2,13,0.217522658610272
"370",2,14,0.193353474320242
"371",2,15,0
"372",2,16,0
"373",2,17,0
"374",2,18,0
"375",2,19,0
"377",2,20,0
"378",2,21,0
"379",2,22,0
"380",2,23,0
"381",2,24,0
"382",2,25,0
"383",2,26,0
"384",2,27,0
"385",2,28,0
"386",2,29,0
"388",2,30,0
"389",2,31,0
"390",2,32,0
"727",3,0,0
"728",3,1,0
"739",3,2,0
"750",3,3,0
"754",3,4,0
"755",3,5,0
"756",3,6,1.74018126888218
"757",3,7,4.71299093655589
"758",3,8,0
"759",3,9,0
"729",3,10,0.483383685800604
"730",3,11,0.145015105740181
"731",3,12,0.193353474320242
"732",3,13,0.652567975830816
"733",3,14,0.0725075528700906
"734",3,15,0
"735",3,16,0
"736",3,17,0
"737",3,18,0
"738",3,19,0
"740",3,20,0
"741",3,21,0
"742",3,22,0
"743",3,23,0
"744",3,24,0
"745",3,25,0
"746",3,26,0
"747",3,27,0
"748",3,28,0
"749",3,29,0
"751",3,30,0
"752",3,31,0
"753",3,32,0
"793",4,0,0
"794",4,1,1.19020160786851
"805",4,2,0
"816",4,3,0
"820",4,4,0
"821",4,5,0
"822",4,6,0.210035577859149
"823",4,7,4.43408442147093
"824",4,8,0.0700118592863831
"825",4,9,0.37339658286071
"795",4,10,1.02684060286695
"796",4,11,0.163361005001561
"797",4,12,0
"798",4,13,0.233372864287944
"799",4,14,0
"800",4,15,0
"801",4,16,0
"802",4,17,0
"803",4,18,0
"804",4,19,0
"806",4,20,0
"807",4,21,0
"808",4,22,0
"809",4,23,0
"810",4,24,0
"811",4,25,0
"812",4,26,0
"813",4,27,0
"814",4,28,0
"815",4,29,0
"817",4,30,0
"818",4,31,0
"819",4,32,0
"826",5,0,0
"827",5,1,0
"838",5,2,0.410876132930514
"849",5,3,0.652567975830816
"853",5,4,0
"854",5,5,3.74622356495468
"855",5,6,0
"856",5,7,0.386706948640483
"857",5,8,0.725075528700906
"858",5,9,1.45015105740181
"828",5,10,0
"829",5,11,0
"830",5,12,0.386706948640483
"831",5,13,0.0725075528700906
"832",5,14,0.0966767371601208
"833",5,15,0.0241691842900302
"834",5,16,0.0483383685800604
"835",5,17,0
"836",5,18,0
"837",5,19,0
"839",5,20,0
"840",5,21,0
"841",5,22,0
"842",5,23,0
"843",5,24,0
"844",5,25,0
"845",5,26,0
"846",5,27,0
"847",5,28,0
"848",5,29,0
"850",5,30,0
"851",5,31,0
"852",5,32,0
"859",6,0,0
"860",6,1,0
"871",6,2,0.121212121212121
"882",6,3,6.73939393939394
"886",6,4,0.145454545454545
"887",6,5,0.896969696969697
"888",6,6,0
"889",6,7,0
"890",6,8,0.096969696969697
"891",6,9,0
"861",6,10,0
"862",6,11,0
"863",6,12,0
"864",6,13,0
"865",6,14,0
"866",6,15,0
"867",6,16,0
"868",6,17,0
"869",6,18,0
"870",6,19,0
"872",6,20,0
"873",6,21,0
"874",6,22,0
"875",6,23,0
"876",6,24,0
"877",6,25,0
"878",6,26,0
"879",6,27,0
"880",6,28,0
"881",6,29,0
"883",6,30,0
"884",6,31,0
"885",6,32,0
"892",7,0,0
"893",7,1,0.725321320173613
"904",7,2,0.417609244948444
"915",7,3,0.791259622007578
"919",7,4,0
"920",7,5,1.05501282934344
"921",7,6,0
"922",7,7,0.989074527509472
"923",7,8,1.36272490456861
"924",7,9,0
"894",7,10,1.14293056512206
"895",7,11,0
"896",7,12,0
"897",7,13,0
"898",7,14,0
"899",7,15,0
"900",7,16,0
"901",7,17,0.725321320173613
"902",7,18,0
"903",7,19,0
"905",7,20,0
"906",7,21,0
"907",7,22,0
"908",7,23,0
"909",7,24,0
"910",7,25,0
"911",7,26,0
"912",7,27,0
"913",7,28,0
"914",7,29,0
"916",7,30,0
"917",7,31,0
"918",7,32,0
"925",8,0,0
"926",8,1,0
"937",8,2,0
"948",8,3,0
"952",8,4,0
"953",8,5,0
"954",8,6,0
"955",8,7,0.652567975830816
"956",8,8,3.40785498489426
"957",8,9,0.870090634441088
"927",8,10,1.5226586102719
"928",8,11,0
"929",8,12,0
"930",8,13,0
"931",8,14,0
"932",8,15,0
"933",8,16,0
"934",8,17,0.0483383685800604
"935",8,18,0.483383685800604
"936",8,19,0.193353474320242
"938",8,20,0.410876132930514
"939",8,21,0.0241691842900302
"940",8,22,0
"941",8,23,0
"942",8,24,0.338368580060423
"943",8,25,0.0241691842900302
"944",8,26,0.0241691842900302
"945",8,27,0
"946",8,28,0
"947",8,29,0
"949",8,30,0
"950",8,31,0
"951",8,32,0
"958",9,0,0
"959",9,1,0
"970",9,2,0
"981",9,3,0
"985",9,4,0
"986",9,5,0
"987",9,6,0
"988",9,7,0
"989",9,8,0.0241691842900302
"990",9,9,0.314199395770393
"960",9,10,6.54984894259819
"961",9,11,0
"962",9,12,0
"963",9,13,0
"964",9,14,0
"965",9,15,0
"966",9,16,0
"967",9,17,0.169184290030211
"968",9,18,0.0241691842900302
"969",9,19,0.797583081570997
"971",9,20,0.120845921450151
"972",9,21,0
"973",9,22,0
"974",9,23,0
"975",9,24,0
"976",9,25,0
"977",9,26,0
"978",9,27,0
"979",9,28,0
"980",9,29,0
"982",9,30,0
"983",9,31,0
"984",9,32,0
"34",10,0,0
"35",10,1,0
"46",10,2,0
"57",10,3,0
"61",10,4,0
"62",10,5,0
"63",10,6,0
"64",10,7,0
"65",10,8,0
"66",10,9,0.775757575757576
"36",10,10,2.25454545454545
"37",10,11,0
"38",10,12,0
"39",10,13,0.727272727272727
"40",10,14,0
"41",10,15,0
"42",10,16,0
"43",10,17,1.40606060606061
"44",10,18,0.460606060606061
"45",10,19,1.30909090909091
"47",10,20,0.557575757575758
"48",10,21,0.412121212121212
"49",10,22,0.096969696969697
"50",10,23,0
"51",10,24,0
"52",10,25,0
"53",10,26,0
"54",10,27,0
"55",10,28,0
"56",10,29,0
"58",10,30,0
"59",10,31,0
"60",10,32,0
"67",11,0,0
"68",11,1,0
"79",11,2,0
"90",11,3,0
"94",11,4,0
"95",11,5,0
"96",11,6,0
"97",11,7,0
"98",11,8,0.0248447204968944
"99",11,9,1.29192546583851
"69",11,10,0.745341614906832
"70",11,11,0.84472049689441
"71",11,12,0
"72",11,13,3.08074534161491
"73",11,14,0
"74",11,15,0
"75",11,16,0.496894409937888
"76",11,17,0.322981366459627
"77",11,18,0.0496894409937888
"78",11,19,0.372670807453416
"80",11,20,0.745341614906832
"81",11,21,0.0248447204968944
"82",11,22,0
"83",11,23,0
"84",11,24,0
"85",11,25,0
"86",11,26,0
"87",11,27,0
"88",11,28,0
"89",11,29,0
"91",11,30,0
"92",11,31,0
"93",11,32,0
"100",12,0,0
"101",12,1,0
"112",12,2,0
"123",12,3,0
"127",12,4,0
"128",12,5,0
"129",12,6,0
"130",12,7,0
"131",12,8,0.0249221183800623
"132",12,9,0.199376947040498
"102",12,10,0.299065420560748
"103",12,11,1.17133956386293
"104",12,12,2.44236760124611
"105",12,13,3.26479750778816
"106",12,14,0
"107",12,15,0.149532710280374
"108",12,16,0.0498442367601246
"109",12,17,0
"110",12,18,0
"111",12,19,0
"113",12,20,0.398753894080997
"114",12,21,0
"115",12,22,0
"116",12,23,0
"117",12,24,0
"118",12,25,0
"119",12,26,0
"120",12,27,0
"121",12,28,0
"122",12,29,0
"124",12,30,0
"125",12,31,0
"126",12,32,0
"133",13,0,0
"134",13,1,0
"145",13,2,0
"156",13,3,0
"160",13,4,0
"161",13,5,0
"162",13,6,0
"163",13,7,0
"164",13,8,0
"165",13,9,0
"135",13,10,5.00934579439252
"136",13,11,0.672897196261682
"137",13,12,0.0996884735202492
"138",13,13,0.224299065420561
"139",13,14,1.42056074766355
"140",13,15,0.0996884735202492
"141",13,16,0.423676012461059
"142",13,17,0
"143",13,18,0
"144",13,19,0.0498442367601246
"146",13,20,0
"147",13,21,0
"148",13,22,0
"149",13,23,0
"150",13,24,0
"151",13,25,0
"152",13,26,0
"153",13,27,0
"154",13,28,0
"155",13,29,0
"157",13,30,0
"158",13,31,0
"159",13,32,0
"166",14,0,0
"167",14,1,0
"178",14,2,0
"189",14,3,0
"193",14,4,0
"194",14,5,0
"195",14,6,0
"196",14,7,0
"197",14,8,0
"198",14,9,0.124610591900312
"168",14,10,6.45482866043614
"169",14,11,0.299065420560748
"170",14,12,0.0996884735202492
"171",14,13,0.0747663551401869
"172",14,14,0.797507788161994
"173",14,15,0.149532710280374
"174",14,16,0
"175",14,17,0
"176",14,18,0
"177",14,19,0
"179",14,20,0
"180",14,21,0
"181",14,22,0
"182",14,23,0
"183",14,24,0
"184",14,25,0
"185",14,26,0
"186",14,27,0
"187",14,28,0
"188",14,29,0
"190",14,30,0
"191",14,31,0
"192",14,32,0
"199",15,0,0
"200",15,1,0
"211",15,2,0
"222",15,3,1.84423676012461
"226",15,4,0
"227",15,5,0.523364485981308
"228",15,6,1.02180685358255
"229",15,7,0
"230",15,8,0
"231",15,9,0
"201",15,10,3.41433021806854
"202",15,11,0.0249221183800623
"203",15,12,0
"204",15,13,0.0747663551401869
"205",15,14,0.423676012461059
"206",15,15,0
"207",15,16,0
"208",15,17,0
"209",15,18,0.548286604361371
"210",15,19,0
"212",15,20,0
"213",15,21,0.124610591900312
"214",15,22,0
"215",15,23,0
"216",15,24,0
"217",15,25,0
"218",15,26,0
"219",15,27,0
"220",15,28,0
"221",15,29,0
"223",15,30,0
"224",15,31,0
"225",15,32,0
"232",16,0,0
"233",16,1,0
"244",16,2,0
"255",16,3,6.84987199143872
"259",16,4,0
"260",16,5,0
"261",16,6,0
"262",16,7,0
"263",16,8,0.0226068382555733
"264",16,9,0.316495735578027
"234",16,10,0
"235",16,11,0
"236",16,12,0
"237",16,13,0
"238",16,14,0
"239",16,15,0
"240",16,16,0
"241",16,17,0
"242",16,18,0
"243",16,19,0
"245",16,20,0
"246",16,21,0
"247",16,22,0
"248",16,23,0
"249",16,24,0
"250",16,25,0
"251",16,26,0
"252",16,27,0
"253",16,28,0
"254",16,29,0
"256",16,30,0
"257",16,31,0
"258",16,32,0
"265",17,0,0
"266",17,1,0
"277",17,2,0
"288",17,3,0
"292",17,4,0
"293",17,5,0
"294",17,6,0
"295",17,7,2.98541107788061
"296",17,8,2.42698886187416
"297",17,9,0.794677768932248
"267",17,10,0
"268",17,11,0
"269",17,12,0
"270",17,13,0.257733330464513
"271",17,14,0.322166663080641
"272",17,15,0
"273",17,16,0
"274",17,17,0
"275",17,18,0
"276",17,19,0
"278",17,20,0
"279",17,21,0
"280",17,22,0
"281",17,23,0
"282",17,24,0
"283",17,25,0
"284",17,26,0
"285",17,27,0
"286",17,28,0
"287",17,29,0
"289",17,30,0
"290",17,31,0
"291",17,32,0
"298",18,0,0
"299",18,1,0
"310",18,2,0
"321",18,3,0
"325",18,4,0.897196261682243
"326",18,5,0
"327",18,6,0
"328",18,7,6.92834890965732
"329",18,8,0
"330",18,9,0
"300",18,10,0
"301",18,11,0
"302",18,12,0
"303",18,13,0.149532710280374
"304",18,14,0.0249221183800623
"305",18,15,0
"306",18,16,0
"307",18,17,0
"308",18,18,0
"309",18,19,0
"311",18,20,0
"312",18,21,0
"313",18,22,0
"314",18,23,0
"315",18,24,0
"316",18,25,0
"317",18,26,0
"318",18,27,0
"319",18,28,0
"320",18,29,0
"322",18,30,0
"323",18,31,0
"324",18,32,0
"331",19,0,0
"332",19,1,0
"343",19,2,0
"354",19,3,0.443094179076364
"358",19,4,4.87403596984
"359",19,5,0.0402812890069422
"360",19,6,0.604219335104133
"361",19,7,0.100703222517355
"362",19,8,0
"363",19,9,0
"333",19,10,0
"334",19,11,0.161125156027769
"335",19,12,0
"336",19,13,0
"337",19,14,0
"338",19,15,0
"339",19,16,0
"340",19,17,0
"341",19,18,0
"342",19,19,0
"344",19,20,0
"345",19,21,0
"346",19,22,0
"347",19,23,0
"348",19,24,0
"349",19,25,0.0805625780138843
"350",19,26,0
"351",19,27,0
"352",19,28,0
"353",19,29,0
"355",19,30,0
"356",19,31,0
"357",19,32,0
"397",20,0,0
"398",20,1,0
"409",20,2,0
"420",20,3,0
"424",20,4,1.01390493499493
"425",20,5,0
"426",20,6,0
"427",20,7,0
"428",20,8,0.822602117071359
"429",20,9,0.822602117071359
"399",20,10,1.53042254338857
"400",20,11,0.363475354054786
"401",20,12,0.650429580940144
"402",20,13,0.286954226885358
"403",20,14,0.325214790470072
"404",20,15,0.0382605635847144
"405",20,16,0
"406",20,17,0
"407",20,18,0
"408",20,19,0
"410",20,20,0
"411",20,21,0
"412",20,22,0
"413",20,23,0
"414",20,24,0
"415",20,25,0
"416",20,26,0
"417",20,27,0
"418",20,28,0.0573908453770716
"419",20,29,0
"421",20,30,0
"422",20,31,0
"423",20,32,0
"430",21,0,0
"431",21,1,0
"442",21,2,0
"453",21,3,0
"457",21,4,0
"458",21,5,0
"459",21,6,0
"460",21,7,1.36715265894693
"461",21,8,0
"462",21,9,0.198457644040683
"432",21,10,2.3814917284882
"433",21,11,1.89637304305542
"434",21,12,0.308711890729951
"435",21,13,0.66152548013561
"436",21,14,0.396915288081366
"437",21,15,0
"438",21,16,0.0220508493378537
"439",21,17,0.066152548013561
"440",21,18,0
"441",21,19,0
"443",21,20,0
"444",21,21,0
"445",21,22,0
"446",21,23,0
"447",21,24,0.066152548013561
"448",21,25,0.0220508493378537
"449",21,26,0.0220508493378537
"450",21,27,0
"451",21,28,0.0220508493378537
"452",21,29,0
"454",21,30,0.0220508493378537
"455",21,31,0
"456",21,32,0
"463",22,0,0
"464",22,1,0
"475",22,2,0
"486",22,3,0.729411764705882
"490",22,4,4.49411764705882
"491",22,5,0
"492",22,6,0
"493",22,7,0
"494",22,8,0
"495",22,9,0
"465",22,10,0.4
"466",22,11,0.705882352941177
"467",22,12,0.188235294117647
"468",22,13,0.894117647058824
"469",22,14,0.423529411764706
"470",22,15,0.117647058823529
"471",22,16,0
"472",22,17,0.0470588235294118
"473",22,18,0
"474",22,19,0
"476",22,20,0
"477",22,21,0
"478",22,22,0
"479",22,23,0
"480",22,24,0
"481",22,25,0
"482",22,26,0
"483",22,27,0
"484",22,28,0
"485",22,29,0
"487",22,30,0
"488",22,31,0
"489",22,32,0
"496",23,0,0
"497",23,1,0
"508",23,2,0
"519",23,3,3.41176470588235
"523",23,4,2.42352941176471
"524",23,5,1.95294117647059
"525",23,6,0
"526",23,7,0
"527",23,8,0
"528",23,9,0
"498",23,10,0
"499",23,11,0
"500",23,12,0
"501",23,13,0
"502",23,14,0.211764705882353
"503",23,15,0
"504",23,16,0
"505",23,17,0
"506",23,18,0
"507",23,19,0
"509",23,20,0
"510",23,21,0
"511",23,22,0
"512",23,23,0
"513",23,24,0
"514",23,25,0
"515",23,26,0
"516",23,27,0
"517",23,28,0
"518",23,29,0
"520",23,30,0
"521",23,31,0
"522",23,32,0
"529",24,0,0
"530",24,1,0.566371681415929
"541",24,2,0.0943952802359882
"552",24,3,4.27138643067847
"556",24,4,2.4070796460177
"557",24,5,0.589970501474926
"558",24,6,0.0707964601769911
"559",24,7,0
"560",24,8,0
"561",24,9,0
"531",24,10,0
"532",24,11,0
"533",24,12,0
"534",24,13,0
"535",24,14,0
"536",24,15,0
"537",24,16,0
"538",24,17,0
"539",24,18,0
"540",24,19,0
"542",24,20,0
"543",24,21,0
"544",24,22,0
"545",24,23,0
"546",24,24,0
"547",24,25,0
"548",24,26,0
"549",24,27,0
"550",24,28,0
"551",24,29,0
"553",24,30,0
"554",24,31,0
"555",24,32,0
"562",25,0,0
"563",25,1,0.870588235294118
"574",25,2,4.42352941176471
"585",25,3,0.0705882352941176
"589",25,4,0
"590",25,5,0.0470588235294118
"591",25,6,0
"592",25,7,0
"593",25,8,0.729411764705882
"594",25,9,1.15294117647059
"564",25,10,0.658823529411765
"565",25,11,0
"566",25,12,0
"567",25,13,0
"568",25,14,0
"569",25,15,0
"570",25,16,0
"571",25,17,0
"572",25,18,0
"573",25,19,0
"575",25,20,0.0470588235294118
"576",25,21,0
"577",25,22,0
"578",25,23,0
"579",25,24,0
"580",25,25,0
"581",25,26,0
"582",25,27,0
"583",25,28,0
"584",25,29,0
"586",25,30,0
"587",25,31,0
"588",25,32,0
"595",26,0,0
"596",26,1,0.704925521389643
"607",26,2,0.136437197688318
"618",26,3,0
"622",26,4,0
"623",26,5,0
"624",26,6,0
"625",26,7,0.864102252026014
"626",26,8,0.068218598844159
"627",26,9,0.386572060116901
"597",26,10,0.113697664740265
"598",26,11,2.31943236070141
"599",26,12,1.59176730636371
"600",26,13,0
"601",26,14,0
"602",26,15,0
"603",26,16,0
"604",26,17,0
"605",26,18,0.477530191909113
"606",26,19,0.841362719077961
"608",26,20,0.022739532948053
"609",26,21,0
"610",26,22,0.136437197688318
"611",26,23,0
"612",26,24,0
"613",26,25,0.022739532948053
"614",26,26,0.022739532948053
"615",26,27,0
"616",26,28,0
"617",26,29,0
"619",26,30,0
"620",26,31,0
"621",26,32,0
"628",27,0,0
"629",27,1,0
"640",27,2,0
"651",27,3,0
"655",27,4,0
"656",27,5,0.495575221238938
"657",27,6,0
"658",27,7,0
"659",27,8,0
"660",27,9,0
"630",27,10,0
"631",27,11,1.74631268436578
"632",27,12,1.13274336283186
"633",27,13,0
"634",27,14,0
"635",27,15,0
"636",27,16,0
"637",27,17,0
"638",27,18,3.65781710914454
"639",27,19,0.306784660766962
"641",27,20,0
"642",27,21,0
"643",27,22,0
"644",27,23,0
"645",27,24,0.471976401179941
"646",27,25,0.0943952802359882
"647",27,26,0.0943952802359882
"648",27,27,0
"649",27,28,0
"650",27,29,0
"652",27,30,0
"653",27,31,0
"654",27,32,0
"661",28,0,0
"662",28,1,0
"673",28,2,0
"684",28,3,0
"688",28,4,0
"689",28,5,0
"690",28,6,0.282352941176471
"691",28,7,0.282352941176471
"692",28,8,0
"693",28,9,0
"663",28,10,0
"664",28,11,0
"665",28,12,0
"666",28,13,0
"667",28,14,0
"668",28,15,0
"669",28,16,0.4
"670",28,17,0.329411764705882
"671",28,18,1.17647058823529
"672",28,19,1.27058823529412
"674",28,20,0
"675",28,21,0
"676",28,22,0
"677",28,23,0
"678",28,24,3.78823529411765
"679",28,25,0.447058823529412
"680",28,26,0.0235294117647059
"681",28,27,0
"682",28,28,0
"683",28,29,0
"685",28,30,0
"686",28,31,0
"687",28,32,0
"694",29,0,0
"695",29,1,0
"706",29,2,0
"717",29,3,0
"721",29,4,0
"722",29,5,0
"723",29,6,0.352941176470588
"724",29,7,0
"725",29,8,0
"726",29,9,0
"696",29,10,0
"697",29,11,0
"698",29,12,0
"699",29,13,0
"700",29,14,0
"701",29,15,0
"702",29,16,0
"703",29,17,0
"704",29,18,0.352941176470588
"705",29,19,0.964705882352941
"707",29,20,0
"708",29,21,0
"709",29,22,0
"710",29,23,0
"711",29,24,5.45882352941176
"712",29,25,0.752941176470588
"713",29,26,0.0235294117647059
"714",29,27,0.0941176470588235
"715",29,28,0
"716",29,29,0
"718",29,30,0
"719",29,31,0
"720",29,32,0
"760",30,0,0
"761",30,1,0
"772",30,2,0
"783",30,3,3.14368605850422
"787",30,4,1.27843233045838
"788",30,5,1.97004326332931
"789",30,6,0
"790",30,7,0
"791",30,8,0.104789535283474
"792",30,9,0.104789535283474
"762",30,10,0
"763",30,11,0
"764",30,12,0
"765",30,13,0
"766",30,14,0
"767",30,15,0
"768",30,16,0
"769",30,17,0
"770",30,18,0
"771",30,19,0
"773",30,20,0
"774",30,21,0
"775",30,22,0
"776",30,23,0.0419158141133896
"777",30,24,0
"778",30,25,0.251494884680338
"779",30,26,0
"780",30,27,0
"781",30,28,0
"782",30,29,0.0419158141133896
"784",30,30,0.0209579070566948
"785",30,31,0
"786",30,32,0.0628737211700844
