"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"22",1,3,0
"23",1,4,0
"24",1,5,0
"25",1,6,0
"26",1,7,0
"27",1,8,0
"28",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0.238101298960939
"7",1,14,0.672952813124384
"8",1,15,1.77320395347561
"9",1,16,3.05008259112234
"10",1,17,0
"11",1,18,2.26565934331673
"12",1,19,0.314754098360656
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"309",2,0,0
"310",2,1,0
"321",2,2,0
"330",2,3,0
"331",2,4,0
"332",2,5,0
"333",2,6,0
"334",2,7,0.145879991325216
"335",2,8,0.364699978313039
"336",2,9,0.135459991944843
"311",2,10,0
"312",2,11,0
"313",2,12,0
"314",2,13,0
"315",2,14,0.750239955386824
"316",2,15,0.302179982030804
"317",2,16,0.385539977073784
"318",2,17,0.0104199993803726
"319",2,18,0
"320",2,19,0
"322",2,20,0
"323",2,21,0
"324",2,22,0
"325",2,23,0
"326",2,24,0
"327",2,25,0
"328",2,26,0
"329",2,27,0
"617",3,0,0
"618",3,1,0
"629",3,2,0
"638",3,3,0
"639",3,4,0
"640",3,5,0
"641",3,6,0
"642",3,7,0
"643",3,8,0
"644",3,9,5.84414448011135
"619",3,10,0
"620",3,11,0
"621",3,12,0
"622",3,13,0
"623",3,14,0
"624",3,15,0
"625",3,16,0
"626",3,17,0
"627",3,18,0
"628",3,19,0
"630",3,20,0
"631",3,21,0
"632",3,22,0
"633",3,23,0
"634",3,24,0
"635",3,25,0
"636",3,26,0
"637",3,27,0
"925",4,0,0
"926",4,1,0
"937",4,2,0
"946",4,3,0
"947",4,4,0
"948",4,5,0
"949",4,6,0
"950",4,7,0
"951",4,8,0
"952",4,9,0.741804355945564
"927",4,10,0
"928",4,11,0
"929",4,12,0
"930",4,13,0
"931",4,14,0
"932",4,15,1.26236881625824
"933",4,16,1.22332648173479
"934",4,17,0
"935",4,18,0
"936",4,19,0
"938",4,20,0
"939",4,21,0
"940",4,22,0
"941",4,23,0
"942",4,24,0
"943",4,25,0
"944",4,26,0
"945",4,27,0
"1233",5,0,0
"1234",5,1,0
"1245",5,2,0
"1254",5,3,0
"1255",5,4,0
"1256",5,5,0.657894736842105
"1257",5,6,0
"1258",5,7,0
"1259",5,8,0
"1260",5,9,0
"1235",5,10,0
"1236",5,11,0
"1237",5,12,0
"1238",5,13,0
"1239",5,14,0
"1240",5,15,1.57894736842105
"1241",5,16,5.71052631578947
"1242",5,17,0.0526315789473684
"1243",5,18,0
"1244",5,19,0
"1246",5,20,0
"1247",5,21,0
"1248",5,22,0
"1249",5,23,0
"1250",5,24,0
"1251",5,25,0
"1252",5,26,0
"1253",5,27,0
"1289",6,0,0
"1290",6,1,0
"1301",6,2,0
"1310",6,3,0
"1311",6,4,0
"1312",6,5,2.14940923504632
"1313",6,6,0
"1314",6,7,0
"1315",6,8,0
"1316",6,9,0.115559636292813
"1291",6,10,0.99381287211819
"1292",6,11,0
"1293",6,12,0
"1294",6,13,0
"1295",6,14,0
"1296",6,15,0.369790836137001
"1297",6,16,2.56542392570044
"1298",6,17,0.739581672274002
"1299",6,18,0
"1300",6,19,0
"1302",6,20,0
"1303",6,21,0
"1304",6,22,0
"1305",6,23,0
"1306",6,24,0
"1307",6,25,0
"1308",6,26,0
"1309",6,27,0
"1317",7,0,0
"1318",7,1,0
"1329",7,2,0
"1338",7,3,0
"1339",7,4,0
"1340",7,5,0
"1341",7,6,0
"1342",7,7,0
"1343",7,8,0
"1344",7,9,5.70708701514965
"1319",7,10,1.69008156242629
"1320",7,11,0
"1321",7,12,0
"1322",7,13,0
"1323",7,14,0
"1324",7,15,0
"1325",7,16,0
"1326",7,17,0
"1327",7,18,0
"1328",7,19,0
"1330",7,20,0
"1331",7,21,0
"1332",7,22,0
"1333",7,23,0
"1334",7,24,0
"1335",7,25,0
"1336",7,26,0
"1337",7,27,0
"1345",8,0,0
"1346",8,1,0
"1357",8,2,0
"1366",8,3,0
"1367",8,4,0
"1368",8,5,0
"1369",8,6,0
"1370",8,7,0
"1371",8,8,0
"1372",8,9,1.22074995205637
"1347",8,10,3.89911178716511
"1348",8,11,0
"1349",8,12,0
"1350",8,13,0
"1351",8,14,0
"1352",8,15,0
"1353",8,16,0.109320891228928
"1354",8,17,0
"1355",8,18,0
"1356",8,19,0
"1358",8,20,0
"1359",8,21,0
"1360",8,22,0
"1361",8,23,0
"1362",8,24,0
"1363",8,25,0
"1364",8,26,0
"1365",8,27,0
"1373",9,0,0
"1374",9,1,0
"1385",9,2,0.0432411294100402
"1394",9,3,0
"1395",9,4,0
"1396",9,5,0
"1397",9,6,0
"1398",9,7,0
"1399",9,8,0
"1400",9,9,0
"1375",9,10,0.403583874493709
"1376",9,11,0
"1377",9,12,0
"1378",9,13,0
"1379",9,14,0
"1380",9,15,0
"1381",9,16,0
"1382",9,17,0
"1383",9,18,0
"1384",9,19,0
"1386",9,20,0
"1387",9,21,0
"1388",9,22,0
"1389",9,23,0
"1390",9,24,0
"1391",9,25,0
"1392",9,26,0
"1393",9,27,0
"29",10,0,0
"30",10,1,0
"41",10,2,3.43459355179206
"50",10,3,3.20863344970048
"51",10,4,0
"52",10,5,0
"53",10,6,0
"54",10,7,0
"55",10,8,0
"56",10,9,0
"31",10,10,0.0903840408366332
"32",10,11,0
"33",10,12,0
"34",10,13,0
"35",10,14,0
"36",10,15,0
"37",10,16,0
"38",10,17,0
"39",10,18,0
"40",10,19,0
"42",10,20,0
"43",10,21,0
"44",10,22,0
"45",10,23,0
"46",10,24,0
"47",10,25,0
"48",10,26,0
"49",10,27,0
"57",11,0,0
"58",11,1,0
"69",11,2,0
"78",11,3,5.2934131736527
"79",11,4,2.56287425149701
"80",11,5,0
"81",11,6,0
"82",11,7,0.143712574850299
"83",11,8,0
"84",11,9,0
"59",11,10,0
"60",11,11,0
"61",11,12,0
"62",11,13,0
"63",11,14,0
"64",11,15,0
"65",11,16,0
"66",11,17,0
"67",11,18,0
"68",11,19,0
"70",11,20,0
"71",11,21,0
"72",11,22,0
"73",11,23,0
"74",11,24,0
"75",11,25,0
"76",11,26,0
"77",11,27,0
"85",12,0,0
"86",12,1,0
"97",12,2,0
"106",12,3,0
"107",12,4,7.16167664670659
"108",12,5,0
"109",12,6,0
"110",12,7,0
"111",12,8,0.838323353293413
"112",12,9,0
"87",12,10,0
"88",12,11,0
"89",12,12,0
"90",12,13,0
"91",12,14,0
"92",12,15,0
"93",12,16,0
"94",12,17,0
"95",12,18,0
"96",12,19,0
"98",12,20,0
"99",12,21,0
"100",12,22,0
"101",12,23,0
"102",12,24,0
"103",12,25,0
"104",12,26,0
"105",12,27,0
"113",13,0,0
"114",13,1,0
"125",13,2,0
"134",13,3,0
"135",13,4,0
"136",13,5,0
"137",13,6,0
"138",13,7,0.0316413902304651
"139",13,8,2.5734997387445
"140",13,9,0
"115",13,10,0
"116",13,11,0
"117",13,12,0
"118",13,13,0
"119",13,14,0
"120",13,15,0
"121",13,16,0
"122",13,17,0
"123",13,18,0
"124",13,19,0
"126",13,20,0
"127",13,21,0
"128",13,22,0
"129",13,23,0
"130",13,24,0
"131",13,25,0
"132",13,26,0
"133",13,27,0
"141",14,0,0
"142",14,1,0.0420651233099181
"153",14,2,0.445890307085132
"162",14,3,0
"163",14,4,0
"164",14,5,0
"165",14,6,0
"166",14,7,0
"167",14,8,0
"168",14,9,0
"143",14,10,0
"144",14,11,0
"145",14,12,0
"146",14,13,0
"147",14,14,0
"148",14,15,0
"149",14,16,0
"150",14,17,0
"151",14,18,0
"152",14,19,0.00841302466198362
"154",14,20,0.420651233099181
"155",14,21,0.39541215911323
"156",14,22,0.21032561654959
"157",14,23,0.00841302466198362
"158",14,24,0
"159",14,25,0
"160",14,26,0
"161",14,27,0
"169",15,0,0
"170",15,1,0
"181",15,2,2.06878480906451
"190",15,3,0
"191",15,4,0
"192",15,5,0.247354705431627
"193",15,6,0
"194",15,7,0
"195",15,8,0
"196",15,9,0
"171",15,10,0
"172",15,11,0
"173",15,12,0
"174",15,13,0
"175",15,14,0
"176",15,15,0
"177",15,16,0
"178",15,17,0
"179",15,18,0
"180",15,19,0.359788662446002
"182",15,20,0.449735828057503
"183",15,21,2.36111309730189
"184",15,22,1.50661502399264
"185",15,23,0.449735828057503
"186",15,24,0
"187",15,25,0
"188",15,26,0
"189",15,27,0
"197",16,0,0
"198",16,1,0
"209",16,2,0
"218",16,3,0
"219",16,4,0
"220",16,5,3.04191616766467
"221",16,6,1.84431137724551
"222",16,7,0
"223",16,8,1.24550898203593
"224",16,9,1.12574850299401
"199",16,10,0
"200",16,11,0
"201",16,12,0
"202",16,13,0
"203",16,14,0
"204",16,15,0
"205",16,16,0
"206",16,17,0
"207",16,18,0
"208",16,19,0
"210",16,20,0
"211",16,21,0.550898203592814
"212",16,22,0.143712574850299
"213",16,23,0.0479041916167665
"214",16,24,0
"215",16,25,0
"216",16,26,0
"217",16,27,0
"225",17,0,0
"226",17,1,0
"237",17,2,0
"246",17,3,0
"247",17,4,0.144144144144144
"248",17,5,0
"249",17,6,0
"250",17,7,0
"251",17,8,4.13213213213213
"252",17,9,2.64264264264264
"227",17,10,0.576576576576577
"228",17,11,0.384384384384384
"229",17,12,0
"230",17,13,0
"231",17,14,0
"232",17,15,0
"233",17,16,0
"234",17,17,0
"235",17,18,0
"236",17,19,0
"238",17,20,0
"239",17,21,0
"240",17,22,0.12012012012012
"241",17,23,0
"242",17,24,0
"243",17,25,0
"244",17,26,0
"245",17,27,0
"253",18,0,0
"254",18,1,0
"265",18,2,4.07185628742515
"274",18,3,0
"275",18,4,0
"276",18,5,0
"277",18,6,0
"278",18,7,0
"279",18,8,3.04191616766467
"280",18,9,0.622754491017964
"255",18,10,0.0958083832335329
"256",18,11,0.0958083832335329
"257",18,12,0
"258",18,13,0
"259",18,14,0
"260",18,15,0
"261",18,16,0
"262",18,17,0
"263",18,18,0
"264",18,19,0
"266",18,20,0
"267",18,21,0
"268",18,22,0.0239520958083832
"269",18,23,0.0479041916167665
"270",18,24,0
"271",18,25,0
"272",18,26,0
"273",18,27,0
"281",19,0,0
"282",19,1,0
"293",19,2,7.9039039039039
"302",19,3,0
"303",19,4,0.0960960960960961
"304",19,5,0
"305",19,6,0
"306",19,7,0
"307",19,8,0
"308",19,9,0
"283",19,10,0
"284",19,11,0
"285",19,12,0
"286",19,13,0
"287",19,14,0
"288",19,15,0
"289",19,16,0
"290",19,17,0
"291",19,18,0
"292",19,19,0
"294",19,20,0
"295",19,21,0
"296",19,22,0
"297",19,23,0
"298",19,24,0
"299",19,25,0
"300",19,26,0
"301",19,27,0
"337",20,0,0
"338",20,1,0
"349",20,2,4.66066066066066
"358",20,3,0.24024024024024
"359",20,4,0.552552552552553
"360",20,5,0
"361",20,6,0
"362",20,7,0
"363",20,8,0
"364",20,9,0.024024024024024
"339",20,10,2.52252252252252
"340",20,11,0
"341",20,12,0
"342",20,13,0
"343",20,14,0
"344",20,15,0
"345",20,16,0
"346",20,17,0
"347",20,18,0
"348",20,19,0
"350",20,20,0
"351",20,21,0
"352",20,22,0
"353",20,23,0
"354",20,24,0
"355",20,25,0
"356",20,26,0
"357",20,27,0
"365",21,0,0
"366",21,1,0
"377",21,2,3.78823529411765
"386",21,3,1.41176470588235
"387",21,4,2.02352941176471
"388",21,5,0
"389",21,6,0.235294117647059
"390",21,7,0
"391",21,8,0
"392",21,9,0
"367",21,10,0.517647058823529
"368",21,11,0
"369",21,12,0
"370",21,13,0.0235294117647059
"371",21,14,0
"372",21,15,0
"373",21,16,0
"374",21,17,0
"375",21,18,0
"376",21,19,0
"378",21,20,0
"379",21,21,0
"380",21,22,0
"381",21,23,0
"382",21,24,0
"383",21,25,0
"384",21,26,0
"385",21,27,0
"393",22,0,0
"394",22,1,0
"405",22,2,0
"414",22,3,0.752941176470588
"415",22,4,1.90588235294118
"416",22,5,1.83529411764706
"417",22,6,2.61176470588235
"418",22,7,0
"419",22,8,0
"420",22,9,0
"395",22,10,0.894117647058824
"396",22,11,0
"397",22,12,0
"398",22,13,0
"399",22,14,0
"400",22,15,0
"401",22,16,0
"402",22,17,0
"403",22,18,0
"404",22,19,0
"406",22,20,0
"407",22,21,0
"408",22,22,0
"409",22,23,0
"410",22,24,0
"411",22,25,0
"412",22,26,0
"413",22,27,0
"421",23,0,0
"422",23,1,0
"433",23,2,0
"442",23,3,0
"443",23,4,1.55294117647059
"444",23,5,3.57647058823529
"445",23,6,0.611764705882353
"446",23,7,1.08235294117647
"447",23,8,0
"448",23,9,0
"423",23,10,0
"424",23,11,1.15294117647059
"425",23,12,0
"426",23,13,0
"427",23,14,0.0235294117647059
"428",23,15,0
"429",23,16,0
"430",23,17,0
"431",23,18,0
"432",23,19,0
"434",23,20,0
"435",23,21,0
"436",23,22,0
"437",23,23,0
"438",23,24,0
"439",23,25,0
"440",23,26,0
"441",23,27,0
"449",24,0,0
"450",24,1,0
"461",24,2,0
"470",24,3,0
"471",24,4,1.97647058823529
"472",24,5,0.682352941176471
"473",24,6,0
"474",24,7,0.423529411764706
"475",24,8,0.4
"476",24,9,0
"451",24,10,0
"452",24,11,3.76470588235294
"453",24,12,0
"454",24,13,0
"455",24,14,0
"456",24,15,0
"457",24,16,0
"458",24,17,0.0235294117647059
"459",24,18,0
"460",24,19,0
"462",24,20,0
"463",24,21,0.541176470588235
"464",24,22,0
"465",24,23,0
"466",24,24,0
"467",24,25,0
"468",24,26,0.117647058823529
"469",24,27,0.0705882352941176
"477",25,0,0
"478",25,1,0
"489",25,2,0
"498",25,3,0
"499",25,4,0
"500",25,5,0
"501",25,6,0.801025675440862
"502",25,7,1.82690066328618
"503",25,8,0.252955476455009
"504",25,9,0
"479",25,10,0
"480",25,11,1.19451197214865
"481",25,12,0
"482",25,13,0.0562123281011131
"483",25,14,0.126477738227505
"484",25,15,0
"485",25,16,0
"486",25,17,0
"487",25,18,0
"488",25,19,0
"490",25,20,0
"491",25,21,0
"492",25,22,0
"493",25,23,0.0421592460758348
"494",25,24,0
"495",25,25,0
"496",25,26,0
"497",25,27,0
"505",26,0,0
"506",26,1,0
"517",26,2,0
"526",26,3,5.8375902773401
"527",26,4,0.530690025212736
"528",26,5,0
"529",26,6,0.486465856445008
"530",26,7,0.530690025212736
"531",26,8,0
"532",26,9,0
"507",26,10,0
"508",26,11,0
"509",26,12,0
"510",26,13,0
"511",26,14,0
"512",26,15,0
"513",26,16,0
"514",26,17,0
"515",26,18,0
"516",26,19,0
"518",26,20,0
"519",26,21,0
"520",26,22,0.066336253151592
"521",26,23,0
"522",26,24,0
"523",26,25,0
"524",26,26,0
"525",26,27,0
"533",27,0,0
"534",27,1,0
"545",27,2,0
"554",27,3,1.67058823529412
"555",27,4,0.823529411764706
"556",27,5,0
"557",27,6,4.70588235294118
"558",27,7,0.588235294117647
"559",27,8,0
"560",27,9,0.211764705882353
"535",27,10,0
"536",27,11,0
"537",27,12,0
"538",27,13,0
"539",27,14,0
"540",27,15,0
"541",27,16,0
"542",27,17,0
"543",27,18,0
"544",27,19,0
"546",27,20,0
"547",27,21,0
"548",27,22,0
"549",27,23,0
"550",27,24,0
"551",27,25,0
"552",27,26,0
"553",27,27,0
"561",28,0,0
"562",28,1,0
"573",28,2,0
"582",28,3,0
"583",28,4,0
"584",28,5,0
"585",28,6,5.34117647058823
"586",28,7,0
"587",28,8,0
"588",28,9,0.564705882352941
"563",28,10,1.17647058823529
"564",28,11,0.611764705882353
"565",28,12,0.0705882352941176
"566",28,13,0.164705882352941
"567",28,14,0.0470588235294118
"568",28,15,0
"569",28,16,0.0235294117647059
"570",28,17,0
"571",28,18,0
"572",28,19,0
"574",28,20,0
"575",28,21,0
"576",28,22,0
"577",28,23,0
"578",28,24,0
"579",28,25,0
"580",28,26,0
"581",28,27,0
"589",29,0,0
"590",29,1,0
"601",29,2,0
"610",29,3,0
"611",29,4,0
"612",29,5,0
"613",29,6,2.8
"614",29,7,0
"615",29,8,0
"616",29,9,0
"591",29,10,0.494117647058824
"592",29,11,0.0470588235294118
"593",29,12,0
"594",29,13,4.44705882352941
"595",29,14,0
"596",29,15,0
"597",29,16,0.0705882352941176
"598",29,17,0
"599",29,18,0
"600",29,19,0.141176470588235
"602",29,20,0
"603",29,21,0
"604",29,22,0
"605",29,23,0
"606",29,24,0
"607",29,25,0
"608",29,26,0
"609",29,27,0
"645",30,0,0
"646",30,1,0
"657",30,2,0
"666",30,3,0
"667",30,4,0
"668",30,5,0
"669",30,6,0
"670",30,7,0
"671",30,8,0
"672",30,9,0.660766961651917
"647",30,10,0.471976401179941
"648",30,11,0
"649",30,12,0.306784660766962
"650",30,13,6.4188790560472
"651",30,14,0
"652",30,15,0
"653",30,16,0.0943952802359882
"654",30,17,0
"655",30,18,0
"656",30,19,0
"658",30,20,0
"659",30,21,0.0471976401179941
"660",30,22,0
"661",30,23,0
"662",30,24,0
"663",30,25,0
"664",30,26,0
"665",30,27,0
"673",31,0,0
"674",31,1,0
"685",31,2,0
"694",31,3,0
"695",31,4,0
"696",31,5,0
"697",31,6,0
"698",31,7,0
"699",31,8,0
"700",31,9,1.04126984126984
"675",31,10,1.85396825396825
"676",31,11,0.66031746031746
"677",31,12,0
"678",31,13,0.736507936507937
"679",31,14,0
"680",31,15,1.37142857142857
"681",31,16,0.888888888888889
"682",31,17,0.0253968253968254
"683",31,18,0
"684",31,19,0.0253968253968254
"686",31,20,1.32063492063492
"687",31,21,0.0761904761904762
"688",31,22,0
"689",31,23,0
"690",31,24,0
"691",31,25,0
"692",31,26,0
"693",31,27,0
"701",32,0,0
"702",32,1,0
"713",32,2,0
"722",32,3,0
"723",32,4,0
"724",32,5,0
"725",32,6,0
"726",32,7,0
"727",32,8,0
"728",32,9,0
"703",32,10,2.31111111111111
"704",32,11,1.6
"705",32,12,0.736507936507937
"706",32,13,0.914285714285714
"707",32,14,0
"708",32,15,0.838095238095238
"709",32,16,0.634920634920635
"710",32,17,0.33015873015873
"711",32,18,0
"712",32,19,0.584126984126984
"714",32,20,0.0507936507936508
"715",32,21,0
"716",32,22,0
"717",32,23,0
"718",32,24,0
"719",32,25,0
"720",32,26,0
"721",32,27,0
"729",33,0,0
"730",33,1,0
"741",33,2,0
"750",33,3,0
"751",33,4,0
"752",33,5,1.52866242038217
"753",33,6,0.535031847133758
"754",33,7,0
"755",33,8,0
"756",33,9,0.407643312101911
"731",33,10,0.89171974522293
"732",33,11,1.19745222929936
"733",33,12,0.178343949044586
"734",33,13,2.26751592356688
"735",33,14,0
"736",33,15,0
"737",33,16,0.0509554140127389
"738",33,17,0.509554140127389
"739",33,18,0.356687898089172
"740",33,19,0.0764331210191083
"742",33,20,0
"743",33,21,0
"744",33,22,0
"745",33,23,0
"746",33,24,0
"747",33,25,0
"748",33,26,0
"749",33,27,0
"757",34,0,0
"758",34,1,0
"769",34,2,0
"778",34,3,0
"779",34,4,0.0761904761904762
"780",34,5,3.25079365079365
"781",34,6,0.279365079365079
"782",34,7,0
"783",34,8,0
"784",34,9,3.12380952380952
"759",34,10,0.431746031746032
"760",34,11,0
"761",34,12,0.0253968253968254
"762",34,13,0.406349206349206
"763",34,14,0.101587301587302
"764",34,15,0
"765",34,16,0
"766",34,17,0.304761904761905
"767",34,18,0
"768",34,19,0
"770",34,20,0
"771",34,21,0
"772",34,22,0
"773",34,23,0
"774",34,24,0
"775",34,25,0
"776",34,26,0
"777",34,27,0
"785",35,0,0
"786",35,1,0
"797",35,2,0
"806",35,3,0
"807",35,4,0
"808",35,5,5.28253968253968
"809",35,6,0
"810",35,7,0
"811",35,8,0.152380952380952
"812",35,9,1.75238095238095
"787",35,10,0
"788",35,11,0.711111111111111
"789",35,12,0
"790",35,13,0.0761904761904762
"791",35,14,0.0253968253968254
"792",35,15,0
"793",35,16,0
"794",35,17,0
"795",35,18,0
"796",35,19,0
"798",35,20,0
"799",35,21,0
"800",35,22,0
"801",35,23,0
"802",35,24,0
"803",35,25,0
"804",35,26,0
"805",35,27,0
"813",36,0,0
"814",36,1,0
"825",36,2,0
"834",36,3,0
"835",36,4,2.80254777070064
"836",36,5,2.44585987261146
"837",36,6,0
"838",36,7,0
"839",36,8,2.01273885350318
"840",36,9,0.509554140127389
"815",36,10,0
"816",36,11,0
"817",36,12,0
"818",36,13,0
"819",36,14,0.229299363057325
"820",36,15,0
"821",36,16,0
"822",36,17,0
"823",36,18,0
"824",36,19,0
"826",36,20,0
"827",36,21,0
"828",36,22,0
"829",36,23,0
"830",36,24,0
"831",36,25,0
"832",36,26,0
"833",36,27,0
"841",37,0,0
"842",37,1,0
"853",37,2,0
"862",37,3,0.0761904761904762
"863",37,4,7.92380952380952
"864",37,5,0
"865",37,6,0
"866",37,7,0
"867",37,8,0
"868",37,9,0
"843",37,10,0
"844",37,11,0
"845",37,12,0
"846",37,13,0
"847",37,14,0
"848",37,15,0
"849",37,16,0
"850",37,17,0
"851",37,18,0
"852",37,19,0
"854",37,20,0
