"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"24",1,3,0
"31",1,4,0
"32",1,5,0.0561795472578663
"33",1,6,0
"34",1,7,0
"35",1,8,0
"36",1,9,1.43220862331849
"3",1,10,2.77187979054188
"4",1,11,0
"5",1,12,0.341743796286617
"6",1,13,0.858937568004906
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,2.53905067459024
"15",1,21,0
"16",1,22,0
"17",1,23,0.0282685512367491
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0
"23",1,29,0
"25",1,30,0
"26",1,31,0
"27",1,32,0
"28",1,33,0
"29",1,34,0
"30",1,35,0
"397",2,0,0
"398",2,1,0
"409",2,2,0
"420",2,3,0
"427",2,4,0.31095406360424
"428",2,5,2.28975265017668
"429",2,6,0
"430",2,7,0
"431",2,8,0
"432",2,9,0.621908127208481
"399",2,10,1.35689045936396
"400",2,11,2.20494699646643
"401",2,12,0.763250883392226
"402",2,13,0.395759717314488
"403",2,14,0
"404",2,15,0
"405",2,16,0
"406",2,17,0
"407",2,18,0
"408",2,19,0
"410",2,20,0.0565371024734982
"411",2,21,0
"412",2,22,0
"413",2,23,0
"414",2,24,0
"415",2,25,0
"416",2,26,0
"417",2,27,0
"418",2,28,0
"419",2,29,0
"421",2,30,0
"422",2,31,0
"423",2,32,0
"424",2,33,0
"425",2,34,0
"426",2,35,0
"469",3,0,0
"470",3,1,0
"481",3,2,0
"492",3,3,0
"499",3,4,0
"500",3,5,1.92226148409894
"501",3,6,1.24381625441696
"502",3,7,0
"503",3,8,0
"504",3,9,0
"471",3,10,0
"472",3,11,2.06360424028269
"473",3,12,2.06360424028269
"474",3,13,0.0282685512367491
"475",3,14,0
"476",3,15,0
"477",3,16,0.113074204946996
"478",3,17,0.0565371024734982
"479",3,18,0.508833922261484
"480",3,19,0
"482",3,20,0
"483",3,21,0
"484",3,22,0
"485",3,23,0
"486",3,24,0
"487",3,25,0
"488",3,26,0
"489",3,27,0
"490",3,28,0
"491",3,29,0
"493",3,30,0
"494",3,31,0
"495",3,32,0
"496",3,33,0
"497",3,34,0
"498",3,35,0
"505",4,0,0
"506",4,1,0
"517",4,2,0
"528",4,3,2.71378091872792
"535",4,4,2.51590106007067
"536",4,5,2.37455830388693
"537",4,6,0
"538",4,7,0
"539",4,8,0
"540",4,9,0
"507",4,10,0
"508",4,11,0
"509",4,12,0
"510",4,13,0
"511",4,14,0
"512",4,15,0
"513",4,16,0.339222614840989
"514",4,17,0
"515",4,18,0
"516",4,19,0.0565371024734982
"518",4,20,0
"519",4,21,0
"520",4,22,0
"521",4,23,0
"522",4,24,0
"523",4,25,0
"524",4,26,0
"525",4,27,0
"526",4,28,0
"527",4,29,0
"529",4,30,0
"530",4,31,0
"531",4,32,0
"532",4,33,0
"533",4,34,0
"534",4,35,0
"541",5,0,0
"542",5,1,0
"553",5,2,0.678445229681979
"564",5,3,3.02473498233216
"571",5,4,3.81625441696113
"572",5,5,0.0565371024734982
"573",5,6,0.424028268551237
"574",5,7,0
"575",5,8,0
"576",5,9,0
"543",5,10,0
"544",5,11,0
"545",5,12,0
"546",5,13,0
"547",5,14,0
"548",5,15,0
"549",5,16,0
"550",5,17,0
"551",5,18,0
"552",5,19,0
"554",5,20,0
"555",5,21,0
"556",5,22,0
"557",5,23,0
"558",5,24,0
"559",5,25,0
"560",5,26,0
"561",5,27,0
"562",5,28,0
"563",5,29,0
"565",5,30,0
"566",5,31,0
"567",5,32,0
"568",5,33,0
"569",5,34,0
"570",5,35,0
"577",6,0,0
"578",6,1,0
"589",6,2,0
"600",6,3,2.14840989399293
"607",6,4,2.60070671378092
"608",6,5,2.51590106007067
"609",6,6,0.537102473498233
"610",6,7,0
"611",6,8,0
"612",6,9,0
"579",6,10,0
"580",6,11,0
"581",6,12,0
"582",6,13,0
"583",6,14,0
"584",6,15,0
"585",6,16,0
"586",6,17,0
"587",6,18,0
"588",6,19,0
"590",6,20,0
"591",6,21,0
"592",6,22,0
"593",6,23,0
"594",6,24,0
"595",6,25,0
"596",6,26,0
"597",6,27,0.197879858657244
"598",6,28,0
"599",6,29,0
"601",6,30,0
"602",6,31,0
"603",6,32,0
"604",6,33,0
"605",6,34,0
"606",6,35,0
"613",7,0,0
"614",7,1,0
"625",7,2,0
"636",7,3,0
"643",7,4,2.00863958472366
"644",7,5,5.6459058597638
"645",7,6,0
"646",7,7,0
"647",7,8,0
"648",7,9,0
"615",7,10,0
"616",7,11,0
"617",7,12,0
"618",7,13,0
"619",7,14,0
"620",7,15,0
"621",7,16,0
"622",7,17,0
"623",7,18,0
"624",7,19,0
"626",7,20,0
"627",7,21,0
"628",7,22,0
"629",7,23,0
"630",7,24,0
"631",7,25,0
"632",7,26,0
"633",7,27,0
"634",7,28,0
"635",7,29,0
"637",7,30,0
"638",7,31,0
"639",7,32,0
"640",7,33,0
"641",7,34,0
"642",7,35,0
"649",8,0,0
"650",8,1,0
"661",8,2,0
"672",8,3,0.197879858657244
"679",8,4,2.62897526501767
"680",8,5,3.2791519434629
"681",8,6,0.226148409893993
"682",8,7,0
"683",8,8,0
"684",8,9,0
"651",8,10,0.282685512367491
"652",8,11,0.226148409893993
"653",8,12,0
"654",8,13,0
"655",8,14,0
"656",8,15,0.763250883392226
"657",8,16,0.0282685512367491
"658",8,17,0
"659",8,18,0
"660",8,19,0
"662",8,20,0
"663",8,21,0
"664",8,22,0
"665",8,23,0.0565371024734982
"666",8,24,0.0282685512367491
"667",8,25,0.226148409893993
"668",8,26,0.0565371024734982
"669",8,27,0
"670",8,28,0
"671",8,29,0
"673",8,30,0
"674",8,31,0
"675",8,32,0
"676",8,33,0
"677",8,34,0
"678",8,35,0
"685",9,0,0
"686",9,1,0
"697",9,2,0
"708",9,3,0.169611307420495
"715",9,4,3.08127208480565
"716",9,5,1.78091872791519
"717",9,6,2.65724381625442
"718",9,7,0.31095406360424
"719",9,8,0
"720",9,9,0
"687",9,10,0
"688",9,11,0
"689",9,12,0
"690",9,13,0
"691",9,14,0
"692",9,15,0
"693",9,16,0
"694",9,17,0
"695",9,18,0
"696",9,19,0
"698",9,20,0
"699",9,21,0
"700",9,22,0
"701",9,23,0
"702",9,24,0
"703",9,25,0
"704",9,26,0
"705",9,27,0
"706",9,28,0
"707",9,29,0
"709",9,30,0
"710",9,31,0
"711",9,32,0
"712",9,33,0
"713",9,34,0
"714",9,35,0
"37",10,0,0
"38",10,1,0
"49",10,2,0
"60",10,3,0.871563343735246
"67",10,4,1.82483575094567
"68",10,5,3.62243514739962
"69",10,6,0.408545317375897
"70",10,7,0.108945417966906
"71",10,8,0
"72",10,9,0
"39",10,10,0.408545317375897
"40",10,11,0.0272363544917264
"41",10,12,0.326836253900717
"42",10,13,0
"43",10,14,0
"44",10,15,0
"45",10,16,0.0544727089834529
"46",10,17,0
"47",10,18,0
"48",10,19,0
"50",10,20,0
"51",10,21,0
"52",10,22,0
"53",10,23,0
"54",10,24,0
"55",10,25,0
"56",10,26,0
"57",10,27,0
"58",10,28,0
"59",10,29,0
"61",10,30,0
"62",10,31,0
"63",10,32,0
"64",10,33,0
"65",10,34,0
"66",10,35,0
"73",11,0,0
"74",11,1,0
"85",11,2,0
"96",11,3,0
"103",11,4,1.49693251533742
"104",11,5,0.834355828220859
"105",11,6,3.68098159509202
"106",11,7,1.93865030674847
"107",11,8,0
"108",11,9,0.0245398773006135
"75",11,10,0
"76",11,11,0
"77",11,12,0.0245398773006135
"78",11,13,0
"79",11,14,0
"80",11,15,0
"81",11,16,0
"82",11,17,0
"83",11,18,0
"84",11,19,0
"86",11,20,0
"87",11,21,0
"88",11,22,0
"89",11,23,0
"90",11,24,0
"91",11,25,0
"92",11,26,0
"93",11,27,0
"94",11,28,0
"95",11,29,0
"97",11,30,0
"98",11,31,0
"99",11,32,0
"100",11,33,0
"101",11,34,0
"102",11,35,0
"109",12,0,0
"110",12,1,0
"121",12,2,0
"132",12,3,0.492307692307692
"139",12,4,0.96
"140",12,5,1.84615384615385
"141",12,6,2.01846153846154
"142",12,7,1.99384615384615
"143",12,8,0.0246153846153846
"144",12,9,0
"111",12,10,0.64
"112",12,11,0
"113",12,12,0.0246153846153846
"114",12,13,0
"115",12,14,0
"116",12,15,0
"117",12,16,0
"118",12,17,0
"119",12,18,0
"120",12,19,0
"122",12,20,0
"123",12,21,0
"124",12,22,0
"125",12,23,0
"126",12,24,0
"127",12,25,0
"128",12,26,0
"129",12,27,0
"130",12,28,0
"131",12,29,0
"133",12,30,0
"134",12,31,0
"135",12,32,0
"136",12,33,0
"137",12,34,0
"138",12,35,0
"145",13,0,0
"146",13,1,0
"157",13,2,0.96
"168",13,3,4.40615384615385
"175",13,4,0.861538461538462
"176",13,5,0
"177",13,6,1.28
"178",13,7,0.492307692307692
"179",13,8,0
"180",13,9,0
"147",13,10,0
"148",13,11,0
"149",13,12,0
"150",13,13,0
"151",13,14,0
"152",13,15,0
"153",13,16,0
"154",13,17,0
"155",13,18,0
"156",13,19,0
"158",13,20,0
"159",13,21,0
"160",13,22,0
"161",13,23,0
"162",13,24,0
"163",13,25,0
"164",13,26,0
"165",13,27,0
"166",13,28,0
"167",13,29,0
"169",13,30,0
"170",13,31,0
"171",13,32,0
"172",13,33,0
"173",13,34,0
"174",13,35,0
"181",14,0,0
"182",14,1,0
"193",14,2,0
"204",14,3,1.49531397900982
"211",14,4,4.09134519256854
"212",14,5,0.560742742128683
"213",14,6,0
"214",14,7,0.477669743294804
"215",14,8,0
"216",14,9,0
"183",14,10,0
"184",14,11,0
"185",14,12,0
"186",14,13,0
"187",14,14,0
"188",14,15,0
"189",14,16,0
"190",14,17,0
"191",14,18,0
"192",14,19,0
"194",14,20,0
"195",14,21,0
"196",14,22,0
"197",14,23,0
"198",14,24,0
"199",14,25,0
"200",14,26,0
"201",14,27,0
"202",14,28,0
"203",14,29,0
"205",14,30,0
"206",14,31,0
"207",14,32,0
"208",14,33,0
"209",14,34,0
"210",14,35,0
"217",15,0,0
"218",15,1,0
"229",15,2,0
"240",15,3,0
"247",15,4,1.50153846153846
"248",15,5,2.16615384615385
"249",15,6,0
"250",15,7,1.50153846153846
"251",15,8,2.01846153846154
"252",15,9,0
"219",15,10,0.812307692307692
"220",15,11,0
"221",15,12,0
"222",15,13,0
"223",15,14,0
"224",15,15,0
"225",15,16,0
"226",15,17,0
"227",15,18,0
"228",15,19,0
"230",15,20,0
"231",15,21,0
"232",15,22,0
"233",15,23,0
"234",15,24,0
"235",15,25,0
"236",15,26,0
"237",15,27,0
"238",15,28,0
"239",15,29,0
"241",15,30,0
"242",15,31,0
"243",15,32,0
"244",15,33,0
"245",15,34,0
"246",15,35,0
"253",16,0,0
"254",16,1,0
"265",16,2,0
"276",16,3,0
"283",16,4,0
"284",16,5,0.49173494202895
"285",16,6,1.69872070882728
"286",16,7,3.57625412384691
"287",16,8,0.715250824769381
"288",16,9,0.111757941370216
"255",16,10,0.603492883399166
"256",16,11,0
"257",16,12,0
"258",16,13,0
"259",16,14,0
"260",16,15,0
"261",16,16,0
"262",16,17,0
"263",16,18,0
"264",16,19,0
"266",16,20,0
"267",16,21,0
"268",16,22,0
"269",16,23,0
"270",16,24,0
"271",16,25,0
"272",16,26,0
"273",16,27,0
"274",16,28,0
"275",16,29,0
"277",16,30,0
"278",16,31,0
"279",16,32,0
"280",16,33,0
"281",16,34,0
"282",16,35,0
"289",17,0,0
"290",17,1,0
"301",17,2,0
"312",17,3,0
"319",17,4,0
"320",17,5,0
"321",17,6,0.463788989840914
"322",17,7,0.0421626354400831
"323",17,8,2.51570391459162
"324",17,9,0
"291",17,10,0
"292",17,11,0
"293",17,12,0
"294",17,13,0
"295",17,14,0
"296",17,15,0
"297",17,16,0
"298",17,17,0
"299",17,18,0
"300",17,19,0
"302",17,20,0
"303",17,21,0
"304",17,22,0.14054211813361
"305",17,23,0.182704753573693
"306",17,24,0.154596329946971
"307",17,25,0
"308",17,26,0
"309",17,27,0.154596329946971
"310",17,28,0.379463718960747
"311",17,29,0
"313",17,30,0
"314",17,31,0
"315",17,32,0
"316",17,33,0
"317",17,34,0
"318",17,35,0
"325",18,0,0
"326",18,1,0
"337",18,2,0
"348",18,3,0
"355",18,4,0
"356",18,5,0
"357",18,6,2.14589008286113
"358",18,7,0.484133738206476
"359",18,8,0
"360",18,9,0
"327",18,10,0
"328",18,11,0
"329",18,12,0
"330",18,13,0
"331",18,14,0
"332",18,15,0
"333",18,16,0
"334",18,17,0
"335",18,18,0
"336",18,19,0
"338",18,20,0
"339",18,21,0
"340",18,22,0.170101043153627
"341",18,23,0
"342",18,24,0.0392540868816061
"343",18,25,0
"344",18,26,0
"345",18,27,0.13084695627202
"346",18,28,0.654234781360102
"347",18,29,0
"349",18,30,0
"350",18,31,0
"351",18,32,0
"352",18,33,0
"353",18,34,0
"354",18,35,0
"361",19,0,0
"362",19,1,0
"373",19,2,0
"384",19,3,0
"391",19,4,0
"392",19,5,0.861538461538462
"393",19,6,4.01230769230769
"394",19,7,0.935384615384615
"395",19,8,0.467692307692308
"396",19,9,0
"363",19,10,0
"364",19,11,0
"365",19,12,0
"366",19,13,0
"367",19,14,0
"368",19,15,0
"369",19,16,0
"370",19,17,0
"371",19,18,0
"372",19,19,0
"374",19,20,0.516923076923077
"375",19,21,0.590769230769231
"376",19,22,0
"377",19,23,0
"378",19,24,0
"379",19,25,0.0984615384615385
"380",19,26,0.0246153846153846
"381",19,27,0
"382",19,28,0
"383",19,29,0
"385",19,30,0
"386",19,31,0
"387",19,32,0
"388",19,33,0
"389",19,34,0.221538461538462
"390",19,35,0.270769230769231
"433",20,0,0
"434",20,1,0
"445",20,2,0
"456",20,3,0
"463",20,4,0
"464",20,5,0.309717444744019
"465",20,6,1.62006048019948
"466",20,7,2.43009072029922
"467",20,8,3.33541863570482
"468",20,9,0
"435",20,10,0
"436",20,11,0
"437",20,12,0
"438",20,13,0
"439",20,14,0
"440",20,15,0
"441",20,16,0
"442",20,17,0
"443",20,18,0
"444",20,19,0
"446",20,20,0
"447",20,21,0
"448",20,22,0
"449",20,23,0
"450",20,24,0
"451",20,25,0
"452",20,26,0
"453",20,27,0
"454",20,28,0
"455",20,29,0
"457",20,30,0
"458",20,31,0
"459",20,32,0
"460",20,33,0
"461",20,34,0
"462",20,35,0
