"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0.243236726201599
"23",1,3,0.280386663462469
"24",1,4,0.156068521129093
"25",1,5,0.574385594862383
"26",1,6,0.5978516791205
"27",1,7,0.235846306510718
"28",1,8,0.285532268546708
"29",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0.536823684934448
"8",1,15,0.183752008005896
"9",1,16,2.61910737331829
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,1.47236006917992
"17",1,23,0.814649104727972
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0.00884955752212389
"320",2,0,0
"321",2,1,0
"332",2,2,3.76991150442478
"342",2,3,1.87610619469027
"343",2,4,0.0176991150442478
"344",2,5,0
"345",2,6,0.63716814159292
"346",2,7,0
"347",2,8,0.424778761061947
"348",2,9,0.00884955752212389
"322",2,10,0
"323",2,11,0
"324",2,12,0
"325",2,13,0.68141592920354
"326",2,14,0.15929203539823
"327",2,15,0
"328",2,16,0.0442477876106195
"329",2,17,0.238938053097345
"330",2,18,0
"331",2,19,0
"333",2,20,0.0530973451327434
"334",2,21,0.0884955752212389
"335",2,22,0
"336",2,23,0
"337",2,24,0
"338",2,25,0
"339",2,26,0
"340",2,27,0
"341",2,28,0
"639",3,0,0
"640",3,1,1.42793160931409
"651",3,2,0.859286278171311
"661",3,3,1.20047347685698
"662",3,4,0.379096887428519
"663",3,5,0.03159140728571
"664",3,6,0
"665",3,7,0
"666",3,8,0
"667",3,9,0
"641",3,10,0.012636562914284
"642",3,11,0.120047347685698
"643",3,12,0.0947742218571298
"644",3,13,0.101092503314272
"645",3,14,0.176911880799976
"646",3,15,0.0568645331142779
"647",3,16,0.22113985099997
"648",3,17,0.581281894057063
"649",3,18,0.0568645331142779
"650",3,19,0.107410784771414
"652",3,20,0.00631828145714199
"653",3,21,0
"654",3,22,0
"655",3,23,0
"656",3,24,0
"657",3,25,0
"658",3,26,0
"659",3,27,0
"660",3,28,0
"958",4,0,0
"959",4,1,0.0884955752212389
"970",4,2,1.30088495575221
"980",4,3,2.06194690265487
"981",4,4,0.68141592920354
"982",4,5,0
"983",4,6,0
"984",4,7,0
"985",4,8,0
"986",4,9,0.0176991150442478
"960",4,10,0.557522123893805
"961",4,11,0.0176991150442478
"962",4,12,2.64601769911504
"963",4,13,0
"964",4,14,0
"965",4,15,0.0442477876106195
"966",4,16,0.132743362831858
"967",4,17,0.132743362831858
"968",4,18,0.079646017699115
"969",4,19,0.238938053097345
"971",4,20,0
"972",4,21,0
"973",4,22,0
"974",4,23,0
"975",4,24,0
"976",4,25,0
"977",4,26,0
"978",4,27,0
"979",4,28,0
"1016",5,0,0
"1017",5,1,0
"1028",5,2,0
"1038",5,3,0
"1039",5,4,0
"1040",5,5,0
"1041",5,6,0
"1042",5,7,0
"1043",5,8,0
"1044",5,9,0
"1018",5,10,0
"1019",5,11,0
"1020",5,12,0.153303723135856
"1021",5,13,0
"1022",5,14,0
"1023",5,15,0
"1024",5,16,0
"1025",5,17,0.729725722126672
"1026",5,18,0.55189340328908
"1027",5,19,0.0306607446271711
"1029",5,20,0.00306607446271711
"1030",5,21,0
"1031",5,22,0
"1032",5,23,0
"1033",5,24,0
"1034",5,25,0
"1035",5,26,0
"1036",5,27,0
"1037",5,28,0
"1045",6,0,0
"1046",6,1,0
"1057",6,2,0
"1067",6,3,0
"1068",6,4,0
"1069",6,5,0
"1070",6,6,0
"1071",6,7,0
"1072",6,8,0
"1073",6,9,0
"1047",6,10,0
"1048",6,11,0
"1049",6,12,0
"1050",6,13,0
"1051",6,14,0
"1052",6,15,0
"1053",6,16,0
"1054",6,17,0.340816090766953
"1055",6,18,0.654725648052304
"1056",6,19,0.245148416165703
"1058",6,20,0.0149480741564453
"1059",6,21,0.0269065334816015
"1060",6,22,0
"1061",6,23,0
"1062",6,24,0.0478338373006249
"1063",6,25,0.0239169186503125
"1064",6,26,0
"1065",6,27,0
"1066",6,28,0
"1074",7,0,0
"1075",7,1,0
"1086",7,2,0
"1096",7,3,0
"1097",7,4,0
"1098",7,5,0
"1099",7,6,0.112332489879169
"1100",7,7,0.0333961456397531
"1101",7,8,0
"1102",7,9,0
"1076",7,10,0
"1077",7,11,0
"1078",7,12,0
"1079",7,13,0
"1080",7,14,0
"1081",7,15,0
"1082",7,16,0
"1083",7,17,0.157872688478833
"1084",7,18,0.610238661235488
"1085",7,19,0.349141522597418
"1087",7,20,0.088044383959349
"1088",7,21,0.0182160794398653
"1089",7,22,0.0333961456397531
"1090",7,23,0
"1091",7,24,0.0212520926798429
"1092",7,25,0
"1093",7,26,0
"1094",7,27,0
"1095",7,28,0
"1103",8,0,0
"1104",8,1,0
"1115",8,2,0
"1125",8,3,0
"1126",8,4,0
"1127",8,5,0
"1128",8,6,0
"1129",8,7,0
"1130",8,8,0
"1131",8,9,0
"1105",8,10,0
"1106",8,11,0
"1107",8,12,0
"1108",8,13,0
"1109",8,14,0
"1110",8,15,0
"1111",8,16,0
"1112",8,17,0
"1113",8,18,0.163888450237948
"1114",8,19,0.0926326023084054
"1116",8,20,0.0736310428605274
"1117",8,21,0.0332527290337865
"1118",8,22,0
"1119",8,23,0
"1120",8,24,0
"1121",8,25,0
"1122",8,26,0
"1123",8,27,0
"1124",8,28,0
"1132",9,0,0
"1133",9,1,0
"1144",9,2,0
"1154",9,3,0
"1155",9,4,0
"1156",9,5,0
"1157",9,6,0
"1158",9,7,0
"1159",9,8,0
"1160",9,9,0
"1134",9,10,0
"1135",9,11,0
"1136",9,12,0
"1137",9,13,0
"1138",9,14,0
"1139",9,15,0
"1140",9,16,0
"1141",9,17,0
"1142",9,18,0.095936755836994
"1143",9,19,0.0842371514666289
"1145",9,20,0.0678577053481177
"1146",9,21,0.0538181801036796
"1147",9,22,0
"1148",9,23,0
"1149",9,24,0
"1150",9,25,0
"1151",9,26,0
"1152",9,27,0
"1153",9,28,0
"30",10,0,0
"31",10,1,0
"42",10,2,0
"52",10,3,0
"53",10,4,0
"54",10,5,0
"55",10,6,0
"56",10,7,0
"57",10,8,0
"58",10,9,0
"32",10,10,0
"33",10,11,0
"34",10,12,0
"35",10,13,0
"36",10,14,0
"37",10,15,0
"38",10,16,0
"39",10,17,0
"40",10,18,0
"41",10,19,0
"43",10,20,0.00683219570447136
"44",10,21,0.179914486884413
"45",10,22,0
"46",10,23,0
"47",10,24,0
"48",10,25,0
"49",10,26,0
"50",10,27,0
"51",10,28,0
"59",11,0,0
"60",11,1,0
"71",11,2,0
"81",11,3,0
"82",11,4,0.787168621407812
"83",11,5,0
"84",11,6,0
"85",11,7,0
"86",11,8,0
"87",11,9,0
"61",11,10,0
"62",11,11,0
"63",11,12,0
"64",11,13,0.0115760091383502
"65",11,14,0.862412680807088
"66",11,15,0.109972086814327
"67",11,16,0.358856283288855
"68",11,17,0.405160319842256
"69",11,18,0.515132406656583
"70",11,19,0.260460205612879
"72",11,20,0.167852132506077
"73",11,21,0.376220296996381
"74",11,22,0.069456054830101
"75",11,23,0.0463040365534007
"76",11,24,0
"77",11,25,0.0115760091383502
"78",11,26,0
"79",11,27,0
"80",11,28,0.00578800456917508
"88",12,0,0
"89",12,1,0
"100",12,2,0
"110",12,3,0
"111",12,4,0.280665372668589
"112",12,5,0.271755360837841
"113",12,6,0.0935551242228631
"114",12,7,0.142560189291982
"115",12,8,0
"116",12,9,0
"90",12,10,0
"91",12,11,0
"92",12,12,0
"93",12,13,0
"94",12,14,0
"95",12,15,0
"96",12,16,0.316305419991585
"97",12,17,0.138105183376607
"98",12,18,0.0980101301382376
"99",12,19,0.276210366753215
"101",12,20,0.325215431822334
"102",12,21,0.311850414076211
"103",12,22,0.0668250887306165
"104",12,23,0.0445500591537444
"105",12,24,0.164835218868854
"106",12,25,0.0400950532383699
"107",12,26,0
"108",12,27,0
"109",12,28,0
"117",13,0,0
"118",13,1,0
"129",13,2,1.07174261282432
"139",13,3,0
"140",13,4,0
"141",13,5,0
"142",13,6,0
"143",13,7,0
"144",13,8,0
"145",13,9,0
"119",13,10,0
"120",13,11,0
"121",13,12,0
"122",13,13,0
"123",13,14,0
"124",13,15,0.137795478791699
"125",13,16,0.974775424044978
"126",13,17,0.571596060172972
"127",13,18,0.0459318262638995
"128",13,19,0.117381333785521
"130",13,20,0.0969671887793434
"131",13,21,0.214348522564864
"132",13,22,0.0153106087546332
"133",13,23,0.0357247537608107
"134",13,24,0
"135",13,25,0
"136",13,26,0
"137",13,27,0
"138",13,28,0
"146",14,0,0
"147",14,1,0.0693649677375875
"158",14,2,0.0912696943915626
"168",14,3,0
"169",14,4,0
"170",14,5,0
"171",14,6,0
"172",14,7,0
"173",14,8,0
"174",14,9,0
"148",14,10,0
"149",14,11,0
"150",14,12,0
"151",14,13,0
"152",14,14,0
"153",14,15,0
"154",14,16,1.19015681486598
"155",14,17,0.226348842091075
"156",14,18,0
"157",14,19,0
"159",14,20,0
"160",14,21,0
"161",14,22,0
"162",14,23,0
"163",14,24,0.0328570899809625
"164",14,25,0
"165",14,26,0
"166",14,27,0
"167",14,28,0
"175",15,0,0
"176",15,1,0
"187",15,2,0
"197",15,3,0
"198",15,4,0
"199",15,5,0
"200",15,6,0
"201",15,7,0
"202",15,8,0
"203",15,9,0
"177",15,10,0
"178",15,11,0
"179",15,12,0
"180",15,13,0
"181",15,14,0
"182",15,15,0.00376688768636525
"183",15,16,1.09239742904592
"184",15,17,0.173276833572801
"185",15,18,0.0188344384318262
"186",15,19,0
"188",15,20,0
"189",15,21,0.030135101490922
"190",15,22,0.128074181336418
"191",15,23,0.131841069022784
"192",15,24,0.154442395140975
"193",15,25,0.0226013261181915
"194",15,26,0
"195",15,27,0
"196",15,28,0
"204",16,0,0
"205",16,1,0
"216",16,2,0.602769777312741
"226",16,3,0
"227",16,4,0
"228",16,5,0
"229",16,6,0
"230",16,7,0
"231",16,8,0
"232",16,9,0
"206",16,10,0
"207",16,11,0
"208",16,12,0
"209",16,13,0
"210",16,14,0.0215274920468836
"211",16,15,0.247566158539161
"212",16,16,0.409022348890788
"213",16,17,0.11840120625786
"214",16,18,0
"215",16,19,0.0053818730117209
"217",16,20,0.0861099681875344
"218",16,21,0.145310571316464
"219",16,22,0.263711777574324
"220",16,23,0.279857396609487
"221",16,24,0.769607840676089
"222",16,25,0.220656793480557
"223",16,26,0.317530507691533
"224",16,27,0.0161456190351627
"225",16,28,0.0699643491523717
"233",17,0,0
"234",17,1,0
"245",17,2,4.17867560820077
"255",17,3,0
"256",17,4,0
"257",17,5,0
"258",17,6,0
"259",17,7,0
"260",17,8,0
"261",17,9,0
"235",17,10,0
"236",17,11,0
"237",17,12,0
"238",17,13,0
"239",17,14,0.0356390243769788
"240",17,15,0.115826829225181
"241",17,16,0
"242",17,17,0
"243",17,18,0
"244",17,19,0
"246",17,20,0
"247",17,21,0
"248",17,22,0
"249",17,23,0.0623682926597129
"250",17,24,1.05135121912087
"251",17,25,0.534585365654682
"252",17,26,0.650412194879863
"253",17,27,0.15146585360216
"254",17,28,0.0980073170366917
"262",18,0,0
"263",18,1,0
"274",18,2,2.90909088115886
"284",18,3,0
"285",18,4,0
"286",18,5,0
"287",18,6,0
"288",18,7,0
"289",18,8,0
"290",18,9,0
"264",18,10,0
"265",18,11,0
"266",18,12,0
"267",18,13,0
"268",18,14,0
"269",18,15,0.0443008763628252
"270",18,16,0
"271",18,17,0
"272",18,18,0.457775722415861
"273",18,19,0.0664513145442378
"275",18,20,0
"276",18,21,0
"277",18,22,0
"278",18,23,0.155053067269888
"279",18,24,0.716197501199008
"280",18,25,1.02630363573878
"281",18,26,0.118135670300867
"282",18,27,0.0073834793938042
"283",18,28,0.0147669587876084
"291",19,0,0
"292",19,1,0.370906382142834
"303",19,2,1.74494593417197
"313",19,3,0
"314",19,4,0
"315",19,5,0
"316",19,6,0
"317",19,7,0
"318",19,8,0
"319",19,9,0
"293",19,10,0
"294",19,11,0
"295",19,12,0
"296",19,13,0.640656478246714
"297",19,14,0.354047001136342
"298",19,15,0.143304738555186
"299",19,16,0.278179786607126
"300",19,17,0.0337187620129849
"301",19,18,1.0031331698863
"302",19,19,0
"304",19,20,0.20231257207791
"305",19,21,0.0590078335227237
"306",19,22,0
"307",19,23,0.0927265955357086
"308",19,24,0.657515859253206
"309",19,25,0.750242454788915
"310",19,26,0.118015667045447
"311",19,27,0
"312",19,28,0.00842969050324624
"349",20,0,0
"350",20,1,0.143222506393862
"361",20,2,2.16879795396419
"371",20,3,0
"372",20,4,0
"373",20,5,0
"374",20,6,0
"375",20,7,0
"376",20,8,0
"377",20,9,0
"351",20,10,0
"352",20,11,0
"353",20,12,0
"354",20,13,0.920716112531969
"355",20,14,0.675191815856777
"356",20,15,0.869565217391304
"357",20,16,0.398976982097187
"358",20,17,0.398976982097187
"359",20,18,0
"360",20,19,0.214833759590793
"362",20,20,0.265984654731458
"363",20,21,0.327365728900256
"364",20,22,0.521739130434783
"365",20,23,0.654731457800512
"366",20,24,0.020460358056266
"367",20,25,0
"368",20,26,0
"369",20,27,0.245524296675192
"370",20,28,0.173913043478261
"378",21,0,0
"379",21,1,0
"390",21,2,0
"400",21,3,0
"401",21,4,0
"402",21,5,0
"403",21,6,0
"404",21,7,0
"405",21,8,0
"406",21,9,0
"380",21,10,0
"381",21,11,0
"382",21,12,0
"383",21,13,0.221208290478975
"384",21,14,0.41292214222742
"385",21,15,4.46840746767529
"386",21,16,0.103230535556855
"387",21,17,0.825844284454839
"388",21,18,0.398174922862155
"389",21,19,0.23595550984424
"391",21,20,0
"392",21,21,0
"393",21,22,0
"394",21,23,0.35393326476636
"395",21,24,0
"396",21,25,0
"397",21,26,0
"398",21,27,0.26544994857477
"399",21,28,0
"407",22,0,0
"408",22,1,0
"419",22,2,0
"429",22,3,0
"430",22,4,0
"431",22,5,0
"432",22,6,0
"433",22,7,0
"434",22,8,0
"435",22,9,0
"409",22,10,0
"410",22,11,0
"411",22,12,0
"412",22,13,0
"413",22,14,0.0272302658176153
"414",22,15,4.69722085353864
"415",22,16,0.163381594905692
"416",22,17,0.394838854355422
"417",22,18,0.0953059303616535
"418",22,19,0
"420",22,20,0
"421",22,21,0.0408453987264229
"422",22,22,0.0816907974528459
"423",22,23,0.857753373254882
"424",22,24,0
"425",22,25,0.149766461996884
"426",22,26,0.0953059303616535
"427",22,27,0.0408453987264229
"428",22,28,0
"436",23,0,0
"437",23,1,0
"448",23,2,0
"458",23,3,0
"459",23,4,0
"460",23,5,0
"461",23,6,0
"462",23,7,0
"463",23,8,0
"464",23,9,0
"438",23,10,0
"439",23,11,0
"440",23,12,0
"441",23,13,0
"442",23,14,0
"443",23,15,1.46253127044591
"444",23,16,0.955520430024659
"445",23,17,0.185253960923148
"446",23,18,0
"447",23,19,0
"449",23,20,0.409508755724854
"450",23,21,0.273005837149903
"451",23,22,0.0877518762267544
"452",23,23,0.0195004169392788
"453",23,24,0.175503752453509
"454",23,25,0.448509589603411
"455",23,26,0.0390008338785575
"456",23,27,0.15600333551423
"457",23,28,0.185253960923148
"465",24,0,0
"466",24,1,0
"477",24,2,0
"487",24,3,0
"488",24,4,0
"489",24,5,0
"490",24,6,0
"491",24,7,0
"492",24,8,0
"493",24,9,0
"467",24,10,0
"468",24,11,0
"469",24,12,0
"470",24,13,0
"471",24,14,0
"472",24,15,0
"473",24,16,0.566337418657377
"474",24,17,0.175484833950173
"475",24,18,1.24434700437396
"476",24,19,0
"478",24,20,0
"479",24,21,0.84551783630538
"480",24,22,0.303110167732117
"481",24,23,0.031906333445486
"482",24,24,0.0239297500841145
"483",24,25,0.0398829168068576
"484",24,26,0
"485",24,27,0
"486",24,28,0.00797658336137151
"494",25,0,0
"495",25,1,0.0963855421686747
"506",25,2,0.289156626506024
"516",25,3,0
"517",25,4,0
"518",25,5,0.931726907630522
"519",25,6,0.337349397590361
"520",25,7,0.626506024096386
"521",25,8,0
"522",25,9,0
"496",25,10,0
"497",25,11,0
"498",25,12,0
"499",25,13,0
"500",25,14,0
"501",25,15,0
"502",25,16,0.321285140562249
"503",25,17,0
"504",25,18,0.240963855421687
"505",25,19,0
"507",25,20,1.01204819277108
"508",25,21,2.23293172690763
"509",25,22,1.22088353413655
"510",25,23,0.208835341365462
"511",25,24,0.289156626506024
"512",25,25,0.0321285140562249
"513",25,26,0.0642570281124498
"514",25,27,0
"515",25,28,0.0963855421686747
"523",26,0,0
"524",26,1,0
"535",26,2,0
"545",26,3,0
"546",26,4,0
"547",26,5,2.07645875251509
"548",26,6,3.58953722334004
"549",26,7,0.997987927565392
"550",26,8,1.33601609657948
"551",26,9,0
"525",26,10,0
"526",26,11,0
"527",26,12,0
"528",26,13,0
"529",26,14,0
"530",26,15,0
"531",26,16,0
"532",26,17,0
"533",26,18,0
"534",26,19,0
"536",26,20,0
"537",26,21,0
"538",26,22,0
"539",26,23,0
"540",26,24,0
"541",26,25,0
"542",26,26,0
"543",26,27,0
"544",26,28,0
"552",27,0,0
"553",27,1,0
"564",27,2,0
"574",27,3,0
"575",27,4,0
"576",27,5,0
"577",27,6,1.75993903438995
"578",27,7,0.192870031166022
"579",27,8,0.570573842199483
"580",27,9,0.43395757012355
"554",27,10,0
"555",27,11,0
"556",27,12,0
"557",27,13,0
"558",27,14,0
"559",27,15,0
"560",27,16,0
"561",27,17,0
"562",27,18,0
"563",27,19,0
"565",27,20,0.0803625129858426
"566",27,21,0.225015036360359
"567",27,22,0
"568",27,23,0
"569",27,24,0.0160725025971685
"570",27,25,0
"571",27,26,0
"572",27,27,0
"573",27,28,0
"581",28,0,0
"582",28,1,0
"593",28,2,0
"603",28,3,0
"604",28,4,0
"605",28,5,0
"606",28,6,3.38955823293173
"607",28,7,4.11244979919679
"608",28,8,0.0481927710843374
"609",28,9,0.369477911646586
"583",28,10,0
"584",28,11,0
"585",28,12,0
"586",28,13,0
"587",28,14,0
"588",28,15,0
"589",28,16,0
"590",28,17,0
"591",28,18,0
"592",28,19,0
"594",28,20,0.0803212851405622
"595",28,21,0
"596",28,22,0
"597",28,23,0
"598",28,24,0
"599",28,25,0
"600",28,26,0
"601",28,27,0
"602",28,28,0
"610",29,0,0
"611",29,1,0
"622",29,2,0
"632",29,3,0
"633",29,4,0
"634",29,5,0
"635",29,6,4.58752515090543
"636",29,7,1.88329979879276
"637",29,8,0
"638",29,9,0.402414486921529
"612",29,10,0
"613",29,11,0
"614",29,12,0
"615",29,13,0.0160965794768612
"616",29,14,0
"617",29,15,0
"618",29,16,0
"619",29,17,0
"620",29,18,0
"621",29,19,0.370221327967807
"623",29,20,0.338028169014085
"624",29,21,0.338028169014085
"625",29,22,0
"626",29,23,0
"627",29,24,0.0643863179074447
"628",29,25,0
"629",29,26,0
"630",29,27,0
"631",29,28,0
"668",30,0,0
"669",30,1,0
"680",30,2,0.515090543259557
"690",30,3,0
"691",30,4,0
"692",30,5,0
"693",30,6,0
"694",30,7,0
"695",30,8,0
"696",30,9,0
"670",30,10,0.0321931589537223
"671",30,11,5.05432595573441
"672",30,12,0.402414486921529
"673",30,13,1.06237424547284
"674",30,14,0.370221327967807
"675",30,15,0
"676",30,16,0
"677",30,17,0
"678",30,18,0
"679",30,19,0
"681",30,20,0.27364185110664
"682",30,21,0.289738430583501
"683",30,22,0
"684",30,23,0
"685",30,24,0
"686",30,25,0
"687",30,26,0
"688",30,27,0
"689",30,28,0
"697",31,0,0
"698",31,1,0
"709",31,2,0
"719",31,3,0
"720",31,4,0.298811544991511
"721",31,5,0.0950764006791171
"722",31,6,0
"723",31,7,0
"724",31,8,0
"725",31,9,0
"699",31,10,0
"700",31,11,5.71816638370119
"701",31,12,0.774193548387097
"702",31,13,0.230899830220713
"703",31,14,0.882852292020374
"704",31,15,0
"705",31,16,0
"706",31,17,0
"707",31,18,0
"708",31,19,0
"710",31,20,0
"711",31,21,0
"712",31,22,0
"713",31,23,0
"714",31,24,0
"715",31,25,0
"716",31,26,0
"717",31,27,0
"718",31,28,0
"726",32,0,0
"727",32,1,0.0271646859083192
"738",32,2,0.298811544991511
"748",32,3,0.66553480475382
"749",32,4,2.0509337860781
"750",32,5,0.0407470288624788
"751",32,6,0.0407470288624788
"752",32,7,2.24108658743633
"753",32,8,0
"754",32,9,0
"728",32,10,0
"729",32,11,0.923599320882852
"730",32,12,0.66553480475382
"731",32,13,0
"732",32,14,0.584040747028862
"733",32,15,0.434634974533107
"734",32,16,0
"735",32,17,0
"736",32,18,0
"737",32,19,0
"739",32,20,0
"740",32,21,0
"741",32,22,0.0271646859083192
"742",32,23,0
"743",32,24,0
"744",32,25,0
"745",32,26,0
"746",32,27,0
"747",32,28,0
"755",33,0,0
"756",33,1,0.17687074829932
"767",33,2,0.789115646258503
"777",33,3,0.299319727891156
"778",33,4,3.60544217687075
"779",33,5,2.39455782312925
"780",33,6,0.0952380952380952
"781",33,7,0.0816326530612245
"782",33,8,0.462585034013605
"783",33,9,0
"757",33,10,0
"758",33,11,0
"759",33,12,0.0952380952380952
"760",33,13,0
"761",33,14,0
