"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"15",1,3,0
"16",1,4,0.35341320816396
"17",1,5,0
"18",1,6,0
"19",1,7,1.31305776657423
"20",1,8,0.574340199102589
"21",1,9,5.75918882615922
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0.582781456953642
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"232",2,0,0
"233",2,1,0
"244",2,2,0
"246",2,3,0
"247",2,4,0
"248",2,5,0
"249",2,6,0
"250",2,7,2.31229235880399
"251",2,8,3.74750830564784
"252",2,9,1.80730897009967
"234",2,10,0.132890365448505
"235",2,11,0
"236",2,12,0
"237",2,13,0
"238",2,14,0
"239",2,15,0
"240",2,16,0
"241",2,17,0
"242",2,18,0
"243",2,19,0
"245",2,20,0
"463",3,0,0
"464",3,1,0
"475",3,2,0
"477",3,3,0
"478",3,4,0
"479",3,5,0
"480",3,6,0
"481",3,7,6.53820598006645
"482",3,8,1.46179401993355
"483",3,9,0
"465",3,10,0
"466",3,11,0
"467",3,12,0
"468",3,13,0
"469",3,14,0
"470",3,15,0
"471",3,16,0
"472",3,17,0
"473",3,18,0
"474",3,19,0
"476",3,20,0
"694",4,0,0
"695",4,1,0
"706",4,2,0
"708",4,3,0
"709",4,4,0
"710",4,5,0
"711",4,6,0
"712",4,7,5.84717607973422
"713",4,8,0.558139534883721
"714",4,9,0.159468438538206
"696",4,10,0.372093023255814
"697",4,11,0.637873754152824
"698",4,12,0.159468438538206
"699",4,13,0.26578073089701
"700",4,14,0
"701",4,15,0
"702",4,16,0
"703",4,17,0
"704",4,18,0
"705",4,19,0
"707",4,20,0
"736",5,0,0
"737",5,1,0
"748",5,2,0
"750",5,3,0.691029900332226
"751",5,4,2.87043189368771
"752",5,5,0.159468438538206
"753",5,6,0.558139534883721
"754",5,7,2.47176079734219
"755",5,8,0.850498338870432
"756",5,9,0
"738",5,10,0.186046511627907
"739",5,11,0.212624584717608
"740",5,12,0
"741",5,13,0
"742",5,14,0
"743",5,15,0
"744",5,16,0
"745",5,17,0
"746",5,18,0
"747",5,19,0
"749",5,20,0
"757",6,0,0
"758",6,1,0
"769",6,2,0
"771",6,3,0
"772",6,4,2.12624584717608
"773",6,5,0.106312292358804
"774",6,6,0.053156146179402
"775",6,7,2.23255813953488
"776",6,8,0.877076411960133
"777",6,9,0.451827242524917
"759",6,10,1.32890365448505
"760",6,11,0.691029900332226
"761",6,12,0.132890365448505
"762",6,13,0
"763",6,14,0
"764",6,15,0
"765",6,16,0
"766",6,17,0
"767",6,18,0
"768",6,19,0
"770",6,20,0
"778",7,0,0
"779",7,1,0
"790",7,2,0.345514950166113
"792",7,3,0.079734219269103
"793",7,4,1.24916943521595
"794",7,5,0.637873754152824
"795",7,6,0.318936877076412
"796",7,7,0
"797",7,8,2.47176079734219
"798",7,9,1.32890365448505
"780",7,10,0.079734219269103
"781",7,11,1.11627906976744
"782",7,12,0.318936877076412
"783",7,13,0.053156146179402
"784",7,14,0
"785",7,15,0
"786",7,16,0
"787",7,17,0
"788",7,18,0
"789",7,19,0
"791",7,20,0
"799",8,0,0
"800",8,1,0
"811",8,2,0
"813",8,3,0
"814",8,4,0
"815",8,5,0.318936877076412
"816",8,6,1.83388704318937
"817",8,7,0.425249169435216
"818",8,8,3.42857142857143
"819",8,9,1.32890365448505
"801",8,10,0
"802",8,11,0.132890365448505
"803",8,12,0.504983388704319
"804",8,13,0.026578073089701
"805",8,14,0
"806",8,15,0
"807",8,16,0
"808",8,17,0
"809",8,18,0
"810",8,19,0
"812",8,20,0
"820",9,0,0
"821",9,1,0
"832",9,2,5.47508305647841
"834",9,3,0.345514950166113
"835",9,4,0.504983388704319
"836",9,5,0.186046511627907
"837",9,6,0
"838",9,7,0.106312292358804
"839",9,8,1.38205980066445
"840",9,9,0
"822",9,10,0
"823",9,11,0
"824",9,12,0
"825",9,13,0
"826",9,14,0
"827",9,15,0
"828",9,16,0
"829",9,17,0
"830",9,18,0
"831",9,19,0
"833",9,20,0
"22",10,0,0
"23",10,1,0
"34",10,2,0.666666666666667
"36",10,3,0.56
"37",10,4,6.42666666666667
"38",10,5,0
"39",10,6,0.08
"40",10,7,0
"41",10,8,0
"42",10,9,0
"24",10,10,0
"25",10,11,0
"26",10,12,0
"27",10,13,0.08
"28",10,14,0.0266666666666667
"29",10,15,0
"30",10,16,0.16
"31",10,17,0
"32",10,18,0
"33",10,19,0
"35",10,20,0
"43",11,0,0
"44",11,1,0
"55",11,2,0
"57",11,3,3.35078534031414
"58",11,4,1.63350785340314
"59",11,5,0.06282722513089
"60",11,6,2.95287958115183
"61",11,7,0
"62",11,8,0
"63",11,9,0
"45",11,10,0
"46",11,11,0
"47",11,12,0
"48",11,13,0
"49",11,14,0
"50",11,15,0
"51",11,16,0
"52",11,17,0
"53",11,18,0
"54",11,19,0
"56",11,20,0
"64",12,0,0
"65",12,1,0
"76",12,2,1.93175853018373
"78",12,3,5.33333333333333
"79",12,4,0.73490813648294
"80",12,5,0
"81",12,6,0
"82",12,7,0
"83",12,8,0
"84",12,9,0
"66",12,10,0
"67",12,11,0
"68",12,12,0
"69",12,13,0
"70",12,14,0
"71",12,15,0
"72",12,16,0
"73",12,17,0
"74",12,18,0
"75",12,19,0
"77",12,20,0
"85",13,0,0
"86",13,1,0
"97",13,2,0
"99",13,3,0.10498687664042
"100",13,4,0
"101",13,5,0
"102",13,6,0.62992125984252
"103",13,7,0.755905511811024
"104",13,8,0.020997375328084
"105",13,9,0.94488188976378
"87",13,10,2.35170603674541
"88",13,11,3.19160104986877
"89",13,12,0
"90",13,13,0
"91",13,14,0
"92",13,15,0
"93",13,16,0
"94",13,17,0
"95",13,18,0
"96",13,19,0
"98",13,20,0
"106",14,0,0
"107",14,1,0
"118",14,2,0
"120",14,3,0
"121",14,4,0
"122",14,5,0
"123",14,6,1.30183727034121
"124",14,7,5.249343832021
"125",14,8,0.797900262467192
"126",14,9,0.062992125984252
"108",14,10,0.041994750656168
"109",14,11,0.083989501312336
"110",14,12,0
"111",14,13,0.461942257217848
"112",14,14,0
"113",14,15,0
"114",14,16,0
"115",14,17,0
"116",14,18,0
"117",14,19,0
"119",14,20,0
"127",15,0,0
"128",15,1,0
"139",15,2,0
"141",15,3,2.01047120418848
"142",15,4,0.816753926701571
"143",15,5,1.04712041884817
"144",15,6,0
"145",15,7,3.93717277486911
"146",15,8,0.06282722513089
"147",15,9,0
"129",15,10,0.104712041884817
"130",15,11,0.0209424083769634
"131",15,12,0
"132",15,13,0
"133",15,14,0
"134",15,15,0
"135",15,16,0
"136",15,17,0
"137",15,18,0
"138",15,19,0
"140",15,20,0
"148",16,0,0
"149",16,1,0
"160",16,2,0
"162",16,3,0
"163",16,4,0.167979002624672
"164",16,5,0.041994750656168
"165",16,6,1.80577427821522
"166",16,7,0.797900262467192
"167",16,8,0.461942257217848
"168",16,9,0
"150",16,10,0.608923884514436
"151",16,11,1.5748031496063
"152",16,12,1.32283464566929
"153",16,13,0.230971128608924
"154",16,14,0.94488188976378
"155",16,15,0.020997375328084
"156",16,16,0.020997375328084
"157",16,17,0
"158",16,18,0
"159",16,19,0
"161",16,20,0
"169",17,0,0
"170",17,1,0
"181",17,2,0
"183",17,3,0
"184",17,4,1.13385826771654
"185",17,5,0.31496062992126
"186",17,6,1.49081364829396
"187",17,7,0
"188",17,8,0.713910761154856
"189",17,9,0.20997375328084
"171",17,10,0
"172",17,11,0.692913385826772
"173",17,12,0.377952755905512
"174",17,13,2.72965879265092
"175",17,14,0.335958005249344
"176",17,15,0
"177",17,16,0
"178",17,17,0
"179",17,18,0
"180",17,19,0
"182",17,20,0
"190",18,0,0
"191",18,1,0
"202",18,2,0
"204",18,3,1.07086614173228
"205",18,4,1.82677165354331
"206",18,5,0.5249343832021
"207",18,6,0.041994750656168
"208",18,7,0
"209",18,8,0.608923884514436
"210",18,9,0.146981627296588
"192",18,10,0
"193",18,11,0.041994750656168
"194",18,12,0.671916010498688
"195",18,13,1.00787401574803
"196",18,14,1.99475065616798
"197",18,15,0.062992125984252
"198",18,16,0
"199",18,17,0
"200",18,18,0
"201",18,19,0
"203",18,20,0
"211",19,0,0
"212",19,1,0
"223",19,2,0
"225",19,3,0
"226",19,4,0.650918635170604
"227",19,5,0.356955380577428
"228",19,6,0.062992125984252
"229",19,7,0
"230",19,8,0
"231",19,9,0
"213",19,10,0
"214",19,11,0.482939632545932
"215",19,12,6.2992125984252
"216",19,13,0
"217",19,14,0
"218",19,15,0.041994750656168
"219",19,16,0.020997375328084
"220",19,17,0
"221",19,18,0
"222",19,19,0.020997375328084
"224",19,20,0.062992125984252
"253",20,0,0
"254",20,1,0
"265",20,2,0
"267",20,3,0
"268",20,4,0
"269",20,5,0
"270",20,6,0
"271",20,7,0
"272",20,8,0
"273",20,9,0
"255",20,10,0
"256",20,11,2.14173228346457
"257",20,12,5.01837270341207
"258",20,13,0
"259",20,14,0.335958005249344
"260",20,15,0.482939632545932
"261",20,16,0.020997375328084
"262",20,17,0
"263",20,18,0
"264",20,19,0
"266",20,20,0
"274",21,0,0
"275",21,1,0
"286",21,2,0
"288",21,3,0
"289",21,4,0
"290",21,5,0
"291",21,6,0
"292",21,7,0
"293",21,8,0
"294",21,9,0
"276",21,10,0
"277",21,11,1.63957597173145
"278",21,12,0
"279",21,13,0
"280",21,14,0.0565371024734982
"281",21,15,0.96113074204947
"282",21,16,0
"283",21,17,4.21201413427562
"284",21,18,1.13074204946996
"285",21,19,0
"287",21,20,0
"295",22,0,0
"296",22,1,0
"307",22,2,2.79858657243816
"309",22,3,2.88339222614841
"310",22,4,0.197879858657244
"311",22,5,0.65017667844523
"312",22,6,0.169611307420495
"313",22,7,0
"314",22,8,0
"315",22,9,0
"297",22,10,0
"298",22,11,0
"299",22,12,0
"300",22,13,0
"301",22,14,0
"302",22,15,0.197879858657244
"303",22,16,0
"304",22,17,0.96113074204947
"305",22,18,0.141342756183746
"306",22,19,0
"308",22,20,0
"316",23,0,0
"317",23,1,0
"328",23,2,0.964539007092199
"330",23,3,5.02127659574468
"331",23,4,1.84397163120567
"332",23,5,0.170212765957447
"333",23,6,0
"334",23,7,0
"335",23,8,0
"336",23,9,0
"318",23,10,0
"319",23,11,0
"320",23,12,0
"321",23,13,0
"322",23,14,0
"323",23,15,0
"324",23,16,0
"325",23,17,0
"326",23,18,0
"327",23,19,0
"329",23,20,0
"337",24,0,0
"338",24,1,0.0246347405489903
"349",24,2,0.93612014086163
"351",24,3,1.23173702744951
"352",24,4,1.99541398446821
"353",24,5,1.35491073019446
"354",24,6,1.30564124909648
"355",24,7,0.0246347405489903
"356",24,8,0
"357",24,9,0
"339",24,10,0
"340",24,11,0
"341",24,12,0
"342",24,13,0
"343",24,14,0
"344",24,15,0
"345",24,16,0
"346",24,17,0
"347",24,18,0
"348",24,19,0
"350",24,20,0
"358",25,0,0
"359",25,1,0.516513418415248
"370",25,2,1.4419332930759
"372",25,3,1.72171139471749
"373",25,4,1.42041190064193
"374",25,5,0.279778101641593
"375",25,6,0.430427848679374
"376",25,7,0.064564177301906
"377",25,8,0
"378",25,9,0
"360",25,10,0
"361",25,11,0
"362",25,12,0
"363",25,13,0
"364",25,14,0
"365",25,15,0
"366",25,16,0
"367",25,17,0
"368",25,18,0
"369",25,19,0
"371",25,20,0
"379",26,0,0
"380",26,1,0.190654481442085
"391",26,2,0.408545317375897
"393",26,3,5.12043464444457
"394",26,4,1.55247220602841
"395",26,5,0.326836253900717
"396",26,6,0.0544727089834529
"397",26,7,0
"398",26,8,0
"399",26,9,0
"381",26,10,0
"382",26,11,0
"383",26,12,0
"384",26,13,0
"385",26,14,0
"386",26,15,0
"387",26,16,0
"388",26,17,0
"389",26,18,0
"390",26,19,0
"392",26,20,0
"400",27,0,0
"401",27,1,0.701985587469521
"412",27,2,0.504552140993719
"414",27,3,2.2375790600591
"415",27,4,1.99627151436645
"416",27,5,0.482615091385296
"417",27,6,0.0877481984336902
"418",27,7,0
"419",27,8,0
"420",27,9,0
"402",27,10,0
"403",27,11,0
"404",27,12,0
"405",27,13,0
"406",27,14,0
"407",27,15,0
"408",27,16,0
"409",27,17,0
"410",27,18,0
"411",27,19,0
"413",27,20,0
"421",28,0,0
"422",28,1,0
"433",28,2,0
"435",28,3,0.0567375886524823
"436",28,4,5.30496453900709
"437",28,5,0
"438",28,6,0
"439",28,7,0
"440",28,8,0
"441",28,9,0
"423",28,10,2.4113475177305
"424",28,11,0.170212765957447
"425",28,12,0
"426",28,13,0
"427",28,14,0
"428",28,15,0
"429",28,16,0
"430",28,17,0.0567375886524823
"431",28,18,0
"432",28,19,0
"434",28,20,0
"442",29,0,0
"443",29,1,0
"454",29,2,0
"456",29,3,0
"457",29,4,0.65017667844523
"458",29,5,3.90106007067138
"459",29,6,1.75265017667845
"460",29,7,0
"461",29,8,0
"462",29,9,0
"444",29,10,1.4982332155477
"445",29,11,0.0848056537102474
"446",29,12,0
"447",29,13,0
"448",29,14,0
"449",29,15,0
"450",29,16,0.113074204946996
"451",29,17,0
"452",29,18,0
"453",29,19,0
"455",29,20,0
"484",30,0,0
"485",30,1,0
"496",30,2,0
"498",30,3,0
"499",30,4,0
"500",30,5,1.90070921985816
"501",30,6,0
"502",30,7,0
"503",30,8,0
"504",30,9,0
"486",30,10,0.170212765957447
"487",30,11,0
"488",30,12,0
"489",30,13,3.06382978723404
"490",30,14,2.12765957446809
"491",30,15,0.0851063829787234
"492",30,16,0
"493",30,17,0.0567375886524823
"494",30,18,0.595744680851064
"495",30,19,0
"497",30,20,0
"505",31,0,0
"506",31,1,0
"517",31,2,0
"519",31,3,0
"520",31,4,0
"521",31,5,0
"522",31,6,0
"523",31,7,0
"524",31,8,0
"525",31,9,0
"507",31,10,0
"508",31,11,0
"509",31,12,1.30450929541656
"510",31,13,2.07837074185012
"511",31,14,2.71957022603792
"512",31,15,0.0442206540819173
"513",31,16,0
"514",31,17,0.375875559696297
"515",31,18,0.751751119392595
"516",31,19,0.287434251532463
"518",31,20,0.154772289286711
"526",32,0,0
"527",32,1,0
"538",32,2,0
"540",32,3,0
"541",32,4,0
"542",32,5,1.66470798637414
"543",32,6,0
"544",32,7,0
"545",32,8,0
"546",32,9,0
"528",32,10,0
"529",32,11,0
"530",32,12,0
"531",32,13,1.81490720318985
"532",32,14,0.0125166014013093
"533",32,15,0.200265622420949
"534",32,16,0.100132811210475
"535",32,17,0
"536",32,18,0
"537",32,19,0
"539",32,20,0
"547",33,0,0
"548",33,1,0
"559",33,2,0
"561",33,3,0
"562",33,4,1.00859598853868
"563",33,5,6.16618911174785
"564",33,6,0
"565",33,7,0
"566",33,8,0
"567",33,9,0
"549",33,10,0
"550",33,11,0
"551",33,12,0
"552",33,13,0
"553",33,14,0.114613180515759
"554",33,15,0.527220630372493
"555",33,16,0.183381088825215
"556",33,17,0
"557",33,18,0
"558",33,19,0
"560",33,20,0
"568",34,0,0
"569",34,1,0
"580",34,2,1.96571428571429
"582",34,3,0.0685714285714286
"583",34,4,0
"584",34,5,4.34285714285714
"585",34,6,0
"586",34,7,0
"587",34,8,0
"588",34,9,0
"570",34,10,0
"571",34,11,0
"572",34,12,0.182857142857143
"573",34,13,0.502857142857143
"574",34,14,0.205714285714286
"575",34,15,0.182857142857143
"576",34,16,0.411428571428571
"577",34,17,0.137142857142857
"578",34,18,0
"579",34,19,0
"581",34,20,0
"589",35,0,0
"590",35,1,0
"601",35,2,1.18857142857143
"603",35,3,5.78285714285714
"604",35,4,1.02857142857143
"605",35,5,0
"606",35,6,0
"607",35,7,0
"608",35,8,0
"609",35,9,0
"591",35,10,0
"592",35,11,0
"593",35,12,0
"594",35,13,0
"595",35,14,0
"596",35,15,0
"597",35,16,0
"598",35,17,0
"599",35,18,0
"600",35,19,0
"602",35,20,0
"610",36,0,0
"611",36,1,0
"622",36,2,0
"624",36,3,4.10315186246418
"625",36,4,1.30659025787966
"626",36,5,2.56733524355301
"627",36,6,0.0229226361031519
"628",36,7,0
"629",36,8,0
"630",36,9,0
"612",36,10,0
"613",36,11,0
"614",36,12,0
"615",36,13,0
"616",36,14,0
"617",36,15,0
"618",36,16,0
"619",36,17,0
"620",36,18,0
"621",36,19,0
"623",36,20,0
"631",37,0,0
"632",37,1,0
"643",37,2,0
"645",37,3,0
"646",37,4,0.251428571428571
"647",37,5,3.97714285714286
"648",37,6,3.77142857142857
"649",37,7,0
"650",37,8,0
"651",37,9,0
"633",37,10,0
"634",37,11,0
"635",37,12,0
"636",37,13,0
"637",37,14,0
"638",37,15,0
"639",37,16,0
"640",37,17,0
"641",37,18,0
"642",37,19,0
"644",37,20,0
"652",38,0,0
"653",38,1,0
"664",38,2,0
"666",38,3,1.97134670487106
"667",38,4,3.55300859598854
"668",38,5,1.16905444126075
"669",38,6,0
"670",38,7,1.07736389684814
"671",38,8,0
"672",38,9,0
"654",38,10,0
"655",38,11,0.0916905444126074
"656",38,12,0
"657",38,13,0.137535816618911
"658",38,14,0
"659",38,15,0
"660",38,16,0
"661",38,17,0
"662",38,18,0
"663",38,19,0
"665",38,20,0
"673",39,0,0
"674",39,1,0
"685",39,2,0.16
"687",39,3,0
"688",39,4,0.16
"689",39,5,3.24571428571429
"690",39,6,1.05142857142857
"691",39,7,0
"692",39,8,0
"693",39,9,0
"675",39,10,0
"676",39,11,0.48
"677",39,12,0.388571428571429
"678",39,13,2.51428571428571
"679",39,14,0
"680",39,15,0
"681",39,16,0
"682",39,17,0
"683",39,18,0
"684",39,19,0
"686",39,20,0
"715",40,0,0
"716",40,1,0
"727",40,2,2.22349570200573
"729",40,3,3.73638968481375
"730",40,4,1.2836676217765
"731",40,5,0.0687679083094556
"732",40,6,0.687679083094556
"733",40,7,0
"734",40,8,0
"735",40,9,0
"717",40,10,0
"718",40,11,0
"719",40,12,0
"720",40,13,0
"721",40,14,0
"722",40,15,0
"723",40,16,0
"724",40,17,0
"725",40,18,0
"726",40,19,0
"728",40,20,0
