"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0.0432358360619676
"13",1,2,0.443790388052777
"15",1,3,1.85713807079132
"16",1,4,0
"17",1,5,0
"18",1,6,0
"19",1,7,0.9739090827068
"20",1,8,0
"21",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,3.13831724718512
"6",1,13,1.54360937520202
"7",1,14,0.0269360269360269
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"232",2,0,0
"233",2,1,2.57352739509441
"244",2,2,4.88710252805808
"246",2,3,0.0519904524261498
"247",2,4,0
"248",2,5,0
"249",2,6,0
"250",2,7,0
"251",2,8,0.155971357278449
"252",2,9,0
"234",2,10,0
"235",2,11,0
"236",2,12,0
"237",2,13,0
"238",2,14,0
"239",2,15,0
"240",2,16,0
"241",2,17,0
"242",2,18,0
"243",2,19,0
"245",2,20,0
"463",3,0,0
"464",3,1,0.216216216216216
"475",3,2,0.027027027027027
"477",3,3,0
"478",3,4,0
"479",3,5,0
"480",3,6,0
"481",3,7,0.540540540540541
"482",3,8,0.135135135135135
"483",3,9,5.62162162162162
"465",3,10,1.43243243243243
"466",3,11,0
"467",3,12,0.027027027027027
"468",3,13,0
"469",3,14,0
"470",3,15,0
"471",3,16,0
"472",3,17,0
"473",3,18,0
"474",3,19,0
"476",3,20,0
"694",4,0,0
"695",4,1,0
"706",4,2,0.756756756756757
"708",4,3,2
"709",4,4,0.891891891891892
"710",4,5,2.24324324324324
"711",4,6,0.162162162162162
"712",4,7,0
"713",4,8,0.135135135135135
"714",4,9,0.108108108108108
"696",4,10,1.64864864864865
"697",4,11,0.0540540540540541
"698",4,12,0
"699",4,13,0
"700",4,14,0
"701",4,15,0
"702",4,16,0
"703",4,17,0
"704",4,18,0
"705",4,19,0
"707",4,20,0
"736",5,0,0
"737",5,1,0
"748",5,2,0
"750",5,3,2.62162162162162
"751",5,4,1.10810810810811
"752",5,5,1.81081081081081
"753",5,6,1.97297297297297
"754",5,7,0.459459459459459
"755",5,8,0.027027027027027
"756",5,9,0
"738",5,10,0
"739",5,11,0
"740",5,12,0
"741",5,13,0
"742",5,14,0
"743",5,15,0
"744",5,16,0
"745",5,17,0
"746",5,18,0
"747",5,19,0
"749",5,20,0
"757",6,0,0
"758",6,1,0
"769",6,2,0.216216216216216
"771",6,3,2.02702702702703
"772",6,4,2.43243243243243
"773",6,5,0.810810810810811
"774",6,6,0.864864864864865
"775",6,7,1.43243243243243
"776",6,8,0
"777",6,9,0.162162162162162
"759",6,10,0.027027027027027
"760",6,11,0.027027027027027
"761",6,12,0
"762",6,13,0
"763",6,14,0
"764",6,15,0
"765",6,16,0
"766",6,17,0
"767",6,18,0
