"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"24",1,3,0
"27",1,4,0
"28",1,5,0
"29",1,6,0
"30",1,7,0
"31",1,8,0
"32",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0.255344540640641
"6",1,13,0.278343777285475
"7",1,14,2.92030923521784
"8",1,15,3.25595427421181
"9",1,16,0.941181856774022
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0
"23",1,29,0
"25",1,30,0
"26",1,31,0
"353",2,0,0
"354",2,1,0
"365",2,2,0
"376",2,3,0
"379",2,4,0
"380",2,5,0
"381",2,6,0
"382",2,7,0
"383",2,8,0
"384",2,9,0
"355",2,10,0
"356",2,11,0
"357",2,12,0.00977339819851983
"358",2,13,0.183505407071685
"359",2,14,1.22804040847556
"360",2,15,1.02746632810736
"361",2,16,0.0603875634366874
"362",2,17,0
"363",2,18,0
"364",2,19,0
"366",2,20,0.767976825468889
"367",2,21,1.72931940276568
"368",2,22,2.64351210778023
"369",2,23,0
"370",2,24,0
"371",2,25,0
"372",2,26,0
"373",2,27,0
"374",2,28,0
"375",2,29,0
"377",2,30,0
"378",2,31,0
"705",3,0,0
"706",3,1,0
"717",3,2,0
"728",3,3,0
"731",3,4,0.21207752777884
"732",3,5,0
"733",3,6,0
"734",3,7,0
"735",3,8,0
"736",3,9,0
"707",3,10,0
"708",3,11,0
"709",3,12,0
"710",3,13,0
"711",3,14,0.245416327261173
"712",3,15,3.34419272628112
"713",3,16,2.028308344961
"714",3,17,2.17000507371787
"715",3,18,0
"716",3,19,0
"718",3,20,0
"719",3,21,0.172043010752688
"720",3,22,0
"721",3,23,0
"722",3,24,0
"723",3,25,0
"724",3,26,0
"725",3,27,0
"726",3,28,0
"727",3,29,0
"729",3,30,0
"730",3,31,0
"1057",4,0,0
"1058",4,1,0
"1069",4,2,0
"1080",4,3,0
"1083",4,4,2.46594982078853
"1084",4,5,0
"1085",4,6,0
"1086",4,7,0
"1087",4,8,0
"1088",4,9,0
"1059",4,10,0.28673835125448
"1060",4,11,0.315412186379928
"1061",4,12,0
"1062",4,13,0
"1063",4,14,0.28673835125448
"1064",4,15,2.52329749103943
"1065",4,16,1.29032258064516
"1066",4,17,0.831541218637993
"1067",4,18,0
"1068",4,19,0
"1070",4,20,0
"1071",4,21,0
"1072",4,22,0
"1073",4,23,0
"1074",4,24,0
"1075",4,25,0
"1076",4,26,0
"1077",4,27,0
"1078",4,28,0
"1079",4,29,0
"1081",4,30,0
"1082",4,31,0
"1121",5,0,0
"1122",5,1,0
"1133",5,2,0
"1144",5,3,0
"1147",5,4,0.458781362007168
"1148",5,5,0
"1149",5,6,0
"1150",5,7,0
"1151",5,8,0
"1152",5,9,0
"1123",5,10,0
"1124",5,11,0.43010752688172
"1125",5,12,0.114695340501792
"1126",5,13,0.028673835125448
"1127",5,14,0.0860215053763441
"1128",5,15,5.93548387096774
"1129",5,16,0.946236559139785
"1130",5,17,0
"1131",5,18,0
"1132",5,19,0
"1134",5,20,0
"1135",5,21,0
"1136",5,22,0
"1137",5,23,0
"1138",5,24,0
"1139",5,25,0
"1140",5,26,0
"1141",5,27,0
"1142",5,28,0
"1143",5,29,0
"1145",5,30,0
"1146",5,31,0
"1153",6,0,0
"1154",6,1,0
"1165",6,2,0
"1176",6,3,0
"1179",6,4,0
"1180",6,5,0
"1181",6,6,0
"1182",6,7,0
"1183",6,8,0
"1184",6,9,0
"1155",6,10,0.344086021505376
"1156",6,11,2.46594982078853
"1157",6,12,2.09318996415771
"1158",6,13,0
"1159",6,14,0
"1160",6,15,1.54838709677419
"1161",6,16,0.028673835125448
"1162",6,17,0
"1163",6,18,0
"1164",6,19,0
"1166",6,20,0.315412186379928
"1167",6,21,0.229390681003584
"1168",6,22,0.028673835125448
"1169",6,23,0.745519713261649
"1170",6,24,0.028673835125448
"1171",6,25,0
"1172",6,26,0.172043010752688
"1173",6,27,0
"1174",6,28,0
"1175",6,29,0
"1177",6,30,0
"1178",6,31,0
"1185",7,0,0
"1186",7,1,0
"1197",7,2,0
"1208",7,3,0
"1211",7,4,0
"1212",7,5,0
"1213",7,6,0
"1214",7,7,0
"1215",7,8,0
"1216",7,9,0
"1187",7,10,0
"1188",7,11,2.49462365591398
"1189",7,12,4.67383512544803
"1190",7,13,0
"1191",7,14,0
"1192",7,15,0
"1193",7,16,0
"1194",7,17,0
"1195",7,18,0.028673835125448
"1196",7,19,0
"1198",7,20,0
"1199",7,21,0
"1200",7,22,0.0573476702508961
"1201",7,23,0.0860215053763441
"1202",7,24,0.114695340501792
"1203",7,25,0.315412186379928
"1204",7,26,0.0573476702508961
"1205",7,27,0.172043010752688
"1206",7,28,0
"1207",7,29,0
"1209",7,30,0
"1210",7,31,0
"1217",8,0,0
"1218",8,1,0
"1229",8,2,0
"1240",8,3,0
"1243",8,4,0
"1244",8,5,0
"1245",8,6,0
"1246",8,7,0
"1247",8,8,0
"1248",8,9,0
"1219",8,10,0
"1220",8,11,0.165107513121682
"1221",8,12,0.74298380904757
"1222",8,13,0
"1223",8,14,0.550358377072274
"1224",8,15,0
"1225",8,16,0.0550358377072274
"1226",8,17,0.577876295925888
"1227",8,18,0.165107513121682
"1228",8,19,1.12823467299816
"1230",8,20,1.92625431975296
"1231",8,21,0.908091322169252
"1232",8,22,0.110071675414455
"1233",8,23,1.10071675414455
"1234",8,24,0.0550358377072274
"1235",8,25,0
"1236",8,26,0
"1237",8,27,0.165107513121682
"1238",8,28,0
"1239",8,29,0
"1241",8,30,0
"1242",8,31,0
"1249",9,0,0
"1250",9,1,0
"1261",9,2,0
"1272",9,3,0
"1275",9,4,0
"1276",9,5,0
"1277",9,6,0
"1278",9,7,0
"1279",9,8,0
"1280",9,9,0
"1251",9,10,0
"1252",9,11,0.14336917562724
"1253",9,12,0.028673835125448
"1254",9,13,0
"1255",9,14,1.03225806451613
"1256",9,15,0
"1257",9,16,0
"1258",9,17,0.028673835125448
"1259",9,18,0.114695340501792
"1260",9,19,2.46594982078853
"1262",9,20,2.26523297491039
"1263",9,21,0.172043010752688
"1264",9,22,0.831541218637993
"1265",9,23,0.28673835125448
"1266",9,24,0
"1267",9,25,0.0860215053763441
"1268",9,26,0.544802867383513
"1269",9,27,0
"1270",9,28,0
"1271",9,29,0
"1273",9,30,0
"1274",9,31,0
"33",10,0,0
"34",10,1,0
"45",10,2,0
"56",10,3,0
"59",10,4,0
"60",10,5,0
"61",10,6,0
"62",10,7,0
"63",10,8,0
"64",10,9,0
"35",10,10,0
"36",10,11,0
"37",10,12,0
"38",10,13,0
"39",10,14,0
"40",10,15,0
"41",10,16,0
"42",10,17,0.874827281140092
"43",10,18,0.0990370506951047
"44",10,19,1.08940755764615
"46",10,20,0.247592626737762
"47",10,21,0.363135852548717
"48",10,22,0
"49",10,23,1.30398783415221
"50",10,24,0.0660247004634032
"51",10,25,0.0165061751158508
"52",10,26,0
"53",10,27,0
"54",10,28,0
"55",10,29,0
"57",10,30,0
"58",10,31,0
"65",11,0,0
"66",11,1,0
"77",11,2,0.548241502767096
"88",11,3,0
"91",11,4,0
"92",11,5,0
"93",11,6,0
"94",11,7,0
"95",11,8,0
"96",11,9,0.311500853844941
"67",11,10,0.124600341537976
"68",11,11,0
"69",11,12,0
"70",11,13,0.623001707689882
"71",11,14,0.0498401366151906
"72",11,15,0.299040819691143
"73",11,16,0.137060375691774
"74",11,17,0.311500853844941
"75",11,18,0.448561229536715
"76",11,19,0.21182058061456
"78",11,20,0.112140307384179
"79",11,21,0.26166071722975
"80",11,22,0.311500853844941
"81",11,23,0
"82",11,24,0
"83",11,25,0
"84",11,26,0
"85",11,27,0
"86",11,28,0
"87",11,29,0
"89",11,30,0
"90",11,31,0
"97",12,0,0
"98",12,1,0.114613180515759
"109",12,2,0
"120",12,3,0
"123",12,4,0
"124",12,5,0
"125",12,6,0.0687679083094556
"126",12,7,2.72779369627507
"127",12,8,0
"128",12,9,0
"99",12,10,0.206303724928367
"100",12,11,2.38395415472779
"101",12,12,1.53581661891117
"102",12,13,0.779369627507163
"103",12,14,0
"104",12,15,0
"105",12,16,0
"106",12,17,0
"107",12,18,0
"108",12,19,0.0229226361031519
"110",12,20,0.160458452722063
"111",12,21,0
"112",12,22,0
"113",12,23,0
"114",12,24,0
"115",12,25,0
"116",12,26,0
"117",12,27,0
"118",12,28,0
"119",12,29,0
"121",12,30,0
"122",12,31,0
"129",13,0,0
"130",13,1,0
"141",13,2,0
"152",13,3,0
"155",13,4,0
"156",13,5,0
"157",13,6,1.0111903466633
"158",13,7,4.19536420424136
"159",13,8,0
"160",13,9,0
"131",13,10,0
"132",13,11,0
"133",13,12,0
"134",13,13,0
"135",13,14,0
"136",13,15,0
"137",13,16,0
"138",13,17,0
"139",13,18,0.279690946949424
"140",13,19,0
"142",13,20,1.44148411120088
"143",13,21,0.53786720567197
"144",13,22,0
"145",13,23,0
"146",13,24,0
"147",13,25,0
"148",13,26,0
"149",13,27,0
"150",13,28,0
"151",13,29,0
"153",13,30,0
"154",13,31,0
"161",14,0,0
"162",14,1,0
"173",14,2,0
"184",14,3,0
"187",14,4,0.114613180515759
"188",14,5,0.962750716332378
"189",14,6,2.08595988538682
"190",14,7,4.72206303724928
"191",14,8,0
"192",14,9,0
"163",14,10,0
"164",14,11,0
"165",14,12,0
"166",14,13,0
"167",14,14,0
"168",14,15,0
"169",14,16,0
"170",14,17,0
"171",14,18,0.0916905444126074
"172",14,19,0
"174",14,20,0
"175",14,21,0.0229226361031519
"176",14,22,0
"177",14,23,0
"178",14,24,0
"179",14,25,0
"180",14,26,0
"181",14,27,0
"182",14,28,0
"183",14,29,0
"185",14,30,0
"186",14,31,0
"193",15,0,0
"194",15,1,0
"205",15,2,0
"216",15,3,0
"219",15,4,0
"220",15,5,0
"221",15,6,0.0665150230328707
"222",15,7,5.8976653755812
"223",15,8,0
"224",15,9,0
"195",15,10,0
"196",15,11,0
"197",15,12,0
"198",15,13,0
"199",15,14,0
"200",15,15,0
"201",15,16,0
"202",15,17,0
"203",15,18,0.798180276394449
"204",15,19,0
"206",15,20,0.088686697377161
"207",15,21,0.443433486885805
"208",15,22,0.0221716743442902
"209",15,23,0.399090138197224
"210",15,24,0
"211",15,25,0
"212",15,26,0
"213",15,27,0
"214",15,28,0
"215",15,29,0
"217",15,30,0
"218",15,31,0
"225",16,0,0
"226",16,1,0
"237",16,2,0
"248",16,3,0
"251",16,4,0
"252",16,5,0
"253",16,6,0.0782684151645097
"254",16,7,3.15030371037152
"255",16,8,0
"256",16,9,0
"227",16,10,0
"228",16,11,0
"229",16,12,0
"230",16,13,0
"231",16,14,0
"232",16,15,0
"233",16,16,0
"234",16,17,0.117402622746765
"235",16,18,0.821818359227352
"236",16,19,0
"238",16,20,0.332640764449166
"239",16,21,0
"240",16,22,0.156536830329019
"241",16,23,0.0978355189556371
"242",16,24,0.919653878182989
"243",16,25,0.293506556866911
"244",16,26,0.215238141702402
"245",16,27,0
"246",16,28,0.293506556866911
"247",16,29,0.215238141702402
"249",16,30,0
"250",16,31,0
"257",17,0,0
"258",17,1,0.112574637502338
"269",17,2,0.131337077086062
"280",17,3,0
"283",17,4,0
"284",17,5,0
"285",17,6,0
"286",17,7,0
"287",17,8,0
"288",17,9,0
"259",17,10,0
"260",17,11,0
"261",17,12,0
"262",17,13,0
"263",17,14,0
"264",17,15,0
"265",17,16,0
"266",17,17,0.150099516669785
"267",17,18,0.525348308344246
"268",17,19,0
"270",17,20,0.994409297937323
"271",17,21,0.544110747927969
"272",17,22,0.450298550009354
"273",17,23,0.337723912507015
"274",17,24,1.08822149585594
"275",17,25,0.544110747927969
"276",17,26,0.919359539602431
"277",17,27,0.300199033339569
"278",17,28,0.0562873187511692
"279",17,29,0.187624395837231
"281",17,30,0.0562873187511692
"282",17,31,0
"289",18,0,0
"290",18,1,0.151941799683706
"301",18,2,0
"312",18,3,0
"315",18,4,0
"316",18,5,0
"317",18,6,0
"318",18,7,0
"319",18,8,0
"320",18,9,0
"291",18,10,0
"292",18,11,0
"293",18,12,0
"294",18,13,0
"295",18,14,0
"296",18,15,0
"297",18,16,0.336442556442491
"298",18,17,0.162794785375399
"299",18,18,0.488384356126196
"300",18,19,0.217059713833865
"302",18,20,0.0325589570750798
"303",18,21,0.293030613675718
"304",18,22,0.662032127193289
"305",18,23,0.238765685217252
"306",18,24,0.162794785375399
"307",18,25,0.0976768712252393
"308",18,26,0
"309",18,27,0.0108529856916933
"310",18,28,0.086823885533546
"311",18,29,0.0325589570750798
"313",18,30,0.0217059713833865
"314",18,31,0
"321",19,0,0
"322",19,1,0.229503545523688
"333",19,2,2.52453900076057
"344",19,3,0
"347",19,4,0
"348",19,5,0
"349",19,6,0
"350",19,7,0
"351",19,8,0
"352",19,9,0
"323",19,10,0
"324",19,11,0
"325",19,12,0
"326",19,13,0
"327",19,14,0
"328",19,15,0.286879431904611
"329",19,16,0.420756500126762
"330",19,17,0.248628840983996
"331",19,18,0.286879431904611
"332",19,19,1.14751772761844
"334",19,20,0.153002363682459
"335",19,21,0.229503545523688
"336",19,22,0.0573758863809221
"337",19,23,0
"338",19,24,0.0382505909206147
"339",19,25,0.0765011818412295
"340",19,26,0
"341",19,27,0
"342",19,28,0.0382505909206147
"343",19,29,0.0956264773015369
"345",19,30,0.573758863809221
"346",19,31,0.133877068222152
"385",20,0,0
"386",20,1,3.95753869679319
"397",20,2,0.222333634651303
"408",20,3,0
"411",20,4,0
"412",20,5,0
"413",20,6,0
"414",20,7,0
"415",20,8,0
"416",20,9,0.844867811674951
"387",20,10,1.37846853483808
"388",20,11,0
"389",20,12,0.0667000903953908
"390",20,13,0.711467630884169
"391",20,14,0.422433905837475
"392",20,15,0.0667000903953908
"393",20,16,0.0222333634651303
"394",20,17,0
"395",20,18,0
"396",20,19,0
"398",20,20,0
"399",20,21,0
"400",20,22,0
"401",20,23,0
"402",20,24,0
"403",20,25,0
"404",20,26,0
"405",20,27,0.0222333634651303
"406",20,28,0
"407",20,29,0
"409",20,30,0
"410",20,31,0
"417",21,0,0
"418",21,1,0
"429",21,2,0
"440",21,3,0
"443",21,4,0
"444",21,5,0
"445",21,6,0
"446",21,7,0
"447",21,8,0
"448",21,9,2.65573770491803
"419",21,10,4.36065573770492
"420",21,11,0.721311475409836
"421",21,12,0
"422",21,13,0
"423",21,14,0
"424",21,15,0
"425",21,16,0.262295081967213
"426",21,17,0
"427",21,18,0
"428",21,19,0
"430",21,20,0
"431",21,21,0
"432",21,22,0
"433",21,23,0
"434",21,24,0
"435",21,25,0
"436",21,26,0
"437",21,27,0
"438",21,28,0
"439",21,29,0
"441",21,30,0
"442",21,31,0
"449",22,0,0
"450",22,1,0
"461",22,2,0
"472",22,3,0
"475",22,4,0.0327868852459016
"476",22,5,1.47540983606557
"477",22,6,0
"478",22,7,0
"479",22,8,0
"480",22,9,0.229508196721311
"451",22,10,3.27868852459016
"452",22,11,1.27868852459016
"453",22,12,0
"454",22,13,0
"455",22,14,0
"456",22,15,0.327868852459016
"457",22,16,0
"458",22,17,0
"459",22,18,0
"460",22,19,0
"462",22,20,0
"463",22,21,0
"464",22,22,0
"465",22,23,0.0655737704918033
"466",22,24,0.786885245901639
"467",22,25,0.19672131147541
"468",22,26,0.327868852459016
"469",22,27,0
"470",22,28,0
"471",22,29,0
"473",22,30,0
"474",22,31,0
"481",23,0,0
"482",23,1,0
"493",23,2,0
"504",23,3,0
"507",23,4,0.0329218106995885
"508",23,5,7.96707818930041
"509",23,6,0
"510",23,7,0
"511",23,8,0
"512",23,9,0
"483",23,10,0
"484",23,11,0
"485",23,12,0
"486",23,13,0
"487",23,14,0
"488",23,15,0
"489",23,16,0
"490",23,17,0
"491",23,18,0
"492",23,19,0
"494",23,20,0
"495",23,21,0
"496",23,22,0
"497",23,23,0
"498",23,24,0
"499",23,25,0
"500",23,26,0
"501",23,27,0
"502",23,28,0
"503",23,29,0
"505",23,30,0
"506",23,31,0
"513",24,0,0
"514",24,1,0
"525",24,2,0
"536",24,3,0
"539",24,4,0.19672131147541
"540",24,5,7.67213114754098
"541",24,6,0
"542",24,7,0
"543",24,8,0
"544",24,9,0
"515",24,10,0
"516",24,11,0
"517",24,12,0
"518",24,13,0
"519",24,14,0
"520",24,15,0.0655737704918033
"521",24,16,0
"522",24,17,0
"523",24,18,0.0327868852459016
"524",24,19,0.0327868852459016
"526",24,20,0
"527",24,21,0
"528",24,22,0
"529",24,23,0
"530",24,24,0
"531",24,25,0
"532",24,26,0
"533",24,27,0
"534",24,28,0
"535",24,29,0
"537",24,30,0
"538",24,31,0
"545",25,0,0
"546",25,1,0
"557",25,2,0
"568",25,3,0
"571",25,4,0.19672131147541
"572",25,5,7.50819672131148
"573",25,6,0
"574",25,7,0
"575",25,8,0
"576",25,9,0
"547",25,10,0
"548",25,11,0
"549",25,12,0
"550",25,13,0
"551",25,14,0
"552",25,15,0
"553",25,16,0
"554",25,17,0
"555",25,18,0
"556",25,19,0
"558",25,20,0.163934426229508
"559",25,21,0
"560",25,22,0.0983606557377049
"561",25,23,0.0327868852459016
"562",25,24,0
"563",25,25,0
"564",25,26,0
"565",25,27,0
"566",25,28,0
"567",25,29,0
"569",25,30,0
"570",25,31,0
"577",26,0,0
"578",26,1,0
"589",26,2,0
"600",26,3,0
"603",26,4,0.0329218106995885
"604",26,5,7.34156378600823
"605",26,6,0
"606",26,7,0
"607",26,8,0
"608",26,9,0
"579",26,10,0
"580",26,11,0.0329218106995885
"581",26,12,0.230452674897119
"582",26,13,0
"583",26,14,0
"584",26,15,0
"585",26,16,0
"586",26,17,0
"587",26,18,0.329218106995885
"588",26,19,0
"590",26,20,0
"591",26,21,0
"592",26,22,0
"593",26,23,0
"594",26,24,0
"595",26,25,0
"596",26,26,0
"597",26,27,0
"598",26,28,0
"599",26,29,0
"601",26,30,0.0329218106995885
"602",26,31,0
"609",27,0,0
"610",27,1,0
"621",27,2,0
"632",27,3,0
"635",27,4,0
"636",27,5,7.54098360655738
"637",27,6,0
"638",27,7,0
"639",27,8,0
"640",27,9,0
"611",27,10,0
"612",27,11,0
"613",27,12,0.163934426229508
"614",27,13,0.0655737704918033
"615",27,14,0
"616",27,15,0
"617",27,16,0
"618",27,17,0
"619",27,18,0
"620",27,19,0
"622",27,20,0
"623",27,21,0
"624",27,22,0
"625",27,23,0
"626",27,24,0
"627",27,25,0
"628",27,26,0
"629",27,27,0.0983606557377049
"630",27,28,0.131147540983607
"631",27,29,0
"633",27,30,0
"634",27,31,0
"641",28,0,0
"642",28,1,0
"653",28,2,0
"664",28,3,0
"667",28,4,0.823045267489712
"668",28,5,7.11111111111111
"669",28,6,0
"670",28,7,0
"671",28,8,0
"672",28,9,0
"643",28,10,0
"644",28,11,0
"645",28,12,0
"646",28,13,0
"647",28,14,0
"648",28,15,0.065843621399177
"649",28,16,0
"650",28,17,0
"651",28,18,0
"652",28,19,0
"654",28,20,0
"655",28,21,0
"656",28,22,0
"657",28,23,0
"658",28,24,0
"659",28,25,0
"660",28,26,0
"661",28,27,0
"662",28,28,0
"663",28,29,0
"665",28,30,0
"666",28,31,0
"673",29,0,0
"674",29,1,0
"685",29,2,0
"696",29,3,0
"699",29,4,0.786885245901639
"700",29,5,1.67213114754098
"701",29,6,0
"702",29,7,0
"703",29,8,0
"704",29,9,0
"675",29,10,0
"676",29,11,0
"677",29,12,0.950819672131147
"678",29,13,0.524590163934426
"679",29,14,0.983606557377049
"680",29,15,0.19672131147541
"681",29,16,0.0983606557377049
"682",29,17,0.0327868852459016
"683",29,18,0.852459016393443
"684",29,19,0
"686",29,20,0
"687",29,21,0.721311475409836
"688",29,22,0.655737704918033
"689",29,23,0
"690",29,24,0.0983606557377049
"691",29,25,0.131147540983607
"692",29,26,0
"693",29,27,0
"694",29,28,0.262295081967213
"695",29,29,0.0327868852459016
"697",29,30,0
"698",29,31,0
"737",30,0,0
"738",30,1,0
"749",30,2,0
"760",30,3,0
"763",30,4,0
"764",30,5,0
"765",30,6,0
"766",30,7,0
"767",30,8,0
"768",30,9,0
"739",30,10,0
"740",30,11,0
"741",30,12,4.87242798353909
"742",30,13,0.230452674897119
"743",30,14,0
"744",30,15,0
"745",30,16,0.230452674897119
"746",30,17,1.58024691358025
"747",30,18,0.493827160493827
"748",30,19,0
"750",30,20,0
"751",30,21,0.362139917695473
"752",30,22,0.230452674897119
"753",30,23,0
"754",30,24,0
"755",30,25,0
"756",30,26,0
"757",30,27,0
"758",30,28,0
"759",30,29,0
"761",30,30,0
"762",30,31,0
"769",31,0,0
"770",31,1,0
"781",31,2,2.11275964391691
"792",31,3,0
"795",31,4,0
"796",31,5,0
"797",31,6,0
"798",31,7,0
"799",31,8,0
"800",31,9,0
"771",31,10,0
"772",31,11,0.0474777448071217
"773",31,12,1.30563798219585
"774",31,13,0
"775",31,14,0
"776",31,15,0
"777",31,16,0.118694362017804
"778",31,17,1.56676557863501
"779",31,18,0.830860534124629
