"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"19",1,3,0.00966625212592821
"20",1,4,0.25040676137608
"21",1,5,0
"22",1,6,0
"23",1,7,0.463359014283616
"24",1,8,1.95484916091081
"25",1,9,0
"3",1,10,0
"4",1,11,0.883026955690294
"5",1,12,0.30665086361047
"6",1,13,4.1320409920028
"7",1,14,0.0687679083094556
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"276",2,0,0
"277",2,1,0
"288",2,2,0
"294",2,3,0.0458452722063037
"295",2,4,4.30945558739255
"296",2,5,0
"297",2,6,0
"298",2,7,1.810888252149
"299",2,8,1.83381088825215
"300",2,9,0
"278",2,10,0
"279",2,11,0
"280",2,12,0
"281",2,13,0
"282",2,14,0
"283",2,15,0
"284",2,16,0
"285",2,17,0
"286",2,18,0
"287",2,19,0
"289",2,20,0
"290",2,21,0
"291",2,22,0
"292",2,23,0
"293",2,24,0
"551",3,0,0
"552",3,1,0
"563",3,2,0
"569",3,3,0
"570",3,4,2.82758620689655
"571",3,5,0.229885057471264
"572",3,6,1.14942528735632
"573",3,7,0.114942528735632
"574",3,8,3.01149425287356
"575",3,9,0.620689655172414
"553",3,10,0
"554",3,11,0
"555",3,12,0
"556",3,13,0.0459770114942529
"557",3,14,0
"558",3,15,0
"559",3,16,0
"560",3,17,0
"561",3,18,0
"562",3,19,0
"564",3,20,0
"565",3,21,0
"566",3,22,0
"567",3,23,0
"568",3,24,0
"826",4,0,0
"827",4,1,0
"838",4,2,0
"844",4,3,0
"845",4,4,0
"846",4,5,0.25214899713467
"847",4,6,1.94842406876791
"848",4,7,1.83381088825215
"849",4,8,3.94269340974212
"850",4,9,0
"828",4,10,0
"829",4,11,0
"830",4,12,0
"831",4,13,0
"832",4,14,0.0229226361031519
"833",4,15,0
"834",4,16,0
"835",4,17,0
"836",4,18,0
"837",4,19,0
"839",4,20,0
"840",4,21,0
"841",4,22,0
"842",4,23,0
"843",4,24,0
"876",5,0,0
"877",5,1,0
"888",5,2,0
"894",5,3,0
"895",5,4,0.0156333104156479
"896",5,5,0.500265933300733
"897",5,6,0.109433172909535
"898",5,7,0.0468999312469437
"899",5,8,0.703498968704156
"900",5,9,0
"878",5,10,0
"879",5,11,0
"880",5,12,0
"881",5,13,0
"882",5,14,0
"883",5,15,0
"884",5,16,0
"885",5,17,0
"886",5,18,0
"887",5,19,0
"889",5,20,0.00781665520782396
"890",5,21,0
"891",5,22,0
"892",5,23,0
"893",5,24,0
"901",6,0,0
"902",6,1,0
"913",6,2,0
"919",6,3,0
"920",6,4,0.137910943983738
"921",6,5,4.06837284752027
"922",6,6,0.0137910943983738
"923",6,7,0
"924",6,8,0
"925",6,9,0.124119849585364
"903",6,10,0
"904",6,11,0
"905",6,12,0
"906",6,13,0
"907",6,14,0
"908",6,15,0
"909",6,16,0
"910",6,17,0
"911",6,18,0
"912",6,19,0
"914",6,20,0
"915",6,21,0
"916",6,22,0
"917",6,23,0
"918",6,24,0
"926",7,0,0
"927",7,1,0
"938",7,2,0
"944",7,3,2.09195402298851
"945",7,4,1.67816091954023
"946",7,5,2.62068965517241
"947",7,6,0.459770114942529
"948",7,7,0.0689655172413793
"949",7,8,0
"950",7,9,1.08045977011494
"928",7,10,0
"929",7,11,0
"930",7,12,0
"931",7,13,0
"932",7,14,0
"933",7,15,0
"934",7,16,0
"935",7,17,0
"936",7,18,0
"937",7,19,0
"939",7,20,0
"940",7,21,0
"941",7,22,0
"942",7,23,0
"943",7,24,0
"951",8,0,0
"952",8,1,0
"963",8,2,1.53581661891117
"969",8,3,0.0687679083094556
"970",8,4,2.31518624641834
"971",8,5,2.40687679083095
"972",8,6,0
"973",8,7,1.67335243553009
"974",8,8,0
"975",8,9,0
"953",8,10,0
"954",8,11,0
"955",8,12,0
"956",8,13,0
"957",8,14,0
"958",8,15,0
"959",8,16,0
"960",8,17,0
"961",8,18,0
"962",8,19,0
"964",8,20,0
"965",8,21,0
"966",8,22,0
"967",8,23,0
"968",8,24,0
"976",9,0,0
"977",9,1,0
"988",9,2,3.83908045977011
"994",9,3,1.31034482758621
"995",9,4,2.20689655172414
"996",9,5,0.413793103448276
"997",9,6,0
"998",9,7,0.206896551724138
"999",9,8,0.0229885057471264
"1000",9,9,0
"978",9,10,0
"979",9,11,0
"980",9,12,0
"981",9,13,0
"982",9,14,0
"983",9,15,0
"984",9,16,0
"985",9,17,0
"986",9,18,0
"987",9,19,0
"989",9,20,0
"990",9,21,0
"991",9,22,0
"992",9,23,0
"993",9,24,0
"26",10,0,0
"27",10,1,0
"38",10,2,3.05747126436782
"44",10,3,0.459770114942529
"45",10,4,3.33333333333333
"46",10,5,1.08045977011494
"47",10,6,0.0689655172413793
"48",10,7,0
"49",10,8,0
"50",10,9,0
"28",10,10,0
"29",10,11,0
"30",10,12,0
"31",10,13,0
"32",10,14,0
"33",10,15,0
"34",10,16,0
"35",10,17,0
"36",10,18,0
"37",10,19,0
"39",10,20,0
"40",10,21,0
"41",10,22,0
"42",10,23,0
"43",10,24,0
"51",11,0,0
"52",11,1,0
"63",11,2,1.68205128205128
"69",11,3,0.697435897435897
"70",11,4,4.75897435897436
"71",11,5,0.717948717948718
"72",11,6,0
"73",11,7,0.123076923076923
"74",11,8,0
"75",11,9,0.0205128205128205
"53",11,10,0
"54",11,11,0
"55",11,12,0
"56",11,13,0
"57",11,14,0
"58",11,15,0
"59",11,16,0
"60",11,17,0
"61",11,18,0
"62",11,19,0
"64",11,20,0
"65",11,21,0
"66",11,22,0
"67",11,23,0
"68",11,24,0
"76",12,0,0
"77",12,1,0
"88",12,2,0.0820512820512821
"94",12,3,0.307692307692308
"95",12,4,4.24615384615385
"96",12,5,2.05128205128205
"97",12,6,0.184615384615385
"98",12,7,0.307692307692308
"99",12,8,0.41025641025641
"100",12,9,0.102564102564103
"78",12,10,0.287179487179487
"79",12,11,0
"80",12,12,0
"81",12,13,0
"82",12,14,0
"83",12,15,0.0205128205128205
"84",12,16,0
"85",12,17,0
"86",12,18,0
"87",12,19,0
"89",12,20,0
"90",12,21,0
"91",12,22,0
"92",12,23,0
"93",12,24,0
"101",13,0,0
"102",13,1,0
"113",13,2,6.48205128205128
"119",13,3,0.758974358974359
"120",13,4,0.369230769230769
"121",13,5,0
"122",13,6,0
"123",13,7,0.38974358974359
"124",13,8,0
"125",13,9,0
"103",13,10,0
"104",13,11,0
"105",13,12,0
"106",13,13,0
"107",13,14,0
"108",13,15,0
"109",13,16,0
"110",13,17,0
"111",13,18,0
"112",13,19,0
"114",13,20,0
"115",13,21,0
"116",13,22,0
"117",13,23,0
"118",13,24,0
"126",14,0,0
"127",14,1,0
"138",14,2,2.11282051282051
"144",14,3,0.369230769230769
"145",14,4,2.33846153846154
"146",14,5,0.861538461538462
"147",14,6,0
"148",14,7,0.348717948717949
"149",14,8,0.41025641025641
"150",14,9,0.430769230769231
"128",14,10,0.923076923076923
"129",14,11,0
"130",14,12,0
"131",14,13,0
"132",14,14,0
"133",14,15,0.0615384615384615
"134",14,16,0
"135",14,17,0
"136",14,18,0
"137",14,19,0
"139",14,20,0
"140",14,21,0
"141",14,22,0.041025641025641
"142",14,23,0.102564102564103
"143",14,24,0
"151",15,0,0
"152",15,1,0
"163",15,2,3.18517363190903
"169",15,3,1.43332813435906
"170",15,4,0.358332033589766
"171",15,5,0.238888022393177
"172",15,6,0
"173",15,7,0.298610027991471
"174",15,8,0.477776044786354
"175",15,9,0
"153",15,10,1.11481077116816
"154",15,11,0
"155",15,12,0
"156",15,13,0
"157",15,14,0
"158",15,15,0.0199073351994314
"159",15,16,0
"160",15,17,0
"161",15,18,0
"162",15,19,0.0398146703988628
"164",15,20,0.318517363190903
"165",15,21,0
"166",15,22,0.0199073351994314
"167",15,23,0.179166016794883
"168",15,24,0.0597220055982943
"176",16,0,0
"177",16,1,0
"188",16,2,0
"194",16,3,1.35384615384615
"195",16,4,6.44102564102564
"196",16,5,0.143589743589744
"197",16,6,0
"198",16,7,0
"199",16,8,0.0615384615384615
"200",16,9,0
"178",16,10,0
"179",16,11,0
"180",16,12,0
"181",16,13,0
"182",16,14,0
"183",16,15,0
"184",16,16,0
"185",16,17,0
"186",16,18,0
"187",16,19,0
"189",16,20,0
"190",16,21,0
"191",16,22,0
"192",16,23,0
"193",16,24,0
"201",17,0,0
"202",17,1,0
"213",17,2,0.656410256410256
"219",17,3,0.902564102564103
"220",17,4,1.23076923076923
"221",17,5,1.08717948717949
"222",17,6,0
"223",17,7,0
"224",17,8,3.11794871794872
"225",17,9,0.861538461538462
"203",17,10,0.143589743589744
"204",17,11,0
"205",17,12,0
"206",17,13,0
"207",17,14,0
"208",17,15,0
"209",17,16,0
"210",17,17,0
"211",17,18,0
"212",17,19,0
"214",17,20,0
"215",17,21,0
"216",17,22,0
"217",17,23,0
"218",17,24,0
"226",18,0,0
"227",18,1,0
"238",18,2,0
"244",18,3,0
"245",18,4,4.06153846153846
"246",18,5,0
"247",18,6,1.27179487179487
"248",18,7,0.041025641025641
"249",18,8,1.14871794871795
"250",18,9,1.06666666666667
"228",18,10,0.41025641025641
"229",18,11,0
"230",18,12,0
"231",18,13,0
"232",18,14,0
"233",18,15,0
"234",18,16,0
"235",18,17,0
"236",18,18,0
"237",18,19,0
"239",18,20,0
"240",18,21,0
"241",18,22,0
"242",18,23,0
"243",18,24,0
"251",19,0,0
"252",19,1,0.796293407977257
"263",19,2,0.0597220055982943
"269",19,3,0.398146703988629
"270",19,4,2.48841689992893
"271",19,5,2.32915821833348
"272",19,6,0.637034726381806
"273",19,7,0.0398146703988628
"274",19,8,0.13935134639602
"275",19,9,0.637034726381806
"253",19,10,0.0398146703988628
"254",19,11,0.159258681595451
"255",19,12,0.0199073351994314
"256",19,13,0
"257",19,14,0
"258",19,15,0
"259",19,16,0
"260",19,17,0
"261",19,18,0
"262",19,19,0
"264",19,20,0
"265",19,21,0
"266",19,22,0
"267",19,23,0
"268",19,24,0
"301",20,0,0
"302",20,1,1.13110539845758
"313",20,2,3.88688946015424
"319",20,3,2.03598971722365
"320",20,4,0.616966580976864
"321",20,5,0.267352185089974
"322",20,6,0
"323",20,7,0
"324",20,8,0
"325",20,9,0.0205655526992288
"303",20,10,0.0411311053984576
"304",20,11,0
"305",20,12,0
"306",20,13,0
"307",20,14,0
"308",20,15,0
"309",20,16,0
"310",20,17,0
"311",20,18,0
"312",20,19,0
"314",20,20,0
"315",20,21,0
"316",20,22,0
"317",20,23,0
"318",20,24,0
"326",21,0,0
"327",21,1,0
"338",21,2,4.03493449781659
"344",21,3,3.82532751091703
"345",21,4,0.122270742358079
"346",21,5,0
"347",21,6,0
"348",21,7,0.0174672489082969
"349",21,8,0
"350",21,9,0
"328",21,10,0
"329",21,11,0
"330",21,12,0
"331",21,13,0
"332",21,14,0
"333",21,15,0
"334",21,16,0
"335",21,17,0
"336",21,18,0
"337",21,19,0
"339",21,20,0
"340",21,21,0
"341",21,22,0
"342",21,23,0
"343",21,24,0
"351",22,0,0
"352",22,1,0
"363",22,2,0
"369",22,3,3.72866520787746
"370",22,4,0.12253829321663
"371",22,5,0.735229759299781
"372",22,6,3.16849015317287
"373",22,7,0
"374",22,8,0.0175054704595186
"375",22,9,0.0525164113785558
"353",22,10,0
"354",22,11,0.0700218818380744
"355",22,12,0.105032822757112
"356",22,13,0
"357",22,14,0
"358",22,15,0
"359",22,16,0
"360",22,17,0
"361",22,18,0
"362",22,19,0
"364",22,20,0
"365",22,21,0
"366",22,22,0
"367",22,23,0
"368",22,24,0
"376",23,0,0
"377",23,1,1.69174460625218
"388",23,2,0.89286520885532
"394",23,3,0
"395",23,4,0
"396",23,5,0
"397",23,6,0
"398",23,7,0.0234964528646137
"399",23,8,0.70489358593841
"400",23,9,1.04559215247531
"378",23,10,0
"379",23,11,0.270209207943057
"380",23,12,0.375943245833819
"381",23,13,0.0352446792969205
"382",23,14,0
"383",23,15,0
"384",23,16,0
"385",23,17,0
"386",23,18,0
"387",23,19,0
"389",23,20,0
"390",23,21,0
"391",23,22,0
"392",23,23,0
"393",23,24,0
"401",24,0,0
"402",24,1,1.54853352579448
"413",24,2,5.61942062968717
"419",24,3,0
"420",24,4,0
"421",24,5,0
"422",24,6,0.0159642631525204
"423",24,7,0.0159642631525204
"424",24,8,0
"425",24,9,0.0319285263050408
"403",24,10,0
"404",24,11,0
"405",24,12,0
"406",24,13,0
"407",24,14,0
"408",24,15,0
"409",24,16,0
"410",24,17,0
"411",24,18,0
"412",24,19,0
"414",24,20,0
"415",24,21,0
"416",24,22,0
"417",24,23,0
"418",24,24,0
"426",25,0,0
"427",25,1,0.286779130350078
"438",25,2,0.89220173886691
"444",25,3,0
"445",25,4,0
"446",25,5,2.05525043417556
"447",25,6,2.61287652096738
"448",25,7,0.573558260700156
"449",25,8,0.716947825875195
"450",25,9,0.0796608695416884
"428",25,10,0
"429",25,11,0.0159321739083377
"430",25,12,0
"431",25,13,0
"432",25,14,0
"433",25,15,0
"434",25,16,0
"435",25,17,0
"436",25,18,0
"437",25,19,0
"439",25,20,0
"440",25,21,0
"441",25,22,0
"442",25,23,0
"443",25,24,0
"451",26,0,0
"452",26,1,0
"463",26,2,0.087527352297593
"469",26,3,3.39606126914661
"470",26,4,0
"471",26,5,1.76805251641138
"472",26,6,2.48577680525164
"473",26,7,0
"474",26,8,0.24507658643326
"475",26,9,0
"453",26,10,0.0175054704595186
"454",26,11,0
"455",26,12,0
"456",26,13,0
"457",26,14,0
"458",26,15,0
"459",26,16,0
"460",26,17,0
"461",26,18,0
"462",26,19,0
"464",26,20,0
"465",26,21,0
"466",26,22,0
"467",26,23,0
"468",26,24,0
"476",27,0,0
"477",27,1,0
"488",27,2,4.28884026258206
"494",27,3,2.62582056892779
"495",27,4,0.99781181619256
"496",27,5,0
"497",27,6,0.087527352297593
"498",27,7,0
"499",27,8,0
"500",27,9,0
"478",27,10,0
"479",27,11,0
"480",27,12,0
"481",27,13,0
"482",27,14,0
"483",27,15,0
"484",27,16,0
"485",27,17,0
"486",27,18,0
"487",27,19,0
"489",27,20,0
"490",27,21,0
"491",27,22,0
"492",27,23,0
"493",27,24,0
"501",28,0,0
"502",28,1,0
"513",28,2,4.71615720524018
"519",28,3,0.0349344978165939
"520",28,4,2.00873362445415
"521",28,5,0.524017467248908
"522",28,6,0.611353711790393
"523",28,7,0.104803493449782
"524",28,8,0
"525",28,9,0
"503",28,10,0
"504",28,11,0
"505",28,12,0
"506",28,13,0
"507",28,14,0
"508",28,15,0
"509",28,16,0
"510",28,17,0
"511",28,18,0
"512",28,19,0
"514",28,20,0
"515",28,21,0
"516",28,22,0
"517",28,23,0
"518",28,24,0
"526",29,0,0
"527",29,1,0
"538",29,2,1.5054704595186
"544",29,3,2.66083150984683
"545",29,4,1.71553610503282
"546",29,5,0.140043763676149
"547",29,6,0.525164113785558
"548",29,7,0
"549",29,8,1.29540481400438
"550",29,9,0.0175054704595186
"528",29,10,0.140043763676149
"529",29,11,0
"530",29,12,0
"531",29,13,0
"532",29,14,0
"533",29,15,0
"534",29,16,0
"535",29,17,0
"536",29,18,0
"537",29,19,0
"539",29,20,0
"540",29,21,0
"541",29,22,0
"542",29,23,0
"543",29,24,0
"576",30,0,0
"577",30,1,0
"588",30,2,0
"594",30,3,4.53391684901532
"595",30,4,0
"596",30,5,0
"597",30,6,0
"598",30,7,0
"599",30,8,3.46608315098468
"600",30,9,0
"578",30,10,0
"579",30,11,0
"580",30,12,0
"581",30,13,0
"582",30,14,0
"583",30,15,0
"584",30,16,0
"585",30,17,0
"586",30,18,0
"587",30,19,0
"589",30,20,0
"590",30,21,0
"591",30,22,0
"592",30,23,0
"593",30,24,0
"601",31,0,0
"602",31,1,0
"613",31,2,0.465063331331362
"619",31,3,0.666590774908285
"620",31,4,2.24780610143492
"621",31,5,1.39518999399409
"622",31,6,0.170523221488166
"623",31,7,0.0155021110443787
"624",31,8,1.99977232472486
"625",31,9,0.170523221488166
"603",31,10,0
"604",31,11,0
"605",31,12,0
"606",31,13,0
"607",31,14,0
"608",31,15,0
"609",31,16,0
"610",31,17,0.108514777310651
"611",31,18,0.170523221488166
"612",31,19,0.0155021110443787
"614",31,20,0
"615",31,21,0
"616",31,22,0
"617",31,23,0
"618",31,24,0
"626",32,0,0
"627",32,1,0
"638",32,2,1.31120331950207
"644",32,3,0
"645",32,4,0
"646",32,5,2.67219917012448
"647",32,6,3.86721991701245
"648",32,7,0
"649",32,8,0
"650",32,9,0.149377593360996
"628",32,10,0
"629",32,11,0
"630",32,12,0
"631",32,13,0
"632",32,14,0
"633",32,15,0
"634",32,16,0
"635",32,17,0
"636",32,18,0
"637",32,19,0
"639",32,20,0
"640",32,21,0
"641",32,22,0
"642",32,23,0
"643",32,24,0
"651",33,0,0
"652",33,1,0.0829875518672199
"663",33,2,0.033195020746888
"669",33,3,2.24066390041494
"670",33,4,0.730290456431535
"671",33,5,0.448132780082988
"672",33,6,2.57261410788382
"673",33,7,0.132780082987552
"674",33,8,0.863070539419087
"675",33,9,0.896265560165975
"653",33,10,0
"654",33,11,0
"655",33,12,0
"656",33,13,0
"657",33,14,0
"658",33,15,0
"659",33,16,0
"660",33,17,0
"661",33,18,0
"662",33,19,0
"664",33,20,0
"665",33,21,0
"666",33,22,0
"667",33,23,0
"668",33,24,0
"676",34,0,0
"677",34,1,0.0166320166320166
"688",34,2,3.95841995841996
"694",34,3,0.532224532224532
"695",34,4,0.515592515592516
"696",34,5,0.282744282744283
"697",34,6,0
"698",34,7,0.232848232848233
"699",34,8,2.41164241164241
"700",34,9,0
"678",34,10,0
"679",34,11,0
"680",34,12,0
"681",34,13,0
"682",34,14,0
"683",34,15,0.0498960498960499
"684",34,16,0
"685",34,17,0
"686",34,18,0
"687",34,19,0
"689",34,20,0
"690",34,21,0
"691",34,22,0
"692",34,23,0
"693",34,24,0
"701",35,0,0
"702",35,1,0
"713",35,2,4.43153526970954
"719",35,3,0
"720",35,4,2.65560165975104
"721",35,5,0
"722",35,6,0
"723",35,7,0
"724",35,8,0.132780082987552
"725",35,9,0.730290456431535
"703",35,10,0
"704",35,11,0
"705",35,12,0.033195020746888
"706",35,13,0
"707",35,14,0.016597510373444
"708",35,15,0
"709",35,16,0
"710",35,17,0
"711",35,18,0
"712",35,19,0
"714",35,20,0
"715",35,21,0
"716",35,22,0
"717",35,23,0
"718",35,24,0
"726",36,0,0
"727",36,1,0
"738",36,2,3.60165975103734
"744",36,3,0.597510373443983
"745",36,4,1.67634854771784
"746",36,5,0
"747",36,6,0
"748",36,7,0
"749",36,8,0.730290456431535
"750",36,9,0.149377593360996
"728",36,10,0.796680497925311
"729",36,11,0.033195020746888
"730",36,12,0.24896265560166
"731",36,13,0
"732",36,14,0.16597510373444
"733",36,15,0
"734",36,16,0
"735",36,17,0
"736",36,18,0
"737",36,19,0
"739",36,20,0
"740",36,21,0
"741",36,22,0
"742",36,23,0
"743",36,24,0
"751",37,0,0
"752",37,1,0.0498960498960499
"763",37,2,1.84615384615385
"769",37,3,2.16216216216216
"770",37,4,1.54677754677755
"771",37,5,0.0332640332640333
"772",37,6,0
"773",37,7,0
"774",37,8,0.166320166320166
"775",37,9,1.5966735966736
"753",37,10,0.1995841995842
"754",37,11,0.0498960498960499
"755",37,12,0.349272349272349
"756",37,13,0
"757",37,14,0
"758",37,15,0
"759",37,16,0
"760",37,17,0
"761",37,18,0
"762",37,19,0
"764",37,20,0
"765",37,21,0
"766",37,22,0
"767",37,23,0
"768",37,24,0
"776",38,0,0
"777",38,1,0
"788",38,2,0
"794",38,3,1.87551867219917
"795",38,4,0.199170124481328
"796",38,5,2.67219917012448
"797",38,6,2.02489626556017
"798",38,7,0
"799",38,8,0.0663900414937759
"800",38,9,0.132780082987552
"778",38,10,0.149377593360996
"779",38,11,0.182572614107884
"780",38,12,0
"781",38,13,0
"782",38,14,0
"783",38,15,0.697095435684647
"784",38,16,0
"785",38,17,0
"786",38,18,0
"787",38,19,0
"789",38,20,0
"790",38,21,0
"791",38,22,0
"792",38,23,0
"793",38,24,0
"801",39,0,0
"802",39,1,0.0663900414937759
"813",39,2,1.22821576763485
"819",39,3,1.95850622406639
"820",39,4,0.0663900414937759
"821",39,5,3.10373443983402
"822",39,6,0.431535269709544
"823",39,7,0.0829875518672199
"824",39,8,1.01244813278008
"825",39,9,0
"803",39,10,0.033195020746888
"804",39,11,0
"805",39,12,0
"806",39,13,0
"807",39,14,0.016597510373444
"808",39,15,0
"809",39,16,0
"810",39,17,0
"811",39,18,0
"812",39,19,0
"814",39,20,0
"815",39,21,0
"816",39,22,0
"817",39,23,0
"818",39,24,0
"851",40,0,0
"852",40,1,2.0782245393627
"863",40,2,1.57056663661761
"869",40,3,0
"870",40,4,0
"871",40,5,3.09354034485287
"872",40,6,0.0158643094607839
"873",40,7,0
"874",40,8,0
"875",40,9,0
"853",40,10,0
"854",40,11,0.364879117598031
"855",40,12,0.237964641911759
"856",40,13,0
