"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"24",1,3,0
"35",1,4,0
"46",1,5,0
"52",1,6,0
"53",1,7,0
"54",1,8,0
"55",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0.00393383494513142
"8",1,15,0.384101920132593
"9",1,16,0.0531976347491973
"10",1,17,0.655579613889733
"11",1,18,1.17590089296604
"12",1,19,5.7272861033173
"14",1,20,0
"15",1,21,0.0229885057471264
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0
"23",1,29,0
"25",1,30,0
"26",1,31,0
"27",1,32,0
"28",1,33,0
"29",1,34,0
"30",1,35,0
"31",1,36,0
"32",1,37,0
"33",1,38,0
"34",1,39,0
"36",1,40,0
"37",1,41,0
"38",1,42,0
"39",1,43,0
"40",1,44,0
"41",1,45,0
"42",1,46,0
"43",1,47,0
"44",1,48,0
"45",1,49,0
"47",1,50,0
"48",1,51,0
"49",1,52,0
"50",1,53,0
"51",1,54,0
"606",2,0,0
"607",2,1,0
"618",2,2,0
"629",2,3,0
"640",2,4,0
"651",2,5,0.0209897827204844
"657",2,6,0
"658",2,7,0
"659",2,8,0
"660",2,9,0
"608",2,10,0
"609",2,11,0
"610",2,12,0
"611",2,13,0
"612",2,14,0.0209897827204844
"613",2,15,0
"614",2,16,0
"615",2,17,0.52474456801211
"616",2,18,0.776621960657922
"617",2,19,2.91757979814733
"619",2,20,2.79164110182442
"620",2,21,0.188908044484359
"621",2,22,0
"622",2,23,0
"623",2,24,0
"624",2,25,0
"625",2,26,0
"626",2,27,0
"627",2,28,0
"628",2,29,0
"630",2,30,0
"631",2,31,0
"632",2,32,0
"633",2,33,0
"634",2,34,0
"635",2,35,0
"636",2,36,0
"637",2,37,0
"638",2,38,0
"639",2,39,0
"641",2,40,0
"642",2,41,0
"643",2,42,0
"644",2,43,0
"645",2,44,0
"646",2,45,0
"647",2,46,0
"648",2,47,0
"649",2,48,0
"650",2,49,0
"652",2,50,0
"653",2,51,0
"654",2,52,0
"655",2,53,0
"656",2,54,0
"1211",3,0,0
"1212",3,1,0
"1223",3,2,0
"1234",3,3,0
"1245",3,4,0
"1256",3,5,0
"1262",3,6,0
"1263",3,7,0
"1264",3,8,0
"1265",3,9,0
"1213",3,10,0
"1214",3,11,0
"1215",3,12,0
"1216",3,13,0
"1217",3,14,0
"1218",3,15,0
"1219",3,16,0
"1220",3,17,2.28242074927954
"1221",3,18,2.76657060518732
"1222",3,19,1.54466858789625
"1224",3,20,1.40634005763689
"1225",3,21,0
"1226",3,22,0
"1227",3,23,0
"1228",3,24,0
"1229",3,25,0
"1230",3,26,0
"1231",3,27,0
"1232",3,28,0
"1233",3,29,0
"1235",3,30,0
"1236",3,31,0
"1237",3,32,0
"1238",3,33,0
"1239",3,34,0
"1240",3,35,0
"1241",3,36,0
"1242",3,37,0
"1243",3,38,0
"1244",3,39,0
"1246",3,40,0
"1247",3,41,0
"1248",3,42,0
"1249",3,43,0
"1250",3,44,0
"1251",3,45,0
"1252",3,46,0
"1253",3,47,0
"1254",3,48,0
"1255",3,49,0
"1257",3,50,0
"1258",3,51,0
"1259",3,52,0
"1260",3,53,0
"1261",3,54,0
"1816",4,0,0
"1817",4,1,0
"1828",4,2,0
"1839",4,3,0
"1850",4,4,0
"1861",4,5,0
"1867",4,6,0.0229885057471264
"1868",4,7,2.02298850574713
"1869",4,8,0
"1870",4,9,0
"1818",4,10,0
"1819",4,11,0
"1820",4,12,0
"1821",4,13,0
"1822",4,14,0.0459770114942529
"1823",4,15,0.0229885057471264
"1824",4,16,1.42528735632184
"1825",4,17,1.77011494252874
"1826",4,18,0.666666666666667
"1827",4,19,1.17241379310345
"1829",4,20,0.850574712643678
"1830",4,21,0
"1831",4,22,0
"1832",4,23,0
"1833",4,24,0
"1834",4,25,0
"1835",4,26,0
"1836",4,27,0
"1837",4,28,0
"1838",4,29,0
"1840",4,30,0
"1841",4,31,0
"1842",4,32,0
"1843",4,33,0
"1844",4,34,0
"1845",4,35,0
"1846",4,36,0
"1847",4,37,0
"1848",4,38,0
"1849",4,39,0
"1851",4,40,0
"1852",4,41,0
"1853",4,42,0
"1854",4,43,0
"1855",4,44,0
"1856",4,45,0
"1857",4,46,0
"1858",4,47,0
"1859",4,48,0
"1860",4,49,0
"1862",4,50,0
"1863",4,51,0
"1864",4,52,0
"1865",4,53,0
"1866",4,54,0
"1926",5,0,0
"1927",5,1,0
"1938",5,2,0
"1949",5,3,0
"1960",5,4,0
"1971",5,5,0
"1977",5,6,1.7521613832853
"1978",5,7,2.67435158501441
"1979",5,8,0.484149855907781
"1980",5,9,0.484149855907781
"1928",5,10,0
"1929",5,11,0
"1930",5,12,0
"1931",5,13,0.829971181556196
"1932",5,14,0.461095100864553
"1933",5,15,0.184438040345821
"1934",5,16,0.99135446685879
"1935",5,17,0.0461095100864553
"1936",5,18,0
"1937",5,19,0
"1939",5,20,0.0922190201729107
"1940",5,21,0
"1941",5,22,0
"1942",5,23,0
"1943",5,24,0
"1944",5,25,0
"1945",5,26,0
"1946",5,27,0
"1947",5,28,0
"1948",5,29,0
"1950",5,30,0
"1951",5,31,0
"1952",5,32,0
"1953",5,33,0
"1954",5,34,0
"1955",5,35,0
"1956",5,36,0
"1957",5,37,0
"1958",5,38,0
"1959",5,39,0
"1961",5,40,0
"1962",5,41,0
"1963",5,42,0
"1964",5,43,0
"1965",5,44,0
"1966",5,45,0
"1967",5,46,0
"1968",5,47,0
"1969",5,48,0
"1970",5,49,0
"1972",5,50,0
"1973",5,51,0
"1974",5,52,0
"1975",5,53,0
"1976",5,54,0
"1981",6,0,0
"1982",6,1,0
"1993",6,2,0
"2004",6,3,0
"2015",6,4,0
"2026",6,5,0
"2032",6,6,2.50574712643678
"2033",6,7,1.05747126436782
"2034",6,8,3.33333333333333
"2035",6,9,1.10344827586207
"1983",6,10,0
"1984",6,11,0
"1985",6,12,0
"1986",6,13,0
"1987",6,14,0
"1988",6,15,0
"1989",6,16,0
"1990",6,17,0
"1991",6,18,0
"1992",6,19,0
"1994",6,20,0
"1995",6,21,0
"1996",6,22,0
"1997",6,23,0
"1998",6,24,0
"1999",6,25,0
"2000",6,26,0
"2001",6,27,0
"2002",6,28,0
"2003",6,29,0
"2005",6,30,0
"2006",6,31,0
"2007",6,32,0
"2008",6,33,0
"2009",6,34,0
"2010",6,35,0
"2011",6,36,0
"2012",6,37,0
"2013",6,38,0
"2014",6,39,0
"2016",6,40,0
"2017",6,41,0
"2018",6,42,0
"2019",6,43,0
"2020",6,44,0
"2021",6,45,0
"2022",6,46,0
"2023",6,47,0
"2024",6,48,0
"2025",6,49,0
"2027",6,50,0
"2028",6,51,0
"2029",6,52,0
"2030",6,53,0
"2031",6,54,0
"2036",7,0,0
"2037",7,1,0
"2048",7,2,0
"2059",7,3,0
"2070",7,4,0
"2081",7,5,0
"2087",7,6,2.35158501440922
"2088",7,7,0
"2089",7,8,5.21037463976945
"2090",7,9,0.39193083573487
"2038",7,10,0
"2039",7,11,0
"2040",7,12,0.0230547550432277
"2041",7,13,0
"2042",7,14,0.0230547550432277
"2043",7,15,0
"2044",7,16,0
"2045",7,17,0
"2046",7,18,0
"2047",7,19,0
"2049",7,20,0
"2050",7,21,0
"2051",7,22,0
"2052",7,23,0
"2053",7,24,0
"2054",7,25,0
"2055",7,26,0
"2056",7,27,0
"2057",7,28,0
"2058",7,29,0
"2060",7,30,0
"2061",7,31,0
"2062",7,32,0
"2063",7,33,0
"2064",7,34,0
"2065",7,35,0
"2066",7,36,0
"2067",7,37,0
"2068",7,38,0
"2069",7,39,0
"2071",7,40,0
"2072",7,41,0
"2073",7,42,0
"2074",7,43,0
"2075",7,44,0
"2076",7,45,0
"2077",7,46,0
"2078",7,47,0
"2079",7,48,0
"2080",7,49,0
"2082",7,50,0
"2083",7,51,0
"2084",7,52,0
"2085",7,53,0
"2086",7,54,0
"2091",8,0,0
"2092",8,1,0
"2103",8,2,0
"2114",8,3,0
"2125",8,4,0
"2136",8,5,0
"2142",8,6,0.919540229885057
"2143",8,7,1.31034482758621
"2144",8,8,5.37931034482759
"2145",8,9,0.275862068965517
"2093",8,10,0
"2094",8,11,0
"2095",8,12,0.0689655172413793
"2096",8,13,0.0459770114942529
"2097",8,14,0
"2098",8,15,0
"2099",8,16,0
"2100",8,17,0
"2101",8,18,0
"2102",8,19,0
"2104",8,20,0
"2105",8,21,0
"2106",8,22,0
"2107",8,23,0
"2108",8,24,0
"2109",8,25,0
"2110",8,26,0
"2111",8,27,0
"2112",8,28,0
"2113",8,29,0
"2115",8,30,0
"2116",8,31,0
"2117",8,32,0
"2118",8,33,0
"2119",8,34,0
"2120",8,35,0
"2121",8,36,0
"2122",8,37,0
"2123",8,38,0
"2124",8,39,0
"2126",8,40,0
"2127",8,41,0
"2128",8,42,0
"2129",8,43,0
"2130",8,44,0
"2131",8,45,0
"2132",8,46,0
"2133",8,47,0
"2134",8,48,0
"2135",8,49,0
"2137",8,50,0
"2138",8,51,0
"2139",8,52,0
"2140",8,53,0
"2141",8,54,0
"2146",9,0,0
"2147",9,1,0
"2158",9,2,0
"2169",9,3,0
"2180",9,4,0
"2191",9,5,0
"2197",9,6,0.507204610951009
"2198",9,7,4.24207492795389
"2199",9,8,1.15273775216138
"2200",9,9,0
"2148",9,10,0
"2149",9,11,0.0922190201729107
"2150",9,12,0
"2151",9,13,0
"2152",9,14,0.99135446685879
"2153",9,15,0.622478386167147
"2154",9,16,0.39193083573487
"2155",9,17,0
"2156",9,18,0
"2157",9,19,0
"2159",9,20,0
"2160",9,21,0
"2161",9,22,0
"2162",9,23,0
"2163",9,24,0
"2164",9,25,0
"2165",9,26,0
"2166",9,27,0
"2167",9,28,0
"2168",9,29,0
"2170",9,30,0
"2171",9,31,0
"2172",9,32,0
"2173",9,33,0
"2174",9,34,0
"2175",9,35,0
"2176",9,36,0
"2177",9,37,0
"2178",9,38,0
"2179",9,39,0
"2181",9,40,0
"2182",9,41,0
"2183",9,42,0
"2184",9,43,0
"2185",9,44,0
"2186",9,45,0
"2187",9,46,0
"2188",9,47,0
"2189",9,48,0
"2190",9,49,0
"2192",9,50,0
"2193",9,51,0
"2194",9,52,0
"2195",9,53,0
"2196",9,54,0
"56",10,0,0
"57",10,1,0
"68",10,2,0
"79",10,3,0
"90",10,4,0
"101",10,5,0
"107",10,6,0
"108",10,7,1.24495677233429
"109",10,8,0
"110",10,9,0
"58",10,10,0
"59",10,11,0
"60",10,12,0
"61",10,13,0
"62",10,14,5.30259365994236
"63",10,15,1.42939481268012
"64",10,16,0
"65",10,17,0
"66",10,18,0
"67",10,19,0
"69",10,20,0
"70",10,21,0
"71",10,22,0
"72",10,23,0
"73",10,24,0
"74",10,25,0
"75",10,26,0
"76",10,27,0
"77",10,28,0
"78",10,29,0
"80",10,30,0
"81",10,31,0
"82",10,32,0
"83",10,33,0
"84",10,34,0
"85",10,35,0
"86",10,36,0
"87",10,37,0
"88",10,38,0
"89",10,39,0
"91",10,40,0
"92",10,41,0
"93",10,42,0
"94",10,43,0
"95",10,44,0
"96",10,45,0
"97",10,46,0
"98",10,47,0
"99",10,48,0
"100",10,49,0
"102",10,50,0
"103",10,51,0
"104",10,52,0
"105",10,53,0
"106",10,54,0.0230547550432277
"111",11,0,0
"112",11,1,0
"123",11,2,0
"134",11,3,0
"145",11,4,0
"156",11,5,0
"162",11,6,0
"163",11,7,0
"164",11,8,0
"165",11,9,0
"113",11,10,0
"114",11,11,0
"115",11,12,0
"116",11,13,0
"117",11,14,0.88622754491018
"118",11,15,7.08982035928144
"119",11,16,0.0239520958083832
"120",11,17,0
"121",11,18,0
"122",11,19,0
"124",11,20,0
"125",11,21,0
"126",11,22,0
"127",11,23,0
"128",11,24,0
"129",11,25,0
"130",11,26,0
"131",11,27,0
"132",11,28,0
"133",11,29,0
"135",11,30,0
"136",11,31,0
"137",11,32,0
"138",11,33,0
"139",11,34,0
"140",11,35,0
"141",11,36,0
"142",11,37,0
"143",11,38,0
"144",11,39,0
"146",11,40,0
"147",11,41,0
"148",11,42,0
"149",11,43,0
"150",11,44,0
"151",11,45,0
"152",11,46,0
"153",11,47,0
"154",11,48,0
"155",11,49,0
"157",11,50,0
"158",11,51,0
"159",11,52,0
"160",11,53,0
"161",11,54,0
"166",12,0,0
"167",12,1,0
"178",12,2,0
"189",12,3,0
"200",12,4,0
"211",12,5,0
"217",12,6,0
"218",12,7,0
"219",12,8,0
"220",12,9,0
"168",12,10,0
"169",12,11,0
"170",12,12,0
"171",12,13,0
"172",12,14,0
"173",12,15,0.610286140308953
"174",12,16,0.0907182100459255
"175",12,17,0.189683530096026
"176",12,18,0.140200870070976
"177",12,19,0.387614170196227
"179",12,20,0.00824711000417505
"180",12,21,0
"181",12,22,0
"182",12,23,0
"183",12,24,0
"184",12,25,0
"185",12,26,0
"186",12,27,0
"187",12,28,0
"188",12,29,0
"190",12,30,0
"191",12,31,0
"192",12,32,0
"193",12,33,0
"194",12,34,0
"195",12,35,0
"196",12,36,0
"197",12,37,0
"198",12,38,0
"199",12,39,0
"201",12,40,0
"202",12,41,0
"203",12,42,0
"204",12,43,0
"205",12,44,0
"206",12,45,0
"207",12,46,0
"208",12,47,0
"209",12,48,0
"210",12,49,0
"212",12,50,0
"213",12,51,0
"214",12,52,0
"215",12,53,0
"216",12,54,0
"221",13,0,0
"222",13,1,0
"233",13,2,0
"244",13,3,0
"255",13,4,0
"266",13,5,0
"272",13,6,0
"273",13,7,0
"274",13,8,0
"275",13,9,0
"223",13,10,0
"224",13,11,0
"225",13,12,0
"226",13,13,0
"227",13,14,0
"228",13,15,0
"229",13,16,0.122226938467236
"230",13,17,0.141525928751537
"231",13,18,0.0900619546600689
"232",13,19,0
"234",13,20,0
"235",13,21,0
"236",13,22,0
"237",13,23,0
"238",13,24,0
"239",13,25,0
"240",13,26,0
"241",13,27,0
"242",13,28,0
"243",13,29,0
"245",13,30,0
"246",13,31,0
"247",13,32,0
"248",13,33,0
"249",13,34,0
"250",13,35,0
"251",13,36,0
"252",13,37,0
"253",13,38,0
"254",13,39,0
"256",13,40,0
"257",13,41,0
"258",13,42,0
"259",13,43,0
"260",13,44,0
"261",13,45,0
"262",13,46,0
"263",13,47,0
"264",13,48,0
"265",13,49,0
"267",13,50,0
"268",13,51,0
"269",13,52,0
"270",13,53,0
"271",13,54,0
"276",14,0,0
"277",14,1,0
"288",14,2,0
"299",14,3,0
"310",14,4,0
"321",14,5,0
"327",14,6,0
"328",14,7,0
"329",14,8,0
"330",14,9,0
"278",14,10,0
"279",14,11,0
"280",14,12,0
"281",14,13,0
"282",14,14,0
"283",14,15,0
"284",14,16,0.30284953457743
"285",14,17,0.022159722042251
"286",14,18,0.022159722042251
"287",14,19,0
"289",14,20,0
"290",14,21,0
"291",14,22,0
"292",14,23,0
"293",14,24,0.347168978661932
"294",14,25,0.243756942464761
"295",14,26,0
"296",14,27,0
"297",14,28,0
"298",14,29,0
"300",14,30,0
"301",14,31,0
"302",14,32,0
"303",14,33,0
"304",14,34,0
"305",14,35,0
"306",14,36,0
"307",14,37,0
"308",14,38,0
"309",14,39,0
"311",14,40,0
"312",14,41,0
"313",14,42,0
"314",14,43,0
"315",14,44,0
"316",14,45,0
"317",14,46,0
"318",14,47,0
"319",14,48,0
"320",14,49,0
"322",14,50,0
"323",14,51,0
"324",14,52,0
"325",14,53,0
"326",14,54,0
"331",15,0,0
"332",15,1,0
"343",15,2,0
"354",15,3,0
"365",15,4,0
"376",15,5,0
"382",15,6,0
"383",15,7,0
"384",15,8,0
"385",15,9,0
"333",15,10,0
"334",15,11,0
"335",15,12,0
"336",15,13,0.0979558403309604
"337",15,14,0
"338",15,15,0.00753506464084311
"339",15,16,0.610340235908292
"340",15,17,0
"341",15,18,0
"342",15,19,0.0150701292816862
"344",15,20,0
"345",15,21,0
"346",15,22,0
"347",15,23,0
"348",15,24,0.158236357457705
"349",15,25,0.135631163535176
"350",15,26,0
"351",15,27,0
"352",15,28,0
"353",15,29,0
"355",15,30,0
"356",15,31,0
"357",15,32,0
"358",15,33,0
"359",15,34,0
"360",15,35,0
"361",15,36,0
"362",15,37,0
"363",15,38,0
"364",15,39,0
"366",15,40,0
"367",15,41,0
"368",15,42,0
"369",15,43,0
"370",15,44,0
"371",15,45,0
"372",15,46,0
"373",15,47,0
"374",15,48,0
"375",15,49,0
"377",15,50,0
"378",15,51,0
"379",15,52,0
"380",15,53,0
"381",15,54,0
"386",16,0,0
"387",16,1,0
"398",16,2,0
"409",16,3,0
"420",16,4,0
"431",16,5,0
"437",16,6,0
"438",16,7,0
"439",16,8,0
"440",16,9,0
"388",16,10,0
"389",16,11,0
"390",16,12,0
"391",16,13,0.48048048048048
"392",16,14,0.192192192192192
"393",16,15,0.384384384384384
"394",16,16,0
"395",16,17,0.912912912912913
"396",16,18,2.90690690690691
"397",16,19,2.04204204204204
"399",16,20,0.720720720720721
"400",16,21,0.288288288288288
"401",16,22,0
"402",16,23,0
"403",16,24,0.0720720720720721
"404",16,25,0
"405",16,26,0
"406",16,27,0
"407",16,28,0
"408",16,29,0
"410",16,30,0
"411",16,31,0
"412",16,32,0
"413",16,33,0
"414",16,34,0
"415",16,35,0
"416",16,36,0
"417",16,37,0
"418",16,38,0
"419",16,39,0
"421",16,40,0
"422",16,41,0
"423",16,42,0
"424",16,43,0
"425",16,44,0
"426",16,45,0
"427",16,46,0
"428",16,47,0
"429",16,48,0
"430",16,49,0
"432",16,50,0
"433",16,51,0
"434",16,52,0
"435",16,53,0
"436",16,54,0
"441",17,0,0
"442",17,1,0
"453",17,2,0
"464",17,3,0
"475",17,4,0
"486",17,5,0
"492",17,6,0
"493",17,7,0
"494",17,8,0
"495",17,9,0
"443",17,10,0
"444",17,11,0
"445",17,12,0
"446",17,13,0.36036036036036
"447",17,14,2.23423423423423
"448",17,15,0.144144144144144
"449",17,16,0
"450",17,17,0.024024024024024
"451",17,18,0.384384384384384
"452",17,19,3.17117117117117
"454",17,20,1.48948948948949
"455",17,21,0.0720720720720721
"456",17,22,0.048048048048048
"457",17,23,0.0720720720720721
"458",17,24,0
"459",17,25,0
"460",17,26,0
"461",17,27,0
"462",17,28,0
"463",17,29,0
"465",17,30,0
"466",17,31,0
"467",17,32,0
"468",17,33,0
"469",17,34,0
"470",17,35,0
"471",17,36,0
"472",17,37,0
"473",17,38,0
"474",17,39,0
"476",17,40,0
"477",17,41,0
"478",17,42,0
"479",17,43,0
"480",17,44,0
"481",17,45,0
"482",17,46,0
"483",17,47,0
"484",17,48,0
"485",17,49,0
"487",17,50,0
"488",17,51,0
"489",17,52,0
"490",17,53,0
"491",17,54,0
"496",18,0,0
"497",18,1,0
"508",18,2,0
"519",18,3,0
"530",18,4,0
"541",18,5,0
"547",18,6,0
"548",18,7,0
"549",18,8,0
"550",18,9,0
"498",18,10,0
"499",18,11,0
"500",18,12,0
"501",18,13,1.80156423176475
"502",18,14,0.99661000055071
"503",18,15,1.57157730856074
"504",18,16,0.939113269749708
"505",18,17,0
"506",18,18,0.038331153867335
"507",18,19,0.479139423341688
"509",18,20,0.191655769336675
"510",18,21,0
"511",18,22,0
"512",18,23,0.191655769336675
"513",18,24,0
"514",18,25,0
"515",18,26,0
"516",18,27,0
"517",18,28,0
"518",18,29,0
"520",18,30,0
"521",18,31,0
"522",18,32,0
"523",18,33,0
"524",18,34,0
"525",18,35,0
"526",18,36,0
"527",18,37,0
"528",18,38,0
"529",18,39,0
"531",18,40,0
"532",18,41,0
"533",18,42,0
"534",18,43,0
"535",18,44,0
"536",18,45,0
"537",18,46,0
"538",18,47,0
"539",18,48,0
"540",18,49,0
"542",18,50,0
"543",18,51,0
"544",18,52,0
"545",18,53,0
"546",18,54,0
"551",19,0,0
"552",19,1,0
"563",19,2,0
"574",19,3,0
"585",19,4,0
"596",19,5,0
"602",19,6,0
"603",19,7,0
"604",19,8,0
"605",19,9,0
"553",19,10,0
"554",19,11,0
"555",19,12,0
"556",19,13,0
"557",19,14,0
"558",19,15,1.75375375375375
"559",19,16,4.34834834834835
"560",19,17,0.048048048048048
"561",19,18,0.168168168168168
"562",19,19,1.60960960960961
"564",19,20,0.0720720720720721
"565",19,21,0
"566",19,22,0
"567",19,23,0
"568",19,24,0
"569",19,25,0
"570",19,26,0
"571",19,27,0
"572",19,28,0
"573",19,29,0
"575",19,30,0
"576",19,31,0
"577",19,32,0
"578",19,33,0
"579",19,34,0
"580",19,35,0
"581",19,36,0
"582",19,37,0
"583",19,38,0
"584",19,39,0
"586",19,40,0
"587",19,41,0
"588",19,42,0
"589",19,43,0
"590",19,44,0
"591",19,45,0
"592",19,46,0
"593",19,47,0
"594",19,48,0
"595",19,49,0
"597",19,50,0
"598",19,51,0
"599",19,52,0
"600",19,53,0
"601",19,54,0
"661",20,0,0
"662",20,1,0
"673",20,2,0
"684",20,3,0
"695",20,4,0
"706",20,5,0
"712",20,6,0
"713",20,7,0
"714",20,8,0
"715",20,9,0
"663",20,10,0
