"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"18",1,3,0
"19",1,4,0
"20",1,5,0
"21",1,6,0
"22",1,7,0
"23",1,8,0
"24",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0
"7",1,14,0.00490038334471814
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0.0267350029678189
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"265",2,0,0
"266",2,1,0
"277",2,2,0
"282",2,3,0
"283",2,4,0
"284",2,5,0
"285",2,6,0
"286",2,7,0
"287",2,8,0
"288",2,9,0
"267",2,10,0
"268",2,11,0
"269",2,12,0
"270",2,13,0
"271",2,14,0
"272",2,15,0
"273",2,16,0
"274",2,17,0
"275",2,18,0
"276",2,19,0.0177552217014937
"278",2,20,0.0389382865995751
"279",2,21,0
"280",2,22,0
"281",2,23,0
"529",3,0,0
"530",3,1,0
"541",3,2,0
"546",3,3,0
"547",3,4,0
"548",3,5,0
"549",3,6,0
"550",3,7,0
"551",3,8,0
"552",3,9,0
"531",3,10,0
"532",3,11,0
"533",3,12,0.0187183296682508
"534",3,13,0.0101713434900372
"535",3,14,0.00498906853679111
"536",3,15,0
"537",3,16,0.0156558814209815
"538",3,17,0
"539",3,18,0
"540",3,19,0.115485979671314
"542",3,20,0.185366253350265
"543",3,21,0
"544",3,22,0
"545",3,23,0
"793",4,0,0
"794",4,1,0
"805",4,2,0
"810",4,3,0
"811",4,4,0
"812",4,5,0
"813",4,6,0
"814",4,7,0
"815",4,8,0
"816",4,9,0
"795",4,10,0
"796",4,11,0
"797",4,12,0.000803770339201566
"798",4,13,0.121301344083086
"799",4,14,0.0826152059139311
"800",4,15,0
"801",4,16,0
"802",4,17,0.00389916322138954
"803",4,18,0
"804",4,19,0.102982204002723
"806",4,20,0.353704578432345
"807",4,21,0
"808",4,22,0
"809",4,23,0
"841",5,0,0
"842",5,1,0
"853",5,2,0
"858",5,3,0
"859",5,4,0
"860",5,5,0
"861",5,6,0
"862",5,7,0
"863",5,8,0
"864",5,9,0
"843",5,10,0
"844",5,11,0
"845",5,12,0
"846",5,13,0
"847",5,14,0.161760270045444
"848",5,15,0.0111051518489301
"849",5,16,0.107138319824665
"850",5,17,0.0762097037193706
"851",5,18,0.07723567899187
"852",5,19,0.711682110030052
"854",5,20,0
"855",5,21,0
"856",5,22,0
"857",5,23,0
"865",6,0,0
"866",6,1,0
"877",6,2,0
"882",6,3,0
"883",6,4,0
"884",6,5,0
"885",6,6,0
"886",6,7,0
"887",6,8,0
"888",6,9,0
"867",6,10,0
"868",6,11,0
"869",6,12,0.0681756058521498
"870",6,13,0
"871",6,14,0.0815832610652175
"872",6,15,2.36062805972538
"873",6,16,0.394576776019746
"874",6,17,1.06862837577114
"875",6,18,1.5396024782305
"876",6,19,1.72394682192842
"878",6,20,0.76285862140744
"879",6,21,0.113879003558719
"880",6,22,0
"881",6,23,0
"889",7,0,0
"890",7,1,0
"901",7,2,0
"906",7,3,0
"907",7,4,0
"908",7,5,0
"909",7,6,0
"910",7,7,0
"911",7,8,0
"912",7,9,0.0142348754448399
"891",7,10,0.754448398576512
"892",7,11,0
"893",7,12,1.6797153024911
"894",7,13,0.113879003558719
"895",7,14,2.14946619217082
"896",7,15,2.1779359430605
"897",7,16,0.0427046263345196
"898",7,17,0.0711743772241993
"899",7,18,0.882562277580071
"900",7,19,0.099644128113879
"902",7,20,0
"903",7,21,0.0142348754448399
"904",7,22,0
"905",7,23,0
"913",8,0,0
"914",8,1,0
"925",8,2,0
"930",8,3,0
"931",8,4,0
"932",8,5,0
"933",8,6,0
"934",8,7,0
"935",8,8,0
"936",8,9,0.0854092526690391
"915",8,10,0.327402135231317
"916",8,11,0
"917",8,12,0.227758007117438
"918",8,13,5.83629893238434
"919",8,14,0.797153024911032
"920",8,15,0.725978647686833
"921",8,16,0
"922",8,17,0
"923",8,18,0
"924",8,19,0
"926",8,20,0
"927",8,21,0
"928",8,22,0
"929",8,23,0
"937",9,0,0
"938",9,1,0.155576034720654
"949",9,2,0
"954",9,3,0
"955",9,4,0
"956",9,5,0
"957",9,6,0
"958",9,7,0
"959",9,8,0
"960",9,9,0
"939",9,10,0
"940",9,11,0
"941",9,12,0
"942",9,13,0
"943",9,14,0.272258060761144
"944",9,15,0.907526869203815
"945",9,16,0
"946",9,17,0
"947",9,18,1.89284175576796
"948",9,19,1.99655911224839
"950",9,20,1.40018431248589
"951",9,21,0.531551451962234
"952",9,22,0.051858678240218
"953",9,23,0.0129646695600545
"25",10,0,0
"26",10,1,0
"37",10,2,0
"42",10,3,0
"43",10,4,0
"44",10,5,0
"45",10,6,0
"46",10,7,0
"47",10,8,0
"48",10,9,0
"27",10,10,0
"28",10,11,0
"29",10,12,0
"30",10,13,0
"31",10,14,0
"32",10,15,0
"33",10,16,0
"34",10,17,0
"35",10,18,0
"36",10,19,0
"38",10,20,3.16237008752434
"39",10,21,0.81702570650325
"40",10,22,0.797801572232585
"41",10,23,0.288362014059971
"49",11,0,0
"50",11,1,0
"61",11,2,0
"66",11,3,0
"67",11,4,0
"68",11,5,0
"69",11,6,0
"70",11,7,0
"71",11,8,0
"72",11,9,0
"51",11,10,0
"52",11,11,0
"53",11,12,0
"54",11,13,0
"55",11,14,0
"56",11,15,0
"57",11,16,0
"58",11,17,0
"59",11,18,0
"60",11,19,0
"62",11,20,0.202153444006085
"63",11,21,0.0341298022347936
"64",11,22,0.102389406704381
"65",11,23,0.00525073880535286
"73",12,0,0
"74",12,1,0
"85",12,2,0
"90",12,3,0
"91",12,4,0
"92",12,5,0
"93",12,6,0
"94",12,7,0
"95",12,8,0
"96",12,9,0
"75",12,10,0
"76",12,11,0
"77",12,12,0
"78",12,13,0
"79",12,14,0
"80",12,15,0
"81",12,16,0
"82",12,17,0
"83",12,18,0
"84",12,19,0
"86",12,20,0
"87",12,21,0
"88",12,22,0
"89",12,23,0
"97",13,0,0
"98",13,1,0
"109",13,2,0
"114",13,3,0
"115",13,4,0
"116",13,5,0
"117",13,6,0
"118",13,7,0
"119",13,8,0.378597628631029
"120",13,9,0
"99",13,10,0
"100",13,11,0
"101",13,12,0
"102",13,13,0
"103",13,14,0
"104",13,15,0
"105",13,16,0
"106",13,17,0
"107",13,18,0
"108",13,19,0
"110",13,20,0
"111",13,21,0
"112",13,22,0
"113",13,23,0
"121",14,0,0
"122",14,1,0
"133",14,2,0
"138",14,3,0
"139",14,4,0
"140",14,5,0
"141",14,6,0
"142",14,7,0
"143",14,8,0
"144",14,9,0
"123",14,10,0
"124",14,11,0
"125",14,12,0
"126",14,13,0
"127",14,14,0
"128",14,15,0
"129",14,16,0.00241349496593247
"130",14,17,0
"131",14,18,0
"132",14,19,0
"134",14,20,0
"135",14,21,0
"136",14,22,0
"137",14,23,0
"145",15,0,0
"146",15,1,0
"157",15,2,0
"162",15,3,0
"163",15,4,0
"164",15,5,0
"165",15,6,0
"166",15,7,0
"167",15,8,0
"168",15,9,0
"147",15,10,0
"148",15,11,0
"149",15,12,0
"150",15,13,0
"151",15,14,0
"152",15,15,0
"153",15,16,0.321175031464063
"154",15,17,0.66987935133933
"155",15,18,0
"156",15,19,0
"158",15,20,0
"159",15,21,0
"160",15,22,0
"161",15,23,0
"169",16,0,0
"170",16,1,0
"181",16,2,0
"186",16,3,0
"187",16,4,0
"188",16,5,0
"189",16,6,0
"190",16,7,0
"191",16,8,0
"192",16,9,0
"171",16,10,0
"172",16,11,0
"173",16,12,0.00982800982800983
"174",16,13,4.48157248157248
"175",16,14,0.904176904176904
"176",16,15,0
"177",16,16,0.235872235872236
"178",16,17,1.995085995086
"179",16,18,0.0393120393120393
"180",16,19,0
"182",16,20,0.206388206388206
"183",16,21,0.127764127764128
"184",16,22,0
"185",16,23,0
"193",17,0,0
"194",17,1,0
"205",17,2,0
"210",17,3,0
"211",17,4,0
"212",17,5,0
"213",17,6,0
"214",17,7,0
"215",17,8,0
"216",17,9,0
"195",17,10,0
"196",17,11,0
"197",17,12,0.0921472210296566
"198",17,13,0.224839219312362
"199",17,14,0
"200",17,15,0
"201",17,16,0
"202",17,17,0.00368588884118627
"203",17,18,0.110576665235588
"204",17,19,0.667145880254714
"206",17,20,0.648716436048783
"207",17,21,0.00368588884118627
"208",17,22,0.0847754433472841
"209",17,23,0
"217",18,0,0
"218",18,1,0
"229",18,2,0
"234",18,3,0
"235",18,4,0
"236",18,5,0
"237",18,6,0
"238",18,7,0
"239",18,8,0
"240",18,9,0
"219",18,10,0
"220",18,11,0
"221",18,12,0
"222",18,13,0
"223",18,14,0
"224",18,15,0
"225",18,16,0
"226",18,17,0
"227",18,18,0
"228",18,19,0
"230",18,20,0.0574009218214109
"231",18,21,0.287004609107054
"232",18,22,0.166736011005051
"233",18,23,0
"241",19,0,0
"242",19,1,0
"253",19,2,0
"258",19,3,0
"259",19,4,0
"260",19,5,0
"261",19,6,0
"262",19,7,0
"263",19,8,0
"264",19,9,0
"243",19,10,0
"244",19,11,0
"245",19,12,0
"246",19,13,0
"247",19,14,0
"248",19,15,0
"249",19,16,0
"250",19,17,0
"251",19,18,0
"252",19,19,0.037012675570461
"254",19,20,0.0542852575033428
"255",19,21,0
"256",19,22,0
"257",19,23,0
"289",20,0,0
"290",20,1,0
"301",20,2,0
"306",20,3,0
"307",20,4,0
"308",20,5,0
"309",20,6,0
"310",20,7,0
"311",20,8,0
"312",20,9,0
"291",20,10,0
"292",20,11,0
"293",20,12,0
"294",20,13,0
"295",20,14,0
"296",20,15,0
"297",20,16,0.0747465077494973
"298",20,17,0.0747465077494973
"299",20,18,0.114994627306919
"300",20,19,0.284611702584624
"302",20,20,0.155242746864341
"303",20,21,0.0143743284133649
"304",20,22,0
"305",20,23,0
"313",21,0,0
"314",21,1,0
"325",21,2,0
"330",21,3,0
"331",21,4,0
"332",21,5,0
"333",21,6,0
"334",21,7,0
"335",21,8,0
"336",21,9,0
"315",21,10,0
"316",21,11,0
"317",21,12,0
"318",21,13,0
"319",21,14,0
"320",21,15,0
"321",21,16,0.178863929056342
"322",21,17,0.0766559695955749
"323",21,18,0.364115855578981
"324",21,19,0.709067718759068
"326",21,20,0.485487807438641
"327",21,21,0.261907896118214
"328",21,22,0
"329",21,23,0
"337",22,0,0
"338",22,1,0
"349",22,2,0
"354",22,3,0
"355",22,4,0
"356",22,5,0
"357",22,6,0
"358",22,7,0
"359",22,8,0
"360",22,9,0
"339",22,10,0
"340",22,11,0
"341",22,12,0
"342",22,13,0
"343",22,14,0
"344",22,15,0
"345",22,16,0
"346",22,17,0
"347",22,18,0.683468438088783
"348",22,19,0.0156519489638653
"350",22,20,0.125215591710922
"351",22,21,0.156519489638653
"352",22,22,0.161736805959941
"353",22,23,0
"361",23,0,0
"362",23,1,0
"373",23,2,0
"378",23,3,0
"379",23,4,0
"380",23,5,0
"381",23,6,0
"382",23,7,0
"383",23,8,0
"384",23,9,0
"363",23,10,0
"364",23,11,0
"365",23,12,0
"366",23,13,0
"367",23,14,0
"368",23,15,0.39197750002386
"369",23,16,0.0128517213122577
"370",23,17,0.244182704932897
"371",23,18,0.372699918055474
"372",23,19,0.700418811518045
"374",23,20,0.302015450838056
"375",23,21,0.0706844672174174
"376",23,22,0
"377",23,23,0
"385",24,0,0
"386",24,1,0
"397",24,2,0
"402",24,3,0
"403",24,4,0
"404",24,5,0
"405",24,6,0
"406",24,7,0
"407",24,8,0
"408",24,9,0
"387",24,10,0
"388",24,11,0
"389",24,12,0
"390",24,13,0
"391",24,14,1.74898785425101
"392",24,15,0.275303643724696
"393",24,16,0.906882591093117
"394",24,17,1.08502024291498
"395",24,18,0.566801619433198
"396",24,19,1.05263157894737
"398",24,20,1.10121457489879
"399",24,21,1.24696356275304
"400",24,22,0.0161943319838057
"401",24,23,0
"409",25,0,0
"410",25,1,0
"421",25,2,0
"426",25,3,0
"427",25,4,0
"428",25,5,0
"429",25,6,0
"430",25,7,0
"431",25,8,0
"432",25,9,0
"411",25,10,0
"412",25,11,0
"413",25,12,0
"414",25,13,0
"415",25,14,0.115017365319506
"416",25,15,0
"417",25,16,0.00575086826597528
"418",25,17,0.73036026977886
"419",25,18,0.345052095958517
"420",25,19,0.212782125841085
"422",25,20,0.115017365319506
"423",25,21,0.0575086826597528
"424",25,22,0
"425",25,23,0
"433",26,0,0
"434",26,1,0
"445",26,2,0
"450",26,3,0
"451",26,4,0
"452",26,5,0
"453",26,6,0
"454",26,7,0
"455",26,8,0
"456",26,9,0
"435",26,10,0
"436",26,11,0
"437",26,12,0
"438",26,13,0
"439",26,14,0
"440",26,15,0
"441",26,16,0
"442",26,17,1.37966365531606
"443",26,18,0.013865966385086
"444",26,19,0.166391596621032
"446",26,20,0.908220798223132
"447",26,21,0
"448",26,22,0
"449",26,23,0
"457",27,0,0
"458",27,1,0
"469",27,2,0
"474",27,3,0
"475",27,4,0
"476",27,5,0
"477",27,6,0
"478",27,7,0
"479",27,8,0
"480",27,9,0
"459",27,10,0
"460",27,11,0
"461",27,12,0
"462",27,13,0
"463",27,14,0
"464",27,15,0
"465",27,16,0
"466",27,17,0.296175631795255
"467",27,18,0.16454201766403
"468",27,19,0.680107006344658
"470",27,20,0.224874090807508
"471",27,21,0
"472",27,22,0
"473",27,23,0
"481",28,0,0
"482",28,1,0
"493",28,2,0
"498",28,3,0
"499",28,4,0
"500",28,5,0
"501",28,6,0
"502",28,7,0
"503",28,8,0
"504",28,9,0
"483",28,10,0
"484",28,11,0
"485",28,12,0
"486",28,13,0
"487",28,14,0
"488",28,15,0
"489",28,16,0.155066737024871
"490",28,17,0
"491",28,18,0.256967735641215
"492",28,19,0.0177219128028424
"494",28,20,0.0044304782007106
"495",28,21,0
"496",28,22,0
"497",28,23,0
"505",29,0,0
"506",29,1,0
"517",29,2,0
"522",29,3,0
"523",29,4,0
"524",29,5,0
"525",29,6,0
"526",29,7,0
"527",29,8,0
"528",29,9,0
"507",29,10,0
"508",29,11,0
"509",29,12,0
"510",29,13,0
"511",29,14,0
"512",29,15,0
"513",29,16,0.3982865910911
"514",29,17,0
"515",29,18,0.511313866941278
"516",29,19,0.0968805221572947
"518",29,20,0.258348059086119
"519",29,21,0.0161467536928825
"520",29,22,0
"521",29,23,0
"553",30,0,0
"554",30,1,0
"565",30,2,0
"570",30,3,0
"571",30,4,0
"572",30,5,0
"573",30,6,0
"574",30,7,0
"575",30,8,0
"576",30,9,0
"555",30,10,0
"556",30,11,0
"557",30,12,0
"558",30,13,0
"559",30,14,0
"560",30,15,0.269343863736434
"561",30,16,3.0895325546238
"562",30,17,1.80618826270314
"563",30,18,0.554531484163246
"564",30,19,0.855562861280436
"566",30,20,0.61790651092476
"567",30,21,0.602062754234381
"568",30,22,0
"569",30,23,0
"577",31,0,0
"578",31,1,0
"589",31,2,0
"594",31,3,0
"595",31,4,0
"596",31,5,0
"597",31,6,0
"598",31,7,0
"599",31,8,0
"600",31,9,0
"579",31,10,0
"580",31,11,0
"581",31,12,0
"582",31,13,0
"583",31,14,0.764227642276423
"584",31,15,3.96747967479675
"585",31,16,2.13008130081301
"586",31,17,1.04065040650407
"587",31,18,0
"588",31,19,0
"590",31,20,0.016260162601626
"591",31,21,0.0813008130081301
"592",31,22,0
"593",31,23,0
"601",32,0,0
"602",32,1,0
"613",32,2,0
"618",32,3,0
"619",32,4,0
"620",32,5,0
"621",32,6,0
"622",32,7,0
"623",32,8,0
"624",32,9,0
"603",32,10,0
"604",32,11,0
"605",32,12,0.032520325203252
"606",32,13,0.0813008130081301
"607",32,14,2.21138211382114
"608",32,15,1.33333333333333
"609",32,16,2.21138211382114
"610",32,17,2.04878048780488
"611",32,18,0
"612",32,19,0
"614",32,20,0
"615",32,21,0.0813008130081301
"616",32,22,0
"617",32,23,0
"625",33,0,0
"626",33,1,0
"637",33,2,0
"642",33,3,0
"643",33,4,0
"644",33,5,0
"645",33,6,0
"646",33,7,0
"647",33,8,0
"648",33,9,0
"627",33,10,2.61568411274266
"628",33,11,0
"629",33,12,0.200535781976938
"630",33,13,0.401071563953875
"631",33,14,0.0435947352123777
"632",33,15,0.270287358316742
"633",33,16,0.0174378940849511
"634",33,17,0.0784705233822799
"635",33,18,0
"636",33,19,0
"638",33,20,0.0348757881699022
"639",33,21,0
"640",33,22,0
"641",33,23,0
"649",34,0,0
"650",34,1,0
"661",34,2,0
"666",34,3,0
"667",34,4,0
"668",34,5,0
"669",34,6,0
"670",34,7,0
"671",34,8,0
"672",34,9,1.2520325203252
"651",34,10,1.08943089430894
"652",34,11,0
"653",34,12,0
"654",34,13,0
"655",34,14,1.52845528455285
"656",34,15,0
"657",34,16,0.032520325203252
"658",34,17,1.60975609756098
"659",34,18,2.19512195121951
"660",34,19,0
"662",34,20,0.292682926829268
"663",34,21,0
"664",34,22,0
"665",34,23,0
"673",35,0,0
"674",35,1,0
"685",35,2,0
"690",35,3,0
"691",35,4,0
"692",35,5,0
"693",35,6,0
"694",35,7,0
"695",35,8,0
"696",35,9,0
"675",35,10,0
"676",35,11,0
"677",35,12,0
"678",35,13,0
"679",35,14,0
"680",35,15,0
"681",35,16,1.83550249981536
"682",35,17,0.155551059306387
"683",35,18,1.1666329447979
"684",35,19,2.67547822006985
"686",35,20,0.69997976687874
"687",35,21,0.622204237225547
"688",35,22,0.451098071988521
"689",35,23,0
"697",36,0,0
"698",36,1,0
"709",36,2,0.0107064154137448
"714",36,3,0
"715",36,4,0
"716",36,5,0
"717",36,6,0
"718",36,7,0
"719",36,8,0
"720",36,9,0
"699",36,10,0
"700",36,11,0
"701",36,12,0.128476984964938
"702",36,13,0
"703",36,14,0.802981156030863
"704",36,15,0
"705",36,16,1.34900834213185
"706",36,17,0.481788693618518
"707",36,18,0.717329832720904
"708",36,19,1.03852229513325
"710",36,20,0.235541139102387
"711",36,21,0.117770569551193
"712",36,22,0.0214128308274897
"713",36,23,0
"721",37,0,0
"722",37,1,0
"733",37,2,0
"738",37,3,0
"739",37,4,0
"740",37,5,0
"741",37,6,0
"742",37,7,0
"743",37,8,0
"744",37,9,2.42769857433809
"723",37,10,0.928716904276986
"724",37,11,0.293279022403259
"725",37,12,1.05906313645621
"726",37,13,1.66191446028513
"727",37,14,1.07535641547862
"728",37,15,0
"729",37,16,0
"730",37,17,0.0488798370672098
"731",37,18,0.0162932790224033
"732",37,19,0.325865580448065
"734",37,20,0.0488798370672098
"735",37,21,0.114052953156823
"736",37,22,0
"737",37,23,0
"745",38,0,0
"746",38,1,0
"757",38,2,1.23577235772358
"762",38,3,0
"763",38,4,0
"764",38,5,0
"765",38,6,0
"766",38,7,0
"767",38,8,0
"768",38,9,0.0487804878048781
"747",38,10,0.227642276422764
"748",38,11,1.83739837398374
"749",38,12,0.845528455284553
"750",38,13,3.2520325203252
"751",38,14,0.536585365853659
"752",38,15,0
"753",38,16,0
"754",38,17,0.016260162601626
"755",38,18,0
"756",38,19,0
"758",38,20,0
"759",38,21,0
"760",38,22,0
"761",38,23,0
"769",39,0,0
"770",39,1,0
"781",39,2,0
"786",39,3,0
"787",39,4,0
"788",39,5,0
"789",39,6,0
"790",39,7,0
"791",39,8,0
"792",39,9,0
"771",39,10,0
"772",39,11,0
"773",39,12,0
"774",39,13,5.21384928716904
"775",39,14,2.63951120162933
"776",39,15,0
"777",39,16,0
"778",39,17,0
"779",39,18,0
"780",39,19,0
"782",39,20,0.0814663951120163
"783",39,21,0.0488798370672098
"784",39,22,0.0162932790224033
"785",39,23,0
"817",40,0,0
"818",40,1,0
"829",40,2,0
"834",40,3,0
"835",40,4,0.0814663951120163
"836",40,5,0.961303462321792
"837",40,6,0
"838",40,7,0
"839",40,8,0
"840",40,9,0
"819",40,10,0
"820",40,11,0.309572301425662
"821",40,12,0.0162932790224033
"822",40,13,3.09572301425662
"823",40,14,2.80244399185336
"824",40,15,0
"825",40,16,0
"826",40,17,0
"827",40,18,0
"828",40,19,0
"830",40,20,0.342158859470468
"831",40,21,0.179226069246436
"832",40,22,0.211812627291242
"833",40,23,0
