"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"20",1,3,0
"21",1,4,0
"22",1,5,0
"23",1,6,0
"24",1,7,0
"25",1,8,0
"26",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0.462220541162281
"6",1,13,1.65593777384101
"7",1,14,0.298099507592852
"8",1,15,0.0121249823731018
"9",1,16,0.306173094120965
"10",1,17,0.0746479677157629
"11",1,18,0.0464352929709393
"12",1,19,0.199756326338982
"14",1,20,2.53466310509334
"15",1,21,2.40994140879076
"16",1,22,0.068259385665529
"17",1,23,0
"18",1,24,0
"19",1,25,0
"287",2,0,0
"288",2,1,0
"299",2,2,0
"306",2,3,0
"307",2,4,0
"308",2,5,0
"309",2,6,0
"310",2,7,0
"311",2,8,0
"312",2,9,0
"289",2,10,0
"290",2,11,0
"291",2,12,0
"292",2,13,5.90856809892498
"293",2,14,0
"294",2,15,0
"295",2,16,0.669797193400403
"296",2,17,0.203331290853694
"297",2,18,0
"298",2,19,0
"300",2,20,0.0837246491750503
"301",2,21,0.035881992503593
"302",2,22,0
"303",2,23,0
"304",2,24,0
"305",2,25,0
"573",3,0,0
"574",3,1,0
"585",3,2,0.57225047491001
"592",3,3,0
"593",3,4,0
"594",3,5,0
"595",3,6,0
"596",3,7,0
"597",3,8,0
"598",3,9,0
"575",3,10,0
"576",3,11,0
"577",3,12,0.052823120760924
"578",3,13,2.63235218458605
"579",3,14,0
"580",3,15,0.017607706920308
"581",3,16,0
"582",3,17,0
"583",3,18,0
"584",3,19,0.299331017645236
"586",3,20,1.1092855359794
"587",3,21,0.08803853460154
"588",3,22,0
"589",3,23,0
"590",3,24,0
"591",3,25,0
"859",4,0,0
"860",4,1,0
"871",4,2,0
"878",4,3,0
"879",4,4,0
"880",4,5,0
"881",4,6,0
"882",4,7,0
"883",4,8,0
"884",4,9,0
"861",4,10,0
"862",4,11,0
"863",4,12,0
"864",4,13,0
"865",4,14,0
"866",4,15,0
"867",4,16,0
"868",4,17,0
"869",4,18,0.464957264957265
"870",4,19,0.246153846153846
"872",4,20,6.22222222222222
"873",4,21,1.06666666666667
"874",4,22,0
"875",4,23,0
"876",4,24,0
"877",4,25,0
"911",5,0,0
"912",5,1,0
"923",5,2,0
"930",5,3,0
"931",5,4,0
"932",5,5,0
"933",5,6,0
"934",5,7,0
"935",5,8,0
"936",5,9,0
"913",5,10,0
"914",5,11,0
"915",5,12,0
"916",5,13,0
"917",5,14,0.0873248313989997
"918",5,15,0.0498999036565713
"919",5,16,0.411674205166713
"920",5,17,0
"921",5,18,0.736023578934426
"922",5,19,3.97951731661156
"924",5,20,1.484522133783
"925",5,21,0.498999036565713
"926",5,22,0
"927",5,23,0
"928",5,24,0
"929",5,25,0
"937",6,0,0
"938",6,1,0
"949",6,2,0
"956",6,3,0
"957",6,4,0
"958",6,5,0
"959",6,6,0
"960",6,7,0
"961",6,8,0
"962",6,9,0
"939",6,10,0
"940",6,11,0
"941",6,12,0
"942",6,13,0
"943",6,14,0
"944",6,15,0
"945",6,16,0
"946",6,17,0.228539923580842
"947",6,18,0.165056611475053
"948",6,19,0.711013095584842
"950",6,20,3.97405533782242
"951",6,21,1.73944275169863
"952",6,22,0.241236586002
"953",6,23,0.0380899872634737
"954",6,24,0.215843261159684
"955",6,25,0.0634833121057895
"963",7,0,0
"964",7,1,0
"975",7,2,0
"982",7,3,0
"983",7,4,0
"984",7,5,0
"985",7,6,0
"986",7,7,0
"987",7,8,0
"988",7,9,0
"965",7,10,0
"966",7,11,0
"967",7,12,0
"968",7,13,0.276095009243376
"969",7,14,0
"970",7,15,0
"971",7,16,0.657369069627086
"972",7,17,0.38127406038371
"973",7,18,0.565337399879294
"974",7,19,1.07808527418842
"976",7,20,2.76095009243376
"977",7,21,1.72230696242296
"978",7,22,0.092031669747792
"979",7,23,0.0262947627850834
"980",7,24,0.092031669747792
"981",7,25,0.0131473813925417
"989",8,0,0
"990",8,1,0
"1001",8,2,0
"1008",8,3,0
"1009",8,4,0
"1010",8,5,0
"1011",8,6,0
"1012",8,7,0
"1013",8,8,0.795028739297568
"1014",8,9,1.0221798076683
"991",8,10,0
"992",8,11,0
"993",8,12,0
"994",8,13,0
"995",8,14,0
"996",8,15,0
"997",8,16,0
"998",8,17,0
"999",8,18,0
"1000",8,19,0.0908604273482934
"1002",8,20,1.97621429482538
"1003",8,21,2.41915887814831
"1004",8,22,0.17036330127805
"1005",8,23,0.0454302136741467
"1006",8,24,0
"1007",8,25,0
"1015",9,0,0
"1016",9,1,0
"1027",9,2,0
"1034",9,3,0
"1035",9,4,0
"1036",9,5,0
"1037",9,6,0
"1038",9,7,2.0427278921608
"1039",9,8,0.319945332507114
"1040",9,9,0.59066830616698
"1017",9,10,0
"1018",9,11,0
"1019",9,12,0
"1020",9,13,0
"1021",9,14,0
"1022",9,15,0
"1023",9,16,0
"1024",9,17,0
"1025",9,18,0
"1026",9,19,0.443001229625235
"1028",9,20,2.68261855717503
"1029",9,21,0.873696869538658
"1030",9,22,0.135361486829933
"1031",9,23,0.0369167691354362
"1032",9,24,0
"1033",9,25,0
"27",10,0,0
"28",10,1,0
"39",10,2,0
"46",10,3,0
"47",10,4,0
"48",10,5,0
"49",10,6,0
"50",10,7,0
"51",10,8,0
"52",10,9,0
"29",10,10,0
"30",10,11,0
"31",10,12,0
"32",10,13,0
"33",10,14,0
"34",10,15,0
"35",10,16,0
"36",10,17,0.0253933248423158
"37",10,18,1.57438614022358
"38",10,19,1.81562272622558
"40",10,20,3.0471989810779
"41",10,21,0.558653146530948
"42",10,22,0.0888766369481053
"43",10,23,0.266629910844316
"44",10,24,0
"45",10,25,0
"53",11,0,0
"54",11,1,0
"65",11,2,0
"72",11,3,0
"73",11,4,0
"74",11,5,0
"75",11,6,0
"76",11,7,0
"77",11,8,0
"78",11,9,0
"55",11,10,0
"56",11,11,0
"57",11,12,0
"58",11,13,0
"59",11,14,0
"60",11,15,0
"61",11,16,0.714776632302406
"62",11,17,2.18556701030928
"63",11,18,3.51890034364261
"64",11,19,1.29209621993127
"66",11,20,0.109965635738832
"67",11,21,0.178694158075601
"68",11,22,0
"69",11,23,0
"70",11,24,0
"71",11,25,0
"79",12,0,0
"80",12,1,0
"91",12,2,0
"98",12,3,0
"99",12,4,0
"100",12,5,0
"101",12,6,0
"102",12,7,0
"103",12,8,0
"104",12,9,2.47848537005164
"81",12,10,0.165232358003442
"82",12,11,0
"83",12,12,0
"84",12,13,0
"85",12,14,0
"86",12,15,0
"87",12,16,0
"88",12,17,0.509466437177281
"89",12,18,0.523235800344234
"90",12,19,3.40103270223752
"92",12,20,0.440619621342513
"93",12,21,0.426850258175559
"94",12,22,0.0550774526678141
"95",12,23,0
"96",12,24,0
"97",12,25,0
"105",13,0,0
"106",13,1,0
"117",13,2,0
"124",13,3,0
"125",13,4,0
"126",13,5,0
"127",13,6,0
"128",13,7,0
"129",13,8,0
"130",13,9,0
"107",13,10,0
"108",13,11,0
"109",13,12,0
"110",13,13,0.537005163511188
"111",13,14,0
"112",13,15,0
"113",13,16,0
"114",13,17,0.93631669535284
"115",13,18,1.26678141135972
"116",13,19,1.85886402753873
"118",13,20,2.21686746987952
"119",13,21,0.688468158347676
"120",13,22,0.0963855421686747
"121",13,23,0.220309810671256
"122",13,24,0.179001721170396
"123",13,25,0
"131",14,0,0
"132",14,1,0
"143",14,2,0
"150",14,3,0
"151",14,4,0
"152",14,5,0
"153",14,6,0
"154",14,7,0
"155",14,8,0
"156",14,9,0
"133",14,10,0
"134",14,11,0
"135",14,12,0
"136",14,13,0
"137",14,14,0
"138",14,15,0
"139",14,16,0
"140",14,17,1.67697594501718
"141",14,18,1.47079037800687
"142",14,19,1.56701030927835
"144",14,20,0.0412371134020619
"145",14,21,0.714776632302406
"146",14,22,0.920962199312715
"147",14,23,1.18213058419244
"148",14,24,0.412371134020619
"149",14,25,0.013745704467354
"157",15,0,0
"158",15,1,0
"169",15,2,0
"176",15,3,0
"177",15,4,0
"178",15,5,0
"179",15,6,0
"180",15,7,0
"181",15,8,0
"182",15,9,0
"159",15,10,0
"160",15,11,0
"161",15,12,0
"162",15,13,0
"163",15,14,0
"164",15,15,0
"165",15,16,0
"166",15,17,0.145414176247459
"167",15,18,0.0559285293259457
"168",15,19,0.592842410855024
"170",15,20,0.279642646629728
"171",15,21,1.86801287948659
"172",15,22,2.25951258476821
"173",15,23,1.0290849395974
"174",15,24,0.100671352786702
"175",15,25,0.0111857058651891
"183",16,0,0
"184",16,1,0
"195",16,2,0
"202",16,3,0
"203",16,4,0
"204",16,5,0
"205",16,6,0
"206",16,7,0
"207",16,8,0
"208",16,9,0
"185",16,10,0
"186",16,11,0
"187",16,12,0
"188",16,13,0
"189",16,14,0
"190",16,15,0
"191",16,16,1.22547332185886
"192",16,17,3.3184165232358
"193",16,18,0.495697074010327
"194",16,19,0.605851979345955
"196",16,20,0
"197",16,21,1.5421686746988
"198",16,22,0.578313253012048
"199",16,23,0.165232358003442
"200",16,24,0.0688468158347676
"201",16,25,0
"209",17,0,0
"210",17,1,0
"221",17,2,0
"228",17,3,0
"229",17,4,0
"230",17,5,0
"231",17,6,0
"232",17,7,0
"233",17,8,0
"234",17,9,0
"211",17,10,0
"212",17,11,0
"213",17,12,0
"214",17,13,1.2233676975945
"215",17,14,2.87285223367698
"216",17,15,0
"217",17,16,1.52577319587629
"218",17,17,0.316151202749141
"219",17,18,0.865979381443299
"220",17,19,1.07216494845361
"222",17,20,0.0549828178694158
"223",17,21,0.0687285223367698
"224",17,22,0
"225",17,23,0
"226",17,24,0
"227",17,25,0
"235",18,0,0
"236",18,1,0
"247",18,2,0
"254",18,3,0
"255",18,4,0
"256",18,5,0
"257",18,6,0
"258",18,7,0
"259",18,8,0
"260",18,9,1.90017211703959
"237",18,10,0
"238",18,11,0
"239",18,12,0
"240",18,13,0.481927710843373
"241",18,14,4.32358003442341
"242",18,15,0
"243",18,16,0
"244",18,17,0
"245",18,18,0.344234079173838
"246",18,19,0.950086058519793
"248",18,20,0
"249",18,21,0
"250",18,22,0
"251",18,23,0
"252",18,24,0
"253",18,25,0
"261",19,0,0
"262",19,1,0
"273",19,2,0
"280",19,3,0
"281",19,4,0
"282",19,5,0
"283",19,6,0
"284",19,7,0
"285",19,8,0.185283363708953
"286",19,9,5.10852702797541
"263",19,10,0
"264",19,11,0
"265",19,12,0.608788195043702
"266",19,13,0.0264690519584218
"267",19,14,1.00582397442003
"268",19,15,0.0794071558752655
"269",19,16,0
"270",19,17,0.317628623501062
"271",19,18,0
"272",19,19,0.0926416818544764
"274",19,20,0.238221467625796
"275",19,21,0
"276",19,22,0
"277",19,23,0
"278",19,24,0
"279",19,25,0
"313",20,0,0
"314",20,1,0
"325",20,2,0
"332",20,3,0
"333",20,4,0
"334",20,5,0
"335",20,6,0
"336",20,7,0.413080895008606
"337",20,8,1.37693631669535
"338",20,9,0.440619621342513
"315",20,10,0.110154905335628
"316",20,11,1.12908777969019
"317",20,12,2.94664371772806
"318",20,13,0
"319",20,14,0.0137693631669535
"320",20,15,0.0137693631669535
"321",20,16,0.0413080895008606
"322",20,17,0.0826161790017212
"323",20,18,0.523235800344234
"324",20,19,0.0963855421686747
"326",20,20,0.716006884681583
"327",20,21,0.0963855421686747
"328",20,22,0
"329",20,23,0
"330",20,24,0
"331",20,25,0
"339",21,0,0
"340",21,1,0
"351",21,2,1.9742076612022
"358",21,3,0
"359",21,4,0
"360",21,5,0
"361",21,6,0
"362",21,7,0
"363",21,8,2.01032121598029
"364",21,9,0.746346798747172
"341",21,10,0.469476212115156
"342",21,11,0.650043986005601
"343",21,12,1.80567773890445
"344",21,13,0
"345",21,14,0
"346",21,15,0
"347",21,16,0
"348",21,17,0.036113554778089
"349",21,18,0
"350",21,19,0
"352",21,20,0
"353",21,21,0
"354",21,22,0
"355",21,23,0
"356",21,24,0
"357",21,25,0
"365",22,0,0
"366",22,1,0
"377",22,2,3.2
"384",22,3,1.85
"385",22,4,0
"386",22,5,0
"387",22,6,0
"388",22,7,0
"389",22,8,0.35
"390",22,9,2.3625
"367",22,10,0.025
"368",22,11,0
"369",22,12,0
"370",22,13,0
"371",22,14,0
"372",22,15,0
"373",22,16,0
"374",22,17,0
"375",22,18,0
"376",22,19,0.2125
"378",22,20,0
"379",22,21,0
"380",22,22,0
"381",22,23,0
"382",22,24,0
"383",22,25,0
"391",23,0,0
"392",23,1,0
"403",23,2,6.9875
"410",23,3,0.15
"411",23,4,0
"412",23,5,0
"413",23,6,0
"414",23,7,0
"415",23,8,0
"416",23,9,0.075
"393",23,10,0
"394",23,11,0
"395",23,12,0
"396",23,13,0
"397",23,14,0
"398",23,15,0.675
"399",23,16,0
"400",23,17,0.025
"401",23,18,0.075
"402",23,19,0.0125
"404",23,20,0
"405",23,21,0
"406",23,22,0
"407",23,23,0
"408",23,24,0
"409",23,25,0
"417",24,0,0
"418",24,1,0
"429",24,2,0
"436",24,3,0
"437",24,4,0
"438",24,5,0
"439",24,6,0
"440",24,7,0
"441",24,8,0
"442",24,9,0
"419",24,10,0
"420",24,11,0
"421",24,12,0
"422",24,13,0
"423",24,14,0
"424",24,15,0.650326151971662
"425",24,16,0.0981624380334585
"426",24,17,0.0490812190167292
"427",24,18,5.01855464446056
"428",24,19,1.27611169443496
"430",24,20,0.343568533117105
"431",24,21,0.0858921332792762
"432",24,22,0.31902792360874
"433",24,23,0
"434",24,24,0
"435",24,25,0
"443",25,0,0
"444",25,1,0
"455",25,2,0
"462",25,3,0
"463",25,4,0
"464",25,5,0
"465",25,6,0
"466",25,7,0
"467",25,8,0
"468",25,9,0
"445",25,10,0
"446",25,11,0
"447",25,12,0
"448",25,13,0
"449",25,14,0.1125
"450",25,15,1.075
"451",25,16,0.5
"452",25,17,1.8375
"453",25,18,1.9875
"454",25,19,1.1
"456",25,20,0.85
"457",25,21,0.2375
"458",25,22,0.1375
"459",25,23,0.1125
"460",25,24,0.05
"461",25,25,0
"469",26,0,0
"470",26,1,0
"481",26,2,0
"488",26,3,0
"489",26,4,0.264469669204065
"490",26,5,1.49482856506646
"491",26,6,0.827905051421422
"492",26,7,0.218474944125097
"493",26,8,0
"494",26,9,0
"471",26,10,0
"472",26,11,0
"473",26,12,0
"474",26,13,0
"475",26,14,0.241472306664581
"476",26,15,1.11537208316497
"477",26,16,0
"478",26,17,1.95477581585614
"479",26,18,0.137984175236904
"480",26,19,0.0344960438092259
"482",26,20,0.81640637015168
"483",26,21,0.011498681269742
"484",26,22,0.103488131427678
"485",26,23,0.0804907688881938
"486",26,24,0
"487",26,25,0
"495",27,0,0
"496",27,1,0
"507",27,2,0
"514",27,3,0
"515",27,4,0
"516",27,5,0
"517",27,6,0
"518",27,7,0
"519",27,8,0
"520",27,9,0
"497",27,10,0
"498",27,11,0
"499",27,12,0
"500",27,13,0
"501",27,14,0
"502",27,15,0
"503",27,16,0
"504",27,17,0
"505",27,18,0.308097085981378
"506",27,19,0.840264779949212
"508",27,20,3.65981993044546
"509",27,21,0.504158867969527
"510",27,22,0.252079433984764
"511",27,23,0.177389231322611
"512",27,24,0
"513",27,25,0
"521",28,0,0
"522",28,1,0
"533",28,2,0
"540",28,3,0
"541",28,4,0
"542",28,5,0
"543",28,6,0
"544",28,7,0
"545",28,8,0
"546",28,9,0
"523",28,10,0
"524",28,11,0
"525",28,12,0
"526",28,13,0.241120349718898
"527",28,14,0
"528",28,15,0
"529",28,16,0
"530",28,17,0
"531",28,18,0
"532",28,19,0.735417066642639
"534",28,20,5.15997548398442
"535",28,21,0.470184681951851
"536",28,22,0.904201311445867
"537",28,23,0.180840262289173
"538",28,24,0
"539",28,25,0
"547",29,0,0
"548",29,1,0
"559",29,2,0
"566",29,3,0
"567",29,4,0
"568",29,5,0
"569",29,6,2.65
"570",29,7,0
"571",29,8,0
"572",29,9,0
"549",29,10,0
"550",29,11,0.0125
"551",29,12,1.7125
"552",29,13,1.325
"553",29,14,0.1125
"554",29,15,0
"555",29,16,0
"556",29,17,0
"557",29,18,0
"558",29,19,0.3875
"560",29,20,0.675
"561",29,21,0.875
"562",29,22,0.225
"563",29,23,0.025
"564",29,24,0
"565",29,25,0
"599",30,0,0
"600",30,1,0
"611",30,2,0
"618",30,3,0
"619",30,4,0
"620",30,5,0
"621",30,6,5.0625
"622",30,7,0.075
"623",30,8,0
"624",30,9,0
"601",30,10,0
"602",30,11,0
"603",30,12,1.875
"604",30,13,0.3625
"605",30,14,0.3625
"606",30,15,0
"607",30,16,0
"608",30,17,0.025
"609",30,18,0
"610",30,19,0.0125
"612",30,20,0.0625
"613",30,21,0.0125
"614",30,22,0.15
"615",30,23,0
"616",30,24,0
"617",30,25,0
"625",31,0,0
"626",31,1,0
"637",31,2,0
"644",31,3,0
"645",31,4,0
"646",31,5,0
"647",31,6,4.55363321799308
"648",31,7,0
"649",31,8,0
"650",31,9,0
"627",31,10,0
"628",31,11,0.678200692041522
"629",31,12,0.982698961937716
"630",31,13,1.55017301038062
"631",31,14,0
"632",31,15,0
"633",31,16,0.027681660899654
"634",31,17,0
"635",31,18,0
"636",31,19,0.179930795847751
"638",31,20,0.027681660899654
"639",31,21,0
"640",31,22,0
"641",31,23,0
"642",31,24,0
"643",31,25,0
"651",32,0,0
"652",32,1,0
"663",32,2,0
"670",32,3,0
"671",32,4,0
"672",32,5,0
"673",32,6,1.85744453309408
"674",32,7,0
"675",32,8,0
"676",32,9,0
"653",32,10,0
"654",32,11,0
"655",32,12,0
"656",32,13,0
"657",32,14,0
"658",32,15,0
"659",32,16,0
"660",32,17,0
"661",32,18,0.452032961593693
"662",32,19,0.657502489590826
"664",32,20,0.394501493754496
"665",32,21,0.747909081909564
"666",32,22,0.0164375622397706
"667",32,23,0.139719279038051
"668",32,24,0
"669",32,25,0
"677",33,0,0
"678",33,1,0
"689",33,2,0
"696",33,3,0
"697",33,4,0
"698",33,5,0
"699",33,6,0
"700",33,7,0
"701",33,8,0
"702",33,9,0
"679",33,10,0
"680",33,11,0
"681",33,12,0
"682",33,13,0.0603764705299755
"683",33,14,0
"684",33,15,0
"685",33,16,0
"686",33,17,0.00754705881624694
"687",33,18,0.00754705881624694
"688",33,19,1.47167646916815
"690",33,20,1.42639411627067
"691",33,21,0.437729411342323
"692",33,22,0.27169411738489
"693",33,23,0.0754705881624694
"694",33,24,0
"695",33,25,0
"703",34,0,0
"704",34,1,0
"715",34,2,0
"722",34,3,0
"723",34,4,0
"724",34,5,0
"725",34,6,0
"726",34,7,0
"727",34,8,0
"728",34,9,0
"705",34,10,0
"706",34,11,0
"707",34,12,0
"708",34,13,0.303269801780148
"709",34,14,2.86421479459028
"710",34,15,0.0336966446422386
"711",34,16,0.168483223211193
"712",34,17,0.117938256247835
"713",34,18,0.0336966446422386
"714",34,19,0.320118124101267
"716",34,20,0.454904702670222
"717",34,21,0.0336966446422386
"718",34,22,0.0589691281239176
"719",34,23,0.025272483481679
"720",34,24,0
"721",34,25,0
"729",35,0,0
"730",35,1,0
"741",35,2,0
"748",35,3,0
"749",35,4,0
"750",35,5,0
"751",35,6,0
"752",35,7,0
"753",35,8,0
"754",35,9,0
"731",35,10,0
"732",35,11,0
"733",35,12,0
"734",35,13,0
"735",35,14,0.790294627383016
"736",35,15,2.70363951473137
"737",35,16,0.346620450606586
"738",35,17,0
"739",35,18,0.873483535528596
"740",35,19,1.62218370883882
"742",35,20,0.318890814558059
"743",35,21,0.207972270363951
"744",35,22,0.707105719237435
"745",35,23,0.207972270363951
"746",35,24,0.221837088388215
"747",35,25,0
"755",36,0,0
"756",36,1,0
"767",36,2,0
"774",36,3,0
"775",36,4,0
"776",36,5,0
"777",36,6,0
"778",36,7,0
"779",36,8,0
"780",36,9,0
"757",36,10,0
"758",36,11,0
"759",36,12,0
"760",36,13,0
"761",36,14,0
"762",36,15,0
"763",36,16,0
"764",36,17,0.0206971316479422
"765",36,18,0.462235940137376
"766",36,19,2.30428065680423
"768",36,20,0.289759843071191
"769",36,21,0.193173228714127
"770",36,22,0
"771",36,23,0
"772",36,24,0
"773",36,25,0
"781",37,0,0
"782",37,1,0
"793",37,2,0
"800",37,3,0
"801",37,4,0
"802",37,5,0
"803",37,6,0
"804",37,7,0
"805",37,8,0
"806",37,9,0
"783",37,10,0
"784",37,11,0
"785",37,12,0
"786",37,13,0
"787",37,14,0
"788",37,15,0
"789",37,16,0
"790",37,17,0.0378665259342279
"791",37,18,0
"792",37,19,0.397598522309393
"794",37,20,0
"795",37,21,0
"796",37,22,0
"797",37,23,0
"798",37,24,0
"799",37,25,0
"807",38,0,0
"808",38,1,0
"819",38,2,0
"826",38,3,0
"827",38,4,0
"828",38,5,0
"829",38,6,0
"830",38,7,0
"831",38,8,0
"832",38,9,0
"809",38,10,0
"810",38,11,0
"811",38,12,0
"812",38,13,0
"813",38,14,0
"814",38,15,0
"815",38,16,0
"816",38,17,0.274803746587863
"817",38,18,0.0533201299349585
"818",38,19,0
"820",38,20,0.266600649674793
"821",38,21,0.102538711413382
"822",38,22,0.0820309691307054
"823",38,23,0
"824",38,24,0
"825",38,25,0
