"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,3.92086631016043,1.76939952350172,8.535,5.07905160656301,8.02139037433155,1.09183216617916,55.8388776603259,8,6.96124674832063
"2",2,2.66,0.842849050248843,5.381,3.58691340445894,7.73363410325541,0.839538570402842,25.9066375657309,3,3.34986595174263
"3",3,3.08237048192771,2.49488169438452,7.679,2.70573325966988,4.13964719912626,0.557070587569878,14.1895135921858,1,3.42771084337349
"4",4,3.04200540540541,2.3499726043431,11.927,3.29812181150213,7.0947969200918,0.745079731503806,23.3744795826808,2,3.29459459459459
"5",5,4.06847721179625,1.79339116886416,8.483,4.41823056300268,8,0.915261659575114,35.8927613941019,3,4.48659517426273
"6",6,3.23145187165775,1.74819447313736,8.685,5.32620320855615,8,1.09719068077248,30.7593582887701,3,3.84491978609626
"7",7,2.78934383954155,0.619267848988596,8.117,4.41160479047304,5.01514681392537,0.882574074916879,16.9063616807542,3,3.37106017191977
"8",8,2.33839130434783,0.86913119907367,5.195,2.61309089757699,4.71998094064953,0.6314339695203,12.7986729564569,3,2.71159420289855
"9",9,2.87596246648794,0.210112076304419,5.385,7.95710455764075,8,1.59108653860868,28.0857908847185,3,3.51072386058981
"10",10,2.94314477211796,0.0425548407183427,3.068,8,8,1.6,28,3,3.5
"11",11,2.81220762711864,0.140211075736239,3.499,8,8,1.6,28,3,3.5
"12",12,4.32542462845011,1.33339399699486,17.133,5.31634819532909,8,1.11815972801732,38.208067940552,4,4.776008492569
"13",13,4.68687898089172,1.6808197899163,22.724,5.07855626326964,8,1.10323537996424,41.5031847133758,4,5.18789808917197
"14",14,3.95236652542373,2.24472937837654,8.877,5.1864406779661,8,1.04689113088757,35.1016949152542,3,4.38771186440678
"15",15,1.68323354564756,0.435754753175279,3.096,4.05944798301486,8,0.992137566085364,18.0297239915074,2,2.25371549893843
"16",16,2.08176857749469,1.10320072996032,7.854,4.19532908704883,8,1.00141133692106,19.1337579617834,2,2.39171974522293
"17",17,2.74058898305085,1.69382742402633,7.958,6.30508474576271,8,1.25913610416569,25.2881355932203,2,3.16101694915254
"18",18,5.47025695931478,3.5467804306301,21.217,3.52452569186806,7.25089646741138,0.740103888023817,42.9697130054839,4,5.92612419700214
"19",19,4.52271337579618,1.28332293269725,7.404,3.22717622080679,8,0.816799139575595,40.2802547770701,4,5.03503184713376
"20",20,4.42891932059448,1.26675345040591,7.646,4.77282377919321,8,0.987218439213558,38.8704883227176,4,4.8588110403397
"21",21,3.69935883905013,1.25669951453627,6.809,3.06068601583113,8,0.813890268542619,33.3192612137203,4,4.16490765171504
"22",22,3.67102719033233,1.38044714402264,5.72,1.42384582965853,3.89498321997499,0.411131062545828,16.3977616828857,5,4.20996978851964
"23",23,1.96619551282051,2.21174548423949,23.893,1.7251489301152,3.30212555948431,0.416761838277792,8.02247171182406,2,2.42948717948718
"24",24,2.49252380952381,0.45208836453953,3.732,5.24867724867725,8,1.11120046671859,23.4708994708995,2,2.93386243386243
"25",25,3.45666490765172,4.07788022613941,18.164,6.05804749340369,8,1.20967057923416,33.0448548812665,2,4.13060686015831
"26",26,2.11216622691293,0.549961976866781,3.751,3.20844327176781,8,0.898021770361607,21.2031662269129,2,2.65039577836412
"27",27,1.79425396825397,0.540999521023944,4.401,5.43915343915344,8,1.13793636565888,18.8783068783069,2,2.35978835978836
"28",28,1.87525857519789,0.251222401204088,2.863,7.34564643799472,8,1.46672333040969,19.8100263852243,2,2.47625329815303
"29",29,2.71933773087071,1.29677031736791,6.887,4.20052770448549,8,0.911299047137747,27.4722955145119,2,3.43403693931398
"30",30,2.50322881355932,0.686026594653973,5.521,3.00154357102208,5.03576504332615,0.624480425194111,14.3391275809965,2,2.84745762711864
"31",31,2.62079301075269,0.536361866075125,4.242,4.79569892473118,8,1.10275479545478,25.3118279569892,3,3.16397849462366
"32",32,2.33943010752688,0.37139663260958,3.081,5.35483870967742,8,1.17457751018683,22.6451612903226,2,2.83064516129032
"33",33,3.30106182795699,2.25281504976731,13.238,3.2258064516129,8,0.862213628134195,30.9032258064516,2,3.86290322580645
"34",34,12.5334517374517,4.57762910865249,16.091,0.75893211100471,2.3125107852967,0.208629802578929,30.2635340029466,16,13.0868725868726
"35",35,10.6347978142076,3.28140521896698,15.909,4.26335759049809,6.75493020832164,0.872003705121034,74.4703371327263,8,11.0245901639344
"36",36,8.6555,1.47404012259466,15.8,7.35483870967742,8,1.46643593345839,71.3118279569892,8,8.91397849462366
"37",37,7.45441734417344,0.411914695847191,8.43,4.44746842607745,7.49367967681543,1.05698409364273,59.2488088268537,7,7.90650406504065
"38",38,6.86285977859779,1.21918854718967,11.448,1.20486378967151,2.51167759231523,0.324471131519793,18.3000273285108,6,7.2859778597786
"39",39,13.6261297297297,3.5711260805352,21.186,0.622772849339584,1.33968578055608,0.136713128442126,18.8606033268017,12,14.0783783783784
"40",40,18.6396480836237,2.70175022879591,21.147,1.94598239798813,2.84947422562547,0.394910686838995,54.2641163071638,19,19.0435540069686
