"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,11.1955076452599,2.54258973077683,14.679,1.57774764569892,3.56338948975406,0.413167154201926,50.5379674137643,15,14.1825549968865
"2",2,14.8749241192412,1.12882391167723,18.461,2.48856366879131,5.57628232247043,0.564260562102678,95.9623956557364,18,17.2090274678242
"3",3,13.1079922279793,2.92235027233649,18.084,2.69995638416398,8.18652849740933,0.697000166695098,127.528204839683,17,15.5778123633284
"4",4,15.9578845144357,1.6686035943414,19.308,2.61470718475823,7.11573883852061,0.678356016849664,117.185573076896,15,16.4685039370079
"5",5,16.3809378238342,1.2519876462066,18.688,2.63212435233161,8,0.763823680374898,134.424870466321,15,16.8031088082902
"6",6,15.3052901554404,0.69663143379565,16.441,4.29015544041451,8,1.03220499013541,127.295336787565,16,15.9119170984456
"7",7,15.4742753246753,0.94700880629868,18.482,3.74025974025974,8,0.871144361417488,128.218181818182,16,16.0272727272727
"8",8,13.9057724550898,2.51069316649726,19.23,1.32655703083144,3.78692348972394,0.342988725202656,54.2867954155635,16,14.3353293413174
"9",9,12.209215625,1.7511140029038,16.673,1.74421725011143,3.3623465062389,0.418584300570639,42.659771297906,13,12.6875
"10",10,13.1876884816754,0.337240546444511,14.148,5.63990372562505,7.30319736674159,1.18156121712186,100.103511550416,13,13.7068062827225
"11",11,12.7198142076503,1.74744781203834,20.375,3.99877568214382,5.20836974969622,0.813629597700436,68.9610923689287,13,13.2404371584699
"12",12,4.38352713178295,2.83050295447615,20.374,2.74935400516796,8,0.787167386844583,38.2739018087855,5,4.78423772609819
"13",13,11.2542428940568,3.29426005638413,16.439,3.08010335917313,8,0.671929681383034,94.2532299741602,13,11.78165374677
"14",14,11.9885555555556,1.07723822608548,14.719,4.671834625323,8,1.08195254403243,98.3255813953488,11,12.2906976744186
"15",15,7.91354005167959,3.1291253889572,14.725,3.57622739018088,8,0.774628862041214,67.7312661498708,5,8.46640826873385
"16",16,7.88597157622739,2.72295786706701,21.098,2.68733850129199,8,0.70822269716556,66.8423772609819,5,8.35529715762274
"17",17,6.80059689922481,2.25019093324378,15.724,3.63824289405685,8,0.892347930664858,58.1808785529716,5,7.27260981912145
"18",18,8.449,2.81598458563404,23.068,2.89405684754522,8,0.797974086957985,70.6046511627907,6,8.82558139534884
"19",19,14.8075064599483,4.69865177463818,21.889,1.92248062015504,8,0.512166661604541,121.829457364341,8,15.2286821705426
"20",20,13.7995658914729,1.692533186754,19.322,3.94832041343669,8,0.85389642586643,114.842377260982,14,14.3552971576227
