"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,11.6505292841649,6.90370653358455,37.973,1.18630338381768,3.74048174601321,0.258497703417926,98.5210560292956,38,26.3391356298702
"2",2,10.1144336448598,1.3745110805215,13.361,3.48485293629628,9.09158878504673,0.706619799763138,100.099290463367,10,11.0100987660159
"3",3,5.55917196261682,1.45124140335883,12.757,6.44485981308411,8,1.03948557630942,48.0224299065421,5,6.00280373831776
"4",4,5.49952710280374,2.15817629236081,12.344,3.14018691588785,8,0.653771582249723,48.785046728972,5,6.0981308411215
"5",5,9.13274953271028,5.65074516753185,35.882,3.06542056074766,8,0.631223722923331,77.196261682243,5,9.64953271028037
"6",6,11.919638576779,0.529864089702203,12.655,6.21722846441948,8,1.01662073973494,98.6367041198502,12,12.3295880149813
"7",7,11.4499981308411,0.617656812638497,12.62,4.63551401869159,8,0.894180527414713,95.3046728971963,11,11.9130841121495
"8",8,12.2580336448598,1.34013672327422,17.509,4.47102803738318,8,0.74998909333098,101.405607476636,12,12.6757009345794
"9",9,13.0996878504673,2.3664324160872,18.2,2.12336448598131,8,0.501019131911122,108.628037383178,15,13.5785046728972
"10",10,10.4372808988764,3.11323693261874,15.85,2.71161048689139,8,0.681226738647257,88.2397003745318,12,11.0299625468165
"11",11,24.6847910714286,4.37493912097798,34.183,2.35556839796253,5.15280587054305,0.393417022685637,129.206607203867,23,25.075
"12",12,25.3080880829016,6.34513555014134,35.782,0.901519035962152,6.28890990147091,0.241278219032102,162.137655534036,23,25.7815198618307
"13",13,15.5643423728814,9.79862188110296,35.979,1.78990184828285,7.3849097236845,0.351341848793949,118.75936179376,4,16.0813559322034
"14",14,10.0784957983193,7.64586618232445,35.185,2.37983193277311,8,0.480301281217334,84.7529411764706,3,10.5941176470588
"15",15,6.02573232323232,4.16894645569933,33.085,4.47138047138047,8,0.77533302480384,52.5521885521886,3,6.56902356902357
"16",16,2.90541582491583,1.06405583502591,18.61,3.7979797979798,8,0.714569730636427,27.2996632996633,3,3.41245791245791
"17",17,8.02615120274914,9.41268456666986,33.733,2.49369040279689,6.45034584190129,0.48594437481602,54.6727766977647,3,8.47594501718213
"18",18,1.86428836424958,0.982602446080527,4.491,5.65045329642787,7.82878225416291,0.928201310126219,16.2450532272301,1,2.07504215851602
"19",19,1.67032828282828,0.158416249916221,2.146,5.8989898989899,8,0.994343206023926,17.8989898989899,2,2.23737373737374
"20",20,12.4872124789207,10.5785343497367,34.683,1.59744123567236,7.82878225416291,0.405073332224627,101.609144383077,1,12.9789207419899
"21",21,24.4293783783784,3.21641990687349,28.593,3.91891891891892,8,0.660526267580694,199.337837837838,26,24.9172297297297
"22",22,16.1510850340136,9.07791945932343,33.961,3.66644607148266,7.38311743161576,0.638168265309748,123.177520415222,8,16.6836734693878
"23",23,8.98173648648649,3.03115379764781,15.307,1.71621621621622,8,0.437579079391987,75.4864864864865,8,9.43581081081081
"24",24,6.76052801358234,4.79894046532931,33.789,3.71569225667598,7.52076542674279,0.658116723924764,55.0394895958825,3,7.31833616298812
"25",25,2.49309813874788,0.793672092461655,4.493,4.43731741656123,7.8282226662319,0.791387362493065,22.4316329699894,3,2.86548223350254
"26",26,1.56260877513711,0.481255992356735,3.636,3.27184355314065,4.78528990258806,0.559223554507192,9.01506626072578,1,1.88391224862888
"27",27,3.77068305084746,1.13143172346966,6.54,2.26158468053752,7.66859173285709,0.566091068125648,32.3120661828521,5,4.2135593220339
"28",28,3.97870777027027,1.19430298715074,5.461,3.18918918918919,8,0.69142298157173,35.0945945945946,5,4.38682432432432
"29",29,2.70775168918919,0.701566037088787,4.975,3.45945945945946,8,0.769951219110167,25.8783783783784,2,3.2347972972973
"30",30,15.9141607843137,13.2862814907818,35.481,1.03859669689643,3.75662635047643,0.214062021663446,61.5718424777108,3,16.3901960784314
"31",31,24.4984604105572,10.1008908329786,35.882,0.889286051726785,3.36940604043148,0.211543304049551,83.9436628049433,31,24.9134897360704
"32",32,5.04469586374696,0.203872969673122,5.365,8,8,1.2810252304407,44,5,5.5
"33",33,10.3954598540146,6.45993234618497,27.517,3.91240875912409,8,0.718293374247769,87.639902676399,5,10.9549878345499
"34",34,10.6085425790754,6.21494036193839,27.389,2.49148418491484,8,0.615412608573082,89.1581508515815,2,11.1447688564477
"35",35,13.0011143552311,7.57810808773074,26.15,3.27007299270073,8,0.656549584004104,108.116788321168,18,13.514598540146
"36",36,19.0735231143552,4.34001381489608,31.685,3.63990267639903,8,0.653215369944354,155.377128953771,18,19.4221411192214
"37",37,15.0007931873479,1.46522578583155,20.411,5.5669099756691,8,0.932756281507572,125.187347931873,15,15.6484184914842
"38",38,9.8987104622871,5.20174759014441,20.799,3.03649635036496,8,0.623076642881182,82.9294403892944,15,10.3661800486618
"39",39,3.9976399026764,1.17456299575172,14.199,5.95620437956204,8,0.963142394457689,34.8321167883212,4,4.35401459854015
"40",40,4.69333414634146,5.34658086690109,31.684,3.1219512195122,8,0.650664640522913,41.2682926829268,4,5.15853658536585
