"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,4.94961688311688,1.44654490387691,16.342,4.09709613664047,8.1038961038961,1.18971516587066,49.4447696684718,6,6.10135779562873
"2",2,2.54261363636364,0.716869672332329,13.22,5.84415584415584,8,1.35126438491715,22.6233766233766,2,2.82792207792208
"3",3,3.22082792207792,0.886930419842093,4.725,4.25974025974026,8,1.01676216120188,30.7532467532468,3,3.84415584415584
"4",4,4.66862012987013,1.0522313200975,7.817,5.97402597402597,8,1.33226352467945,40.3376623376623,4,5.04220779220779
"5",5,7.24687012987013,3.77621432668476,15.831,2.98701298701299,8,0.695854925329552,62.1038961038961,4,7.76298701298701
"6",6,8.45325732899023,2.751094439777,15.568,2.57980456026059,8,0.67192426353115,71.5439739413681,9,8.94299674267101
"7",7,5.47522727272727,1.95893078269015,11.316,5.11688311688312,8,1.14724194570619,47.1688311688312,4,5.8961038961039
"8",8,7.27862987012987,4.08954354381508,14.931,4.31168831168831,8,0.989075802454468,61.974025974026,4,7.74675324675325
"9",9,5.06866095890411,3.53107712869315,14.364,1.77347083453718,5.33869570809131,0.479101486618807,29.6005080527391,4,5.54452054794521
"10",10,1.86372084805654,1.05631545321058,7.981,3.991635735275,4.70680380451177,0.890274864403154,12.3324912404434,2,2.62014134275618
"11",11,6.05631603773585,1.96029014419035,10.578,2.56603773584906,8,0.700901594715074,52.4150943396226,7,6.55188679245283
"12",12,6.86338862559242,1.40453047930566,11.545,5.19431279620853,8,1.19444582280687,58.1042654028436,7,7.26303317535545
"13",13,6.63399052132701,1.93731864279453,10.5,2.99526066350711,8,0.789430580961393,58.0663507109005,7,7.25829383886256
"14",14,5.10655924170616,2.07259003366903,10.913,1.97156398104265,8,0.686055241325628,44.6824644549763,7,5.58530805687204
"15",15,4.2901320754717,2.19567992503104,7.891,3.09433962264151,8,0.775812424994673,38.377358490566,2,4.79716981132075
"16",16,4.0393317535545,1.34167074730628,7.754,2.91943127962085,8,0.853089437608065,36.3791469194313,4,4.54739336492891
"17",17,3.46704265402844,1.11024634464204,6.699,5.1563981042654,8,1.15306308326886,31.4123222748815,3,3.92654028436019
"18",18,2.72197156398104,0.746061218697692,5.458,4.13270142180095,8,1.15790847147581,25.1563981042654,3,3.14454976303318
"19",19,3.75816113744076,1.86663329798576,6.956,3.60189573459716,8,1.0375694067061,34.9004739336493,2,4.36255924170616
"20",20,4.56207109004739,2.59524481452195,11.506,3.07109004739337,8,0.851846894891406,41.4218009478673,2,5.17772511848341
"21",21,4.75534375,1.46230017538848,8.537,2.3125,8,0.749286941733694,42.25,3,5.28125
"22",22,4.60601176470588,1.57106913665329,7.475,3.70196078431373,8,1.10262348365741,41.1137254901961,6,5.13921568627451
"23",23,4.60189019607843,1.35714895248614,6.662,3.45098039215686,8,0.948843897114527,41.9607843137255,6,5.24509803921569
"24",24,3.42970196078431,1.0560057849792,5.437,4.83137254901961,8,1.13494231258449,32.1098039215686,3,4.01372549019608
"25",25,4.1258203125,0.873752919116277,5.4,3.46875,8,0.968277686220011,37,5,4.625
"26",26,3.93601176470588,1.1294576235889,6.818,3.73333333333333,8,0.937032500783962,35.5921568627451,5,4.44901960784314
"27",27,3.99425490196078,1.63626833998537,11.238,3.2,8,0.856870892362549,36.156862745098,5,4.51960784313725
"28",28,2.96430980392157,0.882765796170058,7.086,5.45882352941176,8,1.26824179111768,27.8117647058824,3,3.47647058823529
"29",29,3.52181960784314,0.667775345615907,6.583,4.8,8,1.18670744089442,31.1372549019608,3,3.8921568627451
"30",30,3.69408235294118,0.713547694333693,6.518,5.86666666666667,8,1.32555980789478,34.2117647058824,4,4.27647058823529
"31",31,4.61138554216867,0.886865409170792,7.532,4.24096385542169,8,1.01484115689481,41.0763052208835,4,5.13453815261044
"32",32,3.86052208835341,0.700944783294575,6.142,3.88755020080321,8,1.05433041833937,34.714859437751,4,4.33935742971888
"33",33,4.8415685483871,0.133958916215054,5.178,8,8,1.78885438199983,44,5,5.5
"34",34,6.57765400843882,1.95362357331787,18.137,2.8044704199699,5.44802860272842,0.687858233138695,37.4580700765652,6,6.87552742616034
"35",35,4.94714112903226,1.9498785117979,6.723,2.70967741935484,8,0.851630909929506,43.3225806451613,7,5.41532258064516
"36",36,2.16640963855422,0.198237498251908,3.25,7.77510040160643,8,1.73664476997302,20.2248995983936,2,2.5281124497992
"37",37,2.91445564516129,0.834522791493833,4.597,3.2258064516129,8,0.988980304016639,26.8064516129032,2,3.3508064516129
"38",38,3.1484297188755,2.20427181215366,13.157,7.00401606425703,8,1.56234511557699,31.2449799196787,3,3.90562248995984
"39",39,7.48895161290323,5.043042196615,14.181,2.45161290322581,8,0.766401077604349,65.2903225806452,2,8.16129032258064
"40",40,5.54684274193548,6.51890726631617,19.221,6.12903225806452,8,1.36808945836446,48.2258064516129,2,6.02822580645161
