"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,8.27531349206349,1.87573302349635,20.61,2.22872201316602,8.03174603174603,0.571785200117719,91.46150763171,12,11.3874999620509
"2",2,11.0413644859813,4.17925600538481,21.285,1.01715525223493,3.62785373297124,0.252558632177906,41.635554991483,9,11.4766355140187
"3",3,15.0880361445783,4.04832640683393,21.63,1.96154770499888,7.28993102305552,0.537425967075946,112.525501554674,13,15.4357429718875
"4",4,13.0122310756972,1.79881514625334,21.673,3.25099601593626,8,0.897224821570475,108.605577689243,13,13.5756972111554
"5",5,11.764374501992,1.25983704469556,16.404,2.29482071713147,8,0.745244011781447,98.2788844621514,12,12.2848605577689
"6",6,13.591578313253,2.46917921644317,19.984,3.6888807586546,7.28993102305552,0.773719094777756,101.985842244233,13,13.9899598393574
"7",7,12.2029282868526,1.75023649225945,20.492,2.99601593625498,8,0.766322127586014,101.051792828685,11,12.6314741035857
"8",8,12.7177211155378,1.83315873014651,20.211,3.50597609561753,8,0.854252082157151,106.215139442231,12,13.2768924302789
"9",9,12.2295400843882,1.66045200716245,19.029,2.25220011924672,5.23305321824973,0.616040267972462,66.1638986012038,12,12.6434599156118
"10",10,13.9102723004695,2.69964222839838,19.915,1.10492810382039,3.62076440174991,0.279518576003469,52.1271081594652,15,14.3967136150235
"11",11,7.84559832635983,3.04353279180414,16.679,4.45188284518828,8,0.985640325188334,66.5271966527197,9,8.31589958158996
"12",12,10.3459372384937,1.29542488740243,15.533,4.45188284518828,8,0.960942391369397,87.6150627615063,9,10.9518828451883
"13",13,10.9240840336134,1.02200590864082,14.332,2.65546218487395,8,0.820646874956431,92.2689075630252,10,11.5336134453782
"14",14,9.25413807531381,3.0799888876556,19.725,5.08786610878661,8,1.06830833875019,78.8451882845188,10,9.85564853556485
"15",15,4.34044957983193,1.51471008616382,8.35,2.92436974789916,8,0.810698675157495,38.8235294117647,3,4.85294117647059
"16",16,5.17464853556485,2.16569583445651,19.541,2.74476987447699,8,0.77493428033336,44.5690376569038,4,5.57112970711297
"17",17,3.42505042016807,2.14539323492645,11.574,4.84033613445378,8,1.0548804893798,30.4873949579832,2,3.8109243697479
"18",18,2.31549344978166,0.566680590283693,4.655,4.68590898670521,5.64775346292365,0.973884254645962,14.735950629244,2,2.60917030567686
"19",19,3.21678440366972,2.31215826805386,11.869,2.0630875554152,4.58931721510729,0.533968744567546,16.3573370465063,1,3.56422018348624
"20",20,3.84849339207048,1.8325091782118,18.058,2.3051097565665,5.50799910253258,0.588755918544285,22.6750007106462,2,4.11674008810573
"21",21,2.93991093117409,1.24790154923669,8.7,2.26208412856149,4.77551093807426,0.56329420507906,15.7669197165974,2,3.30161943319838
"22",22,4.17914285714286,1.92799138275244,19.48,3.84962406015038,8,0.94013998902528,38.1654135338346,4,4.77067669172932
"23",23,6.45561654135338,4.67843259871364,19.272,3.06766917293233,8,0.775610525681219,55.4887218045113,3,6.93609022556391
"24",24,3.22313157894737,0.213112269063567,3.98,7.15789473684211,8,1.4948698581588,28.8421052631579,3,3.60526315789474
"25",25,3.8255977443609,0.872121148669815,6.841,3.30827067669173,8,0.947284922356468,34.1654135338346,4,4.27067669172932
"26",26,3.48813909774436,1.45685995992853,7.813,2.94736842105263,8,0.769650609438684,31.2781954887218,2,3.90977443609023
"27",27,4.29988345864662,1.40214189978104,9.219,4.7218045112782,8,1.04088064904766,39.3684210526316,5,4.92105263157895
"28",28,4.63808646616541,0.618520013895855,8.838,5.11278195488722,8,1.18134376695181,41.8947368421053,5,5.23684210526316
"29",29,2.54896240601504,0.793178548564013,4.497,5.62406015037594,8,1.20433372172547,23.9097744360902,2,2.98872180451128
"30",30,2.7767358490566,1.25002514748861,10.446,5.76603773584906,8,1.20894840022537,24.8603773584906,2,3.10754716981132
"31",31,3.878609375,0.999968134557932,5.91,4.425,8,0.983237724522865,35.275,4,4.409375
"32",32,2.81475786163522,1.30810213421964,6.6,2.82964839324962,7.69083922267845,0.738612390208411,25.370095423238,2,3.29874213836478
"33",33,3.09116932907348,1.18077367078555,6.078,2.59614133908261,6.60644096855981,0.688623665323298,23.8401759552342,3,3.60862619808307
"34",34,4.011359375,1.50675636760642,6.759,3.175,8,0.77985695962167,36.125,3,4.515625
"35",35,3.77313479623824,1.54475638021847,9.997,1.95611285266458,8,0.702288164878688,34.4702194357367,3,4.30877742946708
"36",36,4.9526802507837,2.16235532499332,8.254,2.88401253918495,8,0.72940418776582,42.871473354232,3,5.358934169279
"37",37,3.743471875,0.905290067210271,5.921,5.025,8,1.0816630987921,35.525,4,4.440625
"38",38,7.40501892744479,4.34202597300771,14.077,2.24762731814246,7.4218527067829,0.624410130565116,59.0587490626494,4,7.95741324921136
"39",39,6.58964576802508,3.37063485378071,15.039,2.55799373040752,8,0.758568565848185,56.4890282131661,7,7.06112852664577
"40",40,3.5509905362776,1.29064043930951,5.689,2.1773889644505,7.4218527067829,0.649408219567494,29.4649893737738,5,3.97003154574133
