"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,6.35044303797468,1.91439602008407,8.725,0.112451591534566,0.257060909023872,0.0342358197670694,2.14521463668559,8,8.34516086024725
"17",2,0,0,0,0,0,0,0,0,0
"18",3,0,0,0,0,0,0,0,0,0
"2",4,8.5839861878453,0.742974173896639,10.737,0.567618804549276,1.6089771331655,0.194925312026678,16.6540513366708,11,10.3507072868746
"3",5,10.5403209876543,1.2313577194222,11.947,3.53786922373651,4.03504420309638,0.853631817032591,49.2550859412558,12,12.2068268554428
"4",6,11.5967251655629,0.290244359122558,12.24,1.12730717204468,1.2390373471521,0.273061166785496,15.3762366642938,12,12.4098250142627
"19",7,0,0,0,0,0,0,0,0,0
"20",8,0,0,0,0,0,0,0,0,0
"21",9,0,0,0,0,0,0,0,0,0
"22",10,0,0,0,0,0,0,0,0,0
"23",11,0,0,0,0,0,0,0,0,0
"24",12,0,0,0,0,0,0,0,0,0
"25",13,0,0,0,0,0,0,0,0,0
"26",14,0,0,0,0,0,0,0,0,0
"27",15,0,0,0,0,0,0,0,0,0
"28",16,0,0,0,0,0,0,0,0,0
"29",17,0,0,0,0,0,0,0,0,0
"30",18,0,0,0,0,0,0,0,0,0
"5",19,12.962004784689,0.155007093443556,13.348,2.32537024521981,2.32537024521981,0.563985125865278,31.3924983104674,13,13.5
"6",20,13.1047111801242,0.35881365680636,13.649,0.937594663778576,1.51166941781402,0.256171290206368,21.3231748623772,14,14.1057129363721
"7",21,14.22495,1.22885064001063,16.128,4.14107825074935,10.4444444444444,1.22376047853622,155.106966453331,14,14.8506670008509
"8",22,15.9418665254237,0.325771397421774,16.37,3.35065650533298,3.90496264325226,0.815366865386537,63.8775774757431,16,16.3580508474576
"9",23,15.5805885057471,0.314877297960338,16.425,1.65466391654965,3.14313888078209,0.522753156747878,50.373316568672,16,16.0264367816092
"10",24,14.7842222222222,0.0493248866642841,14.837,0.0329939938349366,0.0329939938349366,0.00800221891720126,0.511406904441517,15,15.5
"11",25,14.8621,0.040932421842529,14.935,0.0742134679385614,0.0742134679385614,0.0179994098325928,1.1503087530477,15,15.5
"12",26,15.7919552238806,0.0844227157488956,15.927,0.259769854748364,0.259769854748364,0.0630034440869918,4.286202603348,16,16.5
"31",27,0,0,0,0,0,0,0,0,0
"32",28,0,0,0,0,0,0,0,0,0
"33",29,0,0,0,0,0,0,0,0,0
"34",30,0,0,0,0,0,0,0,0,0
"35",31,0,0,0,0,0,0,0,0,0
"36",32,0,0,0,0,0,0,0,0,0
"37",33,0,0,0,0,0,0,0,0,0
"38",34,0,0,0,0,0,0,0,0,0
"39",35,0,0,0,0,0,0,0,0,0
"13",36,12.1591052631579,0.0449121299339575,12.247,0.0508490379914363,0.0508490379914363,0.0123327032117492,0.635612974892954,12,12.5
"40",37,0,0,0,0,0,0,0,0,0
"14",38,12.3792018348624,0.0573760789967958,12.486,0.311011629491385,0.311011629491385,0.0754313999522616,3.88764536864232,12,12.5
"15",39,15.0855725490196,1.43149776802949,16.122,0.592932524798354,0.821727140345544,0.145001720273355,12.8173321597035,16,15.5980392156863
"16",40,15.5897142857143,0.0496672443853609,15.629,0.0373926676083454,0.0373926676083454,0.0090690540101659,0.6169790155377,16,16.5
