"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,4.04369276218612,1.3837700529031,19.079,3.93124085064745,8.02363367799114,0.990582202551275,55.1210361510261,8,6.86983458656934
"2",2,9.53397791666667,5.49964550243537,22.002,1.922188822723,5.66171980511138,0.446839829529281,56.154125289276,6,9.91820987654321
"3",3,16.634876146789,3.26969742126043,21.727,3.10966732810296,5.98153656640982,0.737879689366758,102.408661978732,17,17.1207951070336
"4",4,2.81166174298375,2.14707875491134,17.328,3.81683899556869,8,1.09190188462458,26.9955686853767,3,3.37444608567208
"5",5,3.10779037800687,2.42312618962651,10.659,1.82710061761014,3.73113178754071,0.403660700994396,12.5973779424699,1,3.37628865979381
"6",6,6.87549831649832,2.06918726560262,12.246,1.28322602453941,3.96998051341879,0.368383400554799,29.0196218674485,6,7.30976430976431
"7",7,7.65200686498856,1.71251377077394,10.812,0.477997432118358,2.0085084407281,0.151380767211368,16.6448817347753,10,8.28718535469108
"8",8,6.25561976549414,1.25899310112052,10.259,1.39887338929911,4.03443194884817,0.406373037404388,27.1563899270459,6,6.73115577889447
"9",9,4.7126449704142,2.24320562251399,7.936,2.87573964497041,8,0.787750248165427,41.7988165680473,3,5.22485207100592
"10",10,5.98817984496124,1.53235128321909,7.726,3.0462265413668,5.51914640219546,0.713761192930997,35.5664062336828,7,6.44418604651163
"11",11,5.803924,0.753194331516185,8.859,6.496,8,1.37045153979442,49.6,6,6.2
"12",12,4.455236,0.68420263760176,7.566,7.104,8,1.48155960982687,38.048,4,4.756
"13",13,5.70151709401709,1.97540822361383,10.162,2.66199094620782,5.02343452752121,0.664730885539272,31.1710552733367,4,6.20512820512821
"14",14,7.099884,0.777753581204423,8.952,5.792,8,1.25013539820053,61.376,7,7.672
"15",15,3.303172,1.74858542208533,7.06,3.872,8,0.96127451628147,30.656,3,3.832
"16",16,7.12255648535565,0.420858651032553,8.392,4.65397728859755,5.70410549730675,0.97395994100341,43.1626560329676,7,7.56694560669456
"17",17,6.7104,1.16335870215489,9.743,3.616,8,0.935806878492562,57.344,7,7.168
"18",18,5.776132,1.26271227273312,9.783,5.6,8,1.18224161705919,50.08,5,6.26
"19",19,5.813212,1.04111845126974,9.992,5.216,8,1.12556764071911,49.216,5,6.152
"20",20,7.08499196787149,1.269795335274,11.298,3.18072289156627,8,0.854535687569331,58.6506024096386,8,7.33132530120482
"21",21,6.05748214285714,1.82973452831946,9.379,3.62857142857143,8,0.884735620769131,51.8285714285714,6,6.47857142857143
"22",22,3.99837275985663,1.55880144793218,8.509,4.75985663082437,8,1.03581099386656,35.3405017921147,3,4.41756272401434
"23",23,3.43705357142857,0.662640282561527,5.777,5.62857142857143,8,1.19921595208445,31.4571428571429,3,3.93214285714286
"24",24,3.07727838827839,0.894055393817989,6.197,5.78036769677139,6.4673786115516,1.2025685965402,24.2941273485208,3,3.75641025641026
"25",25,5.44246785714286,0.984609362909698,6.111,6.51428571428571,8,1.3615349892019,48.6285714285714,6,6.07857142857143
"26",26,5.32467383512545,1.49727214948942,6.365,6.25089605734767,8,1.32010958871411,45.7777777777778,6,5.72222222222222
"27",27,4.74272043010753,1.37514916940174,7.526,2.66666666666667,8,0.758751877588957,41.2759856630824,4,5.1594982078853
"28",28,3.53603623188406,0.66022881884081,5.161,4.74999900181649,6.86387290314843,1.00720571906197,26.5353347378963,3,3.86594202898551
"29",29,3.96819672131148,0.80325438513089,4.8,1.39470449547235,3.91158502178452,0.449669670964317,17.7143502011143,5,4.52868852459016
"30",30,4.424328125,0.111787418430212,4.656,0.86039902520955,1.19707690463937,0.189656918548593,5.72352395030701,4,4.78125
"31",31,6.41724528301887,0.0652654065690998,6.555,0.200392551703581,0.225974579580634,0.0418826384158528,1.49441679515117,6,6.61320754716981
"32",32,5.16374635568513,1.14009638318952,6.558,1.30085520982774,2.36081130672441,0.321616593695005,13.4043149266641,6,5.67784256559767
"33",33,5.39227944572748,0.199770361145703,5.724,2.70483338766594,4.15316615907571,0.622660189909373,24.1948305687494,5,5.8256351039261
"34",34,5.09312225705329,0.260559148586018,5.695,1.69860407947221,2.06028403555755,0.358754979609841,11.6932421516519,5,5.67554858934169
"35",35,4.27071563981043,0.432774927418226,6.17,0.863516892154963,1.11098819661401,0.182898230464676,5.28904096444915,4,4.76066350710901
"36",36,4.85539094650206,0.636249487019281,6.789,4.16460905349794,8,0.991441850357172,41.6131687242798,4,5.20164609053498
"37",37,4.82457012195122,4.56645549827192,18.144,1.0691052732987,2.1646082076665,0.242985427010106,11.1662106322308,2,5.15853658536585
"38",38,4.32610288065844,1.42689192104455,15.441,3.11111111111111,8,0.89037445450235,38.2057613168724,5,4.77572016460905
"39",39,2.83076748971193,1.17704329267781,14.325,4.08230452674897,8,0.938393732547407,25.9423868312757,2,3.24279835390946
"40",40,3.47254651162791,4.5261400780345,16.129,2.09544717182346,4.05874902650489,0.499700956330152,16.4804088378547,2,4.06046511627907
