"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"20",1,3,0
"21",1,4,0
"22",1,5,0
"23",1,6,0
"24",1,7,0.0704941346495681
"25",1,8,6.87540319237058
"26",1,9,0
"3",1,10,0
"4",1,11,1.05410267297985
"5",1,12,1.32571428571429
"6",1,13,0
"7",1,14,0
"8",1,15,0
"9",1,16,0
"10",1,17,0
"11",1,18,0
"12",1,19,0
"14",1,20,0
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"287",2,0,0
"288",2,1,0
"299",2,2,0
"306",2,3,0
"307",2,4,0
"308",2,5,0
"309",2,6,0
"310",2,7,4.32
"311",2,8,3.66857142857143
"312",2,9,0
"289",2,10,0
"290",2,11,0.0114285714285714
"291",2,12,0
"292",2,13,0
"293",2,14,0
"294",2,15,0
"295",2,16,0
"296",2,17,0
"297",2,18,0
"298",2,19,0
"300",2,20,0
"301",2,21,0
"302",2,22,0
"303",2,23,0
"304",2,24,0
"305",2,25,0
"573",3,0,0
"574",3,1,0
"585",3,2,0
"592",3,3,0
"593",3,4,0
"594",3,5,0
"595",3,6,0
"596",3,7,2.7305502145345
"597",3,8,0
"598",3,9,0
"575",3,10,0
"576",3,11,0
"577",3,12,0
"578",3,13,0
"579",3,14,0
"580",3,15,0
"581",3,16,0
"582",3,17,0
"583",3,18,0
"584",3,19,0
"586",3,20,0
"587",3,21,0
"588",3,22,0
"589",3,23,0
"590",3,24,0
"591",3,25,0
"625",4,0,0
"626",4,1,0
"637",4,2,0
"644",4,3,0
"645",4,4,0
"646",4,5,0
"647",4,6,0
"648",4,7,0
"649",4,8,0
"650",4,9,0
"627",4,10,0
"628",4,11,0
"629",4,12,0
"630",4,13,0
"631",4,14,0
"632",4,15,0
"633",4,16,0
"634",4,17,0
"635",4,18,0
"636",4,19,0
"638",4,20,0
"639",4,21,0
"640",4,22,0
"641",4,23,0
"642",4,24,0
"643",4,25,0
"651",5,0,0
"652",5,1,0
"663",5,2,0
"670",5,3,0.646697060824818
"671",5,4,0
"672",5,5,0
"673",5,6,0
"674",5,7,0
"675",5,8,0
"676",5,9,0
"653",5,10,0
"654",5,11,0
"655",5,12,0
"656",5,13,0
"657",5,14,0
"658",5,15,0
"659",5,16,0
"660",5,17,0
"661",5,18,0
"662",5,19,0
"664",5,20,0
"665",5,21,0
"666",5,22,0
"667",5,23,0
"668",5,24,0
"669",5,25,0
"677",6,0,0
"678",6,1,3.29613733905579
"689",6,2,1.25894134477825
"696",6,3,3.44492131616595
"697",6,4,0
"698",6,5,0
"699",6,6,0
"700",6,7,0
"701",6,8,0
"702",6,9,0
"679",6,10,0
"680",6,11,0
"681",6,12,0
"682",6,13,0
"683",6,14,0
"684",6,15,0
"685",6,16,0
"686",6,17,0
"687",6,18,0
"688",6,19,0
"690",6,20,0
"691",6,21,0
"692",6,22,0
"693",6,23,0
"694",6,24,0
"695",6,25,0
"703",7,0,0
"704",7,1,0.0221103270409587
"715",7,2,7.41801472224163
"722",7,3,0.0773861446433554
"723",7,4,0.121606798725273
"724",7,5,0
"725",7,6,0.0773861446433554
"726",7,7,0
"727",7,8,0
"728",7,9,0
"705",7,10,0
"706",7,11,0
"707",7,12,0
"708",7,13,0
"709",7,14,0
"710",7,15,0
"711",7,16,0
"712",7,17,0
"713",7,18,0
"714",7,19,0
"716",7,20,0
"717",7,21,0
"718",7,22,0
"719",7,23,0
"720",7,24,0
"721",7,25,0
"729",8,0,0
"730",8,1,0
"741",8,2,1.50229953232303
"748",8,3,0.621641185788839
"749",8,4,0.0565128350717126
"750",8,5,0
"751",8,6,0
"752",8,7,0
"753",8,8,0
"754",8,9,0
"731",8,10,0
"732",8,11,0
"733",8,12,0
"734",8,13,0
"735",8,14,0
"736",8,15,0
"737",8,16,0
"738",8,17,0
"739",8,18,0.108316267220783
"740",8,19,0
"742",8,20,0
"743",8,21,0
"744",8,22,0
"745",8,23,0
"746",8,24,0
"747",8,25,0
"755",9,0,0
"756",9,1,0
"767",9,2,6
"774",9,3,2
"775",9,4,0
"776",9,5,0
"777",9,6,0
"778",9,7,0
"779",9,8,0
"780",9,9,0
"757",9,10,0
"758",9,11,0
"759",9,12,0
"760",9,13,0
"761",9,14,0
"762",9,15,0
"763",9,16,0
"764",9,17,0
"765",9,18,0
"766",9,19,0
"768",9,20,0
"769",9,21,0
"770",9,22,0
"771",9,23,0
"772",9,24,0
"773",9,25,0
"27",10,0,0
"28",10,1,0.343347639484979
"39",10,2,0.263233190271817
"46",10,3,7.32474964234621
"47",10,4,0
"48",10,5,0
"49",10,6,0
"50",10,7,0
"51",10,8,0
"52",10,9,0
"29",10,10,0
"30",10,11,0
"31",10,12,0
"32",10,13,0
"33",10,14,0
"34",10,15,0
"35",10,16,0
"36",10,17,0
"37",10,18,0
"38",10,19,0
"40",10,20,0
"41",10,21,0
"42",10,22,0
"43",10,23,0.0343347639484979
"44",10,24,0.0343347639484979
"45",10,25,0
"53",11,0,0
"54",11,1,0
"65",11,2,0
"72",11,3,1.17647058823529
"73",11,4,0
"74",11,5,0
"75",11,6,0
"76",11,7,4.50420168067227
"77",11,8,0.100840336134454
"78",11,9,2.13445378151261
"55",11,10,0
"56",11,11,0
"57",11,12,0
"58",11,13,0
"59",11,14,0
"60",11,15,0
"61",11,16,0
"62",11,17,0.0840336134453782
"63",11,18,0
"64",11,19,0
"66",11,20,0
"67",11,21,0
"68",11,22,0
"69",11,23,0
"70",11,24,0
"71",11,25,0
"79",12,0,0
"80",12,1,0
"91",12,2,0
"98",12,3,0
"99",12,4,0
"100",12,5,0
"101",12,6,0
"102",12,7,4.82352941176471
"103",12,8,2.5546218487395
"104",12,9,0.201680672268908
"81",12,10,0
"82",12,11,0
"83",12,12,0
"84",12,13,0
"85",12,14,0
"86",12,15,0
"87",12,16,0.151260504201681
"88",12,17,0.235294117647059
"89",12,18,0.0336134453781513
"90",12,19,0
"92",12,20,0
"93",12,21,0
"94",12,22,0
"95",12,23,0
"96",12,24,0
"97",12,25,0
"105",13,0,0
"106",13,1,0
"117",13,2,0
"124",13,3,0
"125",13,4,3.40210526315789
"126",13,5,1.65052631578947
"127",13,6,0
"128",13,7,0.842105263157895
"129",13,8,1.38105263157895
"130",13,9,0.72421052631579
"107",13,10,0
"108",13,11,0
"109",13,12,0
"110",13,13,0
"111",13,14,0
"112",13,15,0
"113",13,16,0
"114",13,17,0
"115",13,18,0
"116",13,19,0
"118",13,20,0
"119",13,21,0
"120",13,22,0
"121",13,23,0
"122",13,24,0
"123",13,25,0
"131",14,0,0
"132",14,1,0
"143",14,2,0.873949579831933
"150",14,3,1.22689075630252
"151",14,4,1.71428571428571
"152",14,5,0.857142857142857
"153",14,6,0.773109243697479
"154",14,7,0.504201680672269
"155",14,8,0.252100840336134
"156",14,9,1.79831932773109
"133",14,10,0
"134",14,11,0
"135",14,12,0
"136",14,13,0
"137",14,14,0
"138",14,15,0
"139",14,16,0
"140",14,17,0
"141",14,18,0
"142",14,19,0
"144",14,20,0
"145",14,21,0
"146",14,22,0
"147",14,23,0
"148",14,24,0
"149",14,25,0
"157",15,0,0
"158",15,1,0
"169",15,2,1.2436974789916
"176",15,3,6.52100840336134
"177",15,4,0.100840336134454
"178",15,5,0.134453781512605
"179",15,6,0
"180",15,7,0
"181",15,8,0
"182",15,9,0
"159",15,10,0
"160",15,11,0
"161",15,12,0
"162",15,13,0
"163",15,14,0
"164",15,15,0
"165",15,16,0
"166",15,17,0
"167",15,18,0
"168",15,19,0
"170",15,20,0
"171",15,21,0
"172",15,22,0
"173",15,23,0
"174",15,24,0
"175",15,25,0
"183",16,0,0
"184",16,1,0
"195",16,2,1.01052631578947
"202",16,3,2.24
"203",16,4,4.61473684210526
"204",16,5,0
"205",16,6,0
"206",16,7,0
"207",16,8,0
"208",16,9,0
"185",16,10,0
"186",16,11,0
"187",16,12,0
"188",16,13,0
"189",16,14,0
"190",16,15,0
"191",16,16,0
"192",16,17,0.0336842105263158
"193",16,18,0
"194",16,19,0
"196",16,20,0
"197",16,21,0.0842105263157895
"198",16,22,0
"199",16,23,0
"200",16,24,0
"201",16,25,0.0168421052631579
"209",17,0,0
"210",17,1,0
"221",17,2,1.76470588235294
"228",17,3,1.94957983193277
"229",17,4,3.29411764705882
"230",17,5,0.638655462184874
"231",17,6,0.352941176470588
"232",17,7,0
"233",17,8,0
"234",17,9,0
"211",17,10,0
"212",17,11,0
"213",17,12,0
"214",17,13,0
"215",17,14,0
"216",17,15,0
"217",17,16,0
"218",17,17,0
"219",17,18,0
"220",17,19,0
"222",17,20,0
"223",17,21,0
"224",17,22,0
"225",17,23,0
"226",17,24,0
"227",17,25,0
"235",18,0,0
"236",18,1,0
"247",18,2,0.0292164833240041
"254",18,3,1.72377251611624
"255",18,4,0.335989558226047
"256",18,5,3.19920492397845
"257",18,6,0.248340108254035
"258",18,7,1.21248405794617
"259",18,8,0.0438247249860061
"260",18,9,0
"237",18,10,0
"238",18,11,0
"239",18,12,0
"240",18,13,0
"241",18,14,0
"242",18,15,0
"243",18,16,0
"244",18,17,0
"245",18,18,0
"246",18,19,0.014608241662002
"248",18,20,0.0292164833240041
"249",18,21,0
"250",18,22,0
"251",18,23,0
"252",18,24,0
"253",18,25,0
"261",19,0,0
"262",19,1,0
"273",19,2,0
"280",19,3,0
"281",19,4,2.31932773109244
"282",19,5,1.00840336134454
"283",19,6,3.61344537815126
"284",19,7,1.05882352941176
"285",19,8,0
"286",19,9,0
"263",19,10,0
"264",19,11,0
"265",19,12,0
"266",19,13,0
"267",19,14,0
"268",19,15,0
"269",19,16,0
"270",19,17,0
"271",19,18,0
"272",19,19,0
"274",19,20,0
"275",19,21,0
"276",19,22,0
"277",19,23,0
"278",19,24,0
"279",19,25,0
"313",20,0,0
"314",20,1,0
"325",20,2,0
"332",20,3,0
"333",20,4,3.95789473684211
"334",20,5,3.21684210526316
"335",20,6,0.825263157894737
"336",20,7,0
"337",20,8,0
"338",20,9,0
"315",20,10,0
"316",20,11,0
"317",20,12,0
"318",20,13,0
"319",20,14,0
"320",20,15,0
"321",20,16,0
"322",20,17,0
"323",20,18,0
"324",20,19,0
"326",20,20,0
"327",20,21,0
"328",20,22,0
"329",20,23,0
"330",20,24,0
"331",20,25,0
"339",21,0,0
"340",21,1,0
"351",21,2,3.64644714038128
"358",21,3,0.720970537261698
"359",21,4,3.4107452339688
"360",21,5,0.221837088388215
"361",21,6,0
"362",21,7,0
"363",21,8,0
"364",21,9,0
"341",21,10,0
"342",21,11,0
"343",21,12,0
"344",21,13,0
"345",21,14,0
"346",21,15,0
"347",21,16,0
"348",21,17,0
"349",21,18,0
"350",21,19,0
"352",21,20,0
"353",21,21,0
"354",21,22,0
"355",21,23,0
"356",21,24,0
"357",21,25,0
"365",22,0,0
"366",22,1,0
"377",22,2,6.13888888888889
"384",22,3,1.86111111111111
"385",22,4,0
"386",22,5,0
"387",22,6,0
"388",22,7,0
"389",22,8,0
"390",22,9,0
"367",22,10,0
"368",22,11,0
"369",22,12,0
"370",22,13,0
"371",22,14,0
"372",22,15,0
"373",22,16,0
"374",22,17,0
"375",22,18,0
"376",22,19,0
"378",22,20,0
"379",22,21,0
"380",22,22,0
"381",22,23,0
"382",22,24,0
"383",22,25,0
"391",23,0,0
"392",23,1,0
"403",23,2,2.60317934338841
"410",23,3,0.452247258809003
"411",23,4,0.121334630412171
"412",23,5,0.705946940579906
"413",23,6,0.198547577038099
"414",23,7,0
"415",23,8,0
"416",23,9,0
"393",23,10,0
"394",23,11,0.0220608418931221
"395",23,12,0
"396",23,13,0
"397",23,14,0
"398",23,15,0
"399",23,16,0
"400",23,17,0
"401",23,18,0
"402",23,19,0
"404",23,20,0.0330912628396831
"405",23,21,1.21334630412171
"406",23,22,0.143395472305294
"407",23,23,0.0661825256793662
"408",23,24,0.606673152060857
"409",23,25,0.011030420946561
"417",24,0,0
"418",24,1,0
"429",24,2,0.371185732517179
"436",24,3,0
"437",24,4,0
"438",24,5,0
"439",24,6,0
"440",24,7,0
"441",24,8,0
"442",24,9,0
"419",24,10,0
"420",24,11,0
"421",24,12,0
"422",24,13,0
"423",24,14,0
"424",24,15,0
"425",24,16,0
"426",24,17,0
"427",24,18,0
"428",24,19,0
"430",24,20,0
"431",24,21,0.932723122735474
"432",24,22,0.0523467058678072
"433",24,23,0.00475879144252793
"434",24,24,0.0571054973103352
"435",24,25,0
"443",25,0,0
"444",25,1,0.0972222222222222
"455",25,2,3.69444444444444
"462",25,3,3.94444444444444
"463",25,4,0.263888888888889
"464",25,5,0
"465",25,6,0
"466",25,7,0
"467",25,8,0
"468",25,9,0
"445",25,10,0
"446",25,11,0
"447",25,12,0
"448",25,13,0
"449",25,14,0
"450",25,15,0
"451",25,16,0
"452",25,17,0
"453",25,18,0
"454",25,19,0
"456",25,20,0
"457",25,21,0
"458",25,22,0
"459",25,23,0
"460",25,24,0
"461",25,25,0
"469",26,0,0
"470",26,1,0
"481",26,2,3.95833333333333
"488",26,3,3.79166666666667
"489",26,4,0.25
"490",26,5,0
"491",26,6,0
"492",26,7,0
"493",26,8,0
"494",26,9,0
"471",26,10,0
"472",26,11,0
"473",26,12,0
"474",26,13,0
"475",26,14,0
"476",26,15,0
"477",26,16,0
"478",26,17,0
"479",26,18,0
"480",26,19,0
"482",26,20,0
"483",26,21,0
"484",26,22,0
"485",26,23,0
"486",26,24,0
"487",26,25,0
"495",27,0,0
"496",27,1,0
"507",27,2,1.18055555555556
"514",27,3,2.83333333333333
"515",27,4,2.72222222222222
"516",27,5,0.444444444444444
"517",27,6,0
"518",27,7,0
"519",27,8,0
"520",27,9,0
"497",27,10,0
"498",27,11,0
"499",27,12,0
"500",27,13,0
"501",27,14,0.0277777777777778
"502",27,15,0.0416666666666667
"503",27,16,0
"504",27,17,0.638888888888889
"505",27,18,0.111111111111111
"506",27,19,0
"508",27,20,0
"509",27,21,0
"510",27,22,0
"511",27,23,0
"512",27,24,0
"513",27,25,0
"521",28,0,0
"522",28,1,0
"533",28,2,0.958333333333333
"540",28,3,3.22222222222222
"541",28,4,1.33333333333333
"542",28,5,2.31944444444444
"543",28,6,0.166666666666667
"544",28,7,0
"545",28,8,0
"546",28,9,0
"523",28,10,0
"524",28,11,0
"525",28,12,0
"526",28,13,0
"527",28,14,0
"528",28,15,0
"529",28,16,0
"530",28,17,0
"531",28,18,0
"532",28,19,0
"534",28,20,0
"535",28,21,0
"536",28,22,0
"537",28,23,0
"538",28,24,0
"539",28,25,0
"547",29,0,0
"548",29,1,0
"559",29,2,0
"566",29,3,7.79166666666667
"567",29,4,0.208333333333333
"568",29,5,0
"569",29,6,0
"570",29,7,0
"571",29,8,0
"572",29,9,0
"549",29,10,0
"550",29,11,0
"551",29,12,0
"552",29,13,0
"553",29,14,0
"554",29,15,0
"555",29,16,0
"556",29,17,0
"557",29,18,0
"558",29,19,0
"560",29,20,0
"561",29,21,0
"562",29,22,0
"563",29,23,0
"564",29,24,0
"565",29,25,0
"599",30,0,0
"600",30,1,0
"611",30,2,0.694444444444444
"618",30,3,6.75
"619",30,4,0.555555555555556
"620",30,5,0
"621",30,6,0
"622",30,7,0
"623",30,8,0
"624",30,9,0
"601",30,10,0
"602",30,11,0
"603",30,12,0
"604",30,13,0
"605",30,14,0
"606",30,15,0
"607",30,16,0
"608",30,17,0
"609",30,18,0
"610",30,19,0
"612",30,20,0
"613",30,21,0
"614",30,22,0
"615",30,23,0
"616",30,24,0
"617",30,25,0
