"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"21",1,3,0
"22",1,4,0
"23",1,5,0
"24",1,6,0
"25",1,7,0
"26",1,8,0
"27",1,9,0.112066172628879
"3",1,10,0
"4",1,11,0
"5",1,12,0.0082471761860304
"6",1,13,0
"7",1,14,0.25506865550838
"8",1,15,0.00939527882763615
"9",1,16,0.271703949147217
"10",1,17,0.390797145725041
"11",1,18,2.17275021193054
"12",1,19,3.58989212004866
"14",1,20,1.19007928999762
"15",1,21,0.153846153846154
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"298",2,0,0
"299",2,1,0
"310",2,2,0
"318",2,3,0
"319",2,4,0
"320",2,5,0
"321",2,6,0
"322",2,7,0
"323",2,8,0
"324",2,9,4.54054054054054
"300",2,10,0.154440154440154
"301",2,11,0
"302",2,12,1.88416988416988
"303",2,13,0.0308880308880309
"304",2,14,0.0926640926640927
"305",2,15,0.277992277992278
"306",2,16,0.370656370656371
"307",2,17,0.0308880308880309
"308",2,18,0.216216216216216
"309",2,19,0.154440154440154
"311",2,20,0.0926640926640927
"312",2,21,0.154440154440154
"313",2,22,0
"314",2,23,0
"315",2,24,0
"316",2,25,0
"317",2,26,0
"595",3,0,0
"596",3,1,0
"607",3,2,0
"615",3,3,0
"616",3,4,0
"617",3,5,0
"618",3,6,0
"619",3,7,0
"620",3,8,0
"621",3,9,3.33590733590734
"597",3,10,1.72972972972973
"598",3,11,1.08108108108108
"599",3,12,0.648648648648649
"600",3,13,0.247104247104247
"601",3,14,0
"602",3,15,0.0308880308880309
"603",3,16,0.185328185328185
"604",3,17,0.741312741312741
"605",3,18,0
"606",3,19,0
"608",3,20,0
"609",3,21,0
"610",3,22,0
"611",3,23,0
"612",3,24,0
"613",3,25,0
"614",3,26,0
"892",4,0,0
"893",4,1,0
"904",4,2,0
"912",4,3,0
"913",4,4,0
"914",4,5,0
"915",4,6,0
"916",4,7,0
"917",4,8,0
"918",4,9,0.4
"894",4,10,4.86153846153846
"895",4,11,0
"896",4,12,1.35384615384615
"897",4,13,0.123076923076923
"898",4,14,0.738461538461539
"899",4,15,0.0923076923076923
"900",4,16,0
"901",4,17,0
"902",4,18,0.0923076923076923
"903",4,19,0
"905",4,20,0.307692307692308
"906",4,21,0.0307692307692308
"907",4,22,0
"908",4,23,0
"909",4,24,0
"910",4,25,0
"911",4,26,0
"1189",5,0,0
"1190",5,1,0
"1201",5,2,0
"1209",5,3,0
"1210",5,4,0
"1211",5,5,0
"1212",5,6,0
"1213",5,7,0
"1214",5,8,0
"1215",5,9,1.38996138996139
"1191",5,10,0
"1192",5,11,0
"1193",5,12,0
"1194",5,13,0
"1195",5,14,3.05791505791506
"1196",5,15,0.277992277992278
"1197",5,16,1.01930501930502
"1198",5,17,0.185328185328185
"1199",5,18,1.05019305019305
"1200",5,19,0.463320463320463
"1202",5,20,0.0308880308880309
"1203",5,21,0.525096525096525
"1204",5,22,0
"1205",5,23,0
"1206",5,24,0
"1207",5,25,0
"1208",5,26,0
"1486",6,0,0
"1487",6,1,0
"1498",6,2,0
"1506",6,3,0
"1507",6,4,0.308880308880309
"1508",6,5,0
"1509",6,6,0
"1510",6,7,0
"1511",6,8,0.494208494208494
"1512",6,9,6.54826254826255
"1488",6,10,0.370656370656371
"1489",6,11,0.277992277992278
"1490",6,12,0
"1491",6,13,0
"1492",6,14,0
"1493",6,15,0
"1494",6,16,0
"1495",6,17,0
"1496",6,18,0
"1497",6,19,0
"1499",6,20,0
"1500",6,21,0
"1501",6,22,0
"1502",6,23,0
"1503",6,24,0
"1504",6,25,0
"1505",6,26,0
"1540",7,0,0
"1541",7,1,0
"1552",7,2,0
"1560",7,3,0
"1561",7,4,0
"1562",7,5,4.83076923076923
"1563",7,6,0.369230769230769
"1564",7,7,0.0615384615384615
"1565",7,8,0.215384615384615
"1566",7,9,2.49230769230769
"1542",7,10,0.0307692307692308
"1543",7,11,0
"1544",7,12,0
"1545",7,13,0
"1546",7,14,0
"1547",7,15,0
"1548",7,16,0
"1549",7,17,0
"1550",7,18,0
"1551",7,19,0
"1553",7,20,0
"1554",7,21,0
"1555",7,22,0
"1556",7,23,0
"1557",7,24,0
"1558",7,25,0
"1559",7,26,0
"1567",8,0,0
"1568",8,1,0
"1579",8,2,2.03861003861004
"1587",8,3,1.63706563706564
"1588",8,4,0.555984555984556
"1589",8,5,3.33590733590734
"1590",8,6,0.432432432432432
"1591",8,7,0
"1592",8,8,0
"1593",8,9,0
"1569",8,10,0
"1570",8,11,0
"1571",8,12,0
"1572",8,13,0
"1573",8,14,0
"1574",8,15,0
"1575",8,16,0
"1576",8,17,0
"1577",8,18,0
"1578",8,19,0
"1580",8,20,0
"1581",8,21,0
"1582",8,22,0
"1583",8,23,0
"1584",8,24,0
"1585",8,25,0
"1586",8,26,0
"1594",9,0,0
"1595",9,1,0
"1606",9,2,1.66795366795367
"1614",9,3,5.71428571428571
"1615",9,4,0.617760617760618
"1616",9,5,0
"1617",9,6,0
"1618",9,7,0
"1619",9,8,0
"1620",9,9,0
"1596",9,10,0
"1597",9,11,0
"1598",9,12,0
"1599",9,13,0
"1600",9,14,0
"1601",9,15,0
"1602",9,16,0
"1603",9,17,0
"1604",9,18,0
"1605",9,19,0
"1607",9,20,0
"1608",9,21,0
"1609",9,22,0
"1610",9,23,0
"1611",9,24,0
"1612",9,25,0
"1613",9,26,0
"28",10,0,0
"29",10,1,0
"40",10,2,0
"48",10,3,7.72200772200772
"49",10,4,0.0617760617760618
"50",10,5,0
"51",10,6,0.0617760617760618
"52",10,7,0.154440154440154
"53",10,8,0
"54",10,9,0
"30",10,10,0
"31",10,11,0
"32",10,12,0
"33",10,13,0
"34",10,14,0
"35",10,15,0
"36",10,16,0
"37",10,17,0
"38",10,18,0
"39",10,19,0
"41",10,20,0
"42",10,21,0
"43",10,22,0
"44",10,23,0
"45",10,24,0
"46",10,25,0
"47",10,26,0
"55",11,0,0
"56",11,1,0
"67",11,2,0
"75",11,3,0
"76",11,4,0
"77",11,5,0
"78",11,6,1.24400195235048
"79",11,7,0.21239057723057
"80",11,8,0
"81",11,9,0
"57",11,10,0
"58",11,11,0
"59",11,12,0
"60",11,13,0
"61",11,14,0
"62",11,15,0
"63",11,16,0
"64",11,17,0
"65",11,18,1.7294661288775
"66",11,19,0.910245330988159
"68",11,20,0.455122665494079
"69",11,21,0.970928353054036
"70",11,22,1.06195288615285
"71",11,23,0.606830220658772
"72",11,24,0.21239057723057
"73",11,25,0.121366044131754
"74",11,26,0.0910245330988159
"82",12,0,0
"83",12,1,0
"94",12,2,0
"102",12,3,0
"103",12,4,0
"104",12,5,0
"105",12,6,0
"106",12,7,0
"107",12,8,0
"108",12,9,0
"84",12,10,0
"85",12,11,0
"86",12,12,0
"87",12,13,0
"88",12,14,0
"89",12,15,0
"90",12,16,0
"91",12,17,0
"92",12,18,0.0530505869320925
"93",12,19,0.601239985230381
"95",12,20,0.0707341159094566
"96",12,21,0.778075275004023
"97",12,22,1.29089761534758
"98",12,23,1.02564468068712
"99",12,24,0.0707341159094566
"100",12,25,0
"101",12,26,0
"109",13,0,0
"110",13,1,0
"121",13,2,0
"129",13,3,0
"130",13,4,0
"131",13,5,0
"132",13,6,0
"133",13,7,0
"134",13,8,0
"135",13,9,0
"111",13,10,0
"112",13,11,0
"113",13,12,0
"114",13,13,0
"115",13,14,0
"116",13,15,0
"117",13,16,0
"118",13,17,0
"119",13,18,0
"120",13,19,1.24302788844622
"122",13,20,0.50996015936255
"123",13,21,0.191235059760956
"124",13,22,5.16334661354582
"125",13,23,0.892430278884462
"126",13,24,0
"127",13,25,0
"128",13,26,0
"136",14,0,0
"137",14,1,0
"148",14,2,0
"156",14,3,0
"157",14,4,0
"158",14,5,0
"159",14,6,0
"160",14,7,0.0472763097442879
"161",14,8,0
"162",14,9,0
"138",14,10,0
"139",14,11,0
"140",14,12,0
"141",14,13,0
"142",14,14,0
"143",14,15,0
"144",14,16,0
"145",14,17,0
"146",14,18,0
"147",14,19,0
"149",14,20,0.330934168210015
"150",14,21,0.212743393849296
"151",14,22,2.3638154872144
"152",14,23,2.69474965542441
"153",14,24,0.0709144646164319
"154",14,25,0
"155",14,26,0
"163",15,0,0
"164",15,1,0
"175",15,2,0
"183",15,3,0
"184",15,4,0
"185",15,5,0
"186",15,6,0
"187",15,7,0
"188",15,8,0
"189",15,9,0
"165",15,10,0
"166",15,11,0
"167",15,12,0
"168",15,13,0
"169",15,14,0
"170",15,15,0
"171",15,16,0
"172",15,17,0
"173",15,18,0.254980079681275
"174",15,19,0.254980079681275
"176",15,20,0.223107569721116
"177",15,21,0.605577689243028
"178",15,22,5.25896414342629
"179",15,23,1.40239043824701
"180",15,24,0
"181",15,25,0
"182",15,26,0
"190",16,0,0
"191",16,1,0
"202",16,2,0
"210",16,3,0
"211",16,4,0
"212",16,5,0
"213",16,6,0
"214",16,7,0
"215",16,8,0
"216",16,9,0
"192",16,10,0
"193",16,11,0
"194",16,12,0
"195",16,13,0
"196",16,14,0
"197",16,15,0
"198",16,16,0
"199",16,17,0
"200",16,18,0
"201",16,19,0
"203",16,20,0.0317460317460317
"204",16,21,2.79365079365079
"205",16,22,3.84126984126984
"206",16,23,0.761904761904762
"207",16,24,0.571428571428571
"208",16,25,0
"209",16,26,0
"217",17,0,0
"218",17,1,0
"229",17,2,0
"237",17,3,0
"238",17,4,0
"239",17,5,0
"240",17,6,0
"241",17,7,0
"242",17,8,0
"243",17,9,0
"219",17,10,0
"220",17,11,0
"221",17,12,0
"222",17,13,0
"223",17,14,0
"224",17,15,0
"225",17,16,0
"226",17,17,0
"227",17,18,0
"228",17,19,0
"230",17,20,0.446215139442231
"231",17,21,4.01593625498008
"232",17,22,2.86852589641434
"233",17,23,0.446215139442231
"234",17,24,0.159362549800797
"235",17,25,0.0637450199203187
"236",17,26,0
"244",18,0,0
"245",18,1,0
"256",18,2,0
"264",18,3,1.11111111111111
"265",18,4,0
"266",18,5,0
"267",18,6,0
"268",18,7,0
"269",18,8,0
"270",18,9,0
"246",18,10,0
"247",18,11,0
"248",18,12,0
"249",18,13,0
"250",18,14,0
"251",18,15,0
"252",18,16,0
"253",18,17,0
"254",18,18,0
"255",18,19,0.888888888888889
"257",18,20,0
"258",18,21,1.65079365079365
"259",18,22,1.3968253968254
"260",18,23,1.61904761904762
"261",18,24,0.857142857142857
"262",18,25,0.476190476190476
"263",18,26,0
"271",19,0,0
"272",19,1,0
"283",19,2,0
"291",19,3,0
"292",19,4,0
"293",19,5,0
"294",19,6,0
"295",19,7,0
"296",19,8,0
"297",19,9,0
"273",19,10,0
"274",19,11,0
"275",19,12,0
"276",19,13,0
"277",19,14,0
"278",19,15,0
"279",19,16,0
"280",19,17,0
"281",19,18,0
"282",19,19,0
"284",19,20,0.318725099601594
"285",19,21,1.43426294820717
"286",19,22,2.58167330677291
"287",19,23,0.860557768924303
"288",19,24,2.7410358565737
"289",19,25,0.0637450199203187
"290",19,26,0
"325",20,0,0
"326",20,1,0
"337",20,2,0
"345",20,3,0
"346",20,4,0
"347",20,5,0
"348",20,6,0
"349",20,7,0
"350",20,8,0
"351",20,9,0
"327",20,10,0
"328",20,11,0
"329",20,12,0
"330",20,13,0
"331",20,14,0
"332",20,15,0
"333",20,16,0
"334",20,17,0
"335",20,18,0
"336",20,19,0
"338",20,20,0.609145699485696
"339",20,21,2.37566822799422
"340",20,22,3.77670333681132
"341",20,23,0.670060269434266
"342",20,24,0.182743709845709
"343",20,25,0
"344",20,26,0
"352",21,0,0
"353",21,1,0
"364",21,2,0
"372",21,3,0
"373",21,4,0
"374",21,5,0
"375",21,6,0
"376",21,7,0
"377",21,8,0
"378",21,9,0
"354",21,10,0
"355",21,11,0
"356",21,12,0
"357",21,13,0
"358",21,14,0
"359",21,15,0
"360",21,16,0
"361",21,17,0
"362",21,18,0.0737327188940092
"363",21,19,0.405529953917051
"365",21,20,5.89861751152074
"366",21,21,1.21658986175115
"367",21,22,0.147465437788018
"368",21,23,0.258064516129032
"369",21,24,0
"370",21,25,0
"371",21,26,0
"379",22,0,0
"380",22,1,0
"391",22,2,0
"399",22,3,0
"400",22,4,0
"401",22,5,0
"402",22,6,0
"403",22,7,0
"404",22,8,0
"405",22,9,0
"381",22,10,0
"382",22,11,0
"383",22,12,0
"384",22,13,0
"385",22,14,0
"386",22,15,0
"387",22,16,0
"388",22,17,0.95852534562212
"389",22,18,1.10599078341014
"390",22,19,1.5852534562212
"392",22,20,3.72350230414747
"393",22,21,0.221198156682028
"394",22,22,0.331797235023041
"395",22,23,0
"396",22,24,0
"397",22,25,0.0737327188940092
"398",22,26,0
"406",23,0,0
"407",23,1,0
"418",23,2,0
"426",23,3,0
"427",23,4,0
"428",23,5,0
"429",23,6,0
"430",23,7,0
"431",23,8,0
"432",23,9,0
"408",23,10,0
"409",23,11,0
"410",23,12,0
"411",23,13,0
"412",23,14,0
"413",23,15,0
"414",23,16,0
"415",23,17,1.76958525345622
"416",23,18,0.258064516129032
"417",23,19,2.32258064516129
"419",23,20,3.1705069124424
"420",23,21,0.442396313364055
"421",23,22,0
"422",23,23,0.0368663594470046
"423",23,24,0
"424",23,25,0
"425",23,26,0
"433",24,0,0
"434",24,1,0
"445",24,2,0
"453",24,3,0
"454",24,4,0
"455",24,5,0
"456",24,6,0
"457",24,7,0
"458",24,8,0
"459",24,9,0
"435",24,10,0
"436",24,11,0
"437",24,12,0
"438",24,13,0
"439",24,14,0
"440",24,15,0
"441",24,16,0
"442",24,17,3.35483870967742
"443",24,18,1.03225806451613
"444",24,19,2.24884792626728
"446",24,20,0.368663594470046
"447",24,21,0.368663594470046
"448",24,22,0.442396313364055
"449",24,23,0.184331797235023
"450",24,24,0
"451",24,25,0
"452",24,26,0
"460",25,0,0
"461",25,1,0
"472",25,2,0
"480",25,3,0
"481",25,4,0
"482",25,5,0
"483",25,6,0
"484",25,7,0
"485",25,8,0
"486",25,9,0
"462",25,10,0
"463",25,11,0
"464",25,12,0
"465",25,13,0
"466",25,14,0
"467",25,15,0
"468",25,16,0
"469",25,17,3.72350230414747
"470",25,18,0.0737327188940092
"471",25,19,1.88018433179724
"473",25,20,1.95391705069124
"474",25,21,0.221198156682028
"475",25,22,0.0368663594470046
"476",25,23,0.110599078341014
"477",25,24,0
"478",25,25,0
"479",25,26,0
"487",26,0,0
"488",26,1,0
"499",26,2,0
"507",26,3,0
"508",26,4,0
"509",26,5,0
"510",26,6,0
"511",26,7,0
"512",26,8,0
"513",26,9,0
"489",26,10,0
"490",26,11,0
"491",26,12,0
"492",26,13,0
"493",26,14,0
"494",26,15,0
"495",26,16,0
"496",26,17,0
"497",26,18,0.110599078341014
"498",26,19,1.32718894009217
"500",26,20,4.75576036866359
"501",26,21,1.29032258064516
"502",26,22,0.331797235023041
"503",26,23,0.184331797235023
"504",26,24,0
"505",26,25,0
"506",26,26,0
"514",27,0,0
"515",27,1,0
"526",27,2,0
"534",27,3,0
"535",27,4,0
"536",27,5,0
"537",27,6,0
"538",27,7,0
"539",27,8,0
"540",27,9,0
"516",27,10,0
"517",27,11,0
"518",27,12,0
"519",27,13,0
"520",27,14,0
"521",27,15,0
"522",27,16,0
"523",27,17,0
"524",27,18,0
"525",27,19,2.76497695852535
"527",27,20,1.91705069124424
"528",27,21,3.2073732718894
"529",27,22,0.110599078341014
"530",27,23,0
"531",27,24,0
"532",27,25,0
"533",27,26,0
"541",28,0,0
"542",28,1,0
"553",28,2,0
"561",28,3,0
"562",28,4,0
"563",28,5,0
"564",28,6,0
"565",28,7,0
"566",28,8,0
"567",28,9,0
"543",28,10,0
"544",28,11,0
"545",28,12,0
"546",28,13,0
"547",28,14,0
"548",28,15,0
"549",28,16,0
"550",28,17,0
"551",28,18,0.516129032258065
"552",28,19,2.69124423963134
"554",28,20,3.72350230414747
"555",28,21,0.626728110599078
"556",28,22,0.442396313364055
"557",28,23,0
"558",28,24,0
"559",28,25,0
"560",28,26,0
"568",29,0,0
"569",29,1,0
"580",29,2,0
"588",29,3,0
"589",29,4,0
"590",29,5,0
"591",29,6,0
"592",29,7,0
"593",29,8,0
"594",29,9,0
"570",29,10,0
"571",29,11,0
"572",29,12,0
"573",29,13,0
"574",29,14,0
"575",29,15,0
"576",29,16,0
"577",29,17,0
"578",29,18,0.811059907834101
"579",29,19,4.64516129032258
"581",29,20,1.95391705069124
"582",29,21,0.589861751152074
"583",29,22,0
"584",29,23,0
"585",29,24,0
"586",29,25,0
"587",29,26,0
"622",30,0,0
"623",30,1,0
"634",30,2,0
"642",30,3,0
"643",30,4,0
"644",30,5,0
"645",30,6,0
"646",30,7,0
"647",30,8,0
"648",30,9,0
"624",30,10,0
"625",30,11,0
"626",30,12,0
"627",30,13,0
"628",30,14,0
"629",30,15,0
"630",30,16,0
"631",30,17,0.0740740740740741
"632",30,18,2.85185185185185
"633",30,19,3.07407407407407
"635",30,20,1.81481481481481
"636",30,21,0
"637",30,22,0.037037037037037
"638",30,23,0.148148148148148
"639",30,24,0
"640",30,25,0
"641",30,26,0
"649",31,0,0
"650",31,1,0
"661",31,2,0
"669",31,3,0
"670",31,4,0
"671",31,5,0
"672",31,6,0
"673",31,7,0
"674",31,8,0
"675",31,9,0
"651",31,10,0
"652",31,11,0
"653",31,12,0
"654",31,13,0
"655",31,14,0.968609865470852
"656",31,15,0.143497757847534
"657",31,16,1.14798206278027
"658",31,17,0.932735426008969
"659",31,18,1.32735426008969
"660",31,19,3.01345291479821
"662",31,20,0.430493273542601
"663",31,21,0.0358744394618834
"664",31,22,0
"665",31,23,0
"666",31,24,0
"667",31,25,0
"668",31,26,0
"676",32,0,0
"677",32,1,0
"688",32,2,0
"696",32,3,0
"697",32,4,0
"698",32,5,0
"699",32,6,0
"700",32,7,0
"701",32,8,0
"702",32,9,0
"678",32,10,0
"679",32,11,0
"680",32,12,0
"681",32,13,0.0358744394618834
"682",32,14,3.22869955156951
"683",32,15,0.825112107623318
"684",32,16,2.04484304932735
"685",32,17,1.36322869955157
"686",32,18,0.0717488789237668
"687",32,19,0.179372197309417
"689",32,20,0.143497757847534
"690",32,21,0.0717488789237668
"691",32,22,0
"692",32,23,0.0358744394618834
"693",32,24,0
"694",32,25,0
"695",32,26,0
"703",33,0,0
"704",33,1,0
"715",33,2,0
"723",33,3,0
"724",33,4,0
"725",33,5,0
"726",33,6,0
"727",33,7,0
"728",33,8,0
"729",33,9,0
"705",33,10,0
"706",33,11,0
"707",33,12,0
"708",33,13,0
"709",33,14,6.60089686098655
"710",33,15,0.0358744394618834
"711",33,16,0.645739910313901
"712",33,17,0.179372197309417
"713",33,18,0.143497757847534
"714",33,19,0.394618834080717
"716",33,20,0
"717",33,21,0
"718",33,22,0
"719",33,23,0
"720",33,24,0
"721",33,25,0
"722",33,26,0
"730",34,0,0
"731",34,1,0
"742",34,2,0
"750",34,3,0
"751",34,4,0
"752",34,5,0
"753",34,6,0
"754",34,7,0
"755",34,8,0
"756",34,9,0
"732",34,10,0
"733",34,11,0
"734",34,12,0.972972972972973
"735",34,13,3.0990990990991
"736",34,14,3.20720720720721
"737",34,15,0.216216216216216
"738",34,16,0.504504504504504
"739",34,17,0
"740",34,18,0
"741",34,19,0
"743",34,20,0
"744",34,21,0
"745",34,22,0
"746",34,23,0
"747",34,24,0
"748",34,25,0
"749",34,26,0
"757",35,0,0
"758",35,1,0
"769",35,2,0
"777",35,3,0
"778",35,4,2.90582959641256
"779",35,5,0
"780",35,6,0
"781",35,7,0
"782",35,8,0
"783",35,9,0
"759",35,10,0
"760",35,11,0
"761",35,12,0
"762",35,13,4.87892376681614
"763",35,14,0.0717488789237668
"764",35,15,0
"765",35,16,0
"766",35,17,0
"767",35,18,0
"768",35,19,0
"770",35,20,0
"771",35,21,0.10762331838565
"772",35,22,0.0358744394618834
"773",35,23,0
"774",35,24,0
"775",35,25,0
"776",35,26,0
"784",36,0,0
"785",36,1,0
"796",36,2,0
"804",36,3,0
"805",36,4,7.1390134529148
"806",36,5,0
"807",36,6,0
"808",36,7,0.860986547085202
"809",36,8,0
"810",36,9,0
"786",36,10,0
"787",36,11,0
"788",36,12,0
"789",36,13,0
"790",36,14,0
"791",36,15,0
"792",36,16,0
"793",36,17,0
"794",36,18,0
"795",36,19,0
"797",36,20,0
"798",36,21,0
"799",36,22,0
"800",36,23,0
"801",36,24,0
"802",36,25,0
"803",36,26,0
"811",37,0,0
"812",37,1,0
"823",37,2,0
"831",37,3,0
"832",37,4,7.45945945945946
"833",37,5,0.396396396396396
"834",37,6,0.144144144144144
"835",37,7,0
"836",37,8,0
"837",37,9,0
"813",37,10,0
"814",37,11,0
"815",37,12,0
"816",37,13,0
"817",37,14,0
"818",37,15,0
"819",37,16,0
"820",37,17,0
"821",37,18,0
"822",37,19,0
"824",37,20,0
"825",37,21,0
"826",37,22,0
"827",37,23,0
"828",37,24,0
"829",37,25,0
"830",37,26,0
"838",38,0,0
"839",38,1,0
"850",38,2,0
"858",38,3,0
"859",38,4,1.82959641255605
"860",38,5,5.77578475336323
