"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0.31978446090127
"24",1,3,1.37011401198882
"30",1,4,0.65176479548281
"31",1,5,0
"32",1,6,0
"33",1,7,0
"34",1,8,0
"35",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0.0222064194228492
"6",1,13,0.162894742072668
"7",1,14,0.948086643227814
"8",1,15,0.939458523483282
"9",1,16,0
"10",1,17,0.271499567086566
"11",1,18,2.95588390575061
"12",1,19,0.358306930583313
"14",1,20,0.136518771331058
"15",1,21,0
"16",1,22,0
"17",1,23,0
"18",1,24,0
"19",1,25,0
"20",1,26,0
"21",1,27,0
"22",1,28,0
"23",1,29,0
"25",1,30,0
"26",1,31,0
"27",1,32,0
"28",1,33,0
"29",1,34,0
"386",2,0,0
"387",2,1,0
"398",2,2,0.464163822525597
"409",2,3,0.546075085324232
"415",2,4,0.300341296928328
"416",2,5,0.327645051194539
"417",2,6,0
"418",2,7,0
"419",2,8,0
"420",2,9,0
"388",2,10,0
"389",2,11,0
"390",2,12,0
"391",2,13,0
"392",2,14,0.955631399317406
"393",2,15,3.24914675767918
"394",2,16,0.0546075085324232
"395",2,17,0
"396",2,18,0.0546075085324232
"397",2,19,1.85665529010239
"399",2,20,0.191126279863481
"400",2,21,0
"401",2,22,0
"402",2,23,0
"403",2,24,0
"404",2,25,0
"405",2,26,0
"406",2,27,0
"407",2,28,0
"408",2,29,0
"410",2,30,0
"411",2,31,0
"412",2,32,0
"413",2,33,0
"414",2,34,0
"771",3,0,0
"772",3,1,0
"783",3,2,0
"794",3,3,1.06484641638225
"800",3,4,1.1740614334471
"801",3,5,5.29692832764505
"802",3,6,0
"803",3,7,0
"804",3,8,0
"805",3,9,0
"773",3,10,0
"774",3,11,0
"775",3,12,0
"776",3,13,0
"777",3,14,0
"778",3,15,0
"779",3,16,0
"780",3,17,0
"781",3,18,0.191126279863481
"782",3,19,0.136518771331058
"784",3,20,0.0819112627986348
"785",3,21,0
"786",3,22,0.0546075085324232
"787",3,23,0
"788",3,24,0
"789",3,25,0
"790",3,26,0
"791",3,27,0
"792",3,28,0
"793",3,29,0
"795",3,30,0
"796",3,31,0
"797",3,32,0
"798",3,33,0
"799",3,34,0
"1156",4,0,0
"1157",4,1,0
"1168",4,2,0
"1179",4,3,4.09556313993174
"1185",4,4,2.94880546075085
"1186",4,5,0.0273037542662116
"1187",4,6,0
"1188",4,7,0
"1189",4,8,0
"1190",4,9,0
"1158",4,10,0
"1159",4,11,0
"1160",4,12,0
"1161",4,13,0
"1162",4,14,0
"1163",4,15,0
"1164",4,16,0
"1165",4,17,0
"1166",4,18,0
"1167",4,19,0.16382252559727
"1169",4,20,0.354948805460751
"1170",4,21,0
"1171",4,22,0
"1172",4,23,0.409556313993174
"1173",4,24,0
"1174",4,25,0
"1175",4,26,0
"1176",4,27,0
"1177",4,28,0
"1178",4,29,0
"1180",4,30,0
"1181",4,31,0
"1182",4,32,0
"1183",4,33,0
"1184",4,34,0
"1541",5,0,0
"1542",5,1,0
"1553",5,2,0
"1564",5,3,0.954149342472746
"1570",5,4,2.80281369351369
"1571",5,5,0
"1572",5,6,0
"1573",5,7,0
"1574",5,8,0
"1575",5,9,0
"1543",5,10,0
"1544",5,11,0
"1545",5,12,0
"1546",5,13,0.35780600342728
"1547",5,14,0.278293558221218
"1548",5,15,0
"1549",5,16,0
"1550",5,17,0
"1551",5,18,0
"1552",5,19,0.0198781113015155
"1554",5,20,0.636099561648498
"1555",5,21,0.0795124452060622
"1556",5,22,0.198781113015155
"1557",5,23,0.0397562226030311
"1558",5,24,0.0397562226030311
"1559",5,25,0
"1560",5,26,0.159024890412124
"1561",5,27,0
"1562",5,28,0
"1563",5,29,0
"1565",5,30,0
"1566",5,31,0
"1567",5,32,0
"1568",5,33,0
"1569",5,34,0
"1926",6,0,0
"1927",6,1,0
"1938",6,2,0
"1949",6,3,0
"1955",6,4,0
"1956",6,5,0
"1957",6,6,0
"1958",6,7,0
"1959",6,8,0
"1960",6,9,0
"1928",6,10,0.786333589221547
"1929",6,11,0
"1930",6,12,0
"1931",6,13,0.614323116579333
"1932",6,14,1.35151085647453
"1933",6,15,0.638896041242507
"1934",6,16,0
"1935",6,17,0.3685938699476
"1936",6,18,0.344020945284427
"1937",6,19,0.66346896590568
"1939",6,20,1.27779208248501
"1940",6,21,0.565177267252987
"1941",6,22,0.07371877398952
"1942",6,23,0.417739719273947
"1943",6,24,0
"1944",6,25,0
"1945",6,26,0
"1946",6,27,0.0245729246631733
"1947",6,28,0
"1948",6,29,0
"1950",6,30,0
"1951",6,31,0
"1952",6,32,0
"1953",6,33,0
"1954",6,34,0
"1996",7,0,0
"1997",7,1,0
"2008",7,2,0
"2019",7,3,0
"2025",7,4,0
"2026",7,5,0.409556313993174
"2027",7,6,1.06484641638225
"2028",7,7,2.67576791808874
"2029",7,8,0
"2030",7,9,0.16382252559727
"1998",7,10,1.28327645051195
"1999",7,11,0.655290102389078
"2000",7,12,0
"2001",7,13,0
"2002",7,14,1.55631399317406
"2003",7,15,0.0819112627986348
"2004",7,16,0
"2005",7,17,0
"2006",7,18,0
"2007",7,19,0
"2009",7,20,0.109215017064846
"2010",7,21,0
"2011",7,22,0
"2012",7,23,0
"2013",7,24,0
"2014",7,25,0
"2015",7,26,0
"2016",7,27,0
"2017",7,28,0
"2018",7,29,0
"2020",7,30,0
"2021",7,31,0
"2022",7,32,0
"2023",7,33,0
"2024",7,34,0
"2031",8,0,0
"2032",8,1,0
"2043",8,2,0.491467576791809
"2054",8,3,1.69283276450512
"2060",8,4,0.327645051194539
"2061",8,5,0.573378839590444
"2062",8,6,1.36518771331058
"2063",8,7,0
"2064",8,8,0
"2065",8,9,0.191126279863481
"2033",8,10,2.86689419795222
"2034",8,11,0.300341296928328
"2035",8,12,0.0819112627986348
"2036",8,13,0.109215017064846
"2037",8,14,0
"2038",8,15,0
"2039",8,16,0
"2040",8,17,0
"2041",8,18,0
"2042",8,19,0
"2044",8,20,0
"2045",8,21,0
"2046",8,22,0
"2047",8,23,0
"2048",8,24,0
"2049",8,25,0
"2050",8,26,0
"2051",8,27,0
"2052",8,28,0
"2053",8,29,0
"2055",8,30,0
"2056",8,31,0
"2057",8,32,0
"2058",8,33,0
"2059",8,34,0
"2066",9,0,0
"2067",9,1,0
"2078",9,2,2.73037542662116
"2089",9,3,0
"2095",9,4,0
"2096",9,5,0
"2097",9,6,0
"2098",9,7,0
"2099",9,8,0
"2100",9,9,0
"2068",9,10,4.12286689419795
"2069",9,11,0.819112627986348
"2070",9,12,0.0546075085324232
"2071",9,13,0.0546075085324232
"2072",9,14,0.0546075085324232
"2073",9,15,0.0273037542662116
"2074",9,16,0.0819112627986348
"2075",9,17,0
"2076",9,18,0
"2077",9,19,0
"2079",9,20,0
"2080",9,21,0
"2081",9,22,0
"2082",9,23,0
"2083",9,24,0
"2084",9,25,0
"2085",9,26,0
"2086",9,27,0
"2087",9,28,0.0546075085324232
"2088",9,29,0
"2090",9,30,0
"2091",9,31,0
"2092",9,32,0
"2093",9,33,0
"2094",9,34,0
"36",10,0,0
"37",10,1,0
"48",10,2,0
"59",10,3,0
"65",10,4,0
"66",10,5,0
"67",10,6,0
"68",10,7,0
"69",10,8,0
"70",10,9,0.114339792961368
"38",10,10,0.686038757768207
"39",10,11,0
"40",10,12,0.114339792961368
"41",10,13,1.37207751553641
"42",10,14,0.724152022088663
"43",10,15,0.171509689442052
"44",10,16,0
"45",10,17,0.019056632160228
"46",10,18,0.0381132643204559
"47",10,19,0
"49",10,20,0
"50",10,21,0.114339792961368
"51",10,22,0.0762265286409119
"52",10,23,0
"53",10,24,1.33396425121596
"54",10,25,0.171509689442052
"55",10,26,0.0381132643204559
"56",10,27,0.133396425121596
"57",10,28,0.114339792961368
"58",10,29,0
"60",10,30,0
"61",10,31,0.0381132643204559
"62",10,32,0
"63",10,33,0
"64",10,34,0
"71",11,0,0
"72",11,1,0
"83",11,2,0
"94",11,3,0
"100",11,4,0
"101",11,5,0
"102",11,6,0
"103",11,7,0
"104",11,8,0
"105",11,9,0
"73",11,10,0
"74",11,11,0
"75",11,12,0.027025395186633
"76",11,13,0
"77",11,14,1.21614278339849
"78",11,15,0.364842835019546
"79",11,16,0
"80",11,17,0.0405380927799495
"81",11,18,0.027025395186633
"82",11,19,0
"84",11,20,0
"85",11,21,0.108101580746532
"86",11,22,0
"87",11,23,0
"88",11,24,0.0945888831532155
"89",11,25,0.229715859086381
"90",11,26,0.189177766306431
"91",11,27,0.702660274852458
"92",11,28,0.337817439832913
"93",11,29,0.175665068713114
"95",11,30,0.027025395186633
"96",11,31,0
"97",11,32,0
"98",11,33,0
"99",11,34,0
"106",12,0,0
"107",12,1,0
"118",12,2,0
"129",12,3,0
"135",12,4,1.00970873786408
"136",12,5,3.2621359223301
"137",12,6,0.880258899676375
"138",12,7,0
"139",12,8,0
"140",12,9,0
"108",12,10,0
"109",12,11,0
"110",12,12,0.0258899676375405
"111",12,13,0.440129449838188
"112",12,14,1.37216828478964
"113",12,15,0.750809061488673
"114",12,16,0
"115",12,17,0
"116",12,18,0.0258899676375405
"117",12,19,0.129449838187702
"119",12,20,0.0517799352750809
"120",12,21,0.0258899676375405
"121",12,22,0
"122",12,23,0
"123",12,24,0
"124",12,25,0
"125",12,26,0
"126",12,27,0
"127",12,28,0.0258899676375405
"128",12,29,0
"130",12,30,0
"131",12,31,0
"132",12,32,0
"133",12,33,0
"134",12,34,0
"141",13,0,0
"142",13,1,0
"153",13,2,0.362459546925566
"164",13,3,0
"170",13,4,0
"171",13,5,3.02912621359223
"172",13,6,2.95145631067961
"173",13,7,0
"174",13,8,0
"175",13,9,0
"143",13,10,0.155339805825243
"144",13,11,0.103559870550162
"145",13,12,0
"146",13,13,0
"147",13,14,0
"148",13,15,0
"149",13,16,0.59546925566343
"150",13,17,0.750809061488673
"151",13,18,0
"152",13,19,0
"154",13,20,0
"155",13,21,0.0517799352750809
"156",13,22,0
"157",13,23,0
"158",13,24,0
"159",13,25,0
"160",13,26,0
"161",13,27,0
"162",13,28,0
"163",13,29,0
"165",13,30,0
"166",13,31,0
"167",13,32,0
"168",13,33,0
"169",13,34,0
"176",14,0,0
"177",14,1,0
"188",14,2,0
"199",14,3,0
"205",14,4,0
"206",14,5,5.07443365695793
"207",14,6,0.0517799352750809
"208",14,7,0
"209",14,8,0
"210",14,9,0
"178",14,10,0.750809061488673
"179",14,11,1.73462783171521
"180",14,12,0
"181",14,13,0.0776699029126214
"182",14,14,0.0776699029126214
"183",14,15,0.181229773462783
"184",14,16,0.0517799352750809
"185",14,17,0
"186",14,18,0
"187",14,19,0
"189",14,20,0
"190",14,21,0
"191",14,22,0
"192",14,23,0
"193",14,24,0
"194",14,25,0
"195",14,26,0
"196",14,27,0
"197",14,28,0
"198",14,29,0
"200",14,30,0
"201",14,31,0
"202",14,32,0
"203",14,33,0
"204",14,34,0
"211",15,0,0
"212",15,1,0
"223",15,2,1.0873786407767
"234",15,3,0
"240",15,4,0
"241",15,5,5.4368932038835
"242",15,6,1.11326860841424
"243",15,7,0
"244",15,8,0
"245",15,9,0
"213",15,10,0.362459546925566
"214",15,11,0
"215",15,12,0
"216",15,13,0
"217",15,14,0
"218",15,15,0
"219",15,16,0
"220",15,17,0
"221",15,18,0
"222",15,19,0
"224",15,20,0
"225",15,21,0
"226",15,22,0
"227",15,23,0
"228",15,24,0
"229",15,25,0
"230",15,26,0
"231",15,27,0
"232",15,28,0
"233",15,29,0
"235",15,30,0
"236",15,31,0
"237",15,32,0
"238",15,33,0
"239",15,34,0
"246",16,0,0
"247",16,1,0
"258",16,2,5.12621359223301
"269",16,3,1.57928802588997
"275",16,4,0.362459546925566
"276",16,5,0.207119741100324
"277",16,6,0
"278",16,7,0
"279",16,8,0.59546925566343
"280",16,9,0.0258899676375405
"248",16,10,0.103559870550162
"249",16,11,0
"250",16,12,0
"251",16,13,0
"252",16,14,0
"253",16,15,0
"254",16,16,0
"255",16,17,0
"256",16,18,0
"257",16,19,0
"259",16,20,0
"260",16,21,0
"261",16,22,0
"262",16,23,0
"263",16,24,0
"264",16,25,0
"265",16,26,0
"266",16,27,0
"267",16,28,0
"268",16,29,0
"270",16,30,0
"271",16,31,0
"272",16,32,0
"273",16,33,0
"274",16,34,0
"281",17,0,0
"282",17,1,0
"293",17,2,5.33333333333333
"304",17,3,1.91585760517799
"310",17,4,0.388349514563107
"311",17,5,0
"312",17,6,0
"313",17,7,0
"314",17,8,0
"315",17,9,0
"283",17,10,0
"284",17,11,0
"285",17,12,0
"286",17,13,0
"287",17,14,0
"288",17,15,0
"289",17,16,0
"290",17,17,0
"291",17,18,0
"292",17,19,0
"294",17,20,0
"295",17,21,0
"296",17,22,0
"297",17,23,0
"298",17,24,0.103559870550162
"299",17,25,0
"300",17,26,0.129449838187702
"301",17,27,0.0776699029126214
"302",17,28,0
"303",17,29,0
"305",17,30,0.0517799352750809
"306",17,31,0
"307",17,32,0
"308",17,33,0
"309",17,34,0
"316",18,0,0
"317",18,1,0
"328",18,2,2.74433656957929
"339",18,3,2.79611650485437
"345",18,4,0.957928802588997
"346",18,5,0.0258899676375405
"347",18,6,0.0517799352750809
"348",18,7,0
"349",18,8,0
"350",18,9,0
"318",18,10,0
"319",18,11,0
"320",18,12,0
"321",18,13,0
"322",18,14,0
"323",18,15,0
"324",18,16,0.155339805825243
"325",18,17,0
"326",18,18,0.362459546925566
"327",18,19,0.181229773462783
"329",18,20,0
"330",18,21,0
"331",18,22,0
"332",18,23,0
"333",18,24,0.0776699029126214
"334",18,25,0.0776699029126214
"335",18,26,0
"336",18,27,0
"337",18,28,0.129449838187702
"338",18,29,0.181229773462783
"340",18,30,0.233009708737864
"341",18,31,0.0258899676375405
"342",18,32,0
"343",18,33,0
"344",18,34,0
"351",19,0,0
"352",19,1,0
"363",19,2,0.0250113717177023
"374",19,3,0
"380",19,4,0
"381",19,5,0
"382",19,6,0
"383",19,7,0
"384",19,8,0
"385",19,9,0
"353",19,10,0
"354",19,11,0.0125056858588512
"355",19,12,0.662801350519111
"356",19,13,0
"357",19,14,0
"358",19,15,0.0625284292942558
"359",19,16,0.450204690918642
"360",19,17,0.587767235366004
"361",19,18,0.187585287882767
"362",19,19,0.187585287882767
"364",19,20,0.0125056858588512
"365",19,21,0.0500227434354046
"366",19,22,0
"367",19,23,0.0375170575765535
"368",19,24,0.275125088894725
"369",19,25,0
"370",19,26,0.200090973741618
"371",19,27,0
"372",19,28,0.0375170575765535
"373",19,29,0.137562544447363
"375",19,30,0.150068230306214
"376",19,31,0.0125056858588512
"377",19,32,0.0125056858588512
"378",19,33,0
"379",19,34,0
"421",20,0,0
"422",20,1,0
"433",20,2,0.281743558786546
"444",20,3,0
"450",20,4,0
"451",20,5,0
"452",20,6,0.0704358896966365
"453",20,7,1.43219642383161
"454",20,8,0.0939145195955153
"455",20,9,0.821752046460759
"423",20,10,1.83133313211255
"424",20,11,0
"425",20,12,0
"426",20,13,0
"427",20,14,0
"428",20,15,0.821752046460759
"429",20,16,1.57306820322488
"430",20,17,0.0234786298988788
"431",20,18,0.0469572597977576
"432",20,19,0
"434",20,20,0
"435",20,21,0
"436",20,22,0
"437",20,23,0
"438",20,24,0
"439",20,25,0.0234786298988788
"440",20,26,0.0704358896966365
"441",20,27,0
"442",20,28,0.0234786298988788
"443",20,29,0.0469572597977576
"445",20,30,0
"446",20,31,0
"447",20,32,0
"448",20,33,0
"449",20,34,0
"456",21,0,0
"457",21,1,0
"468",21,2,4.01328903654485
"479",21,3,0.212624584717608
"485",21,4,0.823920265780731
"486",21,5,1.14285714285714
"487",21,6,1.38205980066445
"488",21,7,0.425249169435216
"489",21,8,0
"490",21,9,0
"458",21,10,0
"459",21,11,0
"460",21,12,0
"461",21,13,0
"462",21,14,0
"463",21,15,0
"464",21,16,0
"465",21,17,0
"466",21,18,0
"467",21,19,0
"469",21,20,0
"470",21,21,0
"471",21,22,0
"472",21,23,0
"473",21,24,0
"474",21,25,0
"475",21,26,0
"476",21,27,0
"477",21,28,0
"478",21,29,0
"480",21,30,0
"481",21,31,0
"482",21,32,0
"483",21,33,0
"484",21,34,0
"491",22,0,0
"492",22,1,0
"503",22,2,0
"514",22,3,0
"520",22,4,2.29333333333333
"521",22,5,4.69333333333333
"522",22,6,0.0533333333333333
"523",22,7,0.906666666666667
"524",22,8,0
"525",22,9,0
"493",22,10,0
"494",22,11,0
"495",22,12,0
"496",22,13,0
"497",22,14,0
"498",22,15,0
"499",22,16,0
"500",22,17,0
"501",22,18,0
"502",22,19,0
"504",22,20,0
"505",22,21,0
"506",22,22,0
"507",22,23,0
"508",22,24,0
"509",22,25,0.0533333333333333
"510",22,26,0
"511",22,27,0
"512",22,28,0
"513",22,29,0
"515",22,30,0
"516",22,31,0
"517",22,32,0
"518",22,33,0
"519",22,34,0
"526",23,0,0
"527",23,1,0
"538",23,2,0
"549",23,3,1.65596544866198
"555",23,4,1.29879643032312
"556",23,5,0.113644687653273
"557",23,6,0.032469910758078
"558",23,7,0.016234955379039
"559",23,8,0
"560",23,9,0.016234955379039
"528",23,10,0
"529",23,11,0
"530",23,12,0
"531",23,13,0
"532",23,14,0
"533",23,15,0
"534",23,16,0
"535",23,17,0
"536",23,18,0
"537",23,19,0
"539",23,20,0
"540",23,21,0
"541",23,22,0
"542",23,23,0
"543",23,24,0.64939821516156
"544",23,25,0.0811747768951951
"545",23,26,0.129879643032312
"546",23,27,0.16234955379039
"547",23,28,0.146114598411351
"548",23,29,0.032469910758078
"550",23,30,0.0811747768951951
"551",23,31,0
"552",23,32,0
"553",23,33,0
"554",23,34,0
"561",24,0,0
"562",24,1,0
"573",24,2,0
"584",24,3,3.10963455149502
"590",24,4,0
"591",24,5,0
"592",24,6,1.88704318936877
"593",24,7,0.823920265780731
"594",24,8,0
"595",24,9,0.372093023255814
"563",24,10,0
"564",24,11,0
"565",24,12,0
"566",24,13,0
"567",24,14,0
"568",24,15,0
"569",24,16,0
"570",24,17,0
"571",24,18,0
"572",24,19,0.053156146179402
"574",24,20,0.026578073089701
"575",24,21,0
"576",24,22,0
"577",24,23,0.26578073089701
"578",24,24,0.717607973421927
"579",24,25,0.398671096345515
"580",24,26,0.318936877076412
"581",24,27,0.026578073089701
"582",24,28,0
"583",24,29,0
"585",24,30,0
"586",24,31,0
"587",24,32,0
"588",24,33,0
"589",24,34,0
"596",25,0,0
"597",25,1,0.32
"608",25,2,1.38666666666667
"619",25,3,0
"625",25,4,0.746666666666667
"626",25,5,0
"627",25,6,4.02666666666667
"628",25,7,0
"629",25,8,0
"630",25,9,0
"598",25,10,0
"599",25,11,0
"600",25,12,0
"601",25,13,0
"602",25,14,0
"603",25,15,0
"604",25,16,0
"605",25,17,0
"606",25,18,0
"607",25,19,0.08
"609",25,20,0.16
"610",25,21,0
"611",25,22,0
"612",25,23,0
"613",25,24,0.4
"614",25,25,0.586666666666667
"615",25,26,0.293333333333333
"616",25,27,0
"617",25,28,0
"618",25,29,0
"620",25,30,0
"621",25,31,0
"622",25,32,0
"623",25,33,0
"624",25,34,0
"631",26,0,0
"632",26,1,0
"643",26,2,0.8
"654",26,3,0
"660",26,4,1.76
"661",26,5,0.586666666666667
"662",26,6,3.76
"663",26,7,1.04
"664",26,8,0.0533333333333333
"665",26,9,0
"633",26,10,0
"634",26,11,0
"635",26,12,0
"636",26,13,0
"637",26,14,0
"638",26,15,0
"639",26,16,0
"640",26,17,0
"641",26,18,0
"642",26,19,0
"644",26,20,0
"645",26,21,0
"646",26,22,0
"647",26,23,0
"648",26,24,0
"649",26,25,0
"650",26,26,0
"651",26,27,0
"652",26,28,0
"653",26,29,0
"655",26,30,0
"656",26,31,0
"657",26,32,0
"658",26,33,0
"659",26,34,0
"666",27,0,0
"667",27,1,0
"678",27,2,1.31820298570511
"689",27,3,1.75002810171196
"695",27,4,0.431825116006847
"696",27,5,0.295459289899422
"697",27,6,0.568190942114273
"698",27,7,1.31820298570511
"699",27,8,0.0227276376845709
"700",27,9,0.181821101476567
"668",27,10,0
"669",27,11,0
"670",27,12,0
"671",27,13,0
"672",27,14,0
"673",27,15,0
"674",27,16,0
"675",27,17,0
"676",27,18,0
"677",27,19,0
"679",27,20,0
"680",27,21,0
"681",27,22,0
"682",27,23,0
"683",27,24,0
"684",27,25,0
"685",27,26,0.181821101476567
"686",27,27,0.0681829130537127
"687",27,28,0.318186927583993
"688",27,29,0.272731652214851
"690",27,30,0
"691",27,31,0
"692",27,32,0
"693",27,33,0
"694",27,34,0
"701",28,0,0
"702",28,1,0
"713",28,2,0.24
"724",28,3,1.33333333333333
"730",28,4,0
"731",28,5,4.45333333333333
"732",28,6,0
"733",28,7,0
"734",28,8,0.0266666666666667
"735",28,9,1.38666666666667
"703",28,10,0
"704",28,11,0
"705",28,12,0
"706",28,13,0
"707",28,14,0
"708",28,15,0
"709",28,16,0
"710",28,17,0
"711",28,18,0
"712",28,19,0
"714",28,20,0
"715",28,21,0
"716",28,22,0.0266666666666667
"717",28,23,0.0266666666666667
"718",28,24,0
