"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"13",1,2,0
"24",1,3,0
"25",1,4,0
"26",1,5,0
"27",1,6,0
"28",1,7,0
"29",1,8,0
"30",1,9,0
"3",1,10,0
"4",1,11,0
"5",1,12,0
"6",1,13,0.01235876248793
"7",1,14,0.0279481836812258
"8",1,15,0.0066928335332307
"9",1,16,0.105351587456303
"10",1,17,0.236152251840946
"11",1,18,0.390210020800344
"12",1,19,0.505361395385921
"14",1,20,0.295198316863151
"15",1,21,0.0627071259046492
"16",1,22,0.158009337658555
"17",1,23,0.104789521715068
"18",1,24,0
"19",1,25,0.651011970556546
"20",1,26,0
"21",1,27,0
"22",1,28,0
"23",1,29,0
"331",2,0,0
"332",2,1,0
"343",2,2,0
"354",2,3,0
"355",2,4,0
"356",2,5,0
"357",2,6,0.00889715325053853
"358",2,7,0.0347096802435633
"359",2,8,0.0370513768291206
"360",2,9,0.06215912772051
"333",2,10,0.0293859991808515
"334",2,11,0.0342505183229316
"335",2,12,0.0365286131870949
"336",2,13,0.126901153557926
"337",2,14,0.0593275761518659
"338",2,15,0.0830843599258213
"339",2,16,0.177060685005705
"340",2,17,0.0237182388804122
"341",2,18,0.0596820423916974
"342",2,19,0.354430542119934
"344",2,20,0.380806192913676
"345",2,21,0.316097700033578
"346",2,22,0.322922473587765
"347",2,23,0.280641062222798
"348",2,24,0
"349",2,25,0.603563535810563
"350",2,26,0
"351",2,27,0
"352",2,28,0
"353",2,29,0
"661",3,0,0
"662",3,1,0
"673",3,2,0
"684",3,3,0
"685",3,4,0
"686",3,5,0
"687",3,6,0.0415791263238204
"688",3,7,0.176014560365497
"689",3,8,0.0363097340082384
"690",3,9,0.123033021997514
"663",3,10,0.0142066145231527
"664",3,11,0.0389859517795894
"665",3,12,0.0252271616076167
"666",3,13,0.00512898567168011
"667",3,14,0
"668",3,15,0.0749595019347043
"669",3,16,0.00559385113250503
"670",3,17,0.113258807013863
"671",3,18,0.100363111130382
"672",3,19,0.073513170502517
"674",3,20,0.243656892984664
"675",3,21,1.52034084681471
"676",3,22,0.750742607228566
"677",3,23,0.641701481977932
"678",3,24,0
"679",3,25,0.266330178363649
"680",3,26,1.01707278559222
"681",3,27,0
"682",3,28,0
"683",3,29,0
"991",4,0,0
"992",4,1,0
"1003",4,2,0
"1014",4,3,0
"1015",4,4,0
"1016",4,5,0
"1017",4,6,0
"1018",4,7,0
"1019",4,8,0
"1020",4,9,0
"993",4,10,0
"994",4,11,0
"995",4,12,0
"996",4,13,0
"997",4,14,0
"998",4,15,0
"999",4,16,0
"1000",4,17,0.00168690933640497
"1001",4,18,0.0588783002127451
"1002",4,19,0.068522552304549
"1004",4,20,0.280901512622231
"1005",4,21,0.119471907513937
"1006",4,22,0.203142146647
"1007",4,23,0
"1008",4,24,0
"1009",4,25,0.520910690163629
"1010",4,26,0
"1011",4,27,0
"1012",4,28,0
"1013",4,29,0
"1321",5,0,0
"1322",5,1,0
"1333",5,2,0
"1344",5,3,0
"1345",5,4,0
"1346",5,5,0
"1347",5,6,0
"1348",5,7,0
"1349",5,8,0
"1350",5,9,0
"1323",5,10,0
"1324",5,11,0
"1325",5,12,0
"1326",5,13,0
"1327",5,14,0.00338969001614509
"1328",5,15,0.00343580966097379
"1329",5,16,0.0197809926907783
"1330",5,17,0.0214631757870174
"1331",5,18,0.0543216711145714
"1332",5,19,0.0693030192102261
"1334",5,20,0.313056802310286
"1335",5,21,0.328105482259308
"1336",5,22,0.27743048988727
"1337",5,23,0.175039150617784
"1338",5,24,0
"1339",5,25,0
"1340",5,26,0
"1341",5,27,0
"1342",5,28,0
"1343",5,29,0
"1651",6,0,0
"1652",6,1,0
"1663",6,2,0
"1674",6,3,0
"1675",6,4,0
"1676",6,5,0
"1677",6,6,0
"1678",6,7,0
"1679",6,8,0.0363536599424599
"1680",6,9,0.0107482335321268
"1653",6,10,0
"1654",6,11,0.0276260864141308
"1655",6,12,0.0376499139619814
"1656",6,13,0.0655198127564966
"1657",6,14,0.137122121780493
"1658",6,15,0.045366522414814
"1659",6,16,0.0394713178950975
"1660",6,17,0.185252395637406
"1661",6,18,0.129454431016391
"1662",6,19,0.205817877115439
"1664",6,20,0.850869218885604
"1665",6,21,1.34376783624071
"1666",6,22,0.758657771905704
"1667",6,23,0
"1668",6,24,0
"1669",6,25,0
"1670",6,26,0
"1671",6,27,0
"1672",6,28,0
"1673",6,29,0
"1711",7,0,0
"1712",7,1,0
"1723",7,2,0
"1734",7,3,0
"1735",7,4,0
"1736",7,5,0
"1737",7,6,0
"1738",7,7,0.0193112294941619
"1739",7,8,0.0395973329681289
"1740",7,9,0.0162186716379702
"1713",7,10,0
"1714",7,11,0.0628864520430537
"1715",7,12,0.0438671260796876
"1716",7,13,0.0180139343845359
"1717",7,14,0.0415659736340403
"1718",7,15,0.134279583571487
"1719",7,16,0.419333119849591
"1720",7,17,0.022763853030521
"1721",7,18,0.265201758303028
"1722",7,19,1.06209118015623
"1724",7,20,0.420837122326457
"1725",7,21,0.221880906684491
"1726",7,22,3.97303794728234
"1727",7,23,0
"1728",7,24,0
"1729",7,25,0
"1730",7,26,0
"1731",7,27,0
"1732",7,28,0
"1733",7,29,0
"1741",8,0,0
"1742",8,1,0
"1753",8,2,0
"1764",8,3,0.0103816439002549
"1765",8,4,0.00847130944848501
"1766",8,5,0.0286205269918152
"1767",8,6,0.0328750070960776
"1768",8,7,0.0820383768273516
"1769",8,8,0.00874333899898566
"1770",8,9,0.0241316680970919
"1743",8,10,0.0319917842183186
"1744",8,11,0.0342952722492765
"1745",8,12,0.00716552760327874
"1746",8,13,0.0336491723453709
"1747",8,14,0.0404054315227344
"1748",8,15,0.0349880864176406
"1749",8,16,0.0185071264373181
"1750",8,17,0.248149016479324
"1751",8,18,0.256831081305253
"1752",8,19,0.840347505990078
"1754",8,20,0.523487224221895
"1755",8,21,0
"1756",8,22,0
"1757",8,23,0.330283665376127
"1758",8,24,0
"1759",8,25,0
"1760",8,26,0
"1761",8,27,0
"1762",8,28,0
"1763",8,29,0
"1771",9,0,0
"1772",9,1,0
"1783",9,2,0
"1794",9,3,0
"1795",9,4,0
"1796",9,5,0
"1797",9,6,0
"1798",9,7,0
"1799",9,8,0
"1800",9,9,0
"1773",9,10,0
"1774",9,11,0
"1775",9,12,0
"1776",9,13,0.0100660736991702
"1777",9,14,0.0198733018358485
"1778",9,15,0.0057787564752047
"1779",9,16,0
"1780",9,17,0.00196371825898614
"1781",9,18,0.0207688740586732
"1782",9,19,0.0493381319238884
"1784",9,20,0.0175136086315512
"1785",9,21,0.158700322990309
"1786",9,22,0.153403187672461
"1787",9,23,0.0485409842482355
"1788",9,24,0.48264722154946
"1789",9,25,0
"1790",9,26,0
"1791",9,27,0
"1792",9,28,0
"1793",9,29,0
"31",10,0,0
"32",10,1,0
"43",10,2,0.0581170186189386
"54",10,3,0.338062826834403
"55",10,4,0
"56",10,5,0
"57",10,6,0
"58",10,7,0
"59",10,8,0
"60",10,9,0
"33",10,10,0
"34",10,11,0
"35",10,12,0
"36",10,13,0
"37",10,14,0
"38",10,15,0
"39",10,16,0.00465084717574138
"40",10,17,0.0439071021235662
"41",10,18,0
"42",10,19,0.160696002955092
"44",10,20,0.184003781814276
"45",10,21,0.310935749862136
"46",10,22,1.10874884691239
"47",10,23,0
"48",10,24,0.554374423456194
"49",10,25,0
"50",10,26,0
"51",10,27,0
"52",10,28,0
"53",10,29,0
"61",11,0,0
"62",11,1,0
"73",11,2,0
"84",11,3,0.766700886663383
"85",11,4,0.345692746644869
"86",11,5,0.0761487017974715
"87",11,6,0
"88",11,7,0
"89",11,8,0
"90",11,9,0
"63",11,10,0
"64",11,11,0
"65",11,12,0
"66",11,13,0.0225350072229019
"67",11,14,0
"68",11,15,0
"69",11,16,0.130832287378353
"70",11,17,0.215031268545028
"71",11,18,0.0145950311708431
"72",11,19,0.0296517879254736
"74",11,20,0.889088160229127
"75",11,21,2.58102221871097
"76",11,22,0.661956826452241
"77",11,23,2.26674507725934
"78",11,24,0
"79",11,25,0.0273037542662116
"80",11,26,0
"81",11,27,0
"82",11,28,0
"83",11,29,0
"91",12,0,0
"92",12,1,0
"103",12,2,0
"114",12,3,0
"115",12,4,0
"116",12,5,0
"117",12,6,0
"118",12,7,0
"119",12,8,0
"120",12,9,0
"93",12,10,0
"94",12,11,0
"95",12,12,0
"96",12,13,0.0529578780544468
"97",12,14,0.0353052520362979
"98",12,15,0.176526260181489
"99",12,16,0.229484138235936
"100",12,17,0.123568382127043
"101",12,18,0.176526260181489
"102",12,19,0.900283926925596
"104",12,20,1.27098907330672
"105",12,21,0.582536658598915
"106",12,22,0.176526260181489
"107",12,23,0.317747268326681
"108",12,24,0.529578780544468
"109",12,25,0.105915756108894
"110",12,26,0.0529578780544468
"111",12,27,0
"112",12,28,0.0353052520362979
"113",12,29,0
"121",13,0,0
"122",13,1,0
"133",13,2,0
"144",13,3,0
"145",13,4,0
"146",13,5,0
"147",13,6,0
"148",13,7,0
"149",13,8,0
"150",13,9,0
"123",13,10,0
"124",13,11,0
"125",13,12,0.0547945205479452
"126",13,13,0.191780821917808
"127",13,14,0
"128",13,15,0
"129",13,16,2.10958904109589
"130",13,17,1.0958904109589
"131",13,18,0.794520547945205
"132",13,19,2.35616438356164
"134",13,20,0.821917808219178
"135",13,21,0.438356164383562
"136",13,22,0.10958904109589
"137",13,23,0.0273972602739726
"138",13,24,0
"139",13,25,0
"140",13,26,0
"141",13,27,0
"142",13,28,0
"143",13,29,0
"151",14,0,0
"152",14,1,0
"163",14,2,0.547945205479452
"174",14,3,5.56164383561644
"175",14,4,0
"176",14,5,0
"177",14,6,0.136986301369863
"178",14,7,0.0273972602739726
"179",14,8,0.328767123287671
"180",14,9,0.10958904109589
"153",14,10,0.10958904109589
"154",14,11,0.191780821917808
"155",14,12,0.219178082191781
"156",14,13,0.0821917808219178
"157",14,14,0.0273972602739726
"158",14,15,0.0273972602739726
"159",14,16,0.0547945205479452
"160",14,17,0.465753424657534
"161",14,18,0
"162",14,19,0
"164",14,20,0
"165",14,21,0
"166",14,22,0.10958904109589
"167",14,23,0
"168",14,24,0
"169",14,25,0
"170",14,26,0
"171",14,27,0
"172",14,28,0
"173",14,29,0
"181",15,0,0
"182",15,1,0
"193",15,2,0.106589008695478
"204",15,3,2.66472521738696
"205",15,4,1.04457228521569
"206",15,5,0.170542413912766
"207",15,6,0
"208",15,7,0
"209",15,8,0
"210",15,9,0
"183",15,10,0
"184",15,11,0
"185",15,12,0
"186",15,13,0
"187",15,14,0
"188",15,15,0.0852712069563828
"189",15,16,0
"190",15,17,0.874029871302923
"191",15,18,0
"192",15,19,0.277131422608244
"194",15,20,0.319767026086435
"195",15,21,0.0426356034781914
"196",15,22,0
"197",15,23,0
"198",15,24,0
"199",15,25,0.0213178017390957
"200",15,26,0.44767383652101
"201",15,27,0
"202",15,28,0
"203",15,29,0
"211",16,0,0
"212",16,1,0
"223",16,2,0
"234",16,3,2.5155719703883
"235",16,4,0
"236",16,5,0
"237",16,6,0
"238",16,7,0
"239",16,8,0
"240",16,9,0
"213",16,10,0
"214",16,11,0
"215",16,12,0
"216",16,13,0
"217",16,14,0
"218",16,15,0.359367424341186
"219",16,16,0.0958313131576496
"220",16,17,1.60517449539063
"221",16,18,0.239578282894124
"222",16,19,1.26976489933886
"224",16,20,0.455198737498836
"225",16,21,0.0958313131576496
"226",16,22,0.0239578282894124
"227",16,23,0.0239578282894124
"228",16,24,0.0479156565788248
"229",16,25,0.0479156565788248
"230",16,26,0.0718734848682372
"231",16,27,0.0479156565788248
"232",16,28,0
"233",16,29,0
"241",17,0,0
"242",17,1,0
"253",17,2,1.34246575342466
"264",17,3,5.89041095890411
"265",17,4,0.0547945205479452
"266",17,5,0
"267",17,6,0
"268",17,7,0
"269",17,8,0
"270",17,9,0
"243",17,10,0
"244",17,11,0
"245",17,12,0
"246",17,13,0
"247",17,14,0
"248",17,15,0
"249",17,16,0
"250",17,17,0.493150684931507
"251",17,18,0
"252",17,19,0.0273972602739726
"254",17,20,0.136986301369863
"255",17,21,0.0273972602739726
"256",17,22,0
"257",17,23,0
"258",17,24,0
"259",17,25,0.0273972602739726
"260",17,26,0
"261",17,27,0
"262",17,28,0
"263",17,29,0
"271",18,0,0
"272",18,1,0
"283",18,2,0.712328767123288
"294",18,3,4.19178082191781
"295",18,4,2.02739726027397
"296",18,5,0
"297",18,6,0
"298",18,7,0
"299",18,8,0
"300",18,9,0.0547945205479452
"273",18,10,0
"274",18,11,0.0273972602739726
"275",18,12,0.136986301369863
"276",18,13,0
"277",18,14,0
"278",18,15,0
"279",18,16,0.136986301369863
"280",18,17,0.0273972602739726
"281",18,18,0.0273972602739726
"282",18,19,0
"284",18,20,0.657534246575342
"285",18,21,0
"286",18,22,0
"287",18,23,0
"288",18,24,0
"289",18,25,0
"290",18,26,0
"291",18,27,0
"292",18,28,0
"293",18,29,0
"301",19,0,0
"302",19,1,0
"313",19,2,0
"324",19,3,0
"325",19,4,0
"326",19,5,0
"327",19,6,0
"328",19,7,0
"329",19,8,0
"330",19,9,0
"303",19,10,0.197196437971388
"304",19,11,0.271145102210658
"305",19,12,0.0246495547464235
"306",19,13,0.0985982189856939
"307",19,14,0.0492991094928469
"308",19,15,0.394392875942776
"309",19,16,0.0739486642392704
"310",19,17,1.01063174460336
"311",19,18,1.50362283953183
"312",19,19,1.77476794174249
"314",19,20,1.47897328478541
"315",19,21,0.123247773732117
"316",19,22,0.0246495547464235
"317",19,23,0.0246495547464235
"318",19,24,0
"319",19,25,0.0246495547464235
"320",19,26,0
"321",19,27,0.0492991094928469
"322",19,28,0
"323",19,29,0
"361",20,0,0
"362",20,1,0
"373",20,2,2.21240200953784
"384",20,3,0
"385",20,4,0
"386",20,5,0.210704953289318
"387",20,6,0
"388",20,7,0
"389",20,8,0.131690595805824
"390",20,9,0.0790143574834941
"363",20,10,0.131690595805824
"364",20,11,0.0526762383223294
"365",20,12,0
"366",20,13,0.0790143574834941
"367",20,14,0.105352476644659
"368",20,15,0.474086144900965
"369",20,16,0.0790143574834941
"370",20,17,0.842819813157271
"371",20,18,1.50127279218639
"372",20,19,0.4477480257398
"374",20,20,0.474086144900965
"375",20,21,0.316057429933977
"376",20,22,0.237043072450482
"377",20,23,0.237043072450482
"378",20,24,0.0526762383223294
"379",20,25,0
"380",20,26,0
"381",20,27,0
"382",20,28,0
"383",20,29,0
"391",21,0,0
"392",21,1,0.216949152542373
"403",21,2,6.45423728813559
"414",21,3,0
"415",21,4,0
"416",21,5,0
"417",21,6,0
"418",21,7,0
"419",21,8,0.24406779661017
"420",21,9,0
"393",21,10,0.135593220338983
"394",21,11,0.379661016949153
"395",21,12,0
"396",21,13,0
"397",21,14,0.0542372881355932
"398",21,15,0
"399",21,16,0
"400",21,17,0.108474576271186
"401",21,18,0.0542372881355932
"402",21,19,0
"404",21,20,0
"405",21,21,0.0271186440677966
"406",21,22,0
"407",21,23,0.135593220338983
"408",21,24,0.16271186440678
"409",21,25,0
"410",21,26,0
"411",21,27,0
"412",21,28,0.0271186440677966
"413",21,29,0
"421",22,0,0
"422",22,1,0
"433",22,2,5.14285714285714
"444",22,3,0
"445",22,4,0
"446",22,5,0
"447",22,6,0
"448",22,7,0
"449",22,8,0
"450",22,9,1.08843537414966
"423",22,10,0
"424",22,11,0.272108843537415
"425",22,12,0
"426",22,13,0.299319727891156
"427",22,14,0.517006802721088
"428",22,15,0.0272108843537415
"429",22,16,0.136054421768707
"430",22,17,0.163265306122449
"431",22,18,0.326530612244898
"432",22,19,0.0272108843537415
"434",22,20,0
"435",22,21,0
"436",22,22,0
"437",22,23,0
"438",22,24,0
"439",22,25,0
"440",22,26,0
"441",22,27,0
"442",22,28,0
"443",22,29,0
"451",23,0,0
"452",23,1,0
"463",23,2,0
"474",23,3,0.149757949832751
"475",23,4,0.0998386332218342
"476",23,5,0.149757949832751
"477",23,6,0
"478",23,7,0.299515899665503
"479",23,8,0.16639772203639
"480",23,9,0.399354532887337
"453",23,10,0
"454",23,11,0
"455",23,12,0.266236355258225
"456",23,13,0.116478405425473
"457",23,14,0.016639772203639
"458",23,15,0
"459",23,16,0.183037494240029
"460",23,17,0.199677266443668
"461",23,18,0.249596583054585
"462",23,19,0.016639772203639
"464",23,20,0.831988610181952
"465",23,21,0.149757949832751
"466",23,22,0.732149976960117
"467",23,23,0.0998386332218342
"468",23,24,0.216317038647307
"469",23,25,0.016639772203639
"470",23,26,0.0499193166109171
"471",23,27,0.0332795444072781
"472",23,28,0
"473",23,29,0
"481",24,0,0
"482",24,1,0
"493",24,2,0.261932824220689
"504",24,3,0.0201486787862068
"505",24,4,0
"506",24,5,0.483568290868964
"507",24,6,0
"508",24,7,0
"509",24,8,0
"510",24,9,0
"483",24,10,0
"484",24,11,0
"485",24,12,0
"486",24,13,0.0604460363586205
"487",24,14,0
"488",24,15,0
"489",24,16,0
"490",24,17,0.0201486787862068
"491",24,18,0.161189430289655
"492",24,19,0.846244509020687
"494",24,20,0.362676218151723
"495",24,21,0.38282489693793
"496",24,22,1.41040751503448
"497",24,23,0.483568290868964
"498",24,24,0.483568290868964
"499",24,25,0.342527539365516
"500",24,26,0.241784145434482
"501",24,27,0.0402973575724137
"502",24,28,0.0604460363586205
"503",24,29,0.0201486787862068
"511",25,0,0
"512",25,1,0
"523",25,2,0
"534",25,3,0
"535",25,4,0.161189430289655
"536",25,5,0
"537",25,6,0
"538",25,7,0
"539",25,8,0
"540",25,9,0
"513",25,10,0
"514",25,11,0
"515",25,12,0
"516",25,13,0
"517",25,14,0
"518",25,15,0.0402973575724137
"519",25,16,0.0604460363586205
"520",25,17,0.100743393931034
"521",25,18,0.282081503006896
"522",25,19,0.906690545379307
"524",25,20,1.75293505439999
"525",25,21,0.805947151448273
"526",25,22,0.866393187806894
"527",25,23,0.181338109075861
"528",25,24,0.402973575724137
"529",25,25,0
"530",25,26,0.0805947151448273
"531",25,27,0
"532",25,28,0.0201486787862068
"533",25,29,0.0201486787862068
"541",26,0,0
"542",26,1,0
"553",26,2,0
"564",26,3,0
"565",26,4,0
"566",26,5,0
"567",26,6,0
"568",26,7,0
"569",26,8,0
"570",26,9,0
"543",26,10,0
"544",26,11,0
"545",26,12,0
"546",26,13,0
"547",26,14,0
"548",26,15,0
"549",26,16,0
"550",26,17,0.126361321292287
"551",26,18,0.783440192012177
"552",26,19,1.59215264828281
"554",26,20,1.41524679847361
"555",26,21,2.57777095436265
"556",26,22,0.353811699618403
"557",26,23,0.151633585550744
"558",26,24,0.37908396387686
"559",26,25,0
"560",26,26,0
"561",26,27,0
"562",26,28,0
"563",26,29,0
"571",27,0,0
"572",27,1,0
"583",27,2,0
"594",27,3,0
"595",27,4,0
"596",27,5,0
"597",27,6,0
"598",27,7,0
"599",27,8,0
"600",27,9,0
"573",27,10,0
"574",27,11,0
"575",27,12,0
"576",27,13,0
"577",27,14,0.163265306122449
"578",27,15,0.054421768707483
"579",27,16,0.326530612244898
"580",27,17,0.54421768707483
"581",27,18,0.653061224489796
"582",27,19,1.41496598639456
"584",27,20,1.82312925170068
"585",27,21,2.28571428571429
"586",27,22,0.489795918367347
"587",27,23,0.19047619047619
"588",27,24,0.054421768707483
"589",27,25,0
"590",27,26,0
"591",27,27,0
"592",27,28,0
"593",27,29,0
"601",28,0,0
"602",28,1,0
"613",28,2,0
"624",28,3,0
"625",28,4,0
"626",28,5,0
"627",28,6,0
"628",28,7,0
"629",28,8,0
"630",28,9,0
"603",28,10,0
"604",28,11,0
"605",28,12,0
"606",28,13,0.0252722642584573
"607",28,14,0.985618306079836
"608",28,15,0.303267171101488
"609",28,16,1.97123661215967
"610",28,17,0.429628492393774
"611",28,18,1.23834094866441
"612",28,19,0.530717549427604
"614",28,20,0.909801513304464
"615",28,21,0.429628492393774
"616",28,22,0.277994906843031
"617",28,23,0.227450378326116
"618",28,24,0
"619",28,25,0.0505445285169146
"620",28,26,0
"621",28,27,0
"622",28,28,0
"623",28,29,0
"631",29,0,0
"632",29,1,0
"643",29,2,0
"654",29,3,0
"655",29,4,0
"656",29,5,0
"657",29,6,0
"658",29,7,0
"659",29,8,0.217687074829932
"660",29,9,0
"633",29,10,0.380952380952381
"634",29,11,0.408163265306122
"635",29,12,0.925170068027211
"636",29,13,1.25170068027211
"637",29,14,1.60544217687075
"638",29,15,0.272108843537415
"639",29,16,0.408163265306122
"640",29,17,0.925170068027211
"641",29,18,0.843537414965986
"642",29,19,0.54421768707483
"644",29,20,0.163265306122449
"645",29,21,0.054421768707483
"646",29,22,0
"647",29,23,0
"648",29,24,0
"649",29,25,0
"650",29,26,0
"651",29,27,0
"652",29,28,0
"653",29,29,0
"691",30,0,0
"692",30,1,0
"703",30,2,0
"714",30,3,0
"715",30,4,0
"716",30,5,0
"717",30,6,0
"718",30,7,0.737201365187713
"719",30,8,0.109215017064846
"720",30,9,0.0819112627986348
"693",30,10,0.955631399317406
"694",30,11,0.84641638225256
"695",30,12,1.74744027303754
"696",30,13,1.01023890784983
"697",30,14,0
"698",30,15,0.16382252559727
